name,date,open_price,close_price,high_price,low_price,volume,market
ABCB,04-Jan-2010,7.31,7.36,6.97,7.31,28700,NASDAQ
ABCB,05-Jan-2010,7.27,7.44,7.12,7.39,56300,NASDAQ
ABCB,06-Jan-2010,7.3,7.85,7.26,7.54,77600,NASDAQ
ABCB,07-Jan-2010,7.64,7.83,7.53,7.79,12300,NASDAQ
ABCB,08-Jan-2010,7.76,7.84,7.61,7.82,10400,NASDAQ
ABCB,11-Jan-2010,7.87,7.89,7.62,7.76,12900,NASDAQ
ABCB,12-Jan-2010,7.73,7.86,7.73,7.75,14900,NASDAQ
ABCB,13-Jan-2010,7.79,7.9,7.75,7.83,14200,NASDAQ
ABCB,14-Jan-2010,7.79,8.24,7.79,8.0,28000,NASDAQ
ABCB,15-Jan-2010,8.06,8.13,8.0,8.1,44200,NASDAQ
ABCB,19-Jan-2010,8.09,8.65,8.09,8.63,83800,NASDAQ
ABCB,20-Jan-2010,8.52,8.9,8.52,8.87,68000,NASDAQ
ABCB,21-Jan-2010,8.89,9.15,8.53,9.0,61000,NASDAQ
ABCB,22-Jan-2010,9.0,9.21,8.61,9.06,52700,NASDAQ
ABCB,25-Jan-2010,9.16,9.43,9.14,9.17,43400,NASDAQ
ABCB,26-Jan-2010,9.2,9.29,9.19,9.2,45500,NASDAQ
ABCB,27-Jan-2010,9.2,9.45,9.2,9.41,22500,NASDAQ
ABCB,28-Jan-2010,9.45,9.48,8.89,9.21,90500,NASDAQ
ABCB,29-Jan-2010,9.25,9.48,9.2,9.34,43900,NASDAQ
ABCB,01-Feb-2010,9.34,9.4,9.27,9.35,23100,NASDAQ
ABCB,02-Feb-2010,9.39,9.39,9.21,9.25,109400,NASDAQ
ABCB,03-Feb-2010,9.21,9.27,9.16,9.25,37100,NASDAQ
ABCB,04-Feb-2010,9.21,9.37,9.13,9.25,79400,NASDAQ
ABCB,05-Feb-2010,9.39,9.43,9.2,9.36,44100,NASDAQ
ABCB,08-Feb-2010,9.37,9.37,9.25,9.25,32300,NASDAQ
ABCB,09-Feb-2010,9.43,9.43,9.25,9.3,22300,NASDAQ
ABCB,10-Feb-2010,9.24,9.29,9.18,9.27,37400,NASDAQ
ABCB,11-Feb-2010,9.2,9.54,9.2,9.54,54600,NASDAQ
ABCB,12-Feb-2010,9.39,9.68,9.39,9.67,37800,NASDAQ
ABCB,16-Feb-2010,9.67,9.67,9.52,9.61,20400,NASDAQ
ABCB,17-Feb-2010,9.62,9.65,9.5,9.65,49100,NASDAQ
ABCB,18-Feb-2010,9.6,9.62,9.51,9.61,14700,NASDAQ
ABCB,19-Feb-2010,9.6,9.8,9.55,9.73,39900,NASDAQ
ABCB,22-Feb-2010,9.81,9.85,9.26,9.82,32700,NASDAQ
ABCB,23-Feb-2010,9.79,9.8,9.5,9.63,26400,NASDAQ
ABCB,24-Feb-2010,9.66,9.66,9.5,9.62,25400,NASDAQ
ABCB,25-Feb-2010,9.41,9.75,9.41,9.7,50700,NASDAQ
ABCB,26-Feb-2010,9.73,9.73,9.5,9.5,30200,NASDAQ
ABCB,01-Mar-2010,9.57,9.71,9.53,9.68,21000,NASDAQ
ABCB,02-Mar-2010,9.73,10.09,9.7,10.07,47300,NASDAQ
ABCB,03-Mar-2010,10.11,10.2,9.96,10.18,15000,NASDAQ
ABCB,04-Mar-2010,10.25,10.28,9.98,10.0,15200,NASDAQ
ABCB,05-Mar-2010,10.08,10.32,9.91,9.95,36300,NASDAQ
ABCB,08-Mar-2010,9.91,10.0,9.91,9.95,17500,NASDAQ
ABCB,09-Mar-2010,9.92,9.97,9.89,9.95,15200,NASDAQ
ABCB,10-Mar-2010,9.92,10.0,9.92,9.94,27100,NASDAQ
ABCB,11-Mar-2010,9.91,10.05,9.9,9.99,25900,NASDAQ
ABCB,12-Mar-2010,10.03,10.03,9.75,9.8,16900,NASDAQ
