name,date,open_price,close_price,high_price,low_price,volume,market
ACIW,04-Jan-2010,5.7467,5.89,5.7333,5.8433,63800,NASDAQ
ACIW,05-Jan-2010,5.8333,5.8333,5.6767,5.7,197400,NASDAQ
ACIW,06-Jan-2010,5.72,5.74,5.52,5.53,112200,NASDAQ
ACIW,07-Jan-2010,5.5267,5.5267,5.4233,5.4533,111900,NASDAQ
ACIW,08-Jan-2010,5.4433,5.4767,5.38,5.4767,68500,NASDAQ
ACIW,11-Jan-2010,5.4733,5.4867,5.4233,5.4633,75700,NASDAQ
ACIW,12-Jan-2010,5.42,5.4967,5.4167,5.4633,101800,NASDAQ
ACIW,13-Jan-2010,5.49,5.5833,5.4533,5.55,81400,NASDAQ
ACIW,14-Jan-2010,5.5233,5.6067,5.5233,5.5867,33100,NASDAQ
ACIW,15-Jan-2010,5.6167,5.6167,5.4333,5.5033,115500,NASDAQ
ACIW,19-Jan-2010,5.5233,5.63,5.4633,5.63,92700,NASDAQ
ACIW,20-Jan-2010,5.5767,5.5867,5.4367,5.5333,148400,NASDAQ
ACIW,21-Jan-2010,5.5033,5.6067,5.4233,5.4533,152000,NASDAQ
ACIW,22-Jan-2010,5.4667,5.56,5.42,5.4333,130900,NASDAQ
ACIW,25-Jan-2010,5.4733,5.5333,5.4167,5.4767,111900,NASDAQ
ACIW,26-Jan-2010,5.4567,5.4933,5.4167,5.4367,124500,NASDAQ
ACIW,27-Jan-2010,5.4167,5.5567,5.4167,5.5333,78800,NASDAQ
ACIW,28-Jan-2010,5.53,5.53,5.3867,5.4167,120700,NASDAQ
ACIW,29-Jan-2010,5.4267,5.49,5.32,5.3367,151300,NASDAQ
ACIW,01-Feb-2010,5.33,5.4,5.2833,5.34,82200,NASDAQ
ACIW,02-Feb-2010,5.34,5.3567,5.2833,5.2933,137400,NASDAQ
ACIW,03-Feb-2010,5.28,5.3267,5.28,5.29,79400,NASDAQ
ACIW,04-Feb-2010,5.27,5.3133,5.1733,5.19,156700,NASDAQ
ACIW,05-Feb-2010,5.2,5.2667,5.16,5.2533,138900,NASDAQ
ACIW,08-Feb-2010,5.23,5.27,5.14,5.1533,170700,NASDAQ
ACIW,09-Feb-2010,5.2,5.2033,5.09,5.1567,90300,NASDAQ
ACIW,10-Feb-2010,5.1333,5.16,5.04,5.1067,63000,NASDAQ
ACIW,11-Feb-2010,5.0767,5.1767,5.03,5.17,75400,NASDAQ
ACIW,12-Feb-2010,5.1233,5.25,5.08,5.23,89900,NASDAQ
ACIW,16-Feb-2010,5.2667,5.2767,5.18,5.2767,70900,NASDAQ
ACIW,17-Feb-2010,5.2833,5.3467,5.2367,5.3433,59800,NASDAQ
ACIW,18-Feb-2010,5.3433,5.4433,5.34,5.44,58200,NASDAQ
ACIW,19-Feb-2010,5.44,5.5133,5.3967,5.4567,70500,NASDAQ
ACIW,22-Feb-2010,5.48,5.48,5.4067,5.4433,48800,NASDAQ
ACIW,23-Feb-2010,5.45,5.55,5.4033,5.5233,108000,NASDAQ
ACIW,24-Feb-2010,5.5167,5.6033,5.5167,5.5633,71700,NASDAQ
ACIW,25-Feb-2010,5.54,6.24,5.54,6.1133,429400,NASDAQ
ACIW,26-Feb-2010,6.09,6.1833,5.8867,6.08,212000,NASDAQ
ACIW,01-Mar-2010,6.04,6.15,6.0067,6.0933,302400,NASDAQ
ACIW,02-Mar-2010,6.0933,6.1767,6.07,6.1067,265400,NASDAQ
ACIW,03-Mar-2010,6.09,6.5533,6.09,6.39,408400,NASDAQ
ACIW,04-Mar-2010,6.4033,6.4467,6.1667,6.34,133400,NASDAQ
ACIW,05-Mar-2010,6.3733,6.54,6.36,6.49,161500,NASDAQ
ACIW,08-Mar-2010,6.4533,6.64,6.4533,6.6233,93400,NASDAQ
ACIW,09-Mar-2010,6.59,6.8267,6.59,6.7167,116600,NASDAQ
ACIW,10-Mar-2010,6.6967,6.8667,6.6967,6.85,136300,NASDAQ
ACIW,11-Mar-2010,6.7967,7.07,6.7167,7.07,200600,NASDAQ
