name,date,open_price,close_price,high_price,low_price,volume,market
ACRX,11-Feb-2011,5.0,5.09,4.51,4.55,1899600,NASDAQ
ACRX,14-Feb-2011,4.73,4.73,4.35,4.38,66200,NASDAQ
ACRX,15-Feb-2011,4.5,4.5,4.08,4.31,37300,NASDAQ
ACRX,16-Feb-2011,4.37,4.37,4.15,4.24,9400,NASDAQ
ACRX,17-Feb-2011,4.22,4.22,3.85,3.85,59900,NASDAQ
ACRX,18-Feb-2011,3.87,3.97,3.65,3.65,110700,NASDAQ
ACRX,22-Feb-2011,3.7,4.09,3.7,3.86,51500,NASDAQ
ACRX,23-Feb-2011,3.89,4.27,3.75,3.96,34800,NASDAQ
ACRX,24-Feb-2011,4.0,4.0,3.65,3.75,32600,NASDAQ
ACRX,25-Feb-2011,3.62,3.75,3.56,3.59,9500,NASDAQ
ACRX,28-Feb-2011,3.73,3.94,3.6,3.62,37600,NASDAQ
ACRX,01-Mar-2011,3.69,3.7,3.56,3.59,76300,NASDAQ
ACRX,02-Mar-2011,3.57,3.68,3.45,3.45,25000,NASDAQ
ACRX,03-Mar-2011,3.46,3.46,3.25,3.4,51800,NASDAQ
ACRX,04-Mar-2011,3.35,3.42,3.25,3.3,41800,NASDAQ
ACRX,07-Mar-2011,3.34,3.36,3.09,3.09,35400,NASDAQ
ACRX,08-Mar-2011,3.13,3.24,2.99,3.11,34000,NASDAQ
ACRX,09-Mar-2011,3.12,3.86,3.12,3.5,115800,NASDAQ
ACRX,10-Mar-2011,3.46,3.63,3.25,3.25,36000,NASDAQ
ACRX,11-Mar-2011,3.49,3.49,3.06,3.17,3500,NASDAQ
ACRX,14-Mar-2011,3.19,3.3,3.19,3.3,900,NASDAQ
ACRX,15-Mar-2011,3.36,3.54,3.3,3.49,13100,NASDAQ
ACRX,16-Mar-2011,3.55,3.7,3.24,3.51,16900,NASDAQ
ACRX,17-Mar-2011,3.36,3.43,3.35,3.43,4800,NASDAQ
ACRX,18-Mar-2011,3.42,3.42,3.12,3.12,16500,NASDAQ
ACRX,21-Mar-2011,3.18,3.6,3.16,3.59,48600,NASDAQ
ACRX,22-Mar-2011,3.65,3.65,3.39,3.39,4400,NASDAQ
ACRX,23-Mar-2011,3.56,3.56,2.97,3.33,68300,NASDAQ
ACRX,24-Mar-2011,3.42,3.49,3.37,3.37,5300,NASDAQ
ACRX,25-Mar-2011,3.36,3.47,3.36,3.47,14200,NASDAQ
ACRX,28-Mar-2011,3.5,3.58,3.5,3.58,3200,NASDAQ
ACRX,29-Mar-2011,3.5,3.65,3.44,3.54,20300,NASDAQ
ACRX,30-Mar-2011,3.59,3.64,3.41,3.42,15800,NASDAQ
ACRX,31-Mar-2011,3.42,3.59,3.33,3.43,14400,NASDAQ
ACRX,01-Apr-2011,3.51,3.51,3.38,3.38,5200,NASDAQ
ACRX,04-Apr-2011,3.36,3.45,3.12,3.35,25800,NASDAQ
ACRX,05-Apr-2011,3.23,3.29,3.22,3.25,5000,NASDAQ
ACRX,06-Apr-2011,3.3,3.38,3.3,3.38,7400,NASDAQ
ACRX,07-Apr-2011,3.41,3.41,3.3,3.3,8200,NASDAQ
ACRX,08-Apr-2011,3.3,3.3,3.22,3.22,2600,NASDAQ
ACRX,11-Apr-2011,3.29,3.3,3.21,3.25,11000,NASDAQ
ACRX,12-Apr-2011,3.25,3.3,3.23,3.25,4200,NASDAQ
ACRX,13-Apr-2011,3.29,3.3,3.25,3.25,2800,NASDAQ
ACRX,14-Apr-2011,3.25,3.25,3.1,3.12,6600,NASDAQ
ACRX,15-Apr-2011,3.21,3.21,3.15,3.15,1800,NASDAQ
ACRX,18-Apr-2011,3.21,3.21,3.03,3.14,16200,NASDAQ
ACRX,19-Apr-2011,3.25,3.25,3.02,3.02,4900,NASDAQ
ACRX,20-Apr-2011,3.0,3.18,2.9,3.06,9400,NASDAQ
ACRX,21-Apr-2011,3.27,3.28,3.12,3.12,1900,NASDAQ
ACRX,25-Apr-2011,3.24,3.24,3.17,3.17,1500,NASDAQ
ACRX,26-Apr-2011,3.24,3.3,3.02,3.3,30000,NASDAQ
ACRX,27-Apr-2011,3.2,3.48,3.08,3.43,19100,NASDAQ
ACRX,28-Apr-2011,3.44,3.44,3.33,3.35,19600,NASDAQ
ACRX,29-Apr-2011,3.43,3.43,3.3,3.42,9200,NASDAQ
ACRX,02-May-2011,3.41,3.41,3.41,3.41,1200,NASDAQ
ACRX,03-May-2011,3.35,3.41,3.35,3.35,1300,NASDAQ
ACRX,04-May-2011,3.35,3.35,3.1,3.2,11500,NASDAQ
ACRX,05-May-2011,3.29,3.3,3.29,3.3,200,NASDAQ
ACRX,06-May-2011,3.35,3.43,3.35,3.43,26900,NASDAQ
ACRX,09-May-2011,3.48,3.48,3.21,3.38,5100,NASDAQ
ACRX,10-May-2011,3.29,3.53,3.23,3.28,28700,NASDAQ
ACRX,11-May-2011,3.36,3.36,3.3,3.35,2600,NASDAQ
ACRX,12-May-2011,3.21,3.44,3.21,3.44,300,NASDAQ
ACRX,13-May-2011,3.49,3.57,3.48,3.5,5000,NASDAQ
ACRX,16-May-2011,3.58,3.75,3.58,3.65,4700,NASDAQ
ACRX,17-May-2011,3.69,3.75,3.65,3.68,5000,NASDAQ
ACRX,18-May-2011,3.74,4.18,3.72,4.04,47600,NASDAQ
ACRX,19-May-2011,3.99,4.22,3.95,4.19,58000,NASDAQ
ACRX,20-May-2011,4.24,4.38,4.17,4.17,14000,NASDAQ
ACRX,23-May-2011,4.15,4.15,4.02,4.07,23500,NASDAQ
ACRX,24-May-2011,4.08,4.09,4.02,4.05,11200,NASDAQ
ACRX,25-May-2011,4.0,4.05,3.9,3.95,91400,NASDAQ
ACRX,26-May-2011,4.0,4.23,4.0,4.12,42600,NASDAQ
ACRX,27-May-2011,4.1,4.68,4.1,4.62,32400,NASDAQ
ACRX,31-May-2011,4.75,5.0,4.7,4.8,39200,NASDAQ
ACRX,01-Jun-2011,4.8,4.8,4.45,4.45,13400,NASDAQ
ACRX,02-Jun-2011,4.45,4.82,4.45,4.7,16800,NASDAQ
ACRX,03-Jun-2011,4.8,4.82,4.7,4.74,31600,NASDAQ
ACRX,06-Jun-2011,4.74,4.82,4.74,4.75,20900,NASDAQ
ACRX,07-Jun-2011,4.74,4.74,4.41,4.61,12000,NASDAQ
ACRX,08-Jun-2011,4.55,4.64,4.23,4.4,15400,NASDAQ
ACRX,09-Jun-2011,4.52,4.74,4.49,4.69,19800,NASDAQ
ACRX,10-Jun-2011,4.6,4.61,4.5,4.5,4400,NASDAQ
ACRX,13-Jun-2011,4.5,4.74,4.5,4.64,10600,NASDAQ
ACRX,14-Jun-2011,4.74,4.74,4.51,4.56,8100,NASDAQ
ACRX,15-Jun-2011,4.57,4.71,4.36,4.59,11700,NASDAQ
ACRX,16-Jun-2011,4.56,4.74,4.55,4.59,1700,NASDAQ
ACRX,17-Jun-2011,4.68,5.0,4.2,4.22,24400,NASDAQ
