name,date,open_price,close_price,high_price,low_price,volume,market
ACTG,04-Jan-2010,9.23,9.75,9.02,9.75,119600,NASDAQ
ACTG,05-Jan-2010,9.69,9.7,9.45,9.46,105800,NASDAQ
ACTG,06-Jan-2010,9.36,9.52,9.11,9.34,163300,NASDAQ
ACTG,07-Jan-2010,9.3,9.64,9.13,9.63,370300,NASDAQ
ACTG,08-Jan-2010,9.55,9.63,9.32,9.51,137800,NASDAQ
ACTG,11-Jan-2010,9.51,9.6,9.15,9.28,150500,NASDAQ
ACTG,12-Jan-2010,9.25,9.41,9.1,9.13,107800,NASDAQ
ACTG,13-Jan-2010,9.15,9.19,8.95,9.1,78800,NASDAQ
ACTG,14-Jan-2010,9.09,9.48,9.02,9.34,144900,NASDAQ
ACTG,15-Jan-2010,9.38,9.49,9.05,9.05,162100,NASDAQ
ACTG,19-Jan-2010,9.06,9.33,9.05,9.15,165200,NASDAQ
ACTG,20-Jan-2010,9.09,9.27,8.81,9.01,97500,NASDAQ
ACTG,21-Jan-2010,9.01,9.04,8.5,8.51,217200,NASDAQ
ACTG,22-Jan-2010,8.61,8.87,7.94,8.03,314600,NASDAQ
ACTG,25-Jan-2010,8.09,8.57,8.09,8.43,261400,NASDAQ
ACTG,26-Jan-2010,8.44,8.75,8.44,8.63,204000,NASDAQ
ACTG,27-Jan-2010,8.56,8.92,8.45,8.88,162800,NASDAQ
ACTG,28-Jan-2010,8.94,9.16,8.85,9.06,289100,NASDAQ
ACTG,29-Jan-2010,9.15,9.16,8.85,8.97,217100,NASDAQ
ACTG,01-Feb-2010,8.99,9.04,8.63,8.67,75000,NASDAQ
ACTG,02-Feb-2010,8.65,8.85,8.55,8.63,78800,NASDAQ
ACTG,03-Feb-2010,8.81,8.89,8.56,8.71,143700,NASDAQ
ACTG,04-Feb-2010,8.63,8.69,8.07,8.08,193300,NASDAQ
ACTG,05-Feb-2010,8.1,8.18,7.79,8.17,106300,NASDAQ
ACTG,08-Feb-2010,8.14,8.14,7.9,7.93,79300,NASDAQ
ACTG,09-Feb-2010,8.05,8.24,8.05,8.17,96800,NASDAQ
ACTG,10-Feb-2010,8.11,8.26,8.0,8.25,57000,NASDAQ
ACTG,11-Feb-2010,8.2,8.73,8.2,8.72,154100,NASDAQ
ACTG,12-Feb-2010,8.61,8.92,8.58,8.87,79200,NASDAQ
ACTG,16-Feb-2010,8.97,9.45,8.97,9.39,231900,NASDAQ
ACTG,17-Feb-2010,9.45,9.45,9.14,9.26,74100,NASDAQ
ACTG,18-Feb-2010,9.21,9.21,8.85,9.14,88700,NASDAQ
ACTG,19-Feb-2010,9.14,9.37,8.7,9.35,199700,NASDAQ
ACTG,22-Feb-2010,9.35,10.03,9.18,10.0,501300,NASDAQ
ACTG,23-Feb-2010,9.76,10.07,9.76,9.98,268700,NASDAQ
ACTG,24-Feb-2010,10.0,10.02,9.78,9.97,121400,NASDAQ
ACTG,25-Feb-2010,9.79,9.98,9.57,9.98,119100,NASDAQ
ACTG,26-Feb-2010,9.99,9.99,9.82,9.92,134200,NASDAQ
ACTG,01-Mar-2010,9.99,10.5,9.91,10.39,343700,NASDAQ
ACTG,02-Mar-2010,10.41,10.77,10.26,10.63,274000,NASDAQ
ACTG,03-Mar-2010,10.63,10.65,10.36,10.62,148300,NASDAQ
ACTG,04-Mar-2010,10.6,10.62,10.34,10.35,132800,NASDAQ
ACTG,05-Mar-2010,10.43,10.85,10.3,10.83,157800,NASDAQ
ACTG,08-Mar-2010,10.79,10.99,10.54,10.97,81000,NASDAQ
ACTG,09-Mar-2010,10.96,11.17,10.9,11.07,200800,NASDAQ
ACTG,10-Mar-2010,11.14,11.34,10.82,11.09,146100,NASDAQ
ACTG,11-Mar-2010,11.01,11.07,10.72,11.01,113300,NASDAQ
ACTG,12-Mar-2010,11.11,11.11,10.63,10.73,101200,NASDAQ
ACTG,15-Mar-2010,10.78,10.78,10.29,10.54,191400,NASDAQ
ACTG,16-Mar-2010,10.54,10.62,10.31,10.34,193900,NASDAQ
ACTG,17-Mar-2010,10.33,10.6,10.26,10.57,108400,NASDAQ
ACTG,18-Mar-2010,10.51,10.59,10.32,10.56,23800,NASDAQ
ACTG,19-Mar-2010,10.64,10.65,9.91,10.02,216800,NASDAQ
ACTG,22-Mar-2010,9.89,9.96,9.61,9.89,182800,NASDAQ
ACTG,23-Mar-2010,9.88,10.35,9.85,10.32,119200,NASDAQ
ACTG,24-Mar-2010,10.24,10.53,10.2,10.42,121500,NASDAQ
ACTG,25-Mar-2010,10.52,10.69,10.21,10.25,93900,NASDAQ
ACTG,26-Mar-2010,10.34,10.48,10.21,10.35,48700,NASDAQ
ACTG,29-Mar-2010,10.35,10.6,10.19,10.25,158700,NASDAQ
ACTG,30-Mar-2010,10.29,10.43,10.16,10.21,108700,NASDAQ
ACTG,31-Mar-2010,10.12,11.0,10.06,10.83,266800,NASDAQ
ACTG,01-Apr-2010,10.93,11.42,10.81,11.27,278900,NASDAQ
ACTG,05-Apr-2010,11.3,11.44,11.07,11.14,134300,NASDAQ
ACTG,06-Apr-2010,11.04,11.21,10.65,11.14,219000,NASDAQ
ACTG,07-Apr-2010,10.99,11.14,10.76,10.87,211800,NASDAQ
ACTG,08-Apr-2010,10.36,10.67,10.3,10.58,147700,NASDAQ
ACTG,09-Apr-2010,10.61,10.77,10.45,10.76,111000,NASDAQ
ACTG,12-Apr-2010,10.8,10.94,10.71,10.85,119700,NASDAQ
ACTG,13-Apr-2010,10.85,10.94,10.75,10.94,80900,NASDAQ
ACTG,14-Apr-2010,11.03,11.45,10.98,11.45,146600,NASDAQ
ACTG,15-Apr-2010,11.29,11.57,11.12,11.53,170400,NASDAQ
ACTG,16-Apr-2010,11.52,11.92,11.28,11.36,186900,NASDAQ
ACTG,19-Apr-2010,11.35,11.42,10.82,10.98,133900,NASDAQ
ACTG,20-Apr-2010,11.06,11.41,10.94,11.36,77700,NASDAQ
ACTG,21-Apr-2010,11.34,11.47,11.01,11.34,109200,NASDAQ
ACTG,22-Apr-2010,11.3,11.65,11.22,11.55,142500,NASDAQ
ACTG,23-Apr-2010,13.92,14.72,13.71,14.38,2599100,NASDAQ
ACTG,26-Apr-2010,14.45,14.56,14.12,14.15,432200,NASDAQ
ACTG,27-Apr-2010,14.15,14.44,13.95,14.31,434500,NASDAQ
ACTG,28-Apr-2010,14.4,14.99,14.35,14.72,313800,NASDAQ
ACTG,29-Apr-2010,14.8,14.98,14.56,14.98,211500,NASDAQ
ACTG,30-Apr-2010,14.9,15.0,14.66,14.88,245100,NASDAQ
ACTG,03-May-2010,14.88,14.95,14.1,14.89,502100,NASDAQ
ACTG,04-May-2010,14.65,14.81,14.46,14.78,468100,NASDAQ
ACTG,05-May-2010,14.43,14.73,14.01,14.4,371500,NASDAQ
ACTG,06-May-2010,14.34,14.5,12.33,13.81,385900,NASDAQ
ACTG,07-May-2010,13.79,14.25,13.5,13.81,359100,NASDAQ
ACTG,10-May-2010,13.98,14.88,13.98,14.88,344200,NASDAQ
ACTG,11-May-2010,14.64,15.27,14.51,15.22,470500,NASDAQ
ACTG,12-May-2010,15.21,15.94,15.18,15.79,308800,NASDAQ
ACTG,13-May-2010,15.87,16.32,15.61,16.02,291700,NASDAQ
ACTG,14-May-2010,15.97,15.99,15.21,15.47,296600,NASDAQ
ACTG,17-May-2010,15.56,16.09,15.02,15.54,286400,NASDAQ
ACTG,18-May-2010,15.81,15.92,15.11,15.13,171900,NASDAQ
ACTG,19-May-2010,15.13,15.33,14.42,14.71,197600,NASDAQ
ACTG,20-May-2010,14.39,14.71,13.8,14.16,288600,NASDAQ
ACTG,21-May-2010,13.88,15.15,13.88,14.86,251900,NASDAQ
ACTG,24-May-2010,14.86,15.17,14.65,14.68,161400,NASDAQ
ACTG,25-May-2010,14.24,14.61,13.96,14.51,170800,NASDAQ
ACTG,26-May-2010,14.68,15.26,14.53,14.6,199800,NASDAQ
ACTG,27-May-2010,14.96,15.6,14.73,15.55,253600,NASDAQ
ACTG,28-May-2010,15.55,15.83,14.88,15.05,352100,NASDAQ
ACTG,01-Jun-2010,14.99,15.9,14.62,14.64,259800,NASDAQ
ACTG,02-Jun-2010,14.82,15.31,14.7,15.27,217800,NASDAQ
ACTG,03-Jun-2010,15.3,15.84,15.26,15.75,182100,NASDAQ
ACTG,04-Jun-2010,15.21,15.38,14.45,14.54,223300,NASDAQ
ACTG,07-Jun-2010,14.55,14.61,13.55,13.64,225200,NASDAQ
ACTG,08-Jun-2010,13.74,13.9,12.93,13.18,285100,NASDAQ
ACTG,09-Jun-2010,13.32,13.67,12.97,13.22,249900,NASDAQ
ACTG,10-Jun-2010,13.52,13.8,13.41,13.64,239600,NASDAQ
ACTG,11-Jun-2010,13.42,14.41,13.42,14.3,294300,NASDAQ
ACTG,14-Jun-2010,14.45,14.75,14.36,14.5,507900,NASDAQ
ACTG,15-Jun-2010,14.71,15.43,14.38,15.28,489700,NASDAQ
ACTG,16-Jun-2010,15.2,15.61,15.11,15.4,339500,NASDAQ
ACTG,17-Jun-2010,15.62,15.7,15.34,15.47,235700,NASDAQ
ACTG,18-Jun-2010,15.59,16.0,15.39,15.79,563900,NASDAQ
ACTG,21-Jun-2010,16.0,16.25,15.7,15.83,368800,NASDAQ
ACTG,22-Jun-2010,15.86,16.07,15.21,15.24,155500,NASDAQ
ACTG,23-Jun-2010,15.26,15.55,14.76,15.29,170200,NASDAQ
ACTG,24-Jun-2010,15.13,15.57,14.91,14.98,170400,NASDAQ
ACTG,25-Jun-2010,15.02,15.39,14.76,15.37,556500,NASDAQ
ACTG,28-Jun-2010,15.34,15.77,15.09,15.7,223600,NASDAQ
ACTG,29-Jun-2010,15.3,15.3,14.32,14.54,354700,NASDAQ
ACTG,30-Jun-2010,14.48,14.85,14.08,14.23,175000,NASDAQ
ACTG,01-Jul-2010,14.24,14.61,14.02,14.51,286800,NASDAQ
ACTG,02-Jul-2010,14.69,14.79,14.28,14.73,173600,NASDAQ
ACTG,06-Jul-2010,15.01,15.38,14.16,14.27,268500,NASDAQ
ACTG,07-Jul-2010,14.3,14.66,14.05,14.58,186800,NASDAQ
ACTG,08-Jul-2010,14.8,14.98,14.29,14.62,158300,NASDAQ
ACTG,09-Jul-2010,14.53,15.23,14.53,15.15,146200,NASDAQ
ACTG,12-Jul-2010,15.1,15.38,14.85,15.1,173800,NASDAQ
ACTG,13-Jul-2010,15.41,16.2,15.35,16.12,647500,NASDAQ
ACTG,14-Jul-2010,16.19,16.43,15.9,16.18,378200,NASDAQ
ACTG,15-Jul-2010,16.31,16.4,15.86,16.26,233700,NASDAQ
ACTG,16-Jul-2010,16.06,16.16,14.91,15.16,322500,NASDAQ
ACTG,19-Jul-2010,15.13,15.14,14.28,14.6,208800,NASDAQ
ACTG,20-Jul-2010,14.31,14.91,14.29,14.89,164700,NASDAQ
ACTG,21-Jul-2010,14.95,15.08,14.28,14.29,153900,NASDAQ
ACTG,22-Jul-2010,14.52,14.85,14.25,14.69,376000,NASDAQ
ACTG,23-Jul-2010,13.0,14.27,12.88,13.88,1015700,NASDAQ
ACTG,26-Jul-2010,13.87,13.87,13.3,13.42,392500,NASDAQ
ACTG,27-Jul-2010,13.52,13.8,13.28,13.54,171200,NASDAQ
ACTG,28-Jul-2010,13.42,13.67,13.19,13.31,174000,NASDAQ
ACTG,29-Jul-2010,13.51,13.64,12.92,13.27,172400,NASDAQ
ACTG,30-Jul-2010,13.07,13.48,12.87,13.39,162700,NASDAQ
ACTG,02-Aug-2010,13.61,13.96,13.58,13.85,238700,NASDAQ
ACTG,03-Aug-2010,13.81,14.6,13.72,14.32,227400,NASDAQ
ACTG,04-Aug-2010,14.36,14.65,14.19,14.33,152600,NASDAQ
ACTG,05-Aug-2010,14.18,14.45,14.12,14.2,285300,NASDAQ
ACTG,06-Aug-2010,14.2,14.33,13.89,14.21,276100,NASDAQ
ACTG,09-Aug-2010,14.3,14.75,14.1,14.66,216800,NASDAQ
ACTG,10-Aug-2010,14.47,14.72,14.27,14.46,134800,NASDAQ
ACTG,11-Aug-2010,14.18,14.43,13.81,13.97,276200,NASDAQ
ACTG,12-Aug-2010,13.82,14.05,13.73,13.97,146800,NASDAQ
ACTG,13-Aug-2010,13.85,13.98,13.78,13.88,165600,NASDAQ
ACTG,16-Aug-2010,13.77,14.03,13.75,13.89,99900,NASDAQ
ACTG,17-Aug-2010,14.06,14.6,13.83,14.32,204800,NASDAQ
ACTG,18-Aug-2010,14.36,14.56,13.97,14.14,99000,NASDAQ
ACTG,19-Aug-2010,14.03,14.08,13.74,13.75,193800,NASDAQ
ACTG,20-Aug-2010,13.73,13.88,13.6,13.68,163900,NASDAQ
ACTG,23-Aug-2010,13.75,13.83,13.15,13.17,187300,NASDAQ
ACTG,24-Aug-2010,13.12,15.78,13.12,15.62,865100,NASDAQ
ACTG,25-Aug-2010,16.0,16.24,15.12,15.93,585500,NASDAQ
ACTG,26-Aug-2010,15.96,15.97,15.37,15.55,226800,NASDAQ
ACTG,27-Aug-2010,15.78,15.91,15.14,15.87,151200,NASDAQ
ACTG,30-Aug-2010,15.74,15.78,15.21,15.23,178100,NASDAQ
ACTG,31-Aug-2010,15.12,15.3,14.81,15.07,285400,NASDAQ
ACTG,01-Sep-2010,15.28,15.89,15.05,15.75,264200,NASDAQ
ACTG,02-Sep-2010,15.8,16.07,15.43,15.79,178400,NASDAQ
ACTG,03-Sep-2010,16.0,16.45,15.76,15.97,287300,NASDAQ
ACTG,07-Sep-2010,15.91,16.16,15.5,15.71,155500,NASDAQ
ACTG,08-Sep-2010,15.71,16.66,15.54,16.53,233500,NASDAQ
ACTG,09-Sep-2010,16.68,16.68,16.16,16.61,238800,NASDAQ
ACTG,10-Sep-2010,16.62,16.62,16.27,16.3,147500,NASDAQ
ACTG,13-Sep-2010,16.46,17.0,16.41,16.84,432900,NASDAQ
ACTG,14-Sep-2010,17.01,17.19,16.67,16.84,277000,NASDAQ
