name,date,open_price,close_price,high_price,low_price,volume,market
AHGP,04-Jan-2010,27.53,28.88,27.53,28.33,43500,NASDAQ
AHGP,05-Jan-2010,28.57,28.84,28.31,28.4,79100,NASDAQ
AHGP,06-Jan-2010,28.08,28.39,27.48,28.1,112100,NASDAQ
AHGP,07-Jan-2010,28.15,28.22,27.73,28.0,55200,NASDAQ
AHGP,08-Jan-2010,27.87,28.0,27.26,27.8,135100,NASDAQ
AHGP,11-Jan-2010,28.17,28.17,27.53,28.0,86000,NASDAQ
AHGP,12-Jan-2010,27.61,28.23,27.56,28.07,48100,NASDAQ
AHGP,13-Jan-2010,27.81,28.28,27.81,28.28,23100,NASDAQ
AHGP,14-Jan-2010,28.02,28.3,27.79,28.22,40600,NASDAQ
AHGP,15-Jan-2010,28.06,28.16,27.75,28.01,38200,NASDAQ
AHGP,19-Jan-2010,28.07,28.81,27.96,28.26,39000,NASDAQ
AHGP,20-Jan-2010,28.0,28.45,27.83,28.36,44600,NASDAQ
AHGP,21-Jan-2010,28.33,28.37,27.63,27.81,61900,NASDAQ
AHGP,22-Jan-2010,27.53,27.8,27.26,27.56,61200,NASDAQ
AHGP,25-Jan-2010,27.99,27.99,27.26,27.64,28100,NASDAQ
AHGP,26-Jan-2010,27.71,28.0,27.45,27.69,24900,NASDAQ
AHGP,27-Jan-2010,27.98,28.0,26.68,26.99,97200,NASDAQ
AHGP,28-Jan-2010,27.7,28.23,27.35,27.96,49900,NASDAQ
AHGP,29-Jan-2010,28.38,28.38,26.54,27.15,60500,NASDAQ
AHGP,01-Feb-2010,27.63,27.96,26.97,27.52,57500,NASDAQ
AHGP,02-Feb-2010,27.74,28.48,27.73,28.28,47700,NASDAQ
AHGP,03-Feb-2010,28.28,28.72,28.28,28.59,16000,NASDAQ
AHGP,04-Feb-2010,28.37,28.54,27.74,28.24,55500,NASDAQ
AHGP,05-Feb-2010,27.76,28.42,27.54,27.9,115800,NASDAQ
AHGP,08-Feb-2010,27.9,27.9,27.34,27.78,58200,NASDAQ
AHGP,09-Feb-2010,27.85,28.27,27.85,27.94,41700,NASDAQ
AHGP,10-Feb-2010,27.69,27.91,27.22,27.23,39500,NASDAQ
AHGP,11-Feb-2010,27.29,27.45,27.11,27.42,31100,NASDAQ
AHGP,12-Feb-2010,27.17,27.79,27.01,27.64,30900,NASDAQ
AHGP,16-Feb-2010,27.8,28.19,27.53,28.18,27500,NASDAQ
AHGP,17-Feb-2010,28.18,28.25,27.93,28.13,13400,NASDAQ
AHGP,18-Feb-2010,27.92,28.45,27.6,28.39,12200,NASDAQ
AHGP,19-Feb-2010,28.42,28.74,28.14,28.52,21300,NASDAQ
AHGP,22-Feb-2010,28.6,29.09,28.41,29.01,36000,NASDAQ
AHGP,23-Feb-2010,29.0,29.0,28.65,28.71,475700,NASDAQ
AHGP,24-Feb-2010,28.59,29.09,28.24,28.5,22600,NASDAQ
AHGP,25-Feb-2010,28.5,28.77,28.12,28.68,37500,NASDAQ
AHGP,26-Feb-2010,28.47,28.87,28.47,28.72,79400,NASDAQ
AHGP,01-Mar-2010,28.79,29.85,28.79,29.81,59900,NASDAQ
AHGP,02-Mar-2010,30.02,30.97,30.0,30.67,148900,NASDAQ
AHGP,03-Mar-2010,30.75,31.48,30.09,30.9,60000,NASDAQ
AHGP,04-Mar-2010,31.0,31.02,30.34,30.34,43400,NASDAQ
AHGP,05-Mar-2010,30.78,31.49,29.81,31.24,52300,NASDAQ
AHGP,08-Mar-2010,31.5,31.99,31.19,31.59,50900,NASDAQ
AHGP,09-Mar-2010,31.6,32.18,31.48,31.96,29300,NASDAQ
AHGP,10-Mar-2010,32.24,32.5,31.98,32.15,32800,NASDAQ
AHGP,11-Mar-2010,32.25,32.59,31.57,32.04,22400,NASDAQ
AHGP,12-Mar-2010,32.49,33.25,32.2,32.89,37700,NASDAQ
AHGP,15-Mar-2010,33.04,34.01,32.49,33.85,51000,NASDAQ
AHGP,16-Mar-2010,34.01,34.63,33.17,34.07,38800,NASDAQ
AHGP,17-Mar-2010,34.33,34.89,34.23,34.32,27800,NASDAQ
AHGP,18-Mar-2010,34.35,34.35,33.86,33.88,19400,NASDAQ
AHGP,19-Mar-2010,33.66,33.88,32.3,32.45,64200,NASDAQ
AHGP,22-Mar-2010,32.13,32.5,31.43,32.34,47500,NASDAQ
AHGP,23-Mar-2010,32.57,32.85,32.15,32.83,25300,NASDAQ
AHGP,24-Mar-2010,32.84,32.84,32.57,32.65,12600,NASDAQ
AHGP,25-Mar-2010,32.69,32.69,31.8,32.01,41600,NASDAQ
AHGP,26-Mar-2010,31.8,31.8,30.07,31.0,117800,NASDAQ
AHGP,29-Mar-2010,30.97,32.8,30.16,32.59,42600,NASDAQ
AHGP,30-Mar-2010,32.69,32.69,32.12,32.39,14800,NASDAQ
AHGP,31-Mar-2010,32.05,32.45,32.05,32.26,32500,NASDAQ
AHGP,01-Apr-2010,32.21,32.67,31.48,32.24,50300,NASDAQ
AHGP,05-Apr-2010,32.15,32.53,32.1,32.53,63100,NASDAQ
AHGP,06-Apr-2010,32.31,32.7,32.27,32.6,49300,NASDAQ
AHGP,07-Apr-2010,32.75,32.96,32.3,32.3,26800,NASDAQ
AHGP,08-Apr-2010,32.3,32.6,32.15,32.56,11800,NASDAQ
AHGP,09-Apr-2010,32.47,32.87,32.33,32.64,22700,NASDAQ
AHGP,12-Apr-2010,32.48,33.0,32.38,32.77,24700,NASDAQ
AHGP,13-Apr-2010,32.51,32.94,32.39,32.84,24800,NASDAQ
AHGP,14-Apr-2010,32.59,32.97,32.59,32.76,10500,NASDAQ
AHGP,15-Apr-2010,32.52,33.35,32.35,32.83,41600,NASDAQ
AHGP,16-Apr-2010,32.84,32.92,31.97,32.1,33700,NASDAQ
AHGP,19-Apr-2010,31.79,32.18,31.64,32.1,20700,NASDAQ
AHGP,20-Apr-2010,32.36,33.13,32.12,32.81,34600,NASDAQ
AHGP,21-Apr-2010,32.9,32.95,32.48,32.89,46700,NASDAQ
AHGP,22-Apr-2010,32.87,32.96,32.25,32.78,23200,NASDAQ
AHGP,23-Apr-2010,32.88,32.96,31.93,32.72,71200,NASDAQ
AHGP,26-Apr-2010,32.99,35.02,32.97,34.64,83200,NASDAQ
AHGP,27-Apr-2010,33.2,34.71,32.3,33.85,97700,NASDAQ
AHGP,28-Apr-2010,34.4,35.01,33.01,34.51,73500,NASDAQ
AHGP,29-Apr-2010,35.02,35.02,32.51,33.41,80300,NASDAQ
AHGP,30-Apr-2010,33.5,34.0,30.55,32.22,137400,NASDAQ
AHGP,03-May-2010,32.29,33.91,32.06,32.34,28500,NASDAQ
AHGP,04-May-2010,32.24,32.59,31.42,31.81,32700,NASDAQ
AHGP,05-May-2010,31.31,31.77,30.51,30.85,39200,NASDAQ
AHGP,06-May-2010,30.9,31.4,26.6,28.53,200300,NASDAQ
AHGP,07-May-2010,28.93,29.81,26.89,28.39,84700,NASDAQ
AHGP,10-May-2010,29.92,30.82,28.4,28.59,216800,NASDAQ
AHGP,11-May-2010,27.89,28.9,27.7,28.54,108300,NASDAQ
AHGP,12-May-2010,28.91,29.71,28.43,29.21,282700,NASDAQ
AHGP,13-May-2010,29.3,29.45,29.0,29.0,79700,NASDAQ
AHGP,14-May-2010,28.67,28.98,28.15,28.82,41100,NASDAQ
AHGP,17-May-2010,29.12,29.31,28.25,28.59,88100,NASDAQ
AHGP,18-May-2010,28.97,30.24,28.4,28.61,44600,NASDAQ
AHGP,19-May-2010,28.0,28.75,26.54,27.43,86500,NASDAQ
AHGP,20-May-2010,27.0,28.38,26.14,27.19,141800,NASDAQ
AHGP,21-May-2010,26.76,28.89,26.18,27.72,63800,NASDAQ
AHGP,24-May-2010,28.05,29.93,28.05,28.58,79400,NASDAQ
AHGP,25-May-2010,27.81,29.15,27.81,28.65,97500,NASDAQ
AHGP,26-May-2010,29.23,30.53,29.19,30.14,55900,NASDAQ
AHGP,27-May-2010,30.36,31.56,29.86,31.0,43900,NASDAQ
AHGP,28-May-2010,31.0,31.5,30.61,31.1,58200,NASDAQ
AHGP,01-Jun-2010,30.27,31.37,29.49,29.94,65200,NASDAQ
AHGP,02-Jun-2010,30.41,31.0,29.56,30.35,70000,NASDAQ
AHGP,03-Jun-2010,30.41,31.5,29.83,31.15,22100,NASDAQ
AHGP,04-Jun-2010,30.58,31.14,30.27,31.1,55000,NASDAQ
AHGP,07-Jun-2010,31.15,31.15,29.9,30.53,42700,NASDAQ
AHGP,08-Jun-2010,30.53,32.0,29.95,31.62,50300,NASDAQ
AHGP,09-Jun-2010,31.81,33.0,31.1,31.12,47700,NASDAQ
AHGP,10-Jun-2010,31.01,33.49,31.01,33.14,50100,NASDAQ
AHGP,11-Jun-2010,32.72,35.75,32.44,35.0,45700,NASDAQ
AHGP,14-Jun-2010,35.91,35.91,34.4,35.47,44400,NASDAQ
AHGP,15-Jun-2010,36.0,36.0,34.88,35.46,43000,NASDAQ
AHGP,16-Jun-2010,34.88,35.79,34.72,34.85,30300,NASDAQ
AHGP,17-Jun-2010,34.85,35.09,34.14,34.7,37000,NASDAQ
AHGP,18-Jun-2010,34.95,35.24,34.52,34.52,17700,NASDAQ
AHGP,21-Jun-2010,34.99,35.38,34.5,35.03,20400,NASDAQ
AHGP,22-Jun-2010,34.52,35.5,34.13,34.64,13500,NASDAQ
AHGP,23-Jun-2010,35.0,35.0,34.66,34.92,7800,NASDAQ
AHGP,24-Jun-2010,34.78,34.79,34.2,34.58,27300,NASDAQ
AHGP,25-Jun-2010,34.42,35.5,34.13,35.3,28000,NASDAQ
AHGP,28-Jun-2010,35.3,35.91,35.2,35.42,38400,NASDAQ
AHGP,29-Jun-2010,34.97,35.51,34.11,35.05,67200,NASDAQ
AHGP,30-Jun-2010,34.91,35.25,34.59,35.17,26200,NASDAQ
AHGP,01-Jul-2010,35.15,35.16,33.13,34.07,70700,NASDAQ
AHGP,02-Jul-2010,34.22,34.99,34.06,34.16,20200,NASDAQ
AHGP,06-Jul-2010,34.43,35.2,34.41,34.99,24500,NASDAQ
AHGP,07-Jul-2010,34.95,35.18,34.94,35.0,23600,NASDAQ
AHGP,08-Jul-2010,35.25,35.25,34.8,35.03,43800,NASDAQ
AHGP,09-Jul-2010,35.03,35.25,34.88,35.0,78500,NASDAQ
AHGP,12-Jul-2010,34.75,35.15,34.75,34.98,28600,NASDAQ
AHGP,13-Jul-2010,35.3,35.3,34.81,35.02,16900,NASDAQ
AHGP,14-Jul-2010,35.09,35.33,34.84,35.29,46300,NASDAQ
AHGP,15-Jul-2010,35.09,35.17,34.54,35.15,31000,NASDAQ
AHGP,16-Jul-2010,35.07,35.62,34.55,35.23,26500,NASDAQ
AHGP,19-Jul-2010,35.45,35.7,34.69,35.62,29300,NASDAQ
AHGP,20-Jul-2010,35.43,35.69,35.11,35.47,45400,NASDAQ
AHGP,21-Jul-2010,35.56,35.61,34.17,35.57,76000,NASDAQ
AHGP,22-Jul-2010,35.69,35.69,34.81,35.21,126300,NASDAQ
AHGP,23-Jul-2010,35.1,35.67,34.15,35.4,39500,NASDAQ
AHGP,26-Jul-2010,35.4,36.84,35.4,36.27,76600,NASDAQ
AHGP,27-Jul-2010,37.35,39.05,36.74,36.85,108700,NASDAQ
AHGP,28-Jul-2010,37.62,38.8,36.99,37.98,35600,NASDAQ
AHGP,29-Jul-2010,38.37,38.81,38.01,38.01,70700,NASDAQ
AHGP,30-Jul-2010,38.0,38.66,38.0,38.2,24000,NASDAQ
AHGP,02-Aug-2010,39.34,39.81,38.78,38.99,28500,NASDAQ
AHGP,03-Aug-2010,39.32,39.82,38.36,38.78,34900,NASDAQ
AHGP,04-Aug-2010,38.95,39.17,38.26,38.64,44500,NASDAQ
AHGP,05-Aug-2010,38.56,38.73,38.42,38.56,16400,NASDAQ
AHGP,06-Aug-2010,38.55,38.91,38.0,38.64,335600,NASDAQ
AHGP,09-Aug-2010,39.05,39.47,38.53,38.61,83400,NASDAQ
AHGP,10-Aug-2010,38.06,38.17,37.15,37.51,23700,NASDAQ
AHGP,11-Aug-2010,37.5,37.89,35.81,36.06,76100,NASDAQ
AHGP,12-Aug-2010,35.95,36.86,35.5,36.26,66400,NASDAQ
AHGP,13-Aug-2010,36.12,37.82,35.94,37.78,35700,NASDAQ
AHGP,16-Aug-2010,37.94,38.62,37.0,38.0,27200,NASDAQ
AHGP,17-Aug-2010,38.0,38.35,37.72,38.09,18500,NASDAQ
AHGP,18-Aug-2010,37.88,38.4,37.88,37.93,12400,NASDAQ
AHGP,19-Aug-2010,38.79,38.8,38.19,38.22,22600,NASDAQ
AHGP,20-Aug-2010,38.41,38.41,37.78,38.14,11000,NASDAQ
AHGP,23-Aug-2010,38.21,38.4,37.96,38.4,36400,NASDAQ
AHGP,24-Aug-2010,38.07,38.5,38.0,38.39,45100,NASDAQ
AHGP,25-Aug-2010,38.42,38.5,37.3,38.42,39700,NASDAQ
AHGP,26-Aug-2010,38.5,38.5,38.24,38.37,24900,NASDAQ
AHGP,27-Aug-2010,38.49,39.66,38.3,39.49,32400,NASDAQ
AHGP,30-Aug-2010,39.69,40.44,38.0,38.3,123600,NASDAQ
AHGP,31-Aug-2010,38.09,39.21,37.44,38.54,136300,NASDAQ
AHGP,01-Sep-2010,38.66,38.94,38.17,38.47,47500,NASDAQ
AHGP,02-Sep-2010,38.37,38.72,38.01,38.01,57800,NASDAQ
AHGP,03-Sep-2010,38.27,38.5,38.01,38.19,46200,NASDAQ
AHGP,07-Sep-2010,38.15,38.27,37.79,38.09,29100,NASDAQ
AHGP,08-Sep-2010,38.15,38.63,37.99,38.37,126300,NASDAQ
AHGP,09-Sep-2010,38.45,39.85,38.09,38.55,168300,NASDAQ
AHGP,10-Sep-2010,38.65,38.99,38.41,38.8,109400,NASDAQ
AHGP,13-Sep-2010,39.18,40.5,38.74,40.5,55500,NASDAQ
AHGP,14-Sep-2010,40.67,40.8,40.14,40.48,19400,NASDAQ
AHGP,15-Sep-2010,40.48,41.13,40.14,40.97,39800,NASDAQ
AHGP,16-Sep-2010,40.63,42.3,38.94,39.87,174000,NASDAQ
AHGP,17-Sep-2010,40.28,41.27,39.49,40.85,23900,NASDAQ
AHGP,20-Sep-2010,41.19,41.76,41.06,41.49,20600,NASDAQ
AHGP,21-Sep-2010,41.76,43.21,41.71,42.32,125500,NASDAQ
AHGP,22-Sep-2010,42.37,43.45,42.33,43.34,63100,NASDAQ
AHGP,23-Sep-2010,43.63,43.71,42.78,43.66,37900,NASDAQ
AHGP,24-Sep-2010,44.03,44.29,43.46,43.6,23800,NASDAQ
AHGP,27-Sep-2010,43.4,43.74,43.01,43.22,28500,NASDAQ
AHGP,28-Sep-2010,43.45,43.6,42.69,43.29,34200,NASDAQ
AHGP,29-Sep-2010,43.29,43.95,43.04,43.23,25100,NASDAQ
AHGP,30-Sep-2010,43.07,43.48,43.07,43.35,21400,NASDAQ
AHGP,01-Oct-2010,43.48,43.87,43.41,43.71,37600,NASDAQ
AHGP,04-Oct-2010,43.43,43.72,43.12,43.72,43000,NASDAQ
AHGP,05-Oct-2010,43.7,44.22,43.5,43.6,40300,NASDAQ
AHGP,06-Oct-2010,43.4,44.97,43.1,44.55,40400,NASDAQ
AHGP,07-Oct-2010,44.56,45.11,43.95,45.0,32200,NASDAQ
AHGP,08-Oct-2010,44.77,46.15,44.13,45.58,58200,NASDAQ
AHGP,11-Oct-2010,45.73,45.73,45.13,45.56,27000,NASDAQ
AHGP,12-Oct-2010,45.93,46.16,45.27,45.58,16100,NASDAQ
AHGP,13-Oct-2010,45.5,45.96,45.5,45.6,28600,NASDAQ
AHGP,14-Oct-2010,45.5,45.5,44.17,44.75,63300,NASDAQ
AHGP,15-Oct-2010,45.34,45.34,44.17,44.31,23400,NASDAQ
AHGP,18-Oct-2010,44.01,44.48,43.25,44.24,38200,NASDAQ
AHGP,19-Oct-2010,43.9,44.52,43.15,43.77,20800,NASDAQ
AHGP,20-Oct-2010,44.21,44.21,41.58,42.73,145500,NASDAQ
AHGP,21-Oct-2010,43.24,43.24,41.6,42.04,29300,NASDAQ
AHGP,22-Oct-2010,41.66,42.31,40.73,41.47,65400,NASDAQ
AHGP,25-Oct-2010,41.62,42.09,41.1,41.63,50100,NASDAQ
AHGP,26-Oct-2010,41.57,41.85,41.25,41.65,23100,NASDAQ
AHGP,27-Oct-2010,41.5,41.8,39.12,40.78,86100,NASDAQ
AHGP,28-Oct-2010,41.33,41.76,40.34,40.75,27500,NASDAQ
AHGP,29-Oct-2010,40.74,41.7,40.5,41.51,27300,NASDAQ
AHGP,01-Nov-2010,41.81,42.56,41.49,41.64,65000,NASDAQ
AHGP,02-Nov-2010,41.63,42.48,41.43,42.38,60600,NASDAQ
AHGP,03-Nov-2010,42.71,42.71,42.01,42.54,40100,NASDAQ
AHGP,04-Nov-2010,42.71,43.41,42.6,43.29,51400,NASDAQ
AHGP,05-Nov-2010,43.54,43.89,43.28,43.84,41800,NASDAQ
AHGP,08-Nov-2010,44.17,45.3,43.79,44.88,73700,NASDAQ
AHGP,09-Nov-2010,44.88,46.28,44.15,44.47,53200,NASDAQ
AHGP,10-Nov-2010,44.26,44.44,43.69,44.12,30200,NASDAQ
AHGP,11-Nov-2010,44.15,44.99,43.9,44.99,62100,NASDAQ
AHGP,12-Nov-2010,45.01,45.39,43.0,44.16,37400,NASDAQ
AHGP,15-Nov-2010,44.1,44.49,43.81,44.14,47400,NASDAQ
AHGP,16-Nov-2010,44.1,44.1,42.57,43.01,33200,NASDAQ
AHGP,17-Nov-2010,43.08,43.95,43.08,43.35,8900,NASDAQ
AHGP,18-Nov-2010,43.62,43.99,43.39,43.86,11800,NASDAQ
AHGP,19-Nov-2010,44.4,44.48,43.31,43.98,38000,NASDAQ
AHGP,22-Nov-2010,44.47,44.75,44.2,44.26,37500,NASDAQ
AHGP,23-Nov-2010,43.98,44.4,43.41,44.18,40600,NASDAQ
AHGP,24-Nov-2010,44.4,44.41,43.83,44.1,12600,NASDAQ
AHGP,26-Nov-2010,45.0,45.0,44.39,44.6,14300,NASDAQ
AHGP,29-Nov-2010,43.91,45.04,43.91,44.77,45700,NASDAQ
AHGP,30-Nov-2010,44.72,45.6,44.22,45.6,98300,NASDAQ
AHGP,01-Dec-2010,46.22,47.45,45.94,47.31,47400,NASDAQ
AHGP,02-Dec-2010,47.55,48.64,47.55,48.38,54200,NASDAQ
AHGP,03-Dec-2010,48.5,49.23,48.01,48.21,39600,NASDAQ
AHGP,06-Dec-2010,48.32,48.32,47.52,47.6,38200,NASDAQ
AHGP,07-Dec-2010,48.68,49.5,46.44,46.79,37000,NASDAQ
AHGP,08-Dec-2010,46.68,47.4,46.34,47.13,21200,NASDAQ
AHGP,09-Dec-2010,46.39,47.14,46.0,47.05,14000,NASDAQ
AHGP,10-Dec-2010,47.33,47.45,46.7,46.87,25000,NASDAQ
AHGP,13-Dec-2010,47.0,47.7,46.66,47.06,62900,NASDAQ
