name,date,open_price,close_price,high_price,low_price,volume,market
AIRT,04-Jan-2010,9.58,9.58,9.44,9.45,8200,NASDAQ
AIRT,05-Jan-2010,9.49,9.59,9.44,9.59,12300,NASDAQ
AIRT,06-Jan-2010,9.49,9.59,9.49,9.59,2000,NASDAQ
AIRT,07-Jan-2010,9.6,9.6,9.46,9.55,6100,NASDAQ
AIRT,08-Jan-2010,9.6,9.99,9.57,9.61,5700,NASDAQ
AIRT,11-Jan-2010,9.79,9.88,9.6,9.81,4100,NASDAQ
AIRT,12-Jan-2010,9.81,9.81,9.77,9.8,2100,NASDAQ
AIRT,13-Jan-2010,9.78,10.49,9.78,10.37,32800,NASDAQ
AIRT,14-Jan-2010,10.4,11.25,10.4,11.08,56400,NASDAQ
AIRT,15-Jan-2010,11.06,11.9,11.0,11.48,71700,NASDAQ
AIRT,19-Jan-2010,11.35,11.37,10.5,10.91,37100,NASDAQ
AIRT,20-Jan-2010,10.9,11.18,10.87,10.94,12400,NASDAQ
AIRT,21-Jan-2010,10.64,11.04,10.55,10.56,13500,NASDAQ
AIRT,22-Jan-2010,10.5,10.56,10.4,10.41,5200,NASDAQ
AIRT,25-Jan-2010,10.4,10.64,10.4,10.4,7300,NASDAQ
AIRT,26-Jan-2010,10.4,10.94,10.36,10.6,5600,NASDAQ
AIRT,27-Jan-2010,10.7,10.84,10.28,10.33,7100,NASDAQ
AIRT,28-Jan-2010,10.35,10.73,10.35,10.57,9500,NASDAQ
AIRT,29-Jan-2010,10.61,10.61,10.21,10.23,3200,NASDAQ
AIRT,01-Feb-2010,10.19,11.18,9.36,9.5,101700,NASDAQ
AIRT,02-Feb-2010,9.59,9.85,9.45,9.76,14900,NASDAQ
AIRT,03-Feb-2010,9.8,9.9,9.76,9.9,3300,NASDAQ
AIRT,04-Feb-2010,9.74,10.06,9.74,9.94,13000,NASDAQ
AIRT,05-Feb-2010,10.2,10.2,9.88,10.1,3200,NASDAQ
AIRT,08-Feb-2010,10.13,10.25,10.12,10.2,11200,NASDAQ
AIRT,09-Feb-2010,10.39,10.39,10.02,10.12,7100,NASDAQ
AIRT,10-Feb-2010,10.09,10.44,10.03,10.4,6700,NASDAQ
AIRT,11-Feb-2010,10.6,11.09,10.45,10.95,13400,NASDAQ
