name,date,open_price,close_price,high_price,low_price,volume,market
ALSK,04-Jan-2010,8.0,8.18,7.98,8.13,395700,NASDAQ
ALSK,05-Jan-2010,8.15,8.27,8.08,8.23,407400,NASDAQ
ALSK,06-Jan-2010,8.29,8.32,8.07,8.07,459600,NASDAQ
ALSK,07-Jan-2010,7.96,8.0,7.69,7.85,1159600,NASDAQ
ALSK,08-Jan-2010,7.84,7.86,7.71,7.83,339800,NASDAQ
ALSK,11-Jan-2010,7.84,7.89,7.75,7.78,248000,NASDAQ
ALSK,12-Jan-2010,7.83,7.83,7.63,7.67,287600,NASDAQ
ALSK,13-Jan-2010,7.7,7.73,7.6,7.62,472100,NASDAQ
ALSK,14-Jan-2010,7.6,7.84,7.6,7.81,486400,NASDAQ
ALSK,15-Jan-2010,8.01,8.05,7.61,7.61,424200,NASDAQ
ALSK,19-Jan-2010,7.82,8.0,7.72,8.0,639700,NASDAQ
ALSK,20-Jan-2010,8.01,8.09,7.87,8.06,500400,NASDAQ
ALSK,21-Jan-2010,8.11,8.17,7.96,8.04,629300,NASDAQ
ALSK,22-Jan-2010,8.06,8.09,7.89,7.95,519500,NASDAQ
ALSK,25-Jan-2010,7.95,8.13,7.91,8.11,641000,NASDAQ
ALSK,26-Jan-2010,8.06,8.11,7.92,8.02,312800,NASDAQ
ALSK,27-Jan-2010,7.97,8.15,7.96,8.11,465400,NASDAQ
ALSK,28-Jan-2010,8.15,8.17,8.05,8.14,326400,NASDAQ
ALSK,29-Jan-2010,8.15,8.17,8.02,8.15,364000,NASDAQ
ALSK,01-Feb-2010,8.15,8.23,7.99,8.0,374600,NASDAQ
ALSK,02-Feb-2010,8.03,8.05,7.92,7.92,721700,NASDAQ
ALSK,03-Feb-2010,7.92,8.08,7.84,7.84,376100,NASDAQ
ALSK,04-Feb-2010,7.78,7.78,7.34,7.35,1221400,NASDAQ
ALSK,05-Feb-2010,7.39,7.42,7.0,7.1,1264200,NASDAQ
ALSK,08-Feb-2010,7.14,7.17,6.84,6.84,1025100,NASDAQ
ALSK,09-Feb-2010,6.92,6.98,6.79,6.88,619400,NASDAQ
ALSK,10-Feb-2010,6.85,6.96,6.8,6.85,556300,NASDAQ
ALSK,11-Feb-2010,6.87,6.96,6.82,6.95,388900,NASDAQ
ALSK,12-Feb-2010,6.94,6.98,6.77,6.85,654700,NASDAQ
ALSK,16-Feb-2010,6.91,7.12,6.87,7.09,898100,NASDAQ
ALSK,17-Feb-2010,7.14,7.33,7.1,7.31,576100,NASDAQ
ALSK,18-Feb-2010,7.28,7.48,7.28,7.47,441800,NASDAQ
ALSK,19-Feb-2010,7.44,7.44,7.3,7.41,415200,NASDAQ
ALSK,22-Feb-2010,7.42,7.45,7.33,7.4,258100,NASDAQ
ALSK,23-Feb-2010,7.41,7.45,7.35,7.38,301500,NASDAQ
