name,date,open_price,close_price,high_price,low_price,volume,market
ARRY,04-Jan-2010,2.85,2.85,2.7,2.8,695600,NASDAQ
ARRY,05-Jan-2010,2.79,2.79,2.73,2.76,474600,NASDAQ
ARRY,06-Jan-2010,2.75,2.77,2.58,2.59,785800,NASDAQ
ARRY,07-Jan-2010,2.58,2.59,2.5,2.59,634600,NASDAQ
ARRY,08-Jan-2010,2.6,2.66,2.51,2.52,428600,NASDAQ
ARRY,11-Jan-2010,2.59,2.76,2.54,2.73,570000,NASDAQ
ARRY,12-Jan-2010,2.69,2.71,2.6,2.62,312500,NASDAQ
ARRY,13-Jan-2010,2.64,2.69,2.56,2.67,447200,NASDAQ
ARRY,14-Jan-2010,2.66,2.67,2.52,2.56,466700,NASDAQ
ARRY,15-Jan-2010,2.57,2.58,2.45,2.52,439200,NASDAQ
ARRY,19-Jan-2010,2.56,2.67,2.45,2.67,537200,NASDAQ
ARRY,20-Jan-2010,2.64,2.65,2.53,2.58,241400,NASDAQ
ARRY,21-Jan-2010,2.59,2.59,2.5,2.5,304000,NASDAQ
ARRY,22-Jan-2010,2.5,2.53,2.47,2.52,262300,NASDAQ
ARRY,25-Jan-2010,2.56,2.68,2.45,2.65,498500,NASDAQ
ARRY,26-Jan-2010,2.63,2.69,2.5,2.51,310200,NASDAQ
ARRY,27-Jan-2010,2.49,2.61,2.47,2.6,237200,NASDAQ
ARRY,28-Jan-2010,2.61,2.61,2.43,2.45,473800,NASDAQ
ARRY,29-Jan-2010,2.46,2.54,2.38,2.39,272100,NASDAQ
ARRY,01-Feb-2010,2.4,2.45,2.36,2.4,389800,NASDAQ
ARRY,02-Feb-2010,2.6,2.6,2.39,2.39,881600,NASDAQ
ARRY,03-Feb-2010,2.4,2.57,2.4,2.56,985700,NASDAQ
ARRY,04-Feb-2010,2.54,2.59,2.45,2.45,337600,NASDAQ
ARRY,05-Feb-2010,2.45,2.51,2.38,2.47,274100,NASDAQ
ARRY,08-Feb-2010,2.47,2.53,2.41,2.41,215400,NASDAQ
ARRY,09-Feb-2010,2.44,2.44,2.35,2.4,250700,NASDAQ
ARRY,10-Feb-2010,2.39,2.41,2.3,2.36,245300,NASDAQ
ARRY,11-Feb-2010,2.34,2.46,2.3,2.45,223800,NASDAQ
ARRY,12-Feb-2010,2.42,2.48,2.39,2.46,162400,NASDAQ
ARRY,16-Feb-2010,2.47,2.54,2.42,2.5,151100,NASDAQ
ARRY,17-Feb-2010,2.5,2.55,2.48,2.52,147400,NASDAQ
ARRY,18-Feb-2010,2.52,2.55,2.49,2.54,174100,NASDAQ
ARRY,19-Feb-2010,2.54,2.54,2.48,2.49,144200,NASDAQ
ARRY,22-Feb-2010,2.49,2.49,2.37,2.4,243300,NASDAQ
ARRY,23-Feb-2010,2.39,2.46,2.38,2.43,216000,NASDAQ
ARRY,24-Feb-2010,2.44,2.47,2.41,2.47,129400,NASDAQ
ARRY,25-Feb-2010,2.42,2.44,2.37,2.39,209800,NASDAQ
ARRY,26-Feb-2010,2.39,2.41,2.24,2.24,455500,NASDAQ
ARRY,01-Mar-2010,2.28,2.5,2.28,2.45,348300,NASDAQ
ARRY,02-Mar-2010,2.46,2.52,2.43,2.52,204800,NASDAQ
ARRY,03-Mar-2010,2.52,2.53,2.42,2.49,277600,NASDAQ
ARRY,04-Mar-2010,2.49,2.51,2.45,2.49,117600,NASDAQ
ARRY,05-Mar-2010,2.5,2.52,2.43,2.5,172600,NASDAQ
ARRY,08-Mar-2010,2.49,2.49,2.4,2.46,127800,NASDAQ
ARRY,09-Mar-2010,2.46,2.5,2.44,2.45,132800,NASDAQ
ARRY,10-Mar-2010,2.45,2.5,2.45,2.48,132400,NASDAQ
ARRY,11-Mar-2010,2.46,2.5,2.46,2.49,159400,NASDAQ
ARRY,12-Mar-2010,2.52,2.55,2.46,2.51,257900,NASDAQ
ARRY,15-Mar-2010,2.5,2.54,2.45,2.51,145000,NASDAQ
ARRY,16-Mar-2010,2.51,2.7,2.51,2.69,569500,NASDAQ
ARRY,17-Mar-2010,2.71,2.72,2.56,2.6,341200,NASDAQ
ARRY,18-Mar-2010,2.63,2.7,2.57,2.61,174700,NASDAQ
ARRY,19-Mar-2010,2.63,2.63,2.42,2.42,520400,NASDAQ
ARRY,22-Mar-2010,2.41,2.5,2.41,2.44,214900,NASDAQ
ARRY,23-Mar-2010,2.45,2.56,2.42,2.53,175900,NASDAQ
ARRY,24-Mar-2010,2.52,2.67,2.52,2.61,367700,NASDAQ
ARRY,25-Mar-2010,2.67,2.67,2.6,2.66,545900,NASDAQ
ARRY,26-Mar-2010,2.67,2.87,2.65,2.8,892800,NASDAQ
ARRY,29-Mar-2010,2.81,2.87,2.81,2.83,262900,NASDAQ
ARRY,30-Mar-2010,2.83,2.85,2.78,2.79,189200,NASDAQ
ARRY,31-Mar-2010,2.77,2.79,2.65,2.74,283200,NASDAQ
ARRY,01-Apr-2010,2.75,2.83,2.65,2.68,175100,NASDAQ
ARRY,05-Apr-2010,2.69,2.96,2.69,2.74,258000,NASDAQ
ARRY,06-Apr-2010,2.73,2.84,2.71,2.8,241400,NASDAQ
ARRY,07-Apr-2010,2.79,2.84,2.66,2.69,280300,NASDAQ
ARRY,08-Apr-2010,2.69,2.74,2.63,2.7,133000,NASDAQ
ARRY,09-Apr-2010,2.69,2.71,2.63,2.66,168800,NASDAQ
ARRY,12-Apr-2010,2.66,2.78,2.64,2.77,256600,NASDAQ
ARRY,13-Apr-2010,2.8,3.05,2.78,2.85,617400,NASDAQ
ARRY,14-Apr-2010,2.88,2.97,2.8,2.94,346300,NASDAQ
ARRY,15-Apr-2010,2.95,3.24,2.93,3.22,747700,NASDAQ
ARRY,16-Apr-2010,3.22,3.22,3.0,3.02,418400,NASDAQ
ARRY,19-Apr-2010,2.99,3.12,2.95,3.02,1400500,NASDAQ
ARRY,20-Apr-2010,4.0,4.25,3.88,4.02,17692600,NASDAQ
