name,date,open_price,close_price,high_price,low_price,volume,market
ARTNA,04-Jan-2010,18.73,18.73,18.05,18.53,6100,NASDAQ
ARTNA,05-Jan-2010,18.47,18.47,18.17,18.17,9200,NASDAQ
ARTNA,06-Jan-2010,18.16,18.26,17.58,17.68,18100,NASDAQ
ARTNA,07-Jan-2010,17.65,17.83,17.63,17.83,6900,NASDAQ
ARTNA,08-Jan-2010,17.85,18.85,17.62,18.62,37600,NASDAQ
ARTNA,11-Jan-2010,18.69,18.73,18.5,18.56,23200,NASDAQ
ARTNA,12-Jan-2010,18.56,18.61,18.06,18.21,19300,NASDAQ
ARTNA,13-Jan-2010,18.33,18.43,18.05,18.13,5800,NASDAQ
ARTNA,14-Jan-2010,18.01,18.56,17.73,18.01,13400,NASDAQ
ARTNA,15-Jan-2010,18.1,18.27,17.82,17.85,19300,NASDAQ
ARTNA,19-Jan-2010,17.92,18.26,17.78,18.19,12200,NASDAQ
ARTNA,20-Jan-2010,18.05,18.57,17.82,17.9,71500,NASDAQ
ARTNA,21-Jan-2010,17.94,18.32,17.68,17.68,22300,NASDAQ
ARTNA,22-Jan-2010,17.75,18.11,17.75,17.84,12400,NASDAQ
ARTNA,25-Jan-2010,18.0,18.07,17.58,17.65,6600,NASDAQ
ARTNA,26-Jan-2010,17.85,18.0,17.72,17.88,12600,NASDAQ
ARTNA,27-Jan-2010,17.75,17.94,17.59,17.84,4300,NASDAQ
ARTNA,28-Jan-2010,17.86,17.91,17.6,17.62,11800,NASDAQ
ARTNA,29-Jan-2010,17.72,17.86,17.65,17.65,13200,NASDAQ
ARTNA,01-Feb-2010,17.77,17.85,17.55,17.61,11900,NASDAQ
ARTNA,02-Feb-2010,17.51,17.79,17.42,17.42,12400,NASDAQ
ARTNA,03-Feb-2010,17.31,17.54,16.93,17.05,13700,NASDAQ
ARTNA,04-Feb-2010,16.99,17.42,16.92,17.15,9000,NASDAQ
ARTNA,05-Feb-2010,17.2,17.52,17.2,17.51,5900,NASDAQ
ARTNA,08-Feb-2010,17.46,17.72,17.36,17.46,11500,NASDAQ
ARTNA,09-Feb-2010,17.6,17.66,17.4,17.49,6900,NASDAQ
ARTNA,10-Feb-2010,17.59,17.63,17.39,17.46,6000,NASDAQ
ARTNA,11-Feb-2010,17.39,17.7,17.39,17.57,8400,NASDAQ
ARTNA,12-Feb-2010,17.48,17.48,17.2,17.42,6600,NASDAQ
ARTNA,16-Feb-2010,17.5,17.89,17.41,17.89,6400,NASDAQ
ARTNA,17-Feb-2010,17.97,18.25,17.95,18.15,12700,NASDAQ
ARTNA,18-Feb-2010,18.17,18.17,17.95,18.14,4400,NASDAQ
ARTNA,19-Feb-2010,18.2,18.32,17.99,18.05,14500,NASDAQ
ARTNA,22-Feb-2010,18.01,18.17,17.96,18.16,3900,NASDAQ
ARTNA,23-Feb-2010,18.25,18.34,18.0,18.0,5000,NASDAQ
ARTNA,24-Feb-2010,18.14,18.15,17.69,17.9,7200,NASDAQ
