name,date,open_price,close_price,high_price,low_price,volume,market
ASCMA,04-Jan-2010,25.68,26.3,25.68,25.97,50300,NASDAQ
ASCMA,05-Jan-2010,25.77,26.05,25.17,25.17,74600,NASDAQ
ASCMA,06-Jan-2010,25.23,25.39,25.0,25.24,27500,NASDAQ
ASCMA,07-Jan-2010,25.1,25.56,25.1,25.45,72300,NASDAQ
ASCMA,08-Jan-2010,25.45,25.8,25.27,25.68,28100,NASDAQ
ASCMA,11-Jan-2010,25.68,25.69,25.46,25.64,11300,NASDAQ
ASCMA,12-Jan-2010,25.45,25.8,25.34,25.65,45700,NASDAQ
ASCMA,13-Jan-2010,25.78,25.8,25.4,25.41,13800,NASDAQ
ASCMA,14-Jan-2010,25.29,25.73,25.13,25.58,11100,NASDAQ
ASCMA,15-Jan-2010,25.7,25.79,25.03,25.46,54500,NASDAQ
ASCMA,19-Jan-2010,25.44,25.96,25.39,25.88,25000,NASDAQ
ASCMA,20-Jan-2010,25.75,25.97,25.16,25.7,50100,NASDAQ
ASCMA,21-Jan-2010,25.65,25.67,25.0,25.03,32600,NASDAQ
ASCMA,22-Jan-2010,25.54,25.59,25.0,25.29,41900,NASDAQ
ASCMA,25-Jan-2010,25.34,26.25,25.34,26.21,27200,NASDAQ
ASCMA,26-Jan-2010,26.08,26.33,25.97,26.1,35900,NASDAQ
ASCMA,27-Jan-2010,26.06,26.3,26.06,26.19,55700,NASDAQ
ASCMA,28-Jan-2010,25.92,26.3,25.21,25.77,51100,NASDAQ
ASCMA,29-Jan-2010,26.05,26.07,25.56,25.77,44900,NASDAQ
ASCMA,01-Feb-2010,25.76,26.14,25.55,25.66,18600,NASDAQ
ASCMA,02-Feb-2010,25.68,25.82,25.31,25.5,47900,NASDAQ
ASCMA,03-Feb-2010,25.37,25.5,25.08,25.41,31900,NASDAQ
ASCMA,04-Feb-2010,25.2,25.24,24.33,24.66,114900,NASDAQ
ASCMA,05-Feb-2010,24.66,24.98,24.66,24.8,27300,NASDAQ
ASCMA,08-Feb-2010,24.85,24.91,24.67,24.67,16500,NASDAQ
ASCMA,09-Feb-2010,24.75,24.83,24.66,24.74,16800,NASDAQ
ASCMA,10-Feb-2010,24.61,24.9,24.55,24.89,10900,NASDAQ
ASCMA,11-Feb-2010,24.77,25.0,24.65,25.0,18700,NASDAQ
ASCMA,12-Feb-2010,24.6,25.26,24.56,25.13,16500,NASDAQ
ASCMA,16-Feb-2010,25.14,25.14,24.81,25.0,15400,NASDAQ
ASCMA,17-Feb-2010,25.13,25.54,25.09,25.54,13100,NASDAQ
ASCMA,18-Feb-2010,25.45,26.09,25.39,26.0,19500,NASDAQ
ASCMA,19-Feb-2010,26.06,26.5,26.06,26.15,32000,NASDAQ
ASCMA,22-Feb-2010,26.22,26.26,26.01,26.19,28100,NASDAQ
ASCMA,23-Feb-2010,26.24,26.35,25.98,26.09,12200,NASDAQ
