name,date,open_price,close_price,high_price,low_price,volume,market
ATLO,04-Jan-2010,21.05,21.41,20.55,21.13,7900,NASDAQ
ATLO,05-Jan-2010,21.06,21.11,20.15,20.61,6800,NASDAQ
ATLO,06-Jan-2010,20.68,20.8,19.48,19.48,13000,NASDAQ
ATLO,07-Jan-2010,19.55,20.15,19.27,19.27,6000,NASDAQ
ATLO,08-Jan-2010,19.24,19.84,19.24,19.63,6300,NASDAQ
ATLO,11-Jan-2010,19.75,20.0,19.53,19.68,7000,NASDAQ
ATLO,12-Jan-2010,19.59,19.66,19.12,19.17,5700,NASDAQ
ATLO,13-Jan-2010,19.3,20.97,19.2,19.82,41700,NASDAQ
ATLO,14-Jan-2010,19.79,19.89,19.25,19.33,6600,NASDAQ
ATLO,15-Jan-2010,19.48,19.83,19.1,19.27,16000,NASDAQ
ATLO,19-Jan-2010,19.26,19.59,19.1,19.42,9300,NASDAQ
ATLO,20-Jan-2010,19.28,19.34,19.04,19.1,10200,NASDAQ
ATLO,21-Jan-2010,19.12,19.25,18.37,18.39,16300,NASDAQ
ATLO,22-Jan-2010,18.43,18.87,18.0,18.14,12400,NASDAQ
ATLO,25-Jan-2010,18.31,18.68,17.66,18.0,9900,NASDAQ
ATLO,26-Jan-2010,18.0,18.37,18.0,18.0,8500,NASDAQ
ATLO,27-Jan-2010,17.83,18.59,17.83,18.41,5900,NASDAQ
ATLO,28-Jan-2010,18.4,18.41,18.0,18.06,8100,NASDAQ
ATLO,29-Jan-2010,18.01,18.5,18.0,18.5,21300,NASDAQ
ATLO,01-Feb-2010,18.56,18.65,17.76,18.13,11800,NASDAQ
ATLO,02-Feb-2010,18.63,18.68,17.86,17.86,8800,NASDAQ
ATLO,03-Feb-2010,17.86,18.34,17.75,17.76,11200,NASDAQ
ATLO,04-Feb-2010,17.76,17.76,17.25,17.25,10700,NASDAQ
ATLO,05-Feb-2010,17.52,17.85,17.25,17.48,4100,NASDAQ
ATLO,08-Feb-2010,17.45,17.45,17.0,17.05,4400,NASDAQ
ATLO,09-Feb-2010,17.4,17.6,17.15,17.54,6500,NASDAQ
ATLO,10-Feb-2010,17.51,17.86,17.51,17.83,4500,NASDAQ
ATLO,11-Feb-2010,17.39,17.86,17.09,17.71,5800,NASDAQ
ATLO,12-Feb-2010,17.69,18.09,17.5,18.09,9000,NASDAQ
ATLO,16-Feb-2010,18.34,18.5,18.04,18.46,5500,NASDAQ
ATLO,17-Feb-2010,18.6,18.86,18.33,18.58,4000,NASDAQ
ATLO,18-Feb-2010,18.58,18.85,18.55,18.85,2600,NASDAQ
ATLO,19-Feb-2010,18.81,19.0,18.8,18.86,9500,NASDAQ
ATLO,22-Feb-2010,18.63,18.98,18.43,18.97,5000,NASDAQ
ATLO,23-Feb-2010,18.99,19.0,18.58,18.65,11400,NASDAQ
ATLO,24-Feb-2010,18.78,18.85,18.56,18.79,2300,NASDAQ
ATLO,25-Feb-2010,18.51,18.85,18.47,18.83,2400,NASDAQ
