name,date,open_price,close_price,high_price,low_price,volume,market
BOBE,04-Jan-2010,29.36,29.63,28.85,29.18,279800,NASDAQ
BOBE,05-Jan-2010,29.26,29.43,28.77,28.9,285500,NASDAQ
BOBE,06-Jan-2010,28.84,28.95,28.36,28.6,241200,NASDAQ
BOBE,07-Jan-2010,28.55,28.88,28.3,28.84,117400,NASDAQ
BOBE,08-Jan-2010,28.75,29.21,28.52,28.81,197600,NASDAQ
BOBE,11-Jan-2010,28.99,29.02,28.56,28.71,264800,NASDAQ
BOBE,12-Jan-2010,28.55,28.92,28.5,28.6,199400,NASDAQ
BOBE,13-Jan-2010,28.77,28.91,28.31,28.84,191200,NASDAQ
BOBE,14-Jan-2010,28.72,29.39,28.67,29.26,148000,NASDAQ
BOBE,15-Jan-2010,29.43,29.57,28.65,29.27,200800,NASDAQ
BOBE,19-Jan-2010,29.23,29.9,29.23,29.89,178400,NASDAQ
BOBE,20-Jan-2010,29.75,29.85,29.1,29.32,238700,NASDAQ
BOBE,21-Jan-2010,29.41,29.61,28.9,29.27,228200,NASDAQ
BOBE,22-Jan-2010,29.31,29.74,28.99,29.11,174900,NASDAQ
BOBE,25-Jan-2010,29.37,29.37,28.69,28.83,82200,NASDAQ
BOBE,26-Jan-2010,28.83,29.0,28.61,28.62,108300,NASDAQ
BOBE,27-Jan-2010,28.46,28.72,28.36,28.55,119500,NASDAQ
BOBE,28-Jan-2010,28.54,28.54,27.79,28.23,120900,NASDAQ
BOBE,29-Jan-2010,28.25,28.55,27.91,27.91,125700,NASDAQ
BOBE,01-Feb-2010,28.06,28.59,27.79,28.59,118000,NASDAQ
BOBE,02-Feb-2010,28.65,28.82,28.29,28.53,119900,NASDAQ
BOBE,03-Feb-2010,28.49,28.68,28.04,28.28,101900,NASDAQ
BOBE,04-Feb-2010,28.2,28.25,27.6,27.6,124400,NASDAQ
BOBE,05-Feb-2010,27.57,27.71,26.9,27.45,148000,NASDAQ
BOBE,08-Feb-2010,27.52,27.7,27.27,27.27,114100,NASDAQ
BOBE,09-Feb-2010,27.61,27.78,27.25,27.78,157400,NASDAQ
BOBE,10-Feb-2010,27.09,27.32,26.51,27.25,268900,NASDAQ
BOBE,11-Feb-2010,27.08,27.87,26.64,27.82,137100,NASDAQ
BOBE,12-Feb-2010,27.52,28.11,27.38,28.0,126600,NASDAQ
BOBE,16-Feb-2010,28.11,28.17,27.85,28.13,81500,NASDAQ
BOBE,17-Feb-2010,28.17,28.39,27.87,28.26,231300,NASDAQ
BOBE,18-Feb-2010,28.33,28.45,28.05,28.44,115300,NASDAQ
BOBE,19-Feb-2010,28.49,28.71,28.33,28.61,164300,NASDAQ
BOBE,22-Feb-2010,28.77,29.0,28.66,28.78,110000,NASDAQ
BOBE,23-Feb-2010,28.63,29.0,28.43,28.48,121400,NASDAQ
BOBE,24-Feb-2010,28.47,28.75,28.41,28.55,129300,NASDAQ
BOBE,25-Feb-2010,28.13,28.43,28.05,28.4,101900,NASDAQ
