name,date,open_price,close_price,high_price,low_price,volume,market
CACC,04-Jan-2010,42.83,44.42,42.83,43.84,62500,NASDAQ
CACC,05-Jan-2010,43.92,44.99,43.8,43.8,70900,NASDAQ
CACC,06-Jan-2010,43.65,44.11,43.43,43.9,18100,NASDAQ
CACC,07-Jan-2010,43.81,44.15,43.5,43.98,30500,NASDAQ
CACC,08-Jan-2010,43.99,44.28,43.66,43.98,15700,NASDAQ
CACC,11-Jan-2010,46.49,49.3,45.98,47.96,120700,NASDAQ
CACC,12-Jan-2010,47.96,48.31,47.76,48.2,50800,NASDAQ
CACC,13-Jan-2010,48.31,48.88,45.6,46.88,71600,NASDAQ
CACC,14-Jan-2010,46.64,48.5,46.64,48.0,39400,NASDAQ
CACC,15-Jan-2010,48.21,48.38,46.71,47.42,37400,NASDAQ
CACC,19-Jan-2010,47.99,49.05,47.57,48.49,41200,NASDAQ
CACC,20-Jan-2010,48.59,49.09,47.9,49.0,35200,NASDAQ
CACC,21-Jan-2010,49.2,50.96,48.85,49.49,83300,NASDAQ
CACC,22-Jan-2010,49.61,49.66,48.99,49.08,35900,NASDAQ
CACC,25-Jan-2010,49.64,49.67,48.58,49.15,37400,NASDAQ
CACC,26-Jan-2010,49.23,50.13,49.0,49.47,40200,NASDAQ
CACC,27-Jan-2010,49.43,53.25,49.43,52.64,85000,NASDAQ
CACC,28-Jan-2010,53.45,53.5,52.67,53.12,148300,NASDAQ
CACC,29-Jan-2010,53.5,53.5,52.79,53.22,66500,NASDAQ
CACC,01-Feb-2010,53.92,53.97,53.05,53.18,126800,NASDAQ
CACC,02-Feb-2010,53.0,53.0,51.17,51.26,91100,NASDAQ
CACC,03-Feb-2010,51.35,51.59,45.47,45.49,174200,NASDAQ
CACC,04-Feb-2010,44.6,44.99,43.5,44.0,110700,NASDAQ
CACC,05-Feb-2010,44.05,45.31,41.49,42.79,65600,NASDAQ
CACC,08-Feb-2010,42.61,42.66,41.55,41.8,57200,NASDAQ
CACC,09-Feb-2010,42.05,42.05,39.83,40.9,81600,NASDAQ
CACC,10-Feb-2010,40.83,40.96,38.57,39.0,123300,NASDAQ
CACC,11-Feb-2010,39.08,40.32,39.06,40.19,55900,NASDAQ
CACC,12-Feb-2010,40.0,40.15,39.61,39.89,33300,NASDAQ
CACC,16-Feb-2010,40.09,40.41,39.3,40.37,46000,NASDAQ
CACC,17-Feb-2010,40.5,40.79,39.81,40.33,24700,NASDAQ
CACC,18-Feb-2010,40.45,40.6,39.91,40.53,26100,NASDAQ
CACC,19-Feb-2010,40.54,40.54,39.96,40.36,22600,NASDAQ
CACC,22-Feb-2010,40.33,40.5,39.98,40.15,20100,NASDAQ
CACC,23-Feb-2010,40.22,40.46,40.01,40.16,23700,NASDAQ
CACC,24-Feb-2010,40.37,42.1,39.95,41.32,80200,NASDAQ
CACC,25-Feb-2010,41.12,41.8,40.16,40.54,30500,NASDAQ
CACC,26-Feb-2010,40.68,41.25,40.11,40.17,26900,NASDAQ
CACC,01-Mar-2010,40.96,42.66,40.65,42.41,73200,NASDAQ
CACC,02-Mar-2010,42.6,45.17,42.6,44.54,89300,NASDAQ
CACC,03-Mar-2010,44.9,45.48,43.68,43.73,64300,NASDAQ
CACC,04-Mar-2010,43.56,43.74,42.5,43.09,45900,NASDAQ
CACC,05-Mar-2010,43.38,44.06,42.5,43.47,44500,NASDAQ
CACC,08-Mar-2010,43.59,44.59,43.08,44.31,34100,NASDAQ
CACC,09-Mar-2010,44.08,44.98,43.38,44.25,77300,NASDAQ
CACC,10-Mar-2010,44.21,44.72,43.66,43.95,38800,NASDAQ
CACC,11-Mar-2010,43.95,44.68,43.63,43.95,28900,NASDAQ
CACC,12-Mar-2010,43.99,44.41,43.0,43.61,30800,NASDAQ
CACC,15-Mar-2010,43.61,43.61,41.56,43.0,39700,NASDAQ
CACC,16-Mar-2010,42.99,43.05,41.71,43.05,27600,NASDAQ
CACC,17-Mar-2010,42.74,44.26,42.74,43.32,37200,NASDAQ
CACC,18-Mar-2010,43.55,43.96,42.78,43.39,23600,NASDAQ
CACC,19-Mar-2010,43.7,43.7,42.18,42.41,48900,NASDAQ
CACC,22-Mar-2010,42.15,42.59,41.54,42.35,23800,NASDAQ
CACC,23-Mar-2010,42.23,42.4,41.15,41.75,36600,NASDAQ
CACC,24-Mar-2010,41.62,42.19,40.85,41.94,80400,NASDAQ
CACC,25-Mar-2010,42.11,42.83,41.5,42.28,93800,NASDAQ
CACC,26-Mar-2010,42.27,42.82,42.0,42.05,25100,NASDAQ
CACC,29-Mar-2010,42.26,42.74,42.01,42.38,23400,NASDAQ
CACC,30-Mar-2010,42.3,42.65,42.0,42.26,23000,NASDAQ
CACC,31-Mar-2010,42.26,42.56,41.0,41.24,46700,NASDAQ
CACC,01-Apr-2010,41.31,43.14,41.24,42.94,78400,NASDAQ
CACC,05-Apr-2010,42.96,45.29,42.93,44.78,57500,NASDAQ
CACC,06-Apr-2010,44.71,45.25,43.85,44.17,54200,NASDAQ
CACC,07-Apr-2010,44.06,44.47,43.05,43.74,47400,NASDAQ
CACC,08-Apr-2010,43.74,44.2,43.12,43.97,15100,NASDAQ
CACC,09-Apr-2010,44.09,44.09,42.12,42.76,33000,NASDAQ
CACC,12-Apr-2010,42.27,42.76,41.32,41.99,32200,NASDAQ
CACC,13-Apr-2010,41.87,42.33,41.72,42.14,11400,NASDAQ
CACC,14-Apr-2010,42.2,43.13,42.1,42.94,34000,NASDAQ
CACC,15-Apr-2010,43.04,43.54,42.87,43.52,25300,NASDAQ
CACC,16-Apr-2010,43.4,43.51,42.71,42.79,48800,NASDAQ
CACC,19-Apr-2010,42.77,42.8,42.12,42.4,38300,NASDAQ
CACC,20-Apr-2010,42.68,43.13,42.56,43.1,15300,NASDAQ
CACC,21-Apr-2010,43.23,45.28,43.23,44.64,42500,NASDAQ
CACC,22-Apr-2010,44.23,45.81,44.23,45.77,25700,NASDAQ
CACC,23-Apr-2010,45.72,46.97,45.4,46.21,38000,NASDAQ
CACC,26-Apr-2010,47.64,48.38,46.14,46.99,43000,NASDAQ
CACC,27-Apr-2010,47.06,47.47,44.57,45.38,37600,NASDAQ
CACC,28-Apr-2010,45.49,45.58,44.96,45.14,12600,NASDAQ
CACC,29-Apr-2010,45.56,46.93,45.11,46.75,25300,NASDAQ
