name,date,open_price,close_price,high_price,low_price,volume,market
CAR,31-Dec-2010,15.22,15.64,15.1,15.56,996400,NASDAQ
CAR,03-Jan-2011,15.77,15.82,14.52,14.82,3521500,NASDAQ
CAR,04-Jan-2011,14.94,15.16,14.19,14.47,3988700,NASDAQ
CAR,05-Jan-2011,14.4,14.81,14.35,14.71,2175100,NASDAQ
CAR,06-Jan-2011,14.75,14.85,14.42,14.6,1470900,NASDAQ
CAR,07-Jan-2011,14.6,14.83,14.21,14.48,1050900,NASDAQ
CAR,10-Jan-2011,14.41,14.53,14.08,14.28,1336600,NASDAQ
CAR,11-Jan-2011,14.5,14.78,14.32,14.52,2135900,NASDAQ
CAR,12-Jan-2011,14.74,14.79,14.41,14.52,1270600,NASDAQ
CAR,13-Jan-2011,14.45,14.68,14.31,14.56,872800,NASDAQ
CAR,14-Jan-2011,14.57,14.67,14.23,14.54,970000,NASDAQ
CAR,18-Jan-2011,14.55,14.65,14.45,14.52,877500,NASDAQ
CAR,19-Jan-2011,14.48,14.55,13.72,13.9,1873200,NASDAQ
CAR,20-Jan-2011,13.79,13.99,13.56,13.69,1529000,NASDAQ
CAR,21-Jan-2011,13.8,13.92,13.68,13.76,1535300,NASDAQ
CAR,24-Jan-2011,13.7,14.43,13.51,14.01,2110500,NASDAQ
CAR,25-Jan-2011,13.85,13.96,13.71,13.94,1234600,NASDAQ
CAR,26-Jan-2011,13.93,14.5,13.9,14.39,2052100,NASDAQ
CAR,27-Jan-2011,14.35,14.68,14.21,14.6,991900,NASDAQ
CAR,28-Jan-2011,14.22,14.6,13.8,13.93,2218300,NASDAQ
CAR,31-Jan-2011,14.09,14.13,13.73,13.84,1592400,NASDAQ
CAR,01-Feb-2011,13.82,14.51,13.81,14.3,1708400,NASDAQ
CAR,02-Feb-2011,14.2,14.56,14.08,14.12,842900,NASDAQ
CAR,03-Feb-2011,14.14,14.35,13.85,14.27,901300,NASDAQ
CAR,04-Feb-2011,14.31,14.63,14.22,14.58,1148900,NASDAQ
CAR,07-Feb-2011,14.63,15.33,14.59,14.95,1818300,NASDAQ
CAR,08-Feb-2011,14.89,15.17,14.78,15.17,1670900,NASDAQ
CAR,09-Feb-2011,15.05,15.47,15.0,15.2,1147300,NASDAQ
CAR,10-Feb-2011,15.09,15.51,14.82,15.4,2379200,NASDAQ
CAR,11-Feb-2011,15.34,15.57,15.19,15.5,836000,NASDAQ
CAR,14-Feb-2011,15.45,15.63,15.34,15.52,1146000,NASDAQ
CAR,15-Feb-2011,15.44,15.61,15.27,15.54,1358300,NASDAQ
CAR,16-Feb-2011,15.59,15.95,15.57,15.66,1736400,NASDAQ
CAR,17-Feb-2011,15.62,16.75,15.62,16.52,3096200,NASDAQ
CAR,18-Feb-2011,16.25,16.5,16.11,16.2,2949100,NASDAQ
CAR,22-Feb-2011,15.9,16.07,15.63,15.81,2098800,NASDAQ
CAR,23-Feb-2011,15.85,16.0,14.59,15.27,2967800,NASDAQ
CAR,24-Feb-2011,15.25,15.28,14.76,15.02,2013300,NASDAQ
CAR,25-Feb-2011,15.19,15.39,14.95,15.26,1367500,NASDAQ
CAR,28-Feb-2011,15.32,15.35,15.0,15.32,1011300,NASDAQ
CAR,01-Mar-2011,15.32,15.53,14.68,14.82,1854700,NASDAQ
CAR,02-Mar-2011,14.85,15.33,14.8,15.21,1104600,NASDAQ
CAR,03-Mar-2011,15.41,16.33,15.36,16.16,2488500,NASDAQ
CAR,04-Mar-2011,16.06,16.16,15.78,16.0,1122200,NASDAQ
CAR,07-Mar-2011,16.1,16.11,15.33,15.37,1522900,NASDAQ
CAR,08-Mar-2011,15.32,16.09,15.21,15.94,1335000,NASDAQ
CAR,09-Mar-2011,15.76,16.03,15.6,15.88,3296800,NASDAQ
CAR,10-Mar-2011,15.54,15.9,15.22,15.42,3230000,NASDAQ
CAR,11-Mar-2011,15.36,15.75,15.17,15.61,2171300,NASDAQ
CAR,14-Mar-2011,15.32,15.65,15.16,15.6,1576300,NASDAQ
CAR,15-Mar-2011,14.75,15.77,14.72,15.61,1627200,NASDAQ
CAR,16-Mar-2011,15.62,16.03,15.23,15.43,1973800,NASDAQ
CAR,17-Mar-2011,15.61,15.8,15.45,15.7,1599900,NASDAQ
CAR,18-Mar-2011,15.82,16.35,15.74,16.18,2857300,NASDAQ
CAR,21-Mar-2011,16.24,16.58,16.07,16.48,1952100,NASDAQ
CAR,22-Mar-2011,16.88,17.22,16.45,16.47,2072500,NASDAQ
CAR,23-Mar-2011,16.46,17.07,16.29,16.97,2153100,NASDAQ
CAR,24-Mar-2011,17.13,18.05,17.01,17.76,3450900,NASDAQ
CAR,25-Mar-2011,17.86,18.44,17.72,18.0,2287400,NASDAQ
CAR,28-Mar-2011,18.16,18.37,17.89,18.26,1336400,NASDAQ
CAR,29-Mar-2011,18.01,18.33,17.93,18.08,2014700,NASDAQ
CAR,30-Mar-2011,18.17,18.34,18.1,18.22,1266500,NASDAQ
CAR,31-Mar-2011,18.09,18.2,17.62,17.91,2175500,NASDAQ
CAR,01-Apr-2011,17.6,18.34,17.6,17.94,1538100,NASDAQ
CAR,04-Apr-2011,17.88,18.2,17.88,18.13,2065100,NASDAQ
CAR,05-Apr-2011,18.14,18.45,18.03,18.15,1312300,NASDAQ
CAR,06-Apr-2011,18.35,18.64,18.31,18.45,912300,NASDAQ
CAR,07-Apr-2011,18.41,18.72,18.21,18.47,972300,NASDAQ
CAR,08-Apr-2011,18.52,18.75,18.19,18.37,926100,NASDAQ
CAR,11-Apr-2011,18.35,18.49,18.0,18.09,828600,NASDAQ
CAR,12-Apr-2011,17.91,18.16,17.91,18.05,1156800,NASDAQ
CAR,13-Apr-2011,18.14,18.43,17.97,18.19,954200,NASDAQ
CAR,14-Apr-2011,18.16,18.35,17.97,18.29,942600,NASDAQ
CAR,15-Apr-2011,18.26,18.63,18.19,18.47,1206900,NASDAQ
CAR,18-Apr-2011,18.11,18.26,17.91,18.24,1596000,NASDAQ
CAR,19-Apr-2011,18.28,18.38,17.98,18.29,1103300,NASDAQ
CAR,20-Apr-2011,18.62,19.21,18.55,19.16,2143600,NASDAQ
CAR,21-Apr-2011,19.37,19.38,18.99,19.2,1010400,NASDAQ
CAR,25-Apr-2011,19.21,19.36,19.05,19.19,1276700,NASDAQ
CAR,26-Apr-2011,19.38,19.49,19.13,19.18,1477900,NASDAQ
CAR,27-Apr-2011,19.23,19.37,18.77,19.0,1618000,NASDAQ
CAR,28-Apr-2011,19.02,19.09,18.86,19.01,1093200,NASDAQ
CAR,29-Apr-2011,19.11,19.14,18.77,18.96,980800,NASDAQ
CAR,02-May-2011,18.97,19.08,18.63,18.7,866100,NASDAQ
CAR,03-May-2011,18.52,18.76,17.98,18.06,2052600,NASDAQ
CAR,04-May-2011,18.25,18.9,18.12,18.49,2404000,NASDAQ
CAR,05-May-2011,18.22,18.65,18.12,18.25,1625100,NASDAQ
CAR,06-May-2011,18.49,18.64,18.18,18.41,1072300,NASDAQ
CAR,09-May-2011,18.31,18.61,17.81,18.47,1940800,NASDAQ
CAR,10-May-2011,18.67,19.1,18.5,19.04,1777400,NASDAQ
CAR,11-May-2011,19.0,19.24,18.39,18.46,1522500,NASDAQ
CAR,12-May-2011,18.35,18.7,18.1,18.42,1282500,NASDAQ
CAR,13-May-2011,18.16,18.53,18.1,18.21,1145700,NASDAQ
CAR,16-May-2011,18.12,18.16,17.69,17.78,1697300,NASDAQ
CAR,17-May-2011,17.51,17.61,17.3,17.39,1914600,NASDAQ
CAR,18-May-2011,17.47,17.8,17.37,17.71,1207100,NASDAQ
CAR,19-May-2011,17.85,17.92,17.35,17.65,1332000,NASDAQ
CAR,20-May-2011,17.64,17.65,16.99,17.3,1334900,NASDAQ
CAR,23-May-2011,17.07,17.12,16.65,16.81,1485100,NASDAQ
CAR,24-May-2011,16.9,17.21,16.71,16.73,2297000,NASDAQ
CAR,25-May-2011,16.78,16.97,16.56,16.78,1782300,NASDAQ
CAR,26-May-2011,16.72,17.22,16.69,17.17,1156500,NASDAQ
CAR,27-May-2011,17.23,17.53,17.17,17.43,725900,NASDAQ
CAR,31-May-2011,17.83,17.87,17.23,17.59,2029500,NASDAQ
CAR,01-Jun-2011,17.61,17.71,16.93,17.01,2508000,NASDAQ
CAR,02-Jun-2011,17.0,17.15,16.57,16.98,1596700,NASDAQ
CAR,03-Jun-2011,16.63,17.0,16.53,16.74,1412400,NASDAQ
CAR,06-Jun-2011,16.72,16.83,16.08,16.13,1468300,NASDAQ
CAR,07-Jun-2011,16.24,16.37,15.98,16.09,1194100,NASDAQ
CAR,08-Jun-2011,16.0,16.39,15.9,15.98,1623900,NASDAQ
CAR,09-Jun-2011,16.14,16.34,15.89,16.23,1383700,NASDAQ
CAR,10-Jun-2011,16.07,16.17,15.68,15.99,1497400,NASDAQ
CAR,13-Jun-2011,16.01,16.23,15.62,15.96,1368700,NASDAQ
CAR,14-Jun-2011,16.2,17.17,16.17,17.17,4312700,NASDAQ
CAR,15-Jun-2011,17.07,17.07,16.05,16.14,3164200,NASDAQ
CAR,16-Jun-2011,16.12,16.4,15.48,15.79,2294200,NASDAQ
CAR,17-Jun-2011,15.97,16.08,15.59,15.7,1610400,NASDAQ
CAR,20-Jun-2011,15.61,16.03,15.43,15.9,1499800,NASDAQ
CAR,21-Jun-2011,16.12,16.46,16.03,16.27,1299200,NASDAQ
