name,date,open_price,close_price,high_price,low_price,volume,market
CASH,04-Jan-2010,22.85,22.85,20.01,20.9,7600,NASDAQ
CASH,05-Jan-2010,21.06,21.59,21.0,21.26,3000,NASDAQ
CASH,06-Jan-2010,21.25,21.99,21.07,21.3,25900,NASDAQ
CASH,07-Jan-2010,21.5,22.0,21.3,22.0,5900,NASDAQ
CASH,08-Jan-2010,22.01,22.11,22.0,22.11,1800,NASDAQ
CASH,11-Jan-2010,22.3,22.3,22.25,22.25,600,NASDAQ
CASH,12-Jan-2010,22.38,22.5,22.38,22.5,3100,NASDAQ
CASH,13-Jan-2010,22.4,22.41,21.9,21.9,1600,NASDAQ
CASH,14-Jan-2010,21.9,22.0,21.5,21.5,900,NASDAQ
CASH,15-Jan-2010,21.5,21.5,21.5,21.5,0,NASDAQ
CASH,19-Jan-2010,21.9,21.9,21.75,21.75,4900,NASDAQ
CASH,20-Jan-2010,21.85,21.85,21.75,21.75,200,NASDAQ
CASH,21-Jan-2010,21.76,21.76,21.75,21.75,2500,NASDAQ
CASH,22-Jan-2010,21.99,21.99,21.75,21.75,1700,NASDAQ
CASH,25-Jan-2010,21.75,21.75,21.48,21.48,3800,NASDAQ
CASH,26-Jan-2010,21.5,21.5,20.0,20.8,11400,NASDAQ
CASH,27-Jan-2010,20.1,20.48,19.8,19.81,4500,NASDAQ
CASH,28-Jan-2010,19.56,19.59,18.26,18.81,2800,NASDAQ
CASH,29-Jan-2010,18.61,18.98,17.48,17.8,13600,NASDAQ
CASH,01-Feb-2010,17.36,18.77,17.35,17.58,2800,NASDAQ
CASH,02-Feb-2010,17.6,18.15,17.6,18.06,4400,NASDAQ
CASH,03-Feb-2010,18.15,19.29,18.14,18.2,2000,NASDAQ
CASH,04-Feb-2010,18.34,18.34,17.1,17.4,15900,NASDAQ
CASH,05-Feb-2010,17.2,17.98,17.2,17.98,2200,NASDAQ
CASH,08-Feb-2010,17.75,19.2,17.75,18.5,300,NASDAQ
CASH,09-Feb-2010,18.17,18.2,17.75,18.19,1700,NASDAQ
CASH,10-Feb-2010,18.74,21.0,18.74,21.0,20500,NASDAQ
CASH,11-Feb-2010,21.0,21.0,20.48,20.92,12600,NASDAQ
CASH,12-Feb-2010,20.89,20.9,20.46,20.6,10600,NASDAQ
CASH,16-Feb-2010,20.75,21.5,20.33,20.54,11400,NASDAQ
CASH,17-Feb-2010,20.51,20.55,20.5,20.51,3300,NASDAQ
CASH,18-Feb-2010,20.53,20.75,20.53,20.75,2700,NASDAQ
CASH,19-Feb-2010,20.51,21.0,20.51,21.0,4100,NASDAQ
CASH,22-Feb-2010,21.0,21.46,21.0,21.18,2200,NASDAQ
CASH,23-Feb-2010,21.25,21.25,20.99,21.0,800,NASDAQ
CASH,24-Feb-2010,20.99,21.0,20.27,20.82,1200,NASDAQ
CASH,25-Feb-2010,20.71,20.71,20.48,20.55,700,NASDAQ
CASH,26-Feb-2010,20.83,21.25,20.65,21.0,6600,NASDAQ
CASH,01-Mar-2010,21.0,21.25,21.0,21.25,1900,NASDAQ
CASH,02-Mar-2010,21.01,21.05,21.0,21.01,500,NASDAQ
CASH,03-Mar-2010,21.25,21.5,20.99,21.0,31000,NASDAQ
CASH,04-Mar-2010,21.45,21.7,21.45,21.65,2300,NASDAQ
CASH,05-Mar-2010,21.5,21.65,21.5,21.65,3200,NASDAQ
CASH,08-Mar-2010,21.64,21.64,21.43,21.49,11400,NASDAQ
CASH,09-Mar-2010,21.0,21.64,21.0,21.64,4300,NASDAQ
CASH,10-Mar-2010,21.64,21.65,21.49,21.65,3000,NASDAQ
CASH,11-Mar-2010,21.64,21.75,21.58,21.75,5500,NASDAQ
CASH,12-Mar-2010,21.85,23.58,21.8,22.5,29100,NASDAQ
CASH,15-Mar-2010,22.75,23.0,22.6,22.93,3100,NASDAQ
CASH,16-Mar-2010,23.06,23.06,22.5,22.71,600,NASDAQ
CASH,17-Mar-2010,22.8,22.85,22.75,22.85,900,NASDAQ
CASH,18-Mar-2010,22.85,23.4,22.73,23.4,3100,NASDAQ
CASH,19-Mar-2010,23.4,23.4,23.0,23.0,3600,NASDAQ
CASH,22-Mar-2010,23.14,23.76,22.74,23.4,3600,NASDAQ
CASH,23-Mar-2010,23.01,23.31,22.93,22.93,1600,NASDAQ
CASH,24-Mar-2010,23.0,23.4,23.0,23.19,15800,NASDAQ
CASH,25-Mar-2010,23.4,23.4,23.4,23.4,500,NASDAQ
CASH,26-Mar-2010,23.4,24.25,23.39,24.25,6700,NASDAQ
CASH,29-Mar-2010,24.28,25.19,24.28,25.0,7500,NASDAQ
CASH,30-Mar-2010,25.0,25.0,24.63,24.97,3000,NASDAQ
CASH,31-Mar-2010,24.75,25.25,24.74,25.25,1400,NASDAQ
CASH,01-Apr-2010,25.23,25.23,24.79,24.97,2200,NASDAQ
CASH,05-Apr-2010,25.25,25.5,25.25,25.5,2200,NASDAQ
CASH,06-Apr-2010,25.44,26.8,25.44,26.76,4900,NASDAQ
CASH,07-Apr-2010,26.78,28.7,26.76,27.71,5700,NASDAQ
CASH,08-Apr-2010,27.5,27.94,27.25,27.94,2400,NASDAQ
CASH,09-Apr-2010,27.97,29.65,27.93,29.14,3700,NASDAQ
CASH,12-Apr-2010,29.15,29.5,29.15,29.35,800,NASDAQ
CASH,13-Apr-2010,29.5,29.86,29.15,29.45,2900,NASDAQ
CASH,14-Apr-2010,28.32,29.41,27.01,27.76,2900,NASDAQ
CASH,15-Apr-2010,27.54,28.63,26.77,26.79,6800,NASDAQ
CASH,16-Apr-2010,27.4,27.4,26.75,26.9,1400,NASDAQ
CASH,19-Apr-2010,25.0,27.16,25.0,27.1,3800,NASDAQ
CASH,20-Apr-2010,27.25,27.25,26.7,27.23,900,NASDAQ
CASH,21-Apr-2010,27.1,27.71,27.0,27.65,12000,NASDAQ
CASH,22-Apr-2010,27.65,27.65,27.65,27.65,0,NASDAQ
CASH,23-Apr-2010,27.5,27.5,27.3,27.45,4300,NASDAQ
CASH,26-Apr-2010,27.32,27.32,27.32,27.32,300,NASDAQ
CASH,27-Apr-2010,27.26,27.4,27.26,27.4,15300,NASDAQ
CASH,28-Apr-2010,27.43,27.6,27.43,27.5,2500,NASDAQ
CASH,29-Apr-2010,27.59,27.7,27.5,27.54,6300,NASDAQ
CASH,30-Apr-2010,27.55,28.02,27.55,27.81,2200,NASDAQ
CASH,03-May-2010,28.55,28.55,28.55,28.55,100,NASDAQ
CASH,04-May-2010,28.63,28.63,28.63,28.63,200,NASDAQ
CASH,05-May-2010,27.68,27.83,27.65,27.83,1200,NASDAQ
CASH,06-May-2010,27.83,27.9,27.79,27.9,3100,NASDAQ
CASH,07-May-2010,27.33,27.33,27.33,27.33,100,NASDAQ
CASH,10-May-2010,28.0,29.07,28.0,28.7,9000,NASDAQ
CASH,11-May-2010,28.51,34.09,28.51,32.67,24100,NASDAQ
CASH,12-May-2010,32.01,33.0,32.0,32.3,5700,NASDAQ
CASH,13-May-2010,32.05,33.0,32.05,32.5,1800,NASDAQ
CASH,14-May-2010,32.88,33.0,30.49,31.0,7400,NASDAQ
CASH,17-May-2010,31.0,31.08,30.77,31.0,3300,NASDAQ
