name,date,open_price,close_price,high_price,low_price,volume,market
CCRN,04-Jan-2010,10.07,10.22,9.83,10.22,147200,NASDAQ
CCRN,05-Jan-2010,10.17,10.18,9.66,9.75,123400,NASDAQ
CCRN,06-Jan-2010,9.73,9.82,9.43,9.54,110800,NASDAQ
CCRN,07-Jan-2010,9.52,10.12,9.42,9.98,135500,NASDAQ
CCRN,08-Jan-2010,9.91,10.11,9.77,10.09,75900,NASDAQ
CCRN,11-Jan-2010,10.11,10.16,9.57,9.64,66500,NASDAQ
CCRN,12-Jan-2010,9.57,9.71,9.32,9.45,86100,NASDAQ
CCRN,13-Jan-2010,9.45,9.71,9.35,9.6,41100,NASDAQ
CCRN,14-Jan-2010,9.57,9.93,9.57,9.79,29400,NASDAQ
CCRN,15-Jan-2010,9.84,9.84,9.34,9.57,99900,NASDAQ
CCRN,19-Jan-2010,9.57,9.74,9.29,9.59,86100,NASDAQ
CCRN,20-Jan-2010,9.47,9.72,9.21,9.34,104700,NASDAQ
CCRN,21-Jan-2010,9.38,9.48,9.1,9.16,78900,NASDAQ
CCRN,22-Jan-2010,9.14,9.5,9.1,9.2,65100,NASDAQ
CCRN,25-Jan-2010,9.32,9.35,9.12,9.23,49400,NASDAQ
CCRN,26-Jan-2010,9.17,9.32,9.09,9.16,56900,NASDAQ
CCRN,27-Jan-2010,9.06,9.24,8.95,9.17,107300,NASDAQ
CCRN,28-Jan-2010,9.16,9.32,9.02,9.08,92300,NASDAQ
CCRN,29-Jan-2010,9.15,9.18,8.9,9.06,74000,NASDAQ
CCRN,01-Feb-2010,9.1,9.23,8.91,8.97,77900,NASDAQ
CCRN,02-Feb-2010,8.97,9.02,8.79,8.86,66100,NASDAQ
CCRN,03-Feb-2010,8.79,8.94,8.76,8.81,68000,NASDAQ
CCRN,04-Feb-2010,8.8,8.83,8.72,8.72,85400,NASDAQ
CCRN,05-Feb-2010,8.74,8.95,8.65,8.92,54200,NASDAQ
CCRN,08-Feb-2010,8.88,8.88,8.62,8.63,52300,NASDAQ
CCRN,09-Feb-2010,8.78,8.81,8.5,8.72,165700,NASDAQ
CCRN,10-Feb-2010,8.65,8.78,8.61,8.76,89300,NASDAQ
CCRN,11-Feb-2010,8.7,9.28,8.66,9.26,104600,NASDAQ
CCRN,12-Feb-2010,9.12,9.19,8.87,9.1,73300,NASDAQ
CCRN,16-Feb-2010,9.18,9.18,9.0,9.16,32500,NASDAQ
CCRN,17-Feb-2010,9.22,9.46,9.22,9.45,36300,NASDAQ
CCRN,18-Feb-2010,9.47,9.98,9.0,9.97,36900,NASDAQ
CCRN,19-Feb-2010,9.97,10.05,9.64,9.83,67100,NASDAQ
CCRN,22-Feb-2010,9.86,9.98,9.69,9.89,33500,NASDAQ
CCRN,23-Feb-2010,9.84,9.95,9.67,9.94,74500,NASDAQ
CCRN,24-Feb-2010,9.95,10.36,9.91,10.07,46300,NASDAQ
CCRN,25-Feb-2010,9.88,10.16,9.87,10.15,51900,NASDAQ
CCRN,26-Feb-2010,10.19,10.19,9.78,9.83,51100,NASDAQ
CCRN,01-Mar-2010,9.9,10.06,9.83,9.9,190600,NASDAQ
CCRN,02-Mar-2010,9.89,10.05,9.79,10.0,131900,NASDAQ
CCRN,03-Mar-2010,10.0,10.05,9.84,9.85,91400,NASDAQ
CCRN,04-Mar-2010,9.9,9.95,9.67,9.71,78500,NASDAQ
CCRN,05-Mar-2010,9.77,10.1,9.77,10.1,119200,NASDAQ
CCRN,08-Mar-2010,10.13,10.13,9.49,9.73,253300,NASDAQ
CCRN,09-Mar-2010,9.72,9.95,9.54,9.72,77000,NASDAQ
CCRN,10-Mar-2010,9.69,10.02,9.69,9.89,63200,NASDAQ
CCRN,11-Mar-2010,9.79,9.95,9.69,9.83,47100,NASDAQ
CCRN,12-Mar-2010,9.85,9.85,9.54,9.79,41100,NASDAQ
CCRN,15-Mar-2010,9.75,9.75,9.5,9.65,49600,NASDAQ
CCRN,16-Mar-2010,9.66,9.74,9.58,9.74,21800,NASDAQ
CCRN,17-Mar-2010,9.73,9.99,9.65,9.83,34400,NASDAQ
CCRN,18-Mar-2010,9.63,9.93,9.63,9.81,20700,NASDAQ
CCRN,19-Mar-2010,9.88,10.41,9.48,10.4,304100,NASDAQ
CCRN,22-Mar-2010,10.28,10.83,10.03,10.79,103000,NASDAQ
CCRN,23-Mar-2010,10.83,10.83,10.26,10.57,86800,NASDAQ
CCRN,24-Mar-2010,10.53,10.63,10.17,10.23,174900,NASDAQ
CCRN,25-Mar-2010,10.28,10.47,10.05,10.15,79500,NASDAQ
CCRN,26-Mar-2010,10.17,10.35,10.06,10.15,59600,NASDAQ
CCRN,29-Mar-2010,10.2,10.31,10.06,10.25,81600,NASDAQ
CCRN,30-Mar-2010,10.3,10.44,10.14,10.41,120400,NASDAQ
CCRN,31-Mar-2010,10.34,10.49,10.07,10.11,243600,NASDAQ
CCRN,01-Apr-2010,10.16,10.22,9.68,10.01,106500,NASDAQ
CCRN,05-Apr-2010,10.03,10.26,9.99,10.26,43100,NASDAQ
CCRN,06-Apr-2010,10.16,10.61,10.07,10.31,107900,NASDAQ
CCRN,07-Apr-2010,10.27,10.66,10.26,10.43,109600,NASDAQ
CCRN,08-Apr-2010,10.37,10.73,10.32,10.52,91900,NASDAQ
CCRN,09-Apr-2010,10.49,10.51,10.0,10.07,68400,NASDAQ
CCRN,12-Apr-2010,10.04,10.23,10.02,10.08,69500,NASDAQ
CCRN,13-Apr-2010,10.09,10.11,9.89,10.08,31900,NASDAQ
CCRN,14-Apr-2010,10.1,10.4,10.01,10.39,38500,NASDAQ
CCRN,15-Apr-2010,10.41,10.58,10.41,10.48,46700,NASDAQ
CCRN,16-Apr-2010,10.47,10.61,10.31,10.34,94900,NASDAQ
CCRN,19-Apr-2010,10.31,10.52,10.01,10.22,63900,NASDAQ
CCRN,20-Apr-2010,10.3,10.3,10.05,10.29,99900,NASDAQ
CCRN,21-Apr-2010,10.34,10.44,10.02,10.43,94700,NASDAQ
CCRN,22-Apr-2010,10.3,10.84,10.22,10.78,67800,NASDAQ
CCRN,23-Apr-2010,10.76,10.76,10.4,10.47,119400,NASDAQ
CCRN,26-Apr-2010,10.42,10.55,10.29,10.4,73700,NASDAQ
CCRN,27-Apr-2010,10.37,11.0,10.36,10.54,69900,NASDAQ
CCRN,28-Apr-2010,10.65,10.99,10.57,10.79,36100,NASDAQ
CCRN,29-Apr-2010,10.87,11.03,10.55,10.99,77800,NASDAQ
CCRN,30-Apr-2010,10.96,10.96,10.02,10.02,125400,NASDAQ
CCRN,03-May-2010,10.06,10.24,9.54,10.23,103900,NASDAQ
CCRN,04-May-2010,10.09,10.09,9.77,9.89,71600,NASDAQ
CCRN,05-May-2010,9.8,10.02,9.62,9.67,76200,NASDAQ
CCRN,06-May-2010,9.62,9.9,8.26,9.17,123000,NASDAQ
CCRN,07-May-2010,9.16,9.42,8.72,8.91,130800,NASDAQ
CCRN,10-May-2010,9.28,9.28,8.98,9.21,124300,NASDAQ
CCRN,11-May-2010,9.09,9.32,8.97,9.21,68100,NASDAQ
CCRN,12-May-2010,9.25,9.86,9.22,9.84,71600,NASDAQ
CCRN,13-May-2010,9.77,10.1,9.69,9.87,76100,NASDAQ
CCRN,14-May-2010,9.77,9.77,9.28,9.52,81300,NASDAQ
CCRN,17-May-2010,9.58,10.24,9.44,10.17,89200,NASDAQ
CCRN,18-May-2010,10.34,10.5,9.82,9.9,86300,NASDAQ
CCRN,19-May-2010,9.89,10.07,9.75,9.85,94200,NASDAQ
CCRN,20-May-2010,9.55,9.74,9.16,9.23,239800,NASDAQ
CCRN,21-May-2010,9.02,9.03,8.63,8.86,149200,NASDAQ
CCRN,24-May-2010,8.84,9.03,8.7,8.81,60000,NASDAQ
CCRN,25-May-2010,8.57,8.66,8.3,8.4,68400,NASDAQ
CCRN,26-May-2010,8.46,8.65,8.24,8.3,108800,NASDAQ
CCRN,27-May-2010,8.53,8.86,8.36,8.83,131400,NASDAQ
CCRN,28-May-2010,8.82,8.82,8.48,8.51,77400,NASDAQ
CCRN,01-Jun-2010,8.39,8.55,8.05,8.09,103500,NASDAQ
CCRN,02-Jun-2010,8.12,8.62,8.01,8.42,107500,NASDAQ
CCRN,03-Jun-2010,8.3,8.62,8.15,8.59,169500,NASDAQ
CCRN,04-Jun-2010,8.29,8.42,7.73,7.77,129000,NASDAQ
CCRN,07-Jun-2010,7.8,8.03,7.65,7.87,139800,NASDAQ
CCRN,08-Jun-2010,7.94,7.99,7.65,7.79,104500,NASDAQ
CCRN,09-Jun-2010,7.9,7.9,7.56,7.66,104800,NASDAQ
CCRN,10-Jun-2010,7.79,8.0,7.52,7.98,70300,NASDAQ
CCRN,11-Jun-2010,7.87,8.1,7.79,8.09,47200,NASDAQ
CCRN,14-Jun-2010,8.18,8.35,7.89,8.0,67000,NASDAQ
CCRN,15-Jun-2010,8.09,8.46,7.91,8.42,79200,NASDAQ
CCRN,16-Jun-2010,8.34,8.52,8.28,8.37,45800,NASDAQ
CCRN,17-Jun-2010,8.45,8.61,8.15,8.5,323800,NASDAQ
CCRN,18-Jun-2010,8.57,8.75,8.21,8.71,165700,NASDAQ
CCRN,21-Jun-2010,8.86,9.26,8.74,8.84,93700,NASDAQ
CCRN,22-Jun-2010,8.9,9.13,8.5,8.54,58100,NASDAQ
CCRN,23-Jun-2010,8.5,8.85,8.36,8.58,55000,NASDAQ
CCRN,24-Jun-2010,8.5,8.97,8.5,8.73,58800,NASDAQ
CCRN,25-Jun-2010,8.81,9.39,8.78,9.36,344900,NASDAQ
CCRN,28-Jun-2010,9.38,9.63,8.91,9.53,79900,NASDAQ
CCRN,29-Jun-2010,9.32,9.46,9.12,9.23,131200,NASDAQ
CCRN,30-Jun-2010,9.25,9.38,8.96,8.99,121600,NASDAQ
CCRN,01-Jul-2010,9.04,9.06,8.55,8.66,88300,NASDAQ
CCRN,02-Jul-2010,8.77,8.77,8.42,8.47,71700,NASDAQ
CCRN,06-Jul-2010,8.64,8.75,8.28,8.34,86000,NASDAQ
CCRN,07-Jul-2010,8.38,8.57,8.11,8.5,128100,NASDAQ
CCRN,08-Jul-2010,8.6,8.78,8.37,8.74,148200,NASDAQ
CCRN,09-Jul-2010,8.72,8.77,8.52,8.63,72700,NASDAQ
CCRN,12-Jul-2010,8.6,8.66,8.38,8.41,46500,NASDAQ
CCRN,13-Jul-2010,8.58,8.84,8.47,8.78,125500,NASDAQ
CCRN,14-Jul-2010,8.71,9.01,8.7,8.77,42100,NASDAQ
CCRN,15-Jul-2010,8.96,9.01,8.53,8.79,63800,NASDAQ
CCRN,16-Jul-2010,8.68,8.68,7.92,7.94,121300,NASDAQ
CCRN,19-Jul-2010,7.95,8.0,7.68,7.86,92300,NASDAQ
CCRN,20-Jul-2010,7.73,8.12,7.65,8.1,92300,NASDAQ
CCRN,21-Jul-2010,8.16,8.25,7.88,7.9,77000,NASDAQ
CCRN,22-Jul-2010,8.06,8.9,8.0,8.74,120500,NASDAQ
CCRN,23-Jul-2010,8.67,9.43,8.67,9.4,87200,NASDAQ
CCRN,26-Jul-2010,9.46,9.58,9.06,9.17,113000,NASDAQ
CCRN,27-Jul-2010,9.27,9.31,8.84,8.86,104700,NASDAQ
CCRN,28-Jul-2010,8.86,8.88,8.6,8.72,128100,NASDAQ
CCRN,29-Jul-2010,8.79,9.03,8.68,8.92,91400,NASDAQ
CCRN,30-Jul-2010,8.74,8.98,8.67,8.88,222500,NASDAQ
CCRN,02-Aug-2010,9.02,9.24,8.8,8.99,175600,NASDAQ
CCRN,03-Aug-2010,8.92,9.3,8.88,8.96,40600,NASDAQ
CCRN,04-Aug-2010,9.05,9.86,9.05,9.67,84600,NASDAQ
CCRN,05-Aug-2010,9.2,9.2,8.26,8.56,161200,NASDAQ
CCRN,06-Aug-2010,8.38,8.46,7.97,8.29,79600,NASDAQ
CCRN,09-Aug-2010,8.38,8.75,8.31,8.67,81700,NASDAQ
CCRN,10-Aug-2010,8.53,8.53,8.25,8.27,81300,NASDAQ
CCRN,11-Aug-2010,8.06,8.16,7.69,7.71,112300,NASDAQ
CCRN,12-Aug-2010,7.55,8.33,7.55,8.15,97800,NASDAQ
CCRN,13-Aug-2010,8.11,8.11,7.65,7.79,75700,NASDAQ
CCRN,16-Aug-2010,7.72,8.44,7.72,8.38,102700,NASDAQ
CCRN,17-Aug-2010,8.45,8.77,8.34,8.41,97800,NASDAQ
CCRN,18-Aug-2010,8.42,8.44,8.18,8.28,44500,NASDAQ
CCRN,19-Aug-2010,8.22,8.3,7.68,7.75,132600,NASDAQ
CCRN,20-Aug-2010,7.71,7.92,7.33,7.62,116200,NASDAQ
CCRN,23-Aug-2010,7.66,7.74,7.36,7.39,65000,NASDAQ
CCRN,24-Aug-2010,7.24,7.45,7.14,7.24,56700,NASDAQ
CCRN,25-Aug-2010,7.16,7.53,7.03,7.51,61800,NASDAQ
CCRN,26-Aug-2010,7.53,7.63,7.24,7.34,46800,NASDAQ
CCRN,27-Aug-2010,7.47,7.81,7.15,7.76,105600,NASDAQ
CCRN,30-Aug-2010,7.73,7.73,7.28,7.29,60800,NASDAQ
CCRN,31-Aug-2010,7.29,7.56,7.23,7.42,90500,NASDAQ
CCRN,01-Sep-2010,7.57,7.85,7.52,7.79,200300,NASDAQ
CCRN,02-Sep-2010,7.75,7.75,7.46,7.57,79600,NASDAQ
CCRN,03-Sep-2010,7.68,7.82,7.47,7.8,84900,NASDAQ
CCRN,07-Sep-2010,7.77,7.77,7.29,7.31,66100,NASDAQ
CCRN,08-Sep-2010,7.33,7.51,7.29,7.41,79800,NASDAQ
CCRN,09-Sep-2010,7.54,7.65,7.23,7.31,48800,NASDAQ
CCRN,10-Sep-2010,7.38,7.54,7.28,7.46,38000,NASDAQ
CCRN,13-Sep-2010,7.53,7.87,7.53,7.69,77200,NASDAQ
CCRN,14-Sep-2010,7.64,7.86,7.61,7.67,52000,NASDAQ
CCRN,15-Sep-2010,7.65,7.81,7.57,7.7,74800,NASDAQ
CCRN,16-Sep-2010,7.71,7.72,7.35,7.42,53500,NASDAQ
CCRN,17-Sep-2010,7.53,7.65,7.2,7.49,136000,NASDAQ
CCRN,20-Sep-2010,7.49,7.64,7.37,7.61,137000,NASDAQ
CCRN,21-Sep-2010,7.58,7.66,7.49,7.55,47100,NASDAQ
CCRN,22-Sep-2010,7.49,7.5,7.33,7.48,44300,NASDAQ
CCRN,23-Sep-2010,7.39,7.53,7.14,7.15,54000,NASDAQ
CCRN,24-Sep-2010,7.29,7.53,7.14,7.45,112800,NASDAQ
CCRN,27-Sep-2010,7.45,7.45,7.22,7.24,30600,NASDAQ
CCRN,28-Sep-2010,7.28,7.37,6.96,7.12,100100,NASDAQ
CCRN,29-Sep-2010,7.07,7.15,6.96,7.09,83900,NASDAQ
CCRN,30-Sep-2010,7.17,7.27,6.92,7.19,116500,NASDAQ
CCRN,01-Oct-2010,7.28,7.28,6.96,7.13,76900,NASDAQ
CCRN,04-Oct-2010,7.1,7.14,6.63,6.63,57400,NASDAQ
CCRN,05-Oct-2010,6.72,7.21,6.65,7.11,134100,NASDAQ
