name,date,open_price,close_price,high_price,low_price,volume,market
CHNR,04-Jan-2010,11.92,11.98,11.9,11.91,10500,NASDAQ
CHNR,05-Jan-2010,11.98,13.3,11.92,13.09,135000,NASDAQ
CHNR,06-Jan-2010,13.2,13.3,13.0,13.0,38500,NASDAQ
CHNR,07-Jan-2010,13.0,13.19,12.9,12.9,19300,NASDAQ
CHNR,08-Jan-2010,12.95,13.25,12.91,13.06,20900,NASDAQ
CHNR,11-Jan-2010,13.06,14.98,13.06,14.93,149800,NASDAQ
CHNR,12-Jan-2010,14.82,14.82,13.5,13.75,100900,NASDAQ
CHNR,13-Jan-2010,13.97,14.3,13.65,14.09,28500,NASDAQ
CHNR,14-Jan-2010,14.11,14.82,14.09,14.54,32500,NASDAQ
CHNR,15-Jan-2010,14.4,14.8,13.9,13.9,25200,NASDAQ
CHNR,19-Jan-2010,13.7,13.85,12.97,13.11,44900,NASDAQ
CHNR,20-Jan-2010,13.19,13.19,11.85,12.2,111100,NASDAQ
CHNR,21-Jan-2010,12.06,12.2,11.5,11.52,56500,NASDAQ
CHNR,22-Jan-2010,11.31,12.41,11.31,11.95,61900,NASDAQ
CHNR,25-Jan-2010,12.2,12.63,11.98,11.98,41400,NASDAQ
CHNR,26-Jan-2010,11.69,12.73,11.33,12.27,44700,NASDAQ
CHNR,27-Jan-2010,12.07,12.93,12.07,12.54,10100,NASDAQ
CHNR,28-Jan-2010,12.46,12.76,12.18,12.36,13100,NASDAQ
CHNR,29-Jan-2010,12.7,12.72,12.0,12.0,13100,NASDAQ
CHNR,01-Feb-2010,12.0,12.0,11.3,11.81,30400,NASDAQ
CHNR,02-Feb-2010,11.65,11.97,11.41,11.8,6900,NASDAQ
CHNR,03-Feb-2010,11.72,11.72,11.61,11.66,500,NASDAQ
CHNR,04-Feb-2010,11.51,11.6,11.07,11.07,15600,NASDAQ
CHNR,05-Feb-2010,11.07,11.2,10.95,11.15,9500,NASDAQ
CHNR,08-Feb-2010,10.96,10.99,10.62,10.91,28800,NASDAQ
CHNR,09-Feb-2010,11.02,11.16,10.93,10.93,5200,NASDAQ
CHNR,10-Feb-2010,11.13,11.68,10.95,11.53,11600,NASDAQ
CHNR,11-Feb-2010,11.75,11.77,11.61,11.69,5600,NASDAQ
CHNR,12-Feb-2010,11.46,12.15,11.46,11.97,16200,NASDAQ
CHNR,16-Feb-2010,12.27,12.28,12.04,12.25,2800,NASDAQ
CHNR,17-Feb-2010,12.25,12.25,11.98,11.98,10800,NASDAQ
CHNR,18-Feb-2010,11.86,11.98,11.65,11.98,6700,NASDAQ
CHNR,19-Feb-2010,11.75,12.0,11.74,11.8,8100,NASDAQ
CHNR,22-Feb-2010,11.89,12.19,11.88,12.05,14200,NASDAQ
CHNR,23-Feb-2010,12.0,12.0,11.78,11.98,5300,NASDAQ
CHNR,24-Feb-2010,12.0,12.33,12.0,12.14,9600,NASDAQ
CHNR,25-Feb-2010,12.0,12.3,11.89,12.06,11000,NASDAQ
CHNR,26-Feb-2010,12.3,12.3,12.11,12.11,1400,NASDAQ
CHNR,01-Mar-2010,12.28,12.33,12.0,12.17,5400,NASDAQ
CHNR,02-Mar-2010,12.34,12.34,11.99,11.99,2100,NASDAQ
CHNR,03-Mar-2010,12.09,12.25,12.07,12.2,3000,NASDAQ
CHNR,04-Mar-2010,12.19,12.19,12.0,12.0,3800,NASDAQ
CHNR,05-Mar-2010,12.0,13.28,12.0,13.06,49500,NASDAQ
CHNR,08-Mar-2010,13.1,13.42,12.38,12.38,27600,NASDAQ
CHNR,09-Mar-2010,12.32,12.65,12.22,12.35,18700,NASDAQ
CHNR,10-Mar-2010,12.21,12.44,12.03,12.03,15200,NASDAQ
CHNR,11-Mar-2010,12.01,12.35,12.0,12.12,17800,NASDAQ
CHNR,12-Mar-2010,12.12,12.2,12.0,12.0,3400,NASDAQ
CHNR,15-Mar-2010,12.01,12.01,11.8,11.92,10700,NASDAQ
CHNR,16-Mar-2010,11.9,12.15,11.9,11.91,4200,NASDAQ
CHNR,17-Mar-2010,11.97,12.21,11.95,12.07,7900,NASDAQ
CHNR,18-Mar-2010,12.07,12.2,12.07,12.16,6400,NASDAQ
CHNR,19-Mar-2010,12.2,12.2,11.95,12.04,3800,NASDAQ
CHNR,22-Mar-2010,11.9,12.22,11.9,11.91,7000,NASDAQ
CHNR,23-Mar-2010,12.12,12.17,11.99,11.99,9100,NASDAQ
CHNR,24-Mar-2010,12.09,12.3,12.05,12.3,4100,NASDAQ
CHNR,25-Mar-2010,12.19,12.19,12.04,12.05,3300,NASDAQ
CHNR,26-Mar-2010,12.04,12.19,11.9,11.93,7700,NASDAQ
CHNR,29-Mar-2010,12.3,12.3,11.95,12.02,5800,NASDAQ
CHNR,30-Mar-2010,11.95,12.24,11.9,12.24,6700,NASDAQ
CHNR,31-Mar-2010,12.07,12.21,12.07,12.14,900,NASDAQ
CHNR,01-Apr-2010,12.12,12.25,11.84,11.84,2600,NASDAQ
CHNR,05-Apr-2010,11.86,12.2,11.84,12.12,4100,NASDAQ
CHNR,06-Apr-2010,12.06,12.1,12.01,12.1,1900,NASDAQ
CHNR,07-Apr-2010,12.18,12.66,12.08,12.36,32500,NASDAQ
CHNR,08-Apr-2010,12.36,12.36,12.1,12.1,4800,NASDAQ
CHNR,09-Apr-2010,12.1,12.2,12.08,12.17,6000,NASDAQ
