name,date,open_price,close_price,high_price,low_price,volume,market
COBZ,04-Jan-2010,4.8,4.83,4.55,4.65,175100,NASDAQ
COBZ,05-Jan-2010,4.66,4.68,4.45,4.45,172200,NASDAQ
COBZ,06-Jan-2010,4.46,4.52,4.31,4.35,143400,NASDAQ
COBZ,07-Jan-2010,4.35,4.49,4.35,4.48,67100,NASDAQ
COBZ,08-Jan-2010,4.45,4.49,4.4,4.47,29400,NASDAQ
COBZ,11-Jan-2010,4.49,4.5,4.33,4.35,70800,NASDAQ
COBZ,12-Jan-2010,4.32,4.33,4.25,4.28,79100,NASDAQ
COBZ,13-Jan-2010,4.31,4.42,4.29,4.41,80200,NASDAQ
COBZ,14-Jan-2010,4.41,4.59,4.38,4.59,67700,NASDAQ
COBZ,15-Jan-2010,4.6,4.64,4.38,4.4,102200,NASDAQ
COBZ,19-Jan-2010,4.39,4.63,4.38,4.57,165200,NASDAQ
COBZ,20-Jan-2010,4.51,4.6,4.45,4.5,61500,NASDAQ
COBZ,21-Jan-2010,4.5,4.65,4.45,4.62,119300,NASDAQ
COBZ,22-Jan-2010,4.58,4.95,4.48,4.85,362400,NASDAQ
COBZ,25-Jan-2010,4.85,4.93,4.73,4.91,92100,NASDAQ
COBZ,26-Jan-2010,4.87,5.0,4.85,4.94,145600,NASDAQ
COBZ,27-Jan-2010,4.95,5.07,4.92,5.04,101400,NASDAQ
COBZ,28-Jan-2010,5.07,5.12,4.95,5.1,286500,NASDAQ
COBZ,29-Jan-2010,5.2,5.4,5.0,5.34,386900,NASDAQ
COBZ,01-Feb-2010,5.34,5.54,5.32,5.49,232900,NASDAQ
COBZ,02-Feb-2010,5.5,5.58,5.42,5.51,115900,NASDAQ
COBZ,03-Feb-2010,5.5,5.54,5.39,5.46,98700,NASDAQ
COBZ,04-Feb-2010,5.41,5.41,5.24,5.29,175300,NASDAQ
COBZ,05-Feb-2010,5.29,5.43,5.19,5.39,241600,NASDAQ
COBZ,08-Feb-2010,5.4,5.4,5.25,5.32,131300,NASDAQ
COBZ,09-Feb-2010,5.4,5.4,5.29,5.35,69900,NASDAQ
COBZ,10-Feb-2010,5.32,5.41,5.25,5.38,110800,NASDAQ
COBZ,11-Feb-2010,5.35,5.49,5.3,5.49,153400,NASDAQ
COBZ,12-Feb-2010,5.43,5.57,5.43,5.56,124000,NASDAQ
COBZ,16-Feb-2010,5.57,5.95,5.55,5.9,116400,NASDAQ
COBZ,17-Feb-2010,5.88,6.09,5.74,5.84,183100,NASDAQ
COBZ,18-Feb-2010,5.84,6.12,5.7,6.07,194300,NASDAQ
COBZ,19-Feb-2010,6.07,6.16,5.9,6.01,205200,NASDAQ
COBZ,22-Feb-2010,6.03,6.12,5.91,6.0,680700,NASDAQ
COBZ,23-Feb-2010,6.0,6.0,5.79,6.0,120200,NASDAQ
COBZ,24-Feb-2010,6.01,6.03,5.96,5.99,68100,NASDAQ
COBZ,25-Feb-2010,5.88,5.92,5.76,5.91,77300,NASDAQ
COBZ,26-Feb-2010,5.9,5.95,5.85,5.91,184800,NASDAQ
COBZ,01-Mar-2010,5.94,6.17,5.93,6.16,263300,NASDAQ
COBZ,02-Mar-2010,6.18,6.33,6.11,6.25,176700,NASDAQ
COBZ,03-Mar-2010,6.28,6.36,6.15,6.24,139000,NASDAQ
COBZ,04-Mar-2010,6.21,6.26,6.15,6.18,75100,NASDAQ
COBZ,05-Mar-2010,6.2,6.34,6.16,6.32,221500,NASDAQ
COBZ,08-Mar-2010,6.32,6.43,6.3,6.38,149600,NASDAQ
COBZ,09-Mar-2010,6.37,6.49,6.12,6.47,368600,NASDAQ
COBZ,10-Mar-2010,6.47,6.53,6.4,6.49,372500,NASDAQ
COBZ,11-Mar-2010,6.43,6.46,6.36,6.36,160100,NASDAQ
COBZ,12-Mar-2010,6.41,6.43,6.28,6.29,58000,NASDAQ
COBZ,15-Mar-2010,6.3,6.3,6.01,6.06,66400,NASDAQ
COBZ,16-Mar-2010,6.07,6.35,5.75,6.35,124400,NASDAQ
COBZ,17-Mar-2010,6.39,6.57,6.33,6.46,378100,NASDAQ
COBZ,18-Mar-2010,6.49,6.5,6.32,6.34,106500,NASDAQ
COBZ,19-Mar-2010,6.35,6.4,6.09,6.4,304100,NASDAQ
COBZ,22-Mar-2010,6.33,6.42,6.3,6.32,103600,NASDAQ
COBZ,23-Mar-2010,6.3,6.5,6.23,6.45,149300,NASDAQ
COBZ,24-Mar-2010,6.43,6.44,6.26,6.31,222900,NASDAQ
COBZ,25-Mar-2010,6.34,6.36,6.19,6.21,153900,NASDAQ
COBZ,26-Mar-2010,6.22,6.33,6.01,6.04,118700,NASDAQ
COBZ,29-Mar-2010,6.08,6.17,5.95,6.03,122500,NASDAQ
COBZ,30-Mar-2010,6.36,6.6,6.05,6.07,280000,NASDAQ
COBZ,31-Mar-2010,6.07,6.26,6.05,6.23,212900,NASDAQ
COBZ,01-Apr-2010,6.25,6.48,6.12,6.17,134300,NASDAQ
COBZ,05-Apr-2010,6.23,6.36,6.18,6.34,108300,NASDAQ
COBZ,06-Apr-2010,6.3,6.88,6.15,6.41,280100,NASDAQ
COBZ,07-Apr-2010,6.38,6.5,6.34,6.37,168700,NASDAQ
COBZ,08-Apr-2010,6.33,6.42,6.32,6.38,219600,NASDAQ
COBZ,09-Apr-2010,6.38,6.44,6.32,6.36,80400,NASDAQ
COBZ,12-Apr-2010,6.39,6.76,6.31,6.71,355300,NASDAQ
COBZ,13-Apr-2010,6.65,6.68,6.48,6.54,95100,NASDAQ
COBZ,14-Apr-2010,6.59,6.86,6.55,6.85,276000,NASDAQ
COBZ,15-Apr-2010,6.83,7.05,6.78,7.0,205400,NASDAQ
COBZ,16-Apr-2010,6.99,6.99,6.65,6.82,356600,NASDAQ
COBZ,19-Apr-2010,6.82,6.92,6.77,6.84,214400,NASDAQ
COBZ,20-Apr-2010,6.87,7.02,6.83,6.94,84300,NASDAQ
COBZ,21-Apr-2010,6.96,7.17,6.89,7.15,120300,NASDAQ
COBZ,22-Apr-2010,7.05,7.3,7.04,7.13,136900,NASDAQ
COBZ,23-Apr-2010,7.06,7.86,6.6,7.76,374900,NASDAQ
COBZ,26-Apr-2010,7.84,8.29,7.39,7.4,208500,NASDAQ
