name,date,open_price,close_price,high_price,low_price,volume,market
COGT,04-Jan-2010,10.47,10.6,10.26,10.32,984900,NASDAQ
COGT,05-Jan-2010,10.36,10.48,10.12,10.28,534600,NASDAQ
COGT,06-Jan-2010,10.72,10.75,10.55,10.72,1031700,NASDAQ
COGT,07-Jan-2010,10.75,10.75,10.54,10.57,558300,NASDAQ
COGT,08-Jan-2010,10.51,10.73,10.5,10.7,779600,NASDAQ
COGT,11-Jan-2010,10.78,10.78,10.5,10.6,485100,NASDAQ
COGT,12-Jan-2010,10.58,10.61,10.38,10.47,363600,NASDAQ
COGT,13-Jan-2010,10.51,10.64,10.44,10.57,415100,NASDAQ
COGT,14-Jan-2010,10.59,10.65,10.51,10.63,334000,NASDAQ
COGT,15-Jan-2010,10.68,10.73,10.44,10.51,724100,NASDAQ
COGT,19-Jan-2010,10.51,10.75,10.5,10.73,578300,NASDAQ
COGT,20-Jan-2010,10.69,10.98,10.63,10.95,764100,NASDAQ
COGT,21-Jan-2010,10.99,11.33,10.78,11.29,1305900,NASDAQ
COGT,22-Jan-2010,11.23,11.26,10.93,10.97,759000,NASDAQ
COGT,25-Jan-2010,11.02,11.08,10.81,10.97,586100,NASDAQ
COGT,26-Jan-2010,10.98,10.98,10.66,10.67,551400,NASDAQ
COGT,27-Jan-2010,10.66,10.7,10.55,10.69,512700,NASDAQ
COGT,28-Jan-2010,10.67,10.67,10.28,10.35,717100,NASDAQ
COGT,29-Jan-2010,10.35,10.52,10.28,10.33,531200,NASDAQ
COGT,01-Feb-2010,9.94,10.44,9.76,10.29,2463700,NASDAQ
COGT,02-Feb-2010,10.26,10.37,10.08,10.29,805900,NASDAQ
COGT,03-Feb-2010,10.31,10.51,10.17,10.43,605900,NASDAQ
COGT,04-Feb-2010,10.35,10.53,10.33,10.48,1013700,NASDAQ
COGT,05-Feb-2010,10.5,10.58,10.42,10.49,843300,NASDAQ
COGT,08-Feb-2010,10.48,10.63,10.39,10.41,663200,NASDAQ
COGT,09-Feb-2010,10.45,10.45,10.04,10.24,751200,NASDAQ
COGT,10-Feb-2010,10.19,10.22,10.02,10.1,495900,NASDAQ
COGT,11-Feb-2010,10.05,10.1,9.9,10.06,499500,NASDAQ
COGT,12-Feb-2010,10.02,10.16,9.98,10.16,818800,NASDAQ
COGT,16-Feb-2010,10.23,10.23,10.07,10.13,495800,NASDAQ
COGT,17-Feb-2010,10.18,10.24,9.91,10.15,328200,NASDAQ
COGT,18-Feb-2010,10.11,10.17,9.95,10.03,909500,NASDAQ
COGT,19-Feb-2010,10.03,10.3,10.01,10.27,413300,NASDAQ
COGT,22-Feb-2010,10.26,10.38,10.26,10.3,342300,NASDAQ
COGT,23-Feb-2010,10.35,10.54,10.17,10.3,718300,NASDAQ
COGT,24-Feb-2010,10.34,10.42,10.24,10.35,581600,NASDAQ
COGT,25-Feb-2010,10.25,10.46,10.16,10.44,492000,NASDAQ
COGT,26-Feb-2010,9.76,10.17,9.76,9.9,1980900,NASDAQ
COGT,01-Mar-2010,9.95,10.06,9.76,9.96,1072800,NASDAQ
COGT,02-Mar-2010,9.99,10.04,9.89,9.96,653900,NASDAQ
COGT,03-Mar-2010,10.0,10.06,9.79,9.83,663600,NASDAQ
COGT,04-Mar-2010,9.87,10.1,9.86,10.1,440900,NASDAQ
COGT,05-Mar-2010,10.1,10.45,10.1,10.27,723500,NASDAQ
COGT,08-Mar-2010,10.35,10.45,10.24,10.34,358700,NASDAQ
COGT,09-Mar-2010,10.29,10.49,10.29,10.45,659000,NASDAQ
COGT,10-Mar-2010,10.48,10.6,10.35,10.51,900500,NASDAQ
COGT,11-Mar-2010,10.49,10.67,10.43,10.63,543500,NASDAQ
COGT,12-Mar-2010,10.63,10.73,10.54,10.61,257500,NASDAQ
COGT,15-Mar-2010,10.63,10.66,10.45,10.49,384000,NASDAQ
COGT,16-Mar-2010,10.51,10.51,10.25,10.35,654700,NASDAQ
COGT,17-Mar-2010,10.38,10.41,10.29,10.32,543700,NASDAQ
COGT,18-Mar-2010,10.31,10.39,10.26,10.32,354900,NASDAQ
COGT,19-Mar-2010,10.37,10.37,10.16,10.35,738800,NASDAQ
COGT,22-Mar-2010,10.26,10.55,10.2,10.54,452800,NASDAQ
COGT,23-Mar-2010,10.56,10.56,10.3,10.37,446300,NASDAQ
COGT,24-Mar-2010,10.32,10.39,10.24,10.26,316600,NASDAQ
COGT,25-Mar-2010,10.29,10.35,10.18,10.19,205800,NASDAQ
COGT,26-Mar-2010,10.24,10.25,10.18,10.23,270000,NASDAQ
COGT,29-Mar-2010,10.25,10.32,10.1,10.16,398900,NASDAQ
COGT,30-Mar-2010,10.14,10.34,10.14,10.2,279500,NASDAQ
COGT,31-Mar-2010,10.2,10.31,10.12,10.2,493900,NASDAQ
COGT,01-Apr-2010,10.18,10.28,10.08,10.23,444100,NASDAQ
COGT,05-Apr-2010,10.31,10.48,10.23,10.48,1300400,NASDAQ
COGT,06-Apr-2010,10.48,10.54,10.39,10.52,592600,NASDAQ
COGT,07-Apr-2010,10.52,10.61,10.35,10.42,470300,NASDAQ
COGT,08-Apr-2010,10.42,10.6,10.4,10.47,277700,NASDAQ
COGT,09-Apr-2010,10.46,10.53,10.38,10.49,467900,NASDAQ
COGT,12-Apr-2010,10.46,10.46,10.24,10.32,1055700,NASDAQ
COGT,13-Apr-2010,10.28,10.37,10.2,10.32,382200,NASDAQ
COGT,14-Apr-2010,10.36,10.37,10.25,10.28,756000,NASDAQ
COGT,15-Apr-2010,10.28,10.42,10.24,10.29,768000,NASDAQ
COGT,16-Apr-2010,10.3,10.39,10.15,10.21,842100,NASDAQ
COGT,19-Apr-2010,10.18,10.23,10.1,10.18,552400,NASDAQ
COGT,20-Apr-2010,10.22,10.32,10.2,10.32,793300,NASDAQ
COGT,21-Apr-2010,10.36,10.47,10.29,10.34,466800,NASDAQ
COGT,22-Apr-2010,10.27,10.52,10.26,10.52,711000,NASDAQ
COGT,23-Apr-2010,10.52,10.63,10.41,10.5,822000,NASDAQ
COGT,26-Apr-2010,10.52,10.61,10.4,10.61,669600,NASDAQ
COGT,27-Apr-2010,10.61,10.68,10.37,10.4,410000,NASDAQ
COGT,28-Apr-2010,10.4,10.57,10.3,10.38,349900,NASDAQ
