name,date,open_price,close_price,high_price,low_price,volume,market
COHR,04-Jan-2010,29.99,30.15,29.73,29.9,306700,NASDAQ
COHR,05-Jan-2010,29.75,30.11,29.74,29.85,205600,NASDAQ
COHR,06-Jan-2010,29.66,29.91,29.52,29.73,148000,NASDAQ
COHR,07-Jan-2010,29.69,29.88,29.16,29.21,306900,NASDAQ
COHR,08-Jan-2010,29.04,29.09,28.68,28.98,206000,NASDAQ
COHR,11-Jan-2010,28.98,29.0,28.34,28.8,106200,NASDAQ
COHR,12-Jan-2010,28.56,28.94,28.56,28.74,120400,NASDAQ
COHR,13-Jan-2010,28.91,28.97,28.71,28.84,67900,NASDAQ
COHR,14-Jan-2010,28.68,29.58,28.67,29.25,125800,NASDAQ
COHR,15-Jan-2010,29.44,29.44,28.73,29.0,240800,NASDAQ
COHR,19-Jan-2010,29.14,29.66,28.26,29.27,60000,NASDAQ
COHR,20-Jan-2010,29.01,29.32,28.44,29.02,79400,NASDAQ
COHR,21-Jan-2010,29.12,29.27,28.37,28.83,141800,NASDAQ
COHR,22-Jan-2010,28.83,28.83,27.66,27.7,78900,NASDAQ
COHR,25-Jan-2010,27.83,27.83,27.09,27.17,204400,NASDAQ
COHR,26-Jan-2010,27.13,27.15,26.18,26.35,172400,NASDAQ
COHR,27-Jan-2010,26.31,26.81,26.09,26.73,177100,NASDAQ
COHR,28-Jan-2010,26.75,26.76,25.86,26.73,328600,NASDAQ
COHR,29-Jan-2010,27.91,29.94,27.25,29.68,1125300,NASDAQ
COHR,01-Feb-2010,29.7,29.8,29.23,29.72,345800,NASDAQ
COHR,02-Feb-2010,29.93,30.78,29.51,30.22,481200,NASDAQ
COHR,03-Feb-2010,30.2,30.71,29.57,30.68,429300,NASDAQ
COHR,04-Feb-2010,30.26,30.96,30.05,30.05,340600,NASDAQ
COHR,05-Feb-2010,30.02,30.41,29.52,29.77,364800,NASDAQ
COHR,08-Feb-2010,29.9,29.9,28.89,29.39,306900,NASDAQ
