name,date,open_price,close_price,high_price,low_price,volume,market
COLB,04-Jan-2010,16.29,16.68,16.11,16.61,125800,NASDAQ
COLB,05-Jan-2010,16.62,16.73,16.09,16.11,197200,NASDAQ
COLB,06-Jan-2010,16.03,16.68,16.03,16.55,299200,NASDAQ
COLB,07-Jan-2010,16.48,17.57,16.48,17.56,469800,NASDAQ
COLB,08-Jan-2010,17.52,18.89,17.14,18.78,434200,NASDAQ
COLB,11-Jan-2010,18.89,18.89,18.74,18.82,217700,NASDAQ
COLB,12-Jan-2010,18.79,18.93,18.46,18.58,196500,NASDAQ
COLB,13-Jan-2010,18.64,18.66,17.81,17.84,637700,NASDAQ
COLB,14-Jan-2010,17.76,18.81,17.67,18.61,133700,NASDAQ
COLB,15-Jan-2010,18.64,18.64,17.77,18.35,209100,NASDAQ
COLB,19-Jan-2010,18.4,19.02,18.34,18.84,168200,NASDAQ
COLB,20-Jan-2010,18.63,18.96,17.53,18.33,227900,NASDAQ
COLB,21-Jan-2010,18.3,18.89,17.94,18.52,361300,NASDAQ
COLB,22-Jan-2010,18.44,18.75,18.12,18.15,214100,NASDAQ
COLB,25-Jan-2010,19.0,19.68,18.24,18.36,761300,NASDAQ
COLB,26-Jan-2010,18.4,18.65,18.03,18.22,367300,NASDAQ
COLB,27-Jan-2010,18.12,18.64,17.94,18.48,440700,NASDAQ
COLB,28-Jan-2010,18.75,20.26,18.75,19.3,820600,NASDAQ
COLB,29-Jan-2010,19.39,19.43,18.9,18.99,345100,NASDAQ
COLB,01-Feb-2010,19.11,19.11,18.51,18.62,481500,NASDAQ
COLB,02-Feb-2010,18.73,18.73,17.98,18.16,307600,NASDAQ
COLB,03-Feb-2010,18.08,18.23,17.65,18.1,223800,NASDAQ
COLB,04-Feb-2010,17.94,18.33,17.7,17.79,319500,NASDAQ
COLB,05-Feb-2010,17.77,18.35,17.68,18.15,375400,NASDAQ
COLB,08-Feb-2010,18.17,18.38,17.95,18.0,314500,NASDAQ
COLB,09-Feb-2010,18.3,18.55,17.9,18.07,316800,NASDAQ
COLB,10-Feb-2010,18.0,18.46,17.91,18.25,388900,NASDAQ
COLB,11-Feb-2010,18.15,18.33,18.04,18.25,270100,NASDAQ
COLB,12-Feb-2010,18.25,18.7,18.08,18.67,349700,NASDAQ
COLB,16-Feb-2010,18.71,19.31,18.26,19.3,180600,NASDAQ
COLB,17-Feb-2010,19.35,19.49,19.04,19.26,100000,NASDAQ
COLB,18-Feb-2010,19.18,19.39,19.14,19.27,160900,NASDAQ
COLB,19-Feb-2010,19.24,19.5,19.22,19.39,97000,NASDAQ
COLB,22-Feb-2010,19.38,20.47,19.35,20.1,359000,NASDAQ
COLB,23-Feb-2010,20.11,20.33,19.73,20.09,196900,NASDAQ
COLB,24-Feb-2010,20.22,20.88,20.03,20.81,267700,NASDAQ
COLB,25-Feb-2010,20.52,20.86,20.35,20.78,173700,NASDAQ
COLB,26-Feb-2010,20.84,20.91,20.3,20.46,269800,NASDAQ
COLB,01-Mar-2010,20.63,20.95,20.31,20.58,327800,NASDAQ
COLB,02-Mar-2010,20.69,21.15,20.53,20.99,278500,NASDAQ
COLB,03-Mar-2010,20.95,21.09,20.65,20.69,265900,NASDAQ
COLB,04-Mar-2010,20.82,21.02,20.55,20.85,143000,NASDAQ
COLB,05-Mar-2010,20.9,21.31,20.81,21.31,228900,NASDAQ
COLB,08-Mar-2010,21.31,21.31,20.93,21.04,143700,NASDAQ
COLB,09-Mar-2010,20.98,21.2,20.79,21.03,190500,NASDAQ
COLB,10-Mar-2010,21.01,21.71,20.86,21.48,182000,NASDAQ
COLB,11-Mar-2010,21.28,22.07,21.22,22.0,192900,NASDAQ
COLB,12-Mar-2010,22.07,22.5,21.75,22.04,151900,NASDAQ
COLB,15-Mar-2010,21.92,22.07,21.51,22.0,97300,NASDAQ
COLB,16-Mar-2010,22.07,22.31,21.67,21.97,91200,NASDAQ
COLB,17-Mar-2010,22.04,22.6,21.89,21.99,127700,NASDAQ
COLB,18-Mar-2010,22.02,22.56,21.63,21.68,142700,NASDAQ
COLB,19-Mar-2010,21.83,21.91,20.91,21.2,226700,NASDAQ
COLB,22-Mar-2010,21.01,21.48,20.91,21.39,210400,NASDAQ
COLB,23-Mar-2010,21.45,21.76,21.09,21.63,69100,NASDAQ
COLB,24-Mar-2010,21.54,21.82,21.35,21.35,79000,NASDAQ
COLB,25-Mar-2010,20.6,21.28,20.45,20.74,274800,NASDAQ
COLB,26-Mar-2010,20.9,21.12,20.56,20.62,237700,NASDAQ
COLB,29-Mar-2010,20.63,20.63,19.96,20.32,93300,NASDAQ
COLB,30-Mar-2010,20.36,20.64,20.21,20.57,91500,NASDAQ
COLB,31-Mar-2010,20.42,20.8,20.18,20.31,146500,NASDAQ
COLB,01-Apr-2010,20.37,20.56,20.14,20.44,60000,NASDAQ
COLB,05-Apr-2010,20.48,20.9,20.12,20.69,86800,NASDAQ
COLB,06-Apr-2010,20.58,21.41,20.39,21.21,113800,NASDAQ
COLB,07-Apr-2010,21.1,21.75,20.68,20.93,142900,NASDAQ
COLB,08-Apr-2010,20.88,21.72,20.88,21.58,128100,NASDAQ
COLB,09-Apr-2010,21.49,21.96,20.89,21.29,273800,NASDAQ
COLB,12-Apr-2010,21.3,21.51,21.14,21.35,115500,NASDAQ
COLB,13-Apr-2010,21.29,21.36,20.3,20.43,303800,NASDAQ
COLB,14-Apr-2010,20.65,21.1,20.65,21.1,146700,NASDAQ
COLB,15-Apr-2010,21.02,21.35,20.95,21.27,136600,NASDAQ
COLB,16-Apr-2010,21.24,21.24,20.78,21.03,295000,NASDAQ
COLB,19-Apr-2010,20.9,21.11,20.38,21.1,229900,NASDAQ
COLB,20-Apr-2010,21.1,21.63,20.9,21.61,100400,NASDAQ
COLB,21-Apr-2010,21.64,22.81,21.43,22.74,269200,NASDAQ
COLB,22-Apr-2010,22.48,24.14,22.48,24.1,254500,NASDAQ
COLB,23-Apr-2010,24.05,24.96,23.4,24.48,542200,NASDAQ
COLB,26-Apr-2010,24.48,24.94,23.38,23.41,235900,NASDAQ
COLB,27-Apr-2010,23.18,23.46,22.22,22.24,228000,NASDAQ
COLB,28-Apr-2010,22.38,22.7,21.91,22.02,157100,NASDAQ
COLB,29-Apr-2010,21.8,23.7,21.8,23.28,622500,NASDAQ
COLB,30-Apr-2010,23.24,23.33,22.3,22.48,4961800,NASDAQ
COLB,03-May-2010,22.9,22.9,21.91,22.55,985800,NASDAQ
COLB,04-May-2010,22.21,22.5,21.46,22.1,995300,NASDAQ
COLB,05-May-2010,21.63,22.43,21.41,22.37,752700,NASDAQ
COLB,06-May-2010,22.25,22.63,21.23,21.79,1462700,NASDAQ
COLB,07-May-2010,21.95,22.13,21.52,21.76,1179800,NASDAQ
COLB,10-May-2010,22.48,22.86,21.99,22.38,528800,NASDAQ
COLB,11-May-2010,22.09,23.35,22.09,22.87,531800,NASDAQ
COLB,12-May-2010,22.89,24.02,22.78,23.79,396300,NASDAQ
COLB,13-May-2010,23.81,24.08,23.32,23.56,380300,NASDAQ
COLB,14-May-2010,23.37,23.38,22.5,22.65,371700,NASDAQ
COLB,17-May-2010,22.8,22.99,22.08,22.77,408400,NASDAQ
COLB,18-May-2010,23.08,23.08,21.79,22.0,481900,NASDAQ
COLB,19-May-2010,21.93,22.69,21.75,21.99,320900,NASDAQ
COLB,20-May-2010,21.61,21.84,20.57,20.65,352900,NASDAQ
COLB,21-May-2010,20.41,21.33,20.32,20.98,450400,NASDAQ
COLB,24-May-2010,20.89,21.3,20.4,20.43,303400,NASDAQ
COLB,25-May-2010,20.14,20.78,19.61,20.68,467500,NASDAQ
COLB,26-May-2010,20.81,21.25,20.68,21.07,522600,NASDAQ
COLB,27-May-2010,21.38,22.24,21.35,22.13,784800,NASDAQ
COLB,28-May-2010,22.13,22.65,21.72,22.33,2018100,NASDAQ
COLB,01-Jun-2010,22.17,22.33,21.81,21.86,503300,NASDAQ
COLB,02-Jun-2010,21.95,22.38,21.78,22.35,358100,NASDAQ
COLB,03-Jun-2010,22.3,22.48,21.46,21.46,467500,NASDAQ
COLB,04-Jun-2010,20.95,21.28,19.9,19.95,488500,NASDAQ
COLB,07-Jun-2010,19.99,20.25,19.46,19.47,262400,NASDAQ
COLB,08-Jun-2010,19.51,19.71,18.7,19.09,368700,NASDAQ
COLB,09-Jun-2010,19.32,19.52,18.83,19.15,368200,NASDAQ
COLB,10-Jun-2010,19.45,19.9,19.23,19.88,412900,NASDAQ
COLB,11-Jun-2010,19.64,20.27,19.51,19.93,181200,NASDAQ
COLB,14-Jun-2010,20.08,20.63,19.77,20.08,210600,NASDAQ
COLB,15-Jun-2010,20.12,20.46,19.92,20.41,184200,NASDAQ
COLB,16-Jun-2010,20.19,20.61,19.8,20.23,254100,NASDAQ
COLB,17-Jun-2010,20.33,20.5,19.85,20.39,219200,NASDAQ
COLB,18-Jun-2010,20.5,20.74,20.32,20.65,590000,NASDAQ
COLB,21-Jun-2010,20.77,20.94,20.22,20.36,108500,NASDAQ
COLB,22-Jun-2010,20.47,20.95,20.18,20.2,229300,NASDAQ
COLB,23-Jun-2010,20.11,20.23,19.71,19.8,196200,NASDAQ
COLB,24-Jun-2010,19.6,19.74,18.98,19.01,218700,NASDAQ
COLB,25-Jun-2010,19.01,20.25,18.75,20.02,836300,NASDAQ
COLB,28-Jun-2010,19.8,20.16,19.62,19.7,179700,NASDAQ
COLB,29-Jun-2010,19.35,19.35,18.44,18.66,203800,NASDAQ
COLB,30-Jun-2010,18.7,19.19,18.17,18.26,237100,NASDAQ
COLB,01-Jul-2010,18.2,18.5,17.3,17.72,255300,NASDAQ
COLB,02-Jul-2010,17.9,17.9,17.04,17.42,110100,NASDAQ
COLB,06-Jul-2010,17.71,17.81,16.64,16.88,238900,NASDAQ
COLB,07-Jul-2010,16.95,17.74,16.75,17.71,305400,NASDAQ
COLB,08-Jul-2010,17.83,18.0,17.25,17.44,267200,NASDAQ
COLB,09-Jul-2010,17.35,17.69,17.13,17.5,407300,NASDAQ
COLB,12-Jul-2010,17.55,17.95,17.44,17.61,174000,NASDAQ
COLB,13-Jul-2010,17.8,18.68,17.8,18.58,395400,NASDAQ
COLB,14-Jul-2010,18.5,18.87,18.36,18.82,320900,NASDAQ
COLB,15-Jul-2010,18.8,18.8,18.2,18.7,326500,NASDAQ
COLB,16-Jul-2010,18.52,18.58,17.57,17.64,292400,NASDAQ
COLB,19-Jul-2010,17.69,17.75,16.94,17.06,320600,NASDAQ
COLB,20-Jul-2010,16.82,17.08,16.47,16.79,413400,NASDAQ
COLB,21-Jul-2010,16.9,17.14,16.19,16.2,227200,NASDAQ
COLB,22-Jul-2010,16.48,17.44,16.48,17.2,747500,NASDAQ
COLB,23-Jul-2010,17.09,17.73,16.8,17.69,318200,NASDAQ
COLB,26-Jul-2010,17.66,18.27,17.47,18.24,261600,NASDAQ
COLB,27-Jul-2010,18.38,18.68,17.98,18.18,200700,NASDAQ
COLB,28-Jul-2010,18.05,18.31,17.76,17.79,335900,NASDAQ
COLB,29-Jul-2010,18.27,18.48,18.01,18.25,284000,NASDAQ
COLB,30-Jul-2010,17.94,18.79,17.91,18.28,210100,NASDAQ
COLB,02-Aug-2010,18.64,18.66,18.14,18.48,156900,NASDAQ
COLB,03-Aug-2010,18.35,18.42,17.96,18.0,164300,NASDAQ
COLB,04-Aug-2010,18.14,18.82,18.14,18.17,252100,NASDAQ
COLB,05-Aug-2010,17.98,18.17,17.45,17.51,255600,NASDAQ
COLB,06-Aug-2010,17.41,17.66,16.91,17.29,228100,NASDAQ
COLB,09-Aug-2010,17.36,17.46,17.05,17.38,692500,NASDAQ
COLB,10-Aug-2010,17.13,17.26,16.85,16.94,157700,NASDAQ
COLB,11-Aug-2010,16.68,16.81,15.99,16.04,213600,NASDAQ
COLB,12-Aug-2010,15.94,16.6,15.91,16.4,562400,NASDAQ
COLB,13-Aug-2010,16.39,16.68,16.22,16.39,251100,NASDAQ
COLB,16-Aug-2010,16.31,16.77,16.29,16.72,132700,NASDAQ
COLB,17-Aug-2010,16.84,17.23,16.7,17.1,253500,NASDAQ
COLB,18-Aug-2010,17.09,17.47,16.86,17.27,196300,NASDAQ
COLB,19-Aug-2010,17.18,17.34,16.51,16.6,282200,NASDAQ
COLB,20-Aug-2010,16.5,17.05,16.13,17.0,329200,NASDAQ
COLB,23-Aug-2010,17.16,17.2,16.67,16.68,362400,NASDAQ
COLB,24-Aug-2010,16.49,16.8,16.19,16.61,415600,NASDAQ
COLB,25-Aug-2010,16.45,17.03,16.26,17.0,339600,NASDAQ
COLB,26-Aug-2010,17.0,17.36,16.88,16.94,359400,NASDAQ
COLB,27-Aug-2010,17.18,17.84,17.05,17.76,447600,NASDAQ
COLB,30-Aug-2010,17.74,17.87,17.44,17.5,419100,NASDAQ
COLB,31-Aug-2010,17.43,17.95,17.36,17.81,429700,NASDAQ
COLB,01-Sep-2010,18.09,18.57,17.86,18.52,281200,NASDAQ
COLB,02-Sep-2010,18.51,18.66,18.12,18.51,122300,NASDAQ
COLB,03-Sep-2010,18.68,18.98,18.3,18.93,147200,NASDAQ
COLB,07-Sep-2010,18.87,18.87,18.12,18.17,225800,NASDAQ
COLB,08-Sep-2010,18.28,18.66,18.11,18.63,197100,NASDAQ
COLB,09-Sep-2010,18.88,18.95,18.72,18.89,190400,NASDAQ
COLB,10-Sep-2010,18.9,19.05,18.73,18.91,197200,NASDAQ
COLB,13-Sep-2010,19.11,19.91,19.11,19.83,205500,NASDAQ
COLB,14-Sep-2010,19.83,19.83,18.94,19.14,159400,NASDAQ
COLB,15-Sep-2010,19.0,19.25,18.8,19.18,120300,NASDAQ
COLB,16-Sep-2010,19.15,19.38,18.52,18.77,141700,NASDAQ
COLB,17-Sep-2010,19.0,19.1,18.24,18.99,349000,NASDAQ
COLB,20-Sep-2010,19.01,19.58,18.82,19.46,258500,NASDAQ
COLB,21-Sep-2010,19.4,19.72,19.09,19.15,155400,NASDAQ
COLB,22-Sep-2010,19.02,19.27,18.46,18.65,195200,NASDAQ
COLB,23-Sep-2010,18.46,19.16,18.31,18.38,154400,NASDAQ
COLB,24-Sep-2010,18.6,18.73,18.5,18.73,277300,NASDAQ
