name,date,open_price,close_price,high_price,low_price,volume,market
CPRX,04-Jan-2010,0.63,0.63,0.6,0.61,25900,NASDAQ
CPRX,05-Jan-2010,0.61,0.63,0.61,0.62,47100,NASDAQ
CPRX,06-Jan-2010,0.62,0.65,0.6,0.6,109900,NASDAQ
CPRX,07-Jan-2010,0.6,0.64,0.6,0.6,34400,NASDAQ
CPRX,08-Jan-2010,0.61,0.67,0.6,0.63,432400,NASDAQ
CPRX,11-Jan-2010,0.65,0.65,0.62,0.64,217400,NASDAQ
CPRX,12-Jan-2010,0.65,0.65,0.61,0.62,143800,NASDAQ
CPRX,13-Jan-2010,0.64,0.64,0.6,0.64,156700,NASDAQ
CPRX,14-Jan-2010,0.64,0.75,0.63,0.75,867700,NASDAQ
CPRX,15-Jan-2010,0.73,0.75,0.66,0.69,201100,NASDAQ
CPRX,19-Jan-2010,0.71,0.71,0.67,0.67,187800,NASDAQ
CPRX,20-Jan-2010,0.67,0.7,0.64,0.7,67000,NASDAQ
CPRX,21-Jan-2010,0.65,0.67,0.63,0.67,158400,NASDAQ
CPRX,22-Jan-2010,0.67,0.67,0.62,0.66,84200,NASDAQ
CPRX,25-Jan-2010,0.63,0.67,0.62,0.64,35700,NASDAQ
CPRX,26-Jan-2010,0.61,0.68,0.61,0.67,82200,NASDAQ
CPRX,27-Jan-2010,0.67,0.67,0.63,0.67,18400,NASDAQ
CPRX,28-Jan-2010,0.63,0.67,0.61,0.67,132800,NASDAQ
CPRX,29-Jan-2010,0.65,0.68,0.62,0.65,183800,NASDAQ
CPRX,01-Feb-2010,0.66,0.66,0.62,0.62,27500,NASDAQ
CPRX,02-Feb-2010,0.63,0.64,0.61,0.62,105000,NASDAQ
CPRX,03-Feb-2010,0.63,0.65,0.62,0.62,15200,NASDAQ
CPRX,04-Feb-2010,0.64,0.65,0.61,0.61,22200,NASDAQ
CPRX,05-Feb-2010,0.62,0.62,0.55,0.56,120600,NASDAQ
CPRX,08-Feb-2010,0.55,0.65,0.54,0.6,210300,NASDAQ
CPRX,09-Feb-2010,0.64,0.65,0.58,0.63,179000,NASDAQ
CPRX,10-Feb-2010,0.63,0.63,0.6,0.61,167000,NASDAQ
CPRX,11-Feb-2010,0.62,0.62,0.59,0.6,45900,NASDAQ
CPRX,12-Feb-2010,0.6,0.62,0.6,0.62,72600,NASDAQ
CPRX,16-Feb-2010,0.63,0.63,0.58,0.6,63300,NASDAQ
CPRX,17-Feb-2010,0.6,0.62,0.58,0.62,106800,NASDAQ
CPRX,18-Feb-2010,0.61,0.63,0.61,0.61,34900,NASDAQ
CPRX,19-Feb-2010,0.61,0.64,0.61,0.63,63600,NASDAQ
CPRX,22-Feb-2010,0.65,0.88,0.65,0.87,1224900,NASDAQ
CPRX,23-Feb-2010,0.92,0.93,0.69,0.73,982800,NASDAQ
CPRX,24-Feb-2010,0.7,0.73,0.66,0.71,158200,NASDAQ
CPRX,25-Feb-2010,0.72,0.72,0.67,0.67,138900,NASDAQ
CPRX,26-Feb-2010,0.69,0.69,0.64,0.65,120100,NASDAQ
CPRX,01-Mar-2010,0.65,0.69,0.65,0.67,54100,NASDAQ
CPRX,02-Mar-2010,0.67,0.68,0.65,0.67,73000,NASDAQ
CPRX,03-Mar-2010,0.67,0.71,0.67,0.7,75400,NASDAQ
CPRX,04-Mar-2010,0.73,0.73,0.67,0.7,70300,NASDAQ
CPRX,05-Mar-2010,0.67,0.7,0.67,0.7,12800,NASDAQ
CPRX,08-Mar-2010,0.7,0.7,0.66,0.66,100500,NASDAQ
CPRX,09-Mar-2010,0.7,0.7,0.67,0.67,106800,NASDAQ
CPRX,10-Mar-2010,0.71,0.71,0.67,0.69,9500,NASDAQ
CPRX,11-Mar-2010,0.71,0.71,0.67,0.67,13900,NASDAQ
CPRX,12-Mar-2010,0.7,0.7,0.67,0.69,34200,NASDAQ
CPRX,15-Mar-2010,0.69,0.69,0.67,0.69,130400,NASDAQ
CPRX,16-Mar-2010,0.71,0.71,0.67,0.68,76100,NASDAQ
CPRX,17-Mar-2010,0.71,0.78,0.67,0.72,422200,NASDAQ
CPRX,18-Mar-2010,0.71,0.73,0.7,0.72,30800,NASDAQ
CPRX,19-Mar-2010,0.72,0.88,0.7,0.78,411000,NASDAQ
CPRX,22-Mar-2010,0.83,0.83,0.7,0.74,121000,NASDAQ
CPRX,23-Mar-2010,0.71,0.75,0.71,0.72,56000,NASDAQ
CPRX,24-Mar-2010,0.72,0.73,0.71,0.72,51700,NASDAQ
CPRX,25-Mar-2010,0.75,0.75,0.71,0.73,37600,NASDAQ
CPRX,26-Mar-2010,0.72,0.76,0.72,0.74,24100,NASDAQ
CPRX,29-Mar-2010,0.75,0.76,0.73,0.75,52700,NASDAQ
CPRX,30-Mar-2010,0.76,0.78,0.73,0.78,53900,NASDAQ
CPRX,31-Mar-2010,0.78,0.87,0.78,0.8,254500,NASDAQ
CPRX,01-Apr-2010,0.84,0.84,0.78,0.78,118200,NASDAQ
CPRX,05-Apr-2010,0.78,0.82,0.78,0.82,21200,NASDAQ
CPRX,06-Apr-2010,0.83,0.83,0.75,0.78,97600,NASDAQ
CPRX,07-Apr-2010,0.81,0.81,0.71,0.72,159400,NASDAQ
CPRX,08-Apr-2010,0.76,0.76,0.71,0.71,81700,NASDAQ
CPRX,09-Apr-2010,0.75,0.81,0.73,0.8,247500,NASDAQ
CPRX,12-Apr-2010,1.06,1.99,1.05,1.89,10897300,NASDAQ
CPRX,13-Apr-2010,2.24,2.65,1.7,1.92,9909600,NASDAQ
CPRX,14-Apr-2010,1.81,1.81,1.56,1.62,1780800,NASDAQ
CPRX,15-Apr-2010,1.59,2.07,1.53,2.0,2205200,NASDAQ
CPRX,16-Apr-2010,1.94,1.94,1.72,1.78,647800,NASDAQ
CPRX,19-Apr-2010,1.75,1.8,1.6,1.68,1101900,NASDAQ
CPRX,20-Apr-2010,1.64,1.8,1.6,1.66,364400,NASDAQ
CPRX,21-Apr-2010,1.63,1.66,1.59,1.61,200400,NASDAQ
CPRX,22-Apr-2010,1.59,1.66,1.59,1.6,138400,NASDAQ
CPRX,23-Apr-2010,1.63,1.63,1.52,1.54,326000,NASDAQ
CPRX,26-Apr-2010,1.54,1.57,1.46,1.56,422900,NASDAQ
CPRX,27-Apr-2010,1.51,1.57,1.44,1.49,242600,NASDAQ
CPRX,28-Apr-2010,1.47,1.51,1.46,1.51,96800,NASDAQ
CPRX,29-Apr-2010,1.48,1.49,1.43,1.45,145100,NASDAQ
CPRX,30-Apr-2010,1.43,1.44,1.33,1.35,204200,NASDAQ
CPRX,03-May-2010,1.31,1.42,1.31,1.41,117800,NASDAQ
CPRX,04-May-2010,1.36,1.43,1.31,1.33,109900,NASDAQ
CPRX,05-May-2010,1.29,1.32,1.26,1.26,116300,NASDAQ
CPRX,06-May-2010,1.29,1.32,1.13,1.22,131400,NASDAQ
CPRX,07-May-2010,1.2,1.3,1.15,1.23,89900,NASDAQ
CPRX,10-May-2010,1.21,1.25,1.15,1.22,128300,NASDAQ
CPRX,11-May-2010,1.24,1.41,1.16,1.23,155600,NASDAQ
CPRX,12-May-2010,1.21,1.39,1.21,1.36,136700,NASDAQ
CPRX,13-May-2010,1.32,1.36,1.25,1.35,138800,NASDAQ
CPRX,14-May-2010,1.36,1.38,1.25,1.32,50400,NASDAQ
CPRX,17-May-2010,1.34,1.34,1.19,1.25,41400,NASDAQ
CPRX,18-May-2010,1.26,1.3,1.18,1.19,31700,NASDAQ
CPRX,19-May-2010,1.17,1.25,1.17,1.25,35000,NASDAQ
CPRX,20-May-2010,1.2,1.2,1.09,1.09,66200,NASDAQ
CPRX,21-May-2010,1.09,1.12,1.05,1.1,79600,NASDAQ
CPRX,24-May-2010,1.1,1.14,1.07,1.07,43100,NASDAQ
CPRX,25-May-2010,1.0,1.06,0.98,1.06,65500,NASDAQ
CPRX,26-May-2010,1.11,1.13,1.02,1.03,88400,NASDAQ
CPRX,27-May-2010,1.04,1.08,1.02,1.06,24700,NASDAQ
CPRX,28-May-2010,1.06,1.1,1.04,1.09,62400,NASDAQ
CPRX,01-Jun-2010,1.1,1.11,1.0,1.01,30400,NASDAQ
CPRX,02-Jun-2010,1.05,1.07,1.0,1.0,17700,NASDAQ
CPRX,03-Jun-2010,1.01,1.12,1.01,1.08,29200,NASDAQ
CPRX,04-Jun-2010,1.06,1.11,1.03,1.11,25000,NASDAQ
CPRX,07-Jun-2010,1.1,1.11,1.08,1.08,18300,NASDAQ
CPRX,08-Jun-2010,1.08,1.09,1.03,1.09,13800,NASDAQ
CPRX,09-Jun-2010,1.09,1.13,1.05,1.09,25100,NASDAQ
CPRX,10-Jun-2010,1.04,1.09,1.03,1.05,56200,NASDAQ
CPRX,11-Jun-2010,1.03,1.04,1.0,1.03,46700,NASDAQ
CPRX,14-Jun-2010,1.06,1.08,1.05,1.07,20100,NASDAQ
CPRX,15-Jun-2010,1.08,1.1,0.98,1.04,63900,NASDAQ
CPRX,16-Jun-2010,1.08,1.1,1.02,1.06,29300,NASDAQ
CPRX,17-Jun-2010,1.04,1.05,1.03,1.05,8600,NASDAQ
CPRX,18-Jun-2010,1.04,1.06,1.01,1.06,17600,NASDAQ
CPRX,21-Jun-2010,1.05,1.05,0.98,1.0,34500,NASDAQ
CPRX,22-Jun-2010,1.01,1.01,0.95,0.95,72500,NASDAQ
CPRX,23-Jun-2010,0.95,0.97,0.91,0.94,35500,NASDAQ
CPRX,24-Jun-2010,0.8,0.99,0.8,0.93,148100,NASDAQ
CPRX,25-Jun-2010,0.95,1.06,0.95,1.01,41800,NASDAQ
