name,date,open_price,close_price,high_price,low_price,volume,market
CPSI,04-Jan-2010,46.07,47.05,46.07,46.99,99000,NASDAQ
CPSI,05-Jan-2010,46.97,47.62,46.75,47.24,104600,NASDAQ
CPSI,06-Jan-2010,47.34,48.5,47.34,48.26,175400,NASDAQ
CPSI,07-Jan-2010,48.63,49.09,47.27,48.47,118200,NASDAQ
CPSI,08-Jan-2010,48.21,48.47,47.17,47.79,89900,NASDAQ
CPSI,11-Jan-2010,47.83,48.57,47.0,48.56,98600,NASDAQ
CPSI,12-Jan-2010,48.16,49.37,47.58,47.81,64400,NASDAQ
CPSI,13-Jan-2010,48.08,48.39,47.59,48.15,54100,NASDAQ
CPSI,14-Jan-2010,47.88,48.23,47.3,47.67,34800,NASDAQ
CPSI,15-Jan-2010,47.83,47.83,46.71,47.19,52300,NASDAQ
CPSI,19-Jan-2010,47.12,47.81,46.97,47.69,67100,NASDAQ
CPSI,20-Jan-2010,47.22,47.37,46.67,47.12,127700,NASDAQ
CPSI,21-Jan-2010,47.07,47.13,45.88,46.47,295900,NASDAQ
CPSI,22-Jan-2010,46.3,46.7,46.05,46.1,194100,NASDAQ
CPSI,25-Jan-2010,46.24,46.6,45.99,45.99,144900,NASDAQ
CPSI,26-Jan-2010,45.99,46.62,45.55,45.67,147700,NASDAQ
CPSI,27-Jan-2010,45.59,46.0,45.13,45.9,94800,NASDAQ
CPSI,28-Jan-2010,46.1,46.1,43.79,44.03,113000,NASDAQ
CPSI,29-Jan-2010,35.58,39.23,33.92,37.63,1044700,NASDAQ
CPSI,01-Feb-2010,37.52,38.25,37.03,38.0,202800,NASDAQ
CPSI,02-Feb-2010,38.0,38.98,37.48,38.61,253500,NASDAQ
CPSI,03-Feb-2010,38.25,38.25,37.41,37.81,164700,NASDAQ
CPSI,04-Feb-2010,37.66,38.1,37.26,37.26,131200,NASDAQ
CPSI,05-Feb-2010,37.36,37.38,36.5,37.11,88700,NASDAQ
CPSI,08-Feb-2010,36.98,36.98,35.89,36.25,109300,NASDAQ
CPSI,09-Feb-2010,36.38,37.09,36.17,37.06,70300,NASDAQ
CPSI,10-Feb-2010,36.66,36.83,36.28,36.82,79400,NASDAQ
CPSI,11-Feb-2010,36.7,36.7,35.96,36.56,230000,NASDAQ
CPSI,12-Feb-2010,36.16,36.96,36.09,36.96,84600,NASDAQ
CPSI,16-Feb-2010,37.0,38.16,36.49,38.12,124400,NASDAQ
CPSI,17-Feb-2010,38.09,38.38,37.81,38.07,64300,NASDAQ
CPSI,18-Feb-2010,37.89,38.14,37.41,37.95,62700,NASDAQ
CPSI,19-Feb-2010,37.99,38.03,37.34,37.88,52800,NASDAQ
CPSI,22-Feb-2010,37.85,37.85,37.36,37.69,61400,NASDAQ
CPSI,23-Feb-2010,37.47,37.76,37.0,37.41,82500,NASDAQ
CPSI,24-Feb-2010,37.38,37.38,36.53,36.83,114800,NASDAQ
CPSI,25-Feb-2010,36.37,36.42,35.64,36.19,89500,NASDAQ
CPSI,26-Feb-2010,36.26,36.26,35.37,35.94,101000,NASDAQ
CPSI,01-Mar-2010,35.95,36.6,35.95,36.15,197300,NASDAQ
CPSI,02-Mar-2010,36.08,36.26,35.6,36.23,113500,NASDAQ
CPSI,03-Mar-2010,36.47,36.49,35.46,35.91,105700,NASDAQ
CPSI,04-Mar-2010,35.73,36.39,35.29,36.32,109400,NASDAQ
CPSI,05-Mar-2010,36.37,38.09,36.33,37.95,242700,NASDAQ
CPSI,08-Mar-2010,38.18,38.18,37.58,37.9,140200,NASDAQ
CPSI,09-Mar-2010,37.96,38.91,37.9,38.83,221300,NASDAQ
CPSI,10-Mar-2010,38.99,40.0,38.75,39.57,205500,NASDAQ
CPSI,11-Mar-2010,39.59,39.72,38.86,39.34,86400,NASDAQ
CPSI,12-Mar-2010,39.26,39.26,38.84,39.11,110700,NASDAQ
CPSI,15-Mar-2010,39.11,39.39,38.64,38.79,129300,NASDAQ
CPSI,16-Mar-2010,38.69,38.77,37.98,38.73,107200,NASDAQ
CPSI,17-Mar-2010,38.64,40.27,38.64,39.66,157400,NASDAQ
CPSI,18-Mar-2010,39.61,40.8,39.61,40.43,96100,NASDAQ
CPSI,19-Mar-2010,41.79,41.94,40.74,41.05,168600,NASDAQ
CPSI,22-Mar-2010,40.72,42.05,40.72,41.72,92100,NASDAQ
CPSI,23-Mar-2010,41.91,41.91,41.22,41.53,78300,NASDAQ
CPSI,24-Mar-2010,41.43,41.99,40.87,40.98,92600,NASDAQ
CPSI,25-Mar-2010,41.28,41.38,40.64,40.64,80800,NASDAQ
CPSI,26-Mar-2010,40.78,41.11,40.5,40.72,81900,NASDAQ
CPSI,29-Mar-2010,40.74,41.0,39.95,40.06,87800,NASDAQ
CPSI,30-Mar-2010,39.97,40.16,39.48,39.59,115000,NASDAQ
CPSI,31-Mar-2010,39.34,39.75,38.89,39.08,101800,NASDAQ
CPSI,01-Apr-2010,39.08,39.44,38.58,39.17,171200,NASDAQ
CPSI,05-Apr-2010,39.17,39.78,39.13,39.46,107200,NASDAQ
CPSI,06-Apr-2010,39.3,39.32,38.81,38.96,86400,NASDAQ
CPSI,07-Apr-2010,38.8,38.96,38.06,38.21,88600,NASDAQ
CPSI,08-Apr-2010,37.99,38.26,37.7,37.9,132800,NASDAQ
CPSI,09-Apr-2010,37.87,38.87,37.38,38.69,409500,NASDAQ
CPSI,12-Apr-2010,38.63,38.79,38.29,38.55,103100,NASDAQ
CPSI,13-Apr-2010,38.37,38.46,37.93,38.16,48100,NASDAQ
CPSI,14-Apr-2010,38.25,39.02,37.73,38.93,103400,NASDAQ
CPSI,15-Apr-2010,38.99,39.46,38.84,39.35,55500,NASDAQ
CPSI,16-Apr-2010,39.35,40.25,39.01,39.73,121100,NASDAQ
CPSI,19-Apr-2010,39.48,40.26,39.26,39.67,69300,NASDAQ
CPSI,20-Apr-2010,39.76,40.56,39.73,40.32,52400,NASDAQ
CPSI,21-Apr-2010,40.5,40.87,40.06,40.2,118300,NASDAQ
CPSI,22-Apr-2010,39.69,40.52,39.49,40.19,69700,NASDAQ
CPSI,23-Apr-2010,39.83,46.69,39.83,45.74,371800,NASDAQ
CPSI,26-Apr-2010,45.84,46.01,44.6,45.37,156000,NASDAQ
CPSI,27-Apr-2010,45.08,45.92,45.06,45.13,86300,NASDAQ
CPSI,28-Apr-2010,45.22,45.78,44.87,45.25,85900,NASDAQ
CPSI,29-Apr-2010,45.48,46.01,44.98,45.71,60800,NASDAQ
CPSI,30-Apr-2010,45.35,45.72,44.81,45.06,119400,NASDAQ
CPSI,03-May-2010,45.1,46.16,44.34,45.88,65800,NASDAQ
CPSI,04-May-2010,45.25,45.68,44.43,44.68,46200,NASDAQ
CPSI,05-May-2010,44.1,44.82,43.89,44.16,53100,NASDAQ
CPSI,06-May-2010,44.14,45.62,42.0,42.95,115200,NASDAQ
CPSI,07-May-2010,42.32,44.05,41.64,41.73,89700,NASDAQ
CPSI,10-May-2010,43.39,44.01,42.66,43.83,59200,NASDAQ
CPSI,11-May-2010,43.31,45.55,42.81,44.51,61300,NASDAQ
CPSI,12-May-2010,44.55,46.3,44.42,46.16,217000,NASDAQ
CPSI,13-May-2010,45.99,47.26,45.79,46.59,113600,NASDAQ
CPSI,14-May-2010,46.08,46.08,44.13,44.68,161800,NASDAQ
CPSI,17-May-2010,44.77,46.47,43.5,44.37,180600,NASDAQ
CPSI,18-May-2010,44.69,45.54,43.7,43.8,119700,NASDAQ
CPSI,19-May-2010,43.56,44.62,43.03,44.2,83200,NASDAQ
CPSI,20-May-2010,43.14,43.83,41.89,41.91,138900,NASDAQ
CPSI,21-May-2010,41.5,42.77,40.75,42.41,61800,NASDAQ
CPSI,24-May-2010,42.26,42.95,41.46,42.0,35200,NASDAQ
CPSI,25-May-2010,41.31,43.0,40.84,42.85,91100,NASDAQ
CPSI,26-May-2010,43.03,44.36,42.2,42.27,55900,NASDAQ
CPSI,27-May-2010,42.78,43.81,42.47,43.62,82000,NASDAQ
CPSI,28-May-2010,43.39,44.03,43.0,43.01,51000,NASDAQ
CPSI,01-Jun-2010,42.63,43.13,41.77,42.29,59400,NASDAQ
CPSI,02-Jun-2010,42.52,42.83,41.55,42.66,36700,NASDAQ
CPSI,03-Jun-2010,42.54,43.4,42.19,42.89,91200,NASDAQ
CPSI,04-Jun-2010,41.85,42.04,41.12,41.36,140700,NASDAQ
CPSI,07-Jun-2010,41.39,41.93,40.53,40.6,54000,NASDAQ
CPSI,08-Jun-2010,40.61,40.98,39.73,39.99,79800,NASDAQ
CPSI,09-Jun-2010,40.52,41.9,40.11,40.47,68400,NASDAQ
CPSI,10-Jun-2010,41.08,42.16,40.75,42.15,66800,NASDAQ
CPSI,11-Jun-2010,41.77,42.23,41.69,42.05,49500,NASDAQ
CPSI,14-Jun-2010,42.48,43.37,41.8,41.99,20600,NASDAQ
CPSI,15-Jun-2010,42.26,43.14,41.63,43.0,36700,NASDAQ
CPSI,16-Jun-2010,42.58,43.08,42.44,42.55,29800,NASDAQ
