name,date,open_price,close_price,high_price,low_price,volume,market
CRAI,04-Jan-2010,26.96,28.38,26.7,27.78,42400,NASDAQ
CRAI,05-Jan-2010,27.67,27.69,26.38,26.65,28100,NASDAQ
CRAI,06-Jan-2010,26.55,26.7,25.84,25.87,42900,NASDAQ
CRAI,07-Jan-2010,25.98,27.25,25.86,26.87,48100,NASDAQ
CRAI,08-Jan-2010,26.72,26.93,26.39,26.41,9600,NASDAQ
CRAI,11-Jan-2010,26.59,26.63,26.19,26.3,10000,NASDAQ
CRAI,12-Jan-2010,26.19,26.42,25.94,26.23,15800,NASDAQ
CRAI,13-Jan-2010,27.0,27.14,26.26,26.8,22900,NASDAQ
CRAI,14-Jan-2010,27.99,28.4,26.82,26.98,30700,NASDAQ
CRAI,15-Jan-2010,27.11,27.23,25.84,26.31,34300,NASDAQ
CRAI,19-Jan-2010,26.43,27.96,26.43,27.76,28900,NASDAQ
CRAI,20-Jan-2010,27.52,27.57,26.44,26.88,43000,NASDAQ
CRAI,21-Jan-2010,27.36,27.36,26.41,26.58,34000,NASDAQ
CRAI,22-Jan-2010,26.64,27.18,26.16,26.37,12800,NASDAQ
CRAI,25-Jan-2010,26.48,27.13,26.08,26.83,28100,NASDAQ
CRAI,26-Jan-2010,26.68,26.69,25.51,25.53,25300,NASDAQ
CRAI,27-Jan-2010,25.36,26.5,25.36,26.5,17700,NASDAQ
CRAI,28-Jan-2010,26.58,26.58,24.79,25.69,23500,NASDAQ
CRAI,29-Jan-2010,25.74,26.1,25.23,25.95,22400,NASDAQ
CRAI,01-Feb-2010,26.06,26.06,25.54,25.76,20300,NASDAQ
CRAI,02-Feb-2010,25.48,26.32,25.23,25.9,33300,NASDAQ
CRAI,03-Feb-2010,25.74,26.79,25.74,25.99,27700,NASDAQ
CRAI,04-Feb-2010,25.99,26.74,25.29,25.33,40900,NASDAQ
CRAI,05-Feb-2010,25.45,26.77,25.31,26.56,22700,NASDAQ
CRAI,08-Feb-2010,26.48,26.48,25.11,25.11,21400,NASDAQ
CRAI,09-Feb-2010,25.4,26.19,25.13,26.04,18900,NASDAQ
CRAI,10-Feb-2010,25.89,25.91,25.27,25.86,24300,NASDAQ
CRAI,11-Feb-2010,25.72,26.13,25.39,25.8,36900,NASDAQ
CRAI,12-Feb-2010,25.54,26.06,24.75,25.04,38600,NASDAQ
CRAI,16-Feb-2010,25.01,25.82,24.92,25.8,19000,NASDAQ
CRAI,17-Feb-2010,25.88,26.65,25.88,26.61,15600,NASDAQ
CRAI,18-Feb-2010,26.66,27.12,26.58,26.85,12100,NASDAQ
CRAI,19-Feb-2010,26.81,27.17,26.73,27.0,17000,NASDAQ
CRAI,22-Feb-2010,26.63,27.22,26.63,27.05,23200,NASDAQ
CRAI,23-Feb-2010,27.12,27.25,26.79,27.0,50200,NASDAQ
CRAI,24-Feb-2010,27.3,27.39,27.0,27.22,32900,NASDAQ
CRAI,25-Feb-2010,27.0,27.09,26.67,26.83,29500,NASDAQ
CRAI,26-Feb-2010,26.9,26.9,26.27,26.6,21500,NASDAQ
CRAI,01-Mar-2010,27.62,27.84,26.72,27.0,33600,NASDAQ
CRAI,02-Mar-2010,27.22,27.22,26.7,26.85,16100,NASDAQ
CRAI,03-Mar-2010,26.97,27.16,26.51,26.52,25900,NASDAQ
CRAI,04-Mar-2010,27.26,27.26,26.67,26.78,5800,NASDAQ
CRAI,05-Mar-2010,26.85,27.4,26.48,27.33,36700,NASDAQ
CRAI,08-Mar-2010,27.5,27.91,27.04,27.11,24900,NASDAQ
CRAI,09-Mar-2010,26.96,28.2,26.77,28.0,15100,NASDAQ
CRAI,10-Mar-2010,27.92,28.44,27.6,28.28,17100,NASDAQ
CRAI,11-Mar-2010,28.07,28.87,27.87,28.87,14600,NASDAQ
CRAI,12-Mar-2010,28.52,28.88,27.88,27.93,25800,NASDAQ
CRAI,15-Mar-2010,27.98,27.98,26.73,27.42,10400,NASDAQ
CRAI,16-Mar-2010,27.5,27.9,26.75,27.73,38900,NASDAQ
CRAI,17-Mar-2010,28.51,28.51,27.8,28.02,16700,NASDAQ
CRAI,18-Mar-2010,22.8,23.1,19.7,22.57,1276100,NASDAQ
CRAI,19-Mar-2010,22.5,22.89,21.56,22.49,188200,NASDAQ
CRAI,22-Mar-2010,22.25,22.26,21.58,22.12,73400,NASDAQ
CRAI,23-Mar-2010,22.06,22.83,22.0,22.83,55600,NASDAQ
