name,date,open_price,close_price,high_price,low_price,volume,market
CSFL,04-Jan-2010,10.26,10.46,10.07,10.18,57100,NASDAQ
CSFL,05-Jan-2010,10.27,10.5,10.1,10.12,97500,NASDAQ
CSFL,06-Jan-2010,10.13,10.5,10.04,10.48,177700,NASDAQ
CSFL,07-Jan-2010,10.45,10.82,10.2,10.55,232800,NASDAQ
CSFL,08-Jan-2010,10.52,11.25,10.52,10.86,122000,NASDAQ
CSFL,11-Jan-2010,10.98,11.11,10.82,11.0,56100,NASDAQ
CSFL,12-Jan-2010,10.84,11.01,10.8,10.97,102800,NASDAQ
CSFL,13-Jan-2010,11.0,11.25,10.97,11.23,48900,NASDAQ
CSFL,14-Jan-2010,11.12,11.49,11.12,11.44,61200,NASDAQ
CSFL,15-Jan-2010,11.49,11.5,10.85,11.01,58600,NASDAQ
CSFL,19-Jan-2010,11.06,11.5,11.0,11.36,72200,NASDAQ
CSFL,20-Jan-2010,11.25,11.56,11.1,11.32,108600,NASDAQ
CSFL,21-Jan-2010,11.41,11.46,10.92,11.39,92700,NASDAQ
CSFL,22-Jan-2010,11.39,11.75,11.27,11.64,87000,NASDAQ
CSFL,25-Jan-2010,11.73,11.73,11.19,11.37,72900,NASDAQ
CSFL,26-Jan-2010,11.29,11.34,11.05,11.26,59600,NASDAQ
CSFL,27-Jan-2010,11.19,11.55,11.19,11.39,46400,NASDAQ
CSFL,28-Jan-2010,11.53,11.74,10.08,10.86,196700,NASDAQ
CSFL,29-Jan-2010,11.14,11.2,10.85,11.06,148700,NASDAQ
CSFL,01-Feb-2010,11.01,11.03,10.63,10.76,85600,NASDAQ
CSFL,02-Feb-2010,10.75,10.95,10.5,10.92,82600,NASDAQ
CSFL,03-Feb-2010,10.9,11.1,10.9,10.98,68600,NASDAQ
CSFL,04-Feb-2010,10.9,10.97,10.37,10.53,92200,NASDAQ
CSFL,05-Feb-2010,10.6,11.03,10.39,11.0,108600,NASDAQ
CSFL,08-Feb-2010,10.96,10.96,10.3,10.34,80800,NASDAQ
CSFL,09-Feb-2010,10.27,10.44,10.06,10.11,82900,NASDAQ
CSFL,10-Feb-2010,10.05,10.15,9.85,10.08,39900,NASDAQ
CSFL,11-Feb-2010,10.03,10.5,9.88,10.49,138000,NASDAQ
CSFL,12-Feb-2010,10.35,10.7,9.99,10.69,117200,NASDAQ
CSFL,16-Feb-2010,10.8,10.84,10.42,10.62,31100,NASDAQ
CSFL,17-Feb-2010,10.64,10.64,10.3,10.35,56800,NASDAQ
CSFL,18-Feb-2010,10.35,10.57,10.31,10.56,36100,NASDAQ
CSFL,19-Feb-2010,10.55,11.04,10.52,10.67,54600,NASDAQ
CSFL,22-Feb-2010,10.75,10.95,10.63,10.93,41000,NASDAQ
CSFL,23-Feb-2010,10.94,11.07,10.8,11.02,70500,NASDAQ
CSFL,24-Feb-2010,11.04,11.23,10.88,11.01,94000,NASDAQ
CSFL,25-Feb-2010,10.89,11.04,10.69,10.94,78700,NASDAQ
CSFL,26-Feb-2010,10.95,10.99,10.44,10.73,155600,NASDAQ
CSFL,01-Mar-2010,10.8,10.8,10.46,10.66,113400,NASDAQ
CSFL,02-Mar-2010,10.72,10.72,10.46,10.7,62800,NASDAQ
CSFL,03-Mar-2010,10.73,10.95,10.67,10.95,96800,NASDAQ
CSFL,04-Mar-2010,11.0,11.12,10.94,11.01,104100,NASDAQ
CSFL,05-Mar-2010,11.0,11.51,11.0,11.51,80200,NASDAQ
CSFL,08-Mar-2010,11.51,11.65,11.42,11.47,51700,NASDAQ
CSFL,09-Mar-2010,11.49,11.7,11.42,11.57,82300,NASDAQ
CSFL,10-Mar-2010,11.64,11.85,11.61,11.83,121300,NASDAQ
CSFL,11-Mar-2010,11.79,11.9,11.75,11.89,84700,NASDAQ
CSFL,12-Mar-2010,11.9,11.9,11.67,11.81,46100,NASDAQ
CSFL,15-Mar-2010,11.81,11.9,11.78,11.88,67100,NASDAQ
CSFL,16-Mar-2010,11.98,12.11,11.88,12.11,81100,NASDAQ
CSFL,17-Mar-2010,12.1,12.35,12.06,12.26,67300,NASDAQ
CSFL,18-Mar-2010,12.25,12.34,12.16,12.26,89900,NASDAQ
CSFL,19-Mar-2010,12.34,12.51,12.09,12.49,161900,NASDAQ
CSFL,22-Mar-2010,12.34,12.98,12.3,12.75,108100,NASDAQ
CSFL,23-Mar-2010,12.65,12.97,12.61,12.78,59500,NASDAQ
CSFL,24-Mar-2010,12.74,12.91,12.73,12.84,63200,NASDAQ
CSFL,25-Mar-2010,12.84,12.95,12.53,12.56,46700,NASDAQ
CSFL,26-Mar-2010,12.75,12.81,12.49,12.56,47300,NASDAQ
CSFL,29-Mar-2010,12.55,12.55,12.18,12.25,85000,NASDAQ
