name,date,open_price,close_price,high_price,low_price,volume,market
CTHR,04-Jan-2010,1.16,1.25,1.16,1.2,29100,NASDAQ
CTHR,05-Jan-2010,1.2,1.22,1.16,1.16,23200,NASDAQ
CTHR,06-Jan-2010,1.2,1.25,1.16,1.21,89000,NASDAQ
CTHR,07-Jan-2010,1.23,1.3,1.2,1.29,115100,NASDAQ
CTHR,08-Jan-2010,1.29,1.45,1.29,1.4,334800,NASDAQ
CTHR,11-Jan-2010,1.45,1.47,1.36,1.45,190000,NASDAQ
CTHR,12-Jan-2010,1.45,1.45,1.36,1.43,43200,NASDAQ
CTHR,13-Jan-2010,1.38,1.44,1.29,1.43,64600,NASDAQ
CTHR,14-Jan-2010,1.43,1.45,1.36,1.43,24000,NASDAQ
CTHR,15-Jan-2010,1.44,1.48,1.42,1.44,177200,NASDAQ
CTHR,19-Jan-2010,1.44,1.44,1.37,1.39,33100,NASDAQ
CTHR,20-Jan-2010,1.35,1.44,1.29,1.34,36500,NASDAQ
CTHR,21-Jan-2010,1.37,1.43,1.3,1.31,25300,NASDAQ
CTHR,22-Jan-2010,1.3,1.35,1.3,1.32,20100,NASDAQ
CTHR,25-Jan-2010,1.34,1.35,1.32,1.34,5000,NASDAQ
CTHR,26-Jan-2010,1.31,1.32,1.28,1.29,43900,NASDAQ
CTHR,27-Jan-2010,1.33,1.33,1.23,1.26,56200,NASDAQ
CTHR,28-Jan-2010,1.2,1.29,1.16,1.2,19100,NASDAQ
CTHR,29-Jan-2010,1.2,1.25,1.18,1.2,13700,NASDAQ
CTHR,01-Feb-2010,1.18,1.34,1.18,1.32,125300,NASDAQ
CTHR,02-Feb-2010,1.32,1.32,1.27,1.31,71700,NASDAQ
CTHR,03-Feb-2010,1.31,1.36,1.31,1.33,91800,NASDAQ
CTHR,04-Feb-2010,1.32,1.35,1.25,1.33,73100,NASDAQ
CTHR,05-Feb-2010,1.32,1.32,1.28,1.32,49600,NASDAQ
CTHR,08-Feb-2010,1.32,1.39,1.3,1.3,16400,NASDAQ
CTHR,09-Feb-2010,1.19,1.32,1.19,1.32,31800,NASDAQ
CTHR,10-Feb-2010,1.25,1.4,1.25,1.36,25700,NASDAQ
CTHR,11-Feb-2010,1.33,1.4,1.3,1.39,44900,NASDAQ
CTHR,12-Feb-2010,1.31,1.39,1.31,1.39,5100,NASDAQ
CTHR,16-Feb-2010,1.33,1.43,1.32,1.39,15300,NASDAQ
CTHR,17-Feb-2010,1.39,1.4,1.37,1.4,28900,NASDAQ
