name,date,open_price,close_price,high_price,low_price,volume,market
DAKT,04-Jan-2010,9.28,9.51,9.1,9.46,155400,NASDAQ
DAKT,05-Jan-2010,9.42,9.46,9.16,9.26,138400,NASDAQ
DAKT,06-Jan-2010,9.21,9.26,9.07,9.2,211700,NASDAQ
DAKT,07-Jan-2010,9.16,9.27,9.02,9.26,113400,NASDAQ
DAKT,08-Jan-2010,9.26,9.56,9.25,9.56,121900,NASDAQ
DAKT,11-Jan-2010,9.51,9.51,9.31,9.35,80600,NASDAQ
DAKT,12-Jan-2010,8.97,8.99,8.66,8.75,365200,NASDAQ
DAKT,13-Jan-2010,8.81,8.95,8.7,8.85,114100,NASDAQ
DAKT,14-Jan-2010,8.8,8.91,8.71,8.85,70200,NASDAQ
DAKT,15-Jan-2010,8.89,8.92,8.35,8.43,294800,NASDAQ
DAKT,19-Jan-2010,8.43,8.7,8.35,8.42,172900,NASDAQ
DAKT,20-Jan-2010,8.32,8.35,8.2,8.28,280800,NASDAQ
DAKT,21-Jan-2010,8.3,8.4,8.12,8.33,248900,NASDAQ
DAKT,22-Jan-2010,8.3,8.4,8.15,8.17,165700,NASDAQ
DAKT,25-Jan-2010,8.25,8.25,8.07,8.11,114300,NASDAQ
DAKT,26-Jan-2010,8.11,8.13,8.0,8.07,146400,NASDAQ
DAKT,27-Jan-2010,8.03,8.19,7.95,8.16,96600,NASDAQ
DAKT,28-Jan-2010,8.16,8.16,7.84,7.98,155700,NASDAQ
DAKT,29-Jan-2010,7.99,8.05,7.78,7.81,209400,NASDAQ
DAKT,01-Feb-2010,7.83,7.93,7.65,7.73,195600,NASDAQ
DAKT,02-Feb-2010,7.76,7.78,7.56,7.72,200400,NASDAQ
DAKT,03-Feb-2010,7.7,7.8,7.53,7.68,149600,NASDAQ
DAKT,04-Feb-2010,7.6,7.63,7.42,7.42,192700,NASDAQ
DAKT,05-Feb-2010,7.46,7.52,7.25,7.38,139900,NASDAQ
DAKT,08-Feb-2010,7.38,7.44,7.24,7.24,141500,NASDAQ
DAKT,09-Feb-2010,7.34,7.42,7.28,7.37,174800,NASDAQ
DAKT,10-Feb-2010,7.35,7.42,7.23,7.27,166500,NASDAQ
DAKT,11-Feb-2010,7.27,7.42,7.2,7.41,275500,NASDAQ
DAKT,12-Feb-2010,7.32,7.41,7.25,7.41,271600,NASDAQ
DAKT,16-Feb-2010,7.45,7.61,7.41,7.51,141200,NASDAQ
DAKT,17-Feb-2010,7.69,7.9,7.45,7.54,163200,NASDAQ
DAKT,18-Feb-2010,7.51,7.59,7.26,7.32,145200,NASDAQ
DAKT,19-Feb-2010,7.32,7.49,7.29,7.44,330300,NASDAQ
DAKT,22-Feb-2010,7.48,7.52,7.41,7.44,186700,NASDAQ
DAKT,23-Feb-2010,7.09,7.44,7.06,7.28,583000,NASDAQ
DAKT,24-Feb-2010,7.39,7.86,7.33,7.83,525800,NASDAQ
DAKT,25-Feb-2010,7.72,7.8,7.58,7.79,220700,NASDAQ
DAKT,26-Feb-2010,7.8,7.8,7.5,7.57,264900,NASDAQ
DAKT,01-Mar-2010,7.59,7.67,7.5,7.65,210700,NASDAQ
DAKT,02-Mar-2010,7.68,7.77,7.67,7.72,149600,NASDAQ
DAKT,03-Mar-2010,7.76,7.8,7.69,7.77,200200,NASDAQ
DAKT,04-Mar-2010,7.81,7.85,7.69,7.8,147500,NASDAQ
DAKT,05-Mar-2010,7.81,7.95,7.77,7.94,113900,NASDAQ
DAKT,08-Mar-2010,7.91,7.96,7.9,7.94,78000,NASDAQ
DAKT,09-Mar-2010,7.9,8.21,7.81,8.07,236200,NASDAQ
DAKT,10-Mar-2010,8.07,8.17,7.97,8.05,185500,NASDAQ
DAKT,11-Mar-2010,7.99,8.09,7.84,8.01,203300,NASDAQ
DAKT,12-Mar-2010,8.07,8.24,8.03,8.23,196200,NASDAQ
DAKT,15-Mar-2010,8.24,8.28,8.15,8.26,115400,NASDAQ
DAKT,16-Mar-2010,8.26,8.29,8.19,8.28,93400,NASDAQ
DAKT,17-Mar-2010,8.28,8.32,8.05,8.08,226000,NASDAQ
DAKT,18-Mar-2010,8.05,8.06,7.89,7.96,74900,NASDAQ
DAKT,19-Mar-2010,8.0,8.0,7.76,7.94,235000,NASDAQ
DAKT,22-Mar-2010,7.85,8.07,7.78,8.04,89000,NASDAQ
DAKT,23-Mar-2010,8.01,8.03,7.87,7.94,111400,NASDAQ
DAKT,24-Mar-2010,7.88,7.91,7.75,7.76,102200,NASDAQ
DAKT,25-Mar-2010,7.86,8.01,7.63,7.66,214200,NASDAQ
DAKT,26-Mar-2010,7.71,7.95,7.66,7.81,129100,NASDAQ
DAKT,29-Mar-2010,7.8,7.95,7.7,7.72,144600,NASDAQ
DAKT,30-Mar-2010,7.75,7.81,7.52,7.61,104400,NASDAQ
DAKT,31-Mar-2010,7.56,7.84,7.56,7.62,163200,NASDAQ
DAKT,01-Apr-2010,7.67,7.74,7.52,7.6,75400,NASDAQ
DAKT,05-Apr-2010,7.65,7.77,7.61,7.77,111000,NASDAQ
DAKT,06-Apr-2010,7.73,7.8,7.62,7.71,101200,NASDAQ
DAKT,07-Apr-2010,7.72,7.83,7.68,7.75,165400,NASDAQ
DAKT,08-Apr-2010,7.74,7.83,7.7,7.74,222400,NASDAQ
DAKT,09-Apr-2010,7.76,7.76,7.68,7.71,101600,NASDAQ
DAKT,12-Apr-2010,7.69,7.75,7.61,7.74,166100,NASDAQ
DAKT,13-Apr-2010,7.7,7.74,7.68,7.7,129600,NASDAQ
DAKT,14-Apr-2010,7.75,8.04,7.69,8.03,433300,NASDAQ
DAKT,15-Apr-2010,8.04,8.23,8.01,8.03,318400,NASDAQ
DAKT,16-Apr-2010,8.03,8.24,7.97,8.17,283500,NASDAQ
DAKT,19-Apr-2010,8.15,8.25,8.15,8.21,244400,NASDAQ
DAKT,20-Apr-2010,8.23,8.71,8.21,8.59,458100,NASDAQ
DAKT,21-Apr-2010,8.59,8.67,8.59,8.67,236600,NASDAQ
DAKT,22-Apr-2010,8.56,9.02,8.56,9.02,184500,NASDAQ
DAKT,23-Apr-2010,9.05,9.29,9.0,9.23,257700,NASDAQ
DAKT,26-Apr-2010,9.25,9.25,9.0,9.02,147100,NASDAQ
DAKT,27-Apr-2010,9.0,9.03,8.69,8.74,236600,NASDAQ
DAKT,28-Apr-2010,8.81,8.83,8.59,8.6,106400,NASDAQ
DAKT,29-Apr-2010,8.66,8.91,8.57,8.89,131100,NASDAQ
DAKT,30-Apr-2010,8.86,8.86,8.34,8.37,355700,NASDAQ
DAKT,03-May-2010,8.38,8.64,8.35,8.56,128900,NASDAQ
DAKT,04-May-2010,8.43,8.43,7.93,7.98,279600,NASDAQ
DAKT,05-May-2010,7.91,8.05,7.8,8.01,150000,NASDAQ
DAKT,06-May-2010,7.98,8.14,7.3,8.13,264600,NASDAQ
DAKT,07-May-2010,8.1,8.5,7.93,8.29,902300,NASDAQ
DAKT,10-May-2010,8.5,8.7,8.4,8.68,269500,NASDAQ
DAKT,11-May-2010,8.6,8.88,8.58,8.6,190600,NASDAQ
DAKT,12-May-2010,8.64,8.87,8.54,8.87,96400,NASDAQ
DAKT,13-May-2010,8.81,8.96,8.69,8.78,105200,NASDAQ
DAKT,14-May-2010,8.69,8.73,8.37,8.55,108800,NASDAQ
DAKT,17-May-2010,8.63,8.78,8.42,8.73,133400,NASDAQ
DAKT,18-May-2010,8.84,8.84,8.44,8.46,127900,NASDAQ
DAKT,19-May-2010,8.44,8.48,8.14,8.33,197800,NASDAQ
DAKT,20-May-2010,8.09,8.2,8.01,8.08,157000,NASDAQ
DAKT,21-May-2010,7.99,8.23,7.85,8.02,223100,NASDAQ
DAKT,24-May-2010,7.99,8.15,7.87,8.0,109800,NASDAQ
