name,date,open_price,close_price,high_price,low_price,volume,market
DWSN,04-Jan-2010,23.59,24.42,23.0,24.33,72200,NASDAQ
DWSN,05-Jan-2010,24.32,24.88,23.72,24.34,104600,NASDAQ
DWSN,06-Jan-2010,24.11,24.72,23.92,24.35,50900,NASDAQ
DWSN,07-Jan-2010,24.2,24.73,24.17,24.5,57600,NASDAQ
DWSN,08-Jan-2010,24.35,25.0,24.35,24.87,32000,NASDAQ
DWSN,11-Jan-2010,25.0,25.15,24.45,25.05,50300,NASDAQ
DWSN,12-Jan-2010,24.76,25.2,24.71,24.96,70700,NASDAQ
DWSN,13-Jan-2010,25.15,25.45,24.8,25.37,51600,NASDAQ
DWSN,14-Jan-2010,25.08,25.55,25.01,25.22,43400,NASDAQ
DWSN,15-Jan-2010,25.24,25.24,24.68,24.81,39400,NASDAQ
DWSN,19-Jan-2010,24.69,25.14,24.55,25.07,32200,NASDAQ
DWSN,20-Jan-2010,24.57,24.75,23.92,24.25,54300,NASDAQ
DWSN,21-Jan-2010,24.37,24.61,23.63,24.13,83700,NASDAQ
DWSN,22-Jan-2010,23.98,24.4,23.66,23.88,134500,NASDAQ
DWSN,25-Jan-2010,23.0,24.18,23.0,23.96,93700,NASDAQ
DWSN,26-Jan-2010,23.78,24.4,23.44,23.82,51300,NASDAQ
DWSN,27-Jan-2010,23.62,24.1,23.42,23.8,89400,NASDAQ
DWSN,28-Jan-2010,23.83,23.99,22.64,22.71,71500,NASDAQ
DWSN,29-Jan-2010,22.91,23.39,21.68,21.69,82400,NASDAQ
DWSN,01-Feb-2010,23.69,23.69,21.95,23.24,106700,NASDAQ
DWSN,02-Feb-2010,23.33,24.34,23.33,24.11,54900,NASDAQ
DWSN,03-Feb-2010,23.06,25.1,23.06,24.99,174400,NASDAQ
DWSN,04-Feb-2010,24.8,25.32,24.31,24.95,188400,NASDAQ
DWSN,05-Feb-2010,24.95,25.02,24.5,24.96,286600,NASDAQ
DWSN,08-Feb-2010,24.89,24.89,23.59,23.83,70500,NASDAQ
DWSN,09-Feb-2010,24.17,24.35,23.87,24.06,53800,NASDAQ
DWSN,10-Feb-2010,23.87,23.87,22.74,22.98,82600,NASDAQ
DWSN,11-Feb-2010,22.95,23.38,22.76,23.34,59900,NASDAQ
DWSN,12-Feb-2010,23.03,23.6,23.03,23.59,31700,NASDAQ
DWSN,16-Feb-2010,23.92,24.15,23.35,24.12,61900,NASDAQ
DWSN,17-Feb-2010,24.15,24.67,23.91,24.4,100700,NASDAQ
DWSN,18-Feb-2010,24.29,24.37,23.97,24.24,45200,NASDAQ
DWSN,19-Feb-2010,24.23,25.05,24.0,24.99,60900,NASDAQ
DWSN,22-Feb-2010,25.0,25.91,24.67,25.67,143200,NASDAQ
DWSN,23-Feb-2010,25.78,25.98,25.32,25.78,124800,NASDAQ
DWSN,24-Feb-2010,25.99,27.2,25.75,26.73,142600,NASDAQ
DWSN,25-Feb-2010,26.39,27.27,26.25,27.27,82900,NASDAQ
DWSN,26-Feb-2010,27.44,29.32,27.05,28.57,362900,NASDAQ
DWSN,01-Mar-2010,28.99,29.64,28.76,29.45,102400,NASDAQ
DWSN,02-Mar-2010,29.62,30.11,28.81,29.5,93900,NASDAQ
DWSN,03-Mar-2010,29.48,29.71,29.14,29.48,49300,NASDAQ
DWSN,04-Mar-2010,29.49,29.75,29.24,29.53,49100,NASDAQ
DWSN,05-Mar-2010,29.59,30.46,29.41,30.38,68500,NASDAQ
DWSN,08-Mar-2010,30.38,30.75,29.95,30.44,49300,NASDAQ
DWSN,09-Mar-2010,30.21,30.83,29.81,29.95,36900,NASDAQ
DWSN,10-Mar-2010,29.84,30.67,29.53,30.06,52600,NASDAQ
DWSN,11-Mar-2010,29.75,31.58,29.5,31.23,91200,NASDAQ
DWSN,12-Mar-2010,31.48,32.0,30.95,31.11,56400,NASDAQ
DWSN,15-Mar-2010,31.2,31.2,29.5,30.07,92600,NASDAQ
DWSN,16-Mar-2010,30.09,30.74,29.3,30.63,52200,NASDAQ
DWSN,17-Mar-2010,30.77,31.26,30.74,31.02,32600,NASDAQ
DWSN,18-Mar-2010,30.85,31.15,30.32,30.55,62600,NASDAQ
DWSN,19-Mar-2010,30.75,30.75,29.13,29.55,84500,NASDAQ
DWSN,22-Mar-2010,29.59,29.94,29.3,29.85,66600,NASDAQ
DWSN,23-Mar-2010,29.94,30.5,29.71,30.1,50400,NASDAQ
DWSN,24-Mar-2010,30.02,30.26,30.0,30.19,75700,NASDAQ
DWSN,25-Mar-2010,30.3,30.6,29.39,29.45,69400,NASDAQ
DWSN,26-Mar-2010,29.45,29.99,28.79,28.86,62500,NASDAQ
DWSN,29-Mar-2010,28.85,29.86,28.62,29.62,70600,NASDAQ
DWSN,30-Mar-2010,29.82,29.98,29.11,29.4,36400,NASDAQ
DWSN,31-Mar-2010,29.54,30.28,29.19,29.24,38600,NASDAQ
DWSN,01-Apr-2010,29.37,30.88,29.02,30.57,114300,NASDAQ
DWSN,05-Apr-2010,30.81,31.07,30.35,30.81,36000,NASDAQ
DWSN,06-Apr-2010,30.54,30.82,30.21,30.51,32200,NASDAQ
DWSN,07-Apr-2010,30.21,30.57,30.0,30.52,52900,NASDAQ
DWSN,08-Apr-2010,30.29,30.82,30.14,30.65,22400,NASDAQ
DWSN,09-Apr-2010,30.66,30.79,30.14,30.49,28000,NASDAQ
DWSN,12-Apr-2010,30.35,30.66,29.84,30.16,22700,NASDAQ
DWSN,13-Apr-2010,29.95,30.06,28.78,29.19,53700,NASDAQ
DWSN,14-Apr-2010,29.28,30.09,29.16,29.96,49100,NASDAQ
DWSN,15-Apr-2010,29.77,29.85,29.01,29.7,42300,NASDAQ
DWSN,16-Apr-2010,29.5,29.82,29.21,29.31,33600,NASDAQ
DWSN,19-Apr-2010,29.02,29.38,28.57,29.22,39000,NASDAQ
DWSN,20-Apr-2010,29.3,30.36,29.0,29.84,60300,NASDAQ
DWSN,21-Apr-2010,29.82,30.05,29.25,30.03,35200,NASDAQ
DWSN,22-Apr-2010,29.67,30.16,29.47,30.15,23600,NASDAQ
DWSN,23-Apr-2010,30.28,30.98,30.11,30.88,47900,NASDAQ
DWSN,26-Apr-2010,30.85,31.22,30.51,30.79,32300,NASDAQ
DWSN,27-Apr-2010,30.53,31.16,30.48,30.5,52800,NASDAQ
DWSN,28-Apr-2010,30.65,30.76,30.11,30.13,37600,NASDAQ
DWSN,29-Apr-2010,30.3,30.52,29.56,30.33,40500,NASDAQ
DWSN,30-Apr-2010,30.24,30.24,29.08,29.24,45100,NASDAQ
DWSN,03-May-2010,29.37,29.86,28.81,29.67,82900,NASDAQ
DWSN,04-May-2010,29.23,29.72,28.17,28.91,132100,NASDAQ
DWSN,05-May-2010,28.5,28.51,27.01,27.53,88800,NASDAQ
DWSN,06-May-2010,27.4,28.18,25.0,25.75,102300,NASDAQ
DWSN,07-May-2010,25.8,26.0,23.62,24.52,90300,NASDAQ
DWSN,10-May-2010,26.0,26.42,24.58,25.37,89500,NASDAQ
DWSN,11-May-2010,25.03,26.5,25.0,26.38,97900,NASDAQ
DWSN,12-May-2010,26.55,27.36,26.38,26.75,95800,NASDAQ
DWSN,13-May-2010,26.54,26.54,25.59,26.11,56500,NASDAQ
DWSN,14-May-2010,25.78,25.83,25.0,25.65,73600,NASDAQ
