name,date,open_price,close_price,high_price,low_price,volume,market
EDAP,04-Jan-2010,2.8,2.8,2.59,2.67,30800,NASDAQ
EDAP,05-Jan-2010,2.62,2.72,2.52,2.59,61200,NASDAQ
EDAP,06-Jan-2010,2.58,2.79,2.51,2.61,95000,NASDAQ
EDAP,07-Jan-2010,2.63,2.63,2.52,2.6,46900,NASDAQ
EDAP,08-Jan-2010,2.6,2.64,2.56,2.59,53900,NASDAQ
EDAP,11-Jan-2010,2.78,2.78,2.51,2.67,42600,NASDAQ
EDAP,12-Jan-2010,2.61,2.65,2.55,2.6,58000,NASDAQ
EDAP,13-Jan-2010,2.53,2.61,2.5,2.61,58600,NASDAQ
EDAP,14-Jan-2010,2.57,2.66,2.46,2.59,116600,NASDAQ
EDAP,15-Jan-2010,2.59,2.59,2.52,2.53,18800,NASDAQ
EDAP,19-Jan-2010,2.55,2.55,2.4,2.47,40400,NASDAQ
EDAP,20-Jan-2010,2.47,2.49,2.42,2.44,21000,NASDAQ
EDAP,21-Jan-2010,2.41,2.44,2.27,2.35,74700,NASDAQ
EDAP,22-Jan-2010,2.34,2.39,2.26,2.36,65300,NASDAQ
EDAP,25-Jan-2010,2.36,2.4,2.3,2.39,55500,NASDAQ
EDAP,26-Jan-2010,2.4,2.4,2.31,2.35,26600,NASDAQ
EDAP,27-Jan-2010,2.3,2.37,2.28,2.34,29600,NASDAQ
EDAP,28-Jan-2010,2.37,2.37,2.32,2.35,36100,NASDAQ
EDAP,29-Jan-2010,2.37,2.37,2.26,2.35,23000,NASDAQ
EDAP,01-Feb-2010,2.35,2.36,2.29,2.36,21300,NASDAQ
EDAP,02-Feb-2010,2.36,2.37,2.27,2.37,17000,NASDAQ
EDAP,03-Feb-2010,2.37,2.85,2.35,2.59,146900,NASDAQ
EDAP,04-Feb-2010,2.59,2.59,2.47,2.53,36400,NASDAQ
EDAP,05-Feb-2010,2.51,2.51,2.16,2.37,97700,NASDAQ
EDAP,08-Feb-2010,2.33,2.37,2.33,2.37,19700,NASDAQ
EDAP,09-Feb-2010,2.37,2.37,2.32,2.35,5600,NASDAQ
EDAP,10-Feb-2010,2.32,2.36,2.32,2.35,23200,NASDAQ
EDAP,11-Feb-2010,2.35,2.38,2.33,2.33,12900,NASDAQ
EDAP,12-Feb-2010,2.32,2.35,2.3,2.35,10300,NASDAQ
EDAP,16-Feb-2010,2.29,2.4,2.26,2.37,19100,NASDAQ
EDAP,17-Feb-2010,2.37,2.46,2.28,2.46,55000,NASDAQ
EDAP,18-Feb-2010,2.5,2.66,2.5,2.61,54000,NASDAQ
EDAP,19-Feb-2010,2.66,2.66,2.46,2.5,52100,NASDAQ
EDAP,22-Feb-2010,2.65,2.65,2.37,2.46,25300,NASDAQ
EDAP,23-Feb-2010,2.36,2.46,2.36,2.46,28100,NASDAQ
EDAP,24-Feb-2010,2.42,2.43,2.35,2.35,54100,NASDAQ
EDAP,25-Feb-2010,2.38,2.38,2.35,2.35,19200,NASDAQ
EDAP,26-Feb-2010,2.43,2.43,2.35,2.35,4600,NASDAQ
EDAP,01-Mar-2010,2.35,2.39,2.29,2.36,10900,NASDAQ
EDAP,02-Mar-2010,2.32,2.7,2.25,2.42,329700,NASDAQ
EDAP,03-Mar-2010,2.44,2.44,2.38,2.38,14600,NASDAQ
EDAP,04-Mar-2010,2.48,2.48,2.4,2.44,7600,NASDAQ
