name,date,open_price,close_price,high_price,low_price,volume,market
EWBC,04-Jan-2010,16.13,16.29,15.38,16.04,1121900,NASDAQ
EWBC,05-Jan-2010,16.04,16.07,15.52,15.79,758800,NASDAQ
EWBC,06-Jan-2010,15.79,16.17,15.63,16.06,946600,NASDAQ
EWBC,07-Jan-2010,16.08,16.99,15.92,16.85,897300,NASDAQ
EWBC,08-Jan-2010,16.05,16.54,15.8,16.38,1075400,NASDAQ
EWBC,11-Jan-2010,16.44,16.45,15.69,15.71,897200,NASDAQ
EWBC,12-Jan-2010,15.52,15.73,15.14,15.49,904400,NASDAQ
EWBC,13-Jan-2010,15.56,16.08,15.39,15.96,482800,NASDAQ
EWBC,14-Jan-2010,15.84,16.66,15.8,16.58,609900,NASDAQ
EWBC,15-Jan-2010,16.63,16.79,15.89,16.24,1134100,NASDAQ
EWBC,19-Jan-2010,16.55,16.81,16.26,16.81,707100,NASDAQ
EWBC,20-Jan-2010,16.65,16.95,15.93,16.65,862800,NASDAQ
EWBC,21-Jan-2010,16.65,17.38,16.44,17.25,1303200,NASDAQ
EWBC,22-Jan-2010,17.14,18.35,16.96,17.41,2240000,NASDAQ
EWBC,25-Jan-2010,17.62,17.62,16.85,17.43,1016600,NASDAQ
EWBC,26-Jan-2010,17.31,18.0,17.07,17.18,1429700,NASDAQ
EWBC,27-Jan-2010,17.02,18.16,17.0,18.0,1470800,NASDAQ
EWBC,28-Jan-2010,17.75,17.9,16.15,16.79,2583300,NASDAQ
EWBC,29-Jan-2010,17.0,17.43,16.29,16.43,1162800,NASDAQ
EWBC,01-Feb-2010,16.62,16.77,16.09,16.58,1227100,NASDAQ
EWBC,02-Feb-2010,16.55,16.65,16.25,16.49,632900,NASDAQ
EWBC,03-Feb-2010,16.43,16.53,15.61,16.17,930900,NASDAQ
EWBC,04-Feb-2010,15.98,15.98,15.19,15.19,886900,NASDAQ
EWBC,05-Feb-2010,15.3,15.72,14.76,15.36,889000,NASDAQ
EWBC,08-Feb-2010,15.29,15.49,14.89,15.2,816100,NASDAQ
EWBC,09-Feb-2010,15.46,15.66,15.07,15.54,901600,NASDAQ
EWBC,10-Feb-2010,15.45,15.93,15.37,15.52,583900,NASDAQ
EWBC,11-Feb-2010,15.46,16.23,15.27,15.95,1283000,NASDAQ
EWBC,12-Feb-2010,15.78,15.79,15.37,15.44,1376800,NASDAQ
EWBC,16-Feb-2010,15.67,15.75,15.19,15.61,970900,NASDAQ
EWBC,17-Feb-2010,15.75,15.94,15.54,15.71,582700,NASDAQ
EWBC,18-Feb-2010,15.73,16.21,15.72,16.21,693700,NASDAQ
EWBC,19-Feb-2010,16.17,16.61,16.07,16.54,899600,NASDAQ
EWBC,22-Feb-2010,16.64,17.0,16.6,16.86,2245600,NASDAQ
EWBC,23-Feb-2010,16.86,16.87,16.1,16.32,584700,NASDAQ
EWBC,24-Feb-2010,16.4,17.24,16.38,17.06,1270200,NASDAQ
EWBC,25-Feb-2010,16.82,17.37,16.77,17.37,1225900,NASDAQ
EWBC,26-Feb-2010,17.43,17.8,17.05,17.52,3438200,NASDAQ
EWBC,01-Mar-2010,17.62,17.72,17.1,17.29,887800,NASDAQ
EWBC,02-Mar-2010,17.27,17.78,17.22,17.58,702600,NASDAQ
EWBC,03-Mar-2010,17.65,17.76,17.35,17.49,584400,NASDAQ
EWBC,04-Mar-2010,17.53,17.72,17.46,17.68,368300,NASDAQ
EWBC,05-Mar-2010,17.8,18.72,17.62,18.67,1167700,NASDAQ
EWBC,08-Mar-2010,18.63,18.86,18.23,18.29,764400,NASDAQ
EWBC,09-Mar-2010,18.22,18.45,17.55,18.33,704100,NASDAQ
EWBC,10-Mar-2010,18.39,19.25,18.39,19.25,1040100,NASDAQ
EWBC,11-Mar-2010,17.98,18.3,17.76,18.03,2279500,NASDAQ
EWBC,12-Mar-2010,18.12,18.17,17.47,17.64,1054300,NASDAQ
EWBC,15-Mar-2010,17.58,17.58,16.92,17.42,1220400,NASDAQ
EWBC,16-Mar-2010,17.45,17.74,17.1,17.73,1086800,NASDAQ
EWBC,17-Mar-2010,17.8,18.05,17.59,17.8,696500,NASDAQ
EWBC,18-Mar-2010,17.78,18.06,17.62,18.04,776200,NASDAQ
EWBC,19-Mar-2010,18.05,18.23,17.78,18.1,1980900,NASDAQ
EWBC,22-Mar-2010,17.89,18.45,17.87,18.45,913200,NASDAQ
EWBC,23-Mar-2010,18.43,18.49,18.11,18.39,516300,NASDAQ
