name,date,open_price,close_price,high_price,low_price,volume,market
EXAS,04-Jan-2010,3.5,3.53,3.37,3.4,171800,NASDAQ
EXAS,05-Jan-2010,3.4,3.84,3.36,3.8,265100,NASDAQ
EXAS,06-Jan-2010,3.98,4.23,3.88,4.13,523100,NASDAQ
EXAS,07-Jan-2010,4.23,4.5,4.11,4.17,422400,NASDAQ
EXAS,08-Jan-2010,4.24,4.25,4.0,4.04,263600,NASDAQ
EXAS,11-Jan-2010,4.1,4.2,4.01,4.14,58200,NASDAQ
EXAS,12-Jan-2010,4.21,4.29,4.18,4.24,112100,NASDAQ
EXAS,13-Jan-2010,4.3,4.37,4.15,4.28,114800,NASDAQ
EXAS,14-Jan-2010,4.36,4.36,4.13,4.14,74100,NASDAQ
EXAS,15-Jan-2010,4.14,4.2,4.03,4.06,61200,NASDAQ
EXAS,19-Jan-2010,4.02,4.3,4.01,4.21,65700,NASDAQ
EXAS,20-Jan-2010,4.25,4.27,4.14,4.2,59400,NASDAQ
EXAS,21-Jan-2010,4.21,4.21,3.75,4.0,293900,NASDAQ
EXAS,22-Jan-2010,3.98,4.0,3.84,3.88,145600,NASDAQ
EXAS,25-Jan-2010,4.01,4.01,3.55,3.66,177900,NASDAQ
EXAS,26-Jan-2010,3.5,3.62,3.41,3.47,198600,NASDAQ
EXAS,27-Jan-2010,3.47,3.54,3.45,3.49,45900,NASDAQ
EXAS,28-Jan-2010,3.51,3.51,3.4,3.47,42900,NASDAQ
EXAS,29-Jan-2010,3.52,3.53,3.46,3.5,54500,NASDAQ
EXAS,01-Feb-2010,3.53,3.85,3.5,3.85,116300,NASDAQ
EXAS,02-Feb-2010,4.25,4.25,3.9,3.96,170600,NASDAQ
EXAS,03-Feb-2010,4.0,4.0,3.86,3.96,55400,NASDAQ
EXAS,04-Feb-2010,3.98,4.0,3.83,3.87,77900,NASDAQ
EXAS,05-Feb-2010,3.85,3.85,3.59,3.76,85500,NASDAQ
EXAS,08-Feb-2010,3.82,4.01,3.75,3.96,69100,NASDAQ
EXAS,09-Feb-2010,3.94,3.97,3.79,3.8,55600,NASDAQ
EXAS,10-Feb-2010,3.84,3.95,3.83,3.86,56800,NASDAQ
EXAS,11-Feb-2010,3.85,4.02,3.81,3.81,170000,NASDAQ
EXAS,12-Feb-2010,3.76,3.97,3.76,3.93,120400,NASDAQ
EXAS,16-Feb-2010,4.03,4.03,3.76,3.86,132800,NASDAQ
EXAS,17-Feb-2010,3.95,4.0,3.86,3.99,108400,NASDAQ
EXAS,18-Feb-2010,4.0,4.0,3.85,3.9,117400,NASDAQ
EXAS,19-Feb-2010,3.87,3.94,3.84,3.92,48100,NASDAQ
EXAS,22-Feb-2010,3.91,4.1,3.9,3.97,207600,NASDAQ
EXAS,23-Feb-2010,3.98,4.04,3.95,4.02,82400,NASDAQ
EXAS,24-Feb-2010,4.08,4.16,4.01,4.06,58500,NASDAQ
EXAS,25-Feb-2010,4.1,4.14,4.02,4.06,53900,NASDAQ
EXAS,26-Feb-2010,4.05,4.12,4.0,4.11,76800,NASDAQ
EXAS,01-Mar-2010,4.11,4.25,4.06,4.25,67500,NASDAQ
EXAS,02-Mar-2010,4.24,4.28,4.17,4.25,104300,NASDAQ
EXAS,03-Mar-2010,4.22,4.24,4.19,4.23,33800,NASDAQ
EXAS,04-Mar-2010,4.25,4.35,4.15,4.33,149600,NASDAQ
EXAS,05-Mar-2010,4.38,4.48,4.3,4.36,88600,NASDAQ
EXAS,08-Mar-2010,4.34,4.38,4.21,4.35,85900,NASDAQ
EXAS,09-Mar-2010,4.3,4.45,4.28,4.37,112000,NASDAQ
EXAS,10-Mar-2010,4.5,5.25,4.47,4.7,2203300,NASDAQ
EXAS,11-Mar-2010,4.79,4.95,4.56,4.87,578500,NASDAQ
EXAS,12-Mar-2010,4.99,4.99,4.72,4.81,323800,NASDAQ
EXAS,15-Mar-2010,4.83,4.85,4.68,4.76,186600,NASDAQ
EXAS,16-Mar-2010,4.73,4.94,4.37,4.39,430400,NASDAQ
EXAS,17-Mar-2010,4.36,4.49,4.1,4.43,374900,NASDAQ
EXAS,18-Mar-2010,4.49,4.5,4.31,4.46,97700,NASDAQ
EXAS,19-Mar-2010,4.5,4.77,4.41,4.64,428300,NASDAQ
EXAS,22-Mar-2010,4.77,4.77,4.52,4.61,168000,NASDAQ
EXAS,23-Mar-2010,4.48,4.61,4.46,4.56,200000,NASDAQ
EXAS,24-Mar-2010,4.5,4.6,4.39,4.41,96400,NASDAQ
EXAS,25-Mar-2010,4.43,4.46,4.32,4.38,282300,NASDAQ
EXAS,26-Mar-2010,4.39,4.39,4.21,4.34,126600,NASDAQ
EXAS,29-Mar-2010,4.3,4.37,4.24,4.25,107100,NASDAQ
EXAS,30-Mar-2010,4.3,4.3,4.16,4.24,147900,NASDAQ
EXAS,31-Mar-2010,4.24,4.49,4.2,4.45,226500,NASDAQ
EXAS,01-Apr-2010,4.42,4.65,4.38,4.41,159200,NASDAQ
EXAS,05-Apr-2010,4.5,4.57,4.38,4.47,80200,NASDAQ
EXAS,06-Apr-2010,4.42,4.64,4.42,4.6,92500,NASDAQ
EXAS,07-Apr-2010,4.6,4.77,4.6,4.72,191000,NASDAQ
EXAS,08-Apr-2010,4.77,4.88,4.71,4.79,135300,NASDAQ
EXAS,09-Apr-2010,4.86,4.86,4.6,4.69,106000,NASDAQ
EXAS,12-Apr-2010,4.78,4.79,4.6,4.73,79000,NASDAQ
EXAS,13-Apr-2010,4.78,4.79,4.6,4.69,137100,NASDAQ
EXAS,14-Apr-2010,4.55,4.61,4.5,4.53,1486500,NASDAQ
EXAS,15-Apr-2010,4.52,4.52,4.3,4.47,720800,NASDAQ
EXAS,16-Apr-2010,4.5,4.5,4.12,4.32,420700,NASDAQ
EXAS,19-Apr-2010,4.28,4.37,4.14,4.37,353900,NASDAQ
EXAS,20-Apr-2010,4.35,4.41,4.14,4.25,249600,NASDAQ
EXAS,21-Apr-2010,4.29,4.29,3.97,4.16,365200,NASDAQ
EXAS,22-Apr-2010,4.1,4.16,3.9,4.0,335900,NASDAQ
EXAS,23-Apr-2010,3.96,4.21,3.85,4.14,408500,NASDAQ
EXAS,26-Apr-2010,4.15,4.45,4.15,4.45,326200,NASDAQ
EXAS,27-Apr-2010,4.45,4.48,4.3,4.4,272900,NASDAQ
EXAS,28-Apr-2010,4.43,4.5,4.38,4.49,251200,NASDAQ
EXAS,29-Apr-2010,4.51,4.6,4.4,4.54,285800,NASDAQ
EXAS,30-Apr-2010,4.47,4.5,4.3,4.44,208200,NASDAQ
EXAS,03-May-2010,4.42,4.5,4.32,4.36,143600,NASDAQ
EXAS,04-May-2010,4.35,4.36,4.2,4.31,148500,NASDAQ
EXAS,05-May-2010,4.3,4.49,4.17,4.36,200400,NASDAQ
EXAS,06-May-2010,4.41,4.41,4.06,4.27,351700,NASDAQ
EXAS,07-May-2010,4.2,4.22,3.89,4.02,266400,NASDAQ
EXAS,10-May-2010,4.35,4.35,4.1,4.12,149600,NASDAQ
EXAS,11-May-2010,4.17,4.39,4.17,4.26,202000,NASDAQ
EXAS,12-May-2010,4.25,4.4,4.22,4.36,179100,NASDAQ
EXAS,13-May-2010,4.34,4.43,4.3,4.3,96000,NASDAQ
EXAS,14-May-2010,4.25,4.4,4.25,4.4,120400,NASDAQ
EXAS,17-May-2010,4.46,4.48,4.35,4.42,121000,NASDAQ
EXAS,18-May-2010,4.44,4.5,4.23,4.28,89400,NASDAQ
EXAS,19-May-2010,4.23,4.27,4.15,4.27,112700,NASDAQ
EXAS,20-May-2010,4.25,4.25,4.1,4.2,100100,NASDAQ
EXAS,21-May-2010,4.12,4.25,4.02,4.1,84100,NASDAQ
EXAS,24-May-2010,4.15,4.22,4.09,4.09,83600,NASDAQ
EXAS,25-May-2010,4.03,4.13,3.85,4.05,248300,NASDAQ
EXAS,26-May-2010,4.1,4.24,4.06,4.16,118400,NASDAQ
EXAS,27-May-2010,4.17,4.2,4.08,4.17,72300,NASDAQ
EXAS,28-May-2010,4.2,4.21,4.05,4.17,75600,NASDAQ
EXAS,01-Jun-2010,4.12,4.28,4.06,4.12,83500,NASDAQ
EXAS,02-Jun-2010,4.19,4.25,4.09,4.2,112800,NASDAQ
EXAS,03-Jun-2010,4.18,4.39,4.15,4.37,152100,NASDAQ
EXAS,04-Jun-2010,4.31,4.39,4.08,4.21,164800,NASDAQ
EXAS,07-Jun-2010,4.21,4.27,4.07,4.09,94400,NASDAQ
EXAS,08-Jun-2010,4.12,4.16,4.02,4.05,109500,NASDAQ
EXAS,09-Jun-2010,4.09,4.22,4.02,4.16,128900,NASDAQ
EXAS,10-Jun-2010,4.16,4.35,4.15,4.31,95600,NASDAQ
EXAS,11-Jun-2010,4.24,4.6,4.24,4.49,270400,NASDAQ
EXAS,14-Jun-2010,4.65,4.65,4.31,4.49,323700,NASDAQ
EXAS,15-Jun-2010,4.5,4.69,4.48,4.68,267300,NASDAQ
EXAS,16-Jun-2010,4.62,4.99,4.56,4.93,359300,NASDAQ
EXAS,17-Jun-2010,4.97,5.0,4.83,4.92,231900,NASDAQ
EXAS,18-Jun-2010,5.0,5.0,4.84,4.92,328000,NASDAQ
EXAS,21-Jun-2010,4.95,4.95,4.51,4.68,263600,NASDAQ
EXAS,22-Jun-2010,4.67,4.67,4.5,4.55,140700,NASDAQ
EXAS,23-Jun-2010,4.56,4.58,4.42,4.54,147000,NASDAQ
EXAS,24-Jun-2010,4.49,4.62,4.42,4.62,247700,NASDAQ
EXAS,25-Jun-2010,4.99,4.99,4.52,4.83,4889600,NASDAQ
EXAS,28-Jun-2010,4.73,4.9,4.57,4.69,272700,NASDAQ
EXAS,29-Jun-2010,4.67,4.89,4.54,4.65,349700,NASDAQ
EXAS,30-Jun-2010,4.69,4.73,4.3,4.4,326300,NASDAQ
EXAS,01-Jul-2010,4.39,4.39,4.02,4.12,456300,NASDAQ
EXAS,02-Jul-2010,4.15,4.31,4.05,4.11,189300,NASDAQ
EXAS,06-Jul-2010,4.16,4.3,4.05,4.06,239600,NASDAQ
EXAS,07-Jul-2010,4.08,4.22,4.06,4.21,229300,NASDAQ
EXAS,08-Jul-2010,4.22,4.28,4.17,4.22,155900,NASDAQ
EXAS,09-Jul-2010,4.04,4.19,3.95,3.98,976100,NASDAQ
EXAS,12-Jul-2010,3.95,4.0,3.75,3.92,291100,NASDAQ
EXAS,13-Jul-2010,3.91,3.98,3.86,3.89,257700,NASDAQ
EXAS,14-Jul-2010,3.89,3.99,3.86,3.93,247800,NASDAQ
EXAS,15-Jul-2010,3.95,4.14,3.82,3.85,449500,NASDAQ
EXAS,16-Jul-2010,3.82,3.89,3.41,3.43,601000,NASDAQ
EXAS,19-Jul-2010,3.45,3.55,3.15,3.31,750400,NASDAQ
EXAS,20-Jul-2010,3.28,3.61,3.25,3.6,303500,NASDAQ
EXAS,21-Jul-2010,3.6,3.73,3.38,3.41,289400,NASDAQ
EXAS,22-Jul-2010,3.44,3.58,3.38,3.51,181400,NASDAQ
EXAS,23-Jul-2010,3.49,3.65,3.41,3.6,157800,NASDAQ
EXAS,26-Jul-2010,3.6,3.74,3.58,3.7,230600,NASDAQ
EXAS,27-Jul-2010,3.76,3.99,3.72,3.93,506800,NASDAQ
EXAS,28-Jul-2010,4.15,4.27,3.96,4.22,603100,NASDAQ
EXAS,29-Jul-2010,4.25,4.26,4.05,4.1,316300,NASDAQ
EXAS,30-Jul-2010,4.08,4.2,4.01,4.17,254800,NASDAQ
EXAS,02-Aug-2010,4.22,4.22,4.15,4.17,145500,NASDAQ
EXAS,03-Aug-2010,4.17,4.25,4.09,4.2,165800,NASDAQ
EXAS,04-Aug-2010,4.23,4.31,4.2,4.25,153100,NASDAQ
EXAS,05-Aug-2010,4.25,4.29,4.17,4.26,102600,NASDAQ
EXAS,06-Aug-2010,4.24,4.28,4.15,4.26,169500,NASDAQ
EXAS,09-Aug-2010,4.26,4.27,4.18,4.22,157400,NASDAQ
EXAS,10-Aug-2010,4.39,4.65,4.3,4.4,780200,NASDAQ
EXAS,11-Aug-2010,4.38,4.43,4.27,4.27,287300,NASDAQ
EXAS,12-Aug-2010,4.26,4.5,4.21,4.39,211100,NASDAQ
EXAS,13-Aug-2010,4.39,4.39,4.3,4.3,159600,NASDAQ
EXAS,16-Aug-2010,4.31,4.42,4.25,4.36,135700,NASDAQ
EXAS,17-Aug-2010,4.42,4.5,4.25,4.4,337300,NASDAQ
EXAS,18-Aug-2010,4.38,4.41,4.26,4.32,171600,NASDAQ
EXAS,19-Aug-2010,4.32,4.35,4.21,4.22,290900,NASDAQ
EXAS,20-Aug-2010,4.2,4.44,4.01,4.29,329600,NASDAQ
EXAS,23-Aug-2010,4.29,4.29,4.2,4.22,129200,NASDAQ
EXAS,24-Aug-2010,4.19,4.19,4.06,4.11,188300,NASDAQ
EXAS,25-Aug-2010,4.08,4.2,4.06,4.17,173700,NASDAQ
EXAS,26-Aug-2010,4.19,4.45,4.19,4.34,572900,NASDAQ
EXAS,27-Aug-2010,4.38,4.55,4.27,4.51,363300,NASDAQ
EXAS,30-Aug-2010,4.5,4.76,4.43,4.65,507700,NASDAQ
EXAS,31-Aug-2010,4.66,4.7,4.52,4.59,264100,NASDAQ
EXAS,01-Sep-2010,4.64,4.75,4.6,4.75,267300,NASDAQ
EXAS,02-Sep-2010,4.71,4.75,4.59,4.72,162500,NASDAQ
EXAS,03-Sep-2010,4.76,4.92,4.7,4.83,285200,NASDAQ
EXAS,07-Sep-2010,4.84,4.89,4.78,4.88,140400,NASDAQ
EXAS,08-Sep-2010,4.9,5.09,4.87,5.04,744700,NASDAQ
EXAS,09-Sep-2010,5.17,5.9,5.17,5.52,2022100,NASDAQ
EXAS,10-Sep-2010,5.53,5.84,5.45,5.55,824300,NASDAQ
EXAS,13-Sep-2010,5.58,5.73,5.53,5.66,352100,NASDAQ
EXAS,14-Sep-2010,5.66,5.84,5.51,5.71,454500,NASDAQ
EXAS,15-Sep-2010,5.7,5.93,5.65,5.88,596000,NASDAQ
EXAS,16-Sep-2010,5.91,6.14,5.85,6.08,657600,NASDAQ
EXAS,17-Sep-2010,6.16,6.37,6.1,6.22,850400,NASDAQ
EXAS,20-Sep-2010,6.3,6.54,6.1,6.49,1141500,NASDAQ
EXAS,21-Sep-2010,6.38,6.79,6.37,6.49,802100,NASDAQ
EXAS,22-Sep-2010,6.48,6.55,6.15,6.24,565600,NASDAQ
EXAS,23-Sep-2010,6.2,6.64,6.16,6.5,631600,NASDAQ
EXAS,24-Sep-2010,6.54,6.79,6.46,6.67,739800,NASDAQ
