name,date,open_price,close_price,high_price,low_price,volume,market
EXEL,04-Jan-2010,7.48,7.53,7.41,7.5,568800,NASDAQ
EXEL,05-Jan-2010,7.47,7.53,7.37,7.38,711700,NASDAQ
EXEL,06-Jan-2010,7.39,7.46,7.35,7.36,628800,NASDAQ
EXEL,07-Jan-2010,7.38,7.44,7.32,7.33,664000,NASDAQ
EXEL,08-Jan-2010,7.22,7.32,7.0,7.31,1619700,NASDAQ
EXEL,11-Jan-2010,7.35,7.4,7.13,7.16,474000,NASDAQ
EXEL,12-Jan-2010,7.12,7.28,7.01,7.07,797000,NASDAQ
EXEL,13-Jan-2010,7.12,7.23,7.05,7.16,466400,NASDAQ
EXEL,14-Jan-2010,7.14,7.21,7.1,7.14,361500,NASDAQ
EXEL,15-Jan-2010,7.18,7.18,6.76,6.78,1051000,NASDAQ
EXEL,19-Jan-2010,6.78,7.11,6.78,7.1,808800,NASDAQ
EXEL,20-Jan-2010,7.02,7.05,6.75,6.8,774100,NASDAQ
EXEL,21-Jan-2010,6.83,6.88,6.51,6.51,622800,NASDAQ
EXEL,22-Jan-2010,6.51,6.62,6.35,6.38,550000,NASDAQ
EXEL,25-Jan-2010,6.44,6.5,6.34,6.36,840200,NASDAQ
EXEL,26-Jan-2010,6.37,6.85,6.37,6.69,985700,NASDAQ
EXEL,27-Jan-2010,6.66,6.97,6.64,6.97,873900,NASDAQ
EXEL,28-Jan-2010,7.0,7.09,6.52,6.56,765500,NASDAQ
EXEL,29-Jan-2010,6.6,6.8,6.5,6.63,1033400,NASDAQ
EXEL,01-Feb-2010,6.65,6.68,6.44,6.58,543400,NASDAQ
EXEL,02-Feb-2010,6.57,6.71,6.45,6.67,556300,NASDAQ
EXEL,03-Feb-2010,6.62,6.76,6.51,6.68,545200,NASDAQ
EXEL,04-Feb-2010,6.65,6.66,6.16,6.19,811100,NASDAQ
EXEL,05-Feb-2010,6.15,6.26,6.01,6.22,648800,NASDAQ
EXEL,08-Feb-2010,6.2,6.23,6.09,6.1,383200,NASDAQ
EXEL,09-Feb-2010,6.19,6.43,6.12,6.42,743300,NASDAQ
EXEL,10-Feb-2010,6.38,6.43,6.28,6.3,338100,NASDAQ
EXEL,11-Feb-2010,6.26,6.58,6.15,6.57,643700,NASDAQ
EXEL,12-Feb-2010,6.49,6.55,6.31,6.55,530700,NASDAQ
EXEL,16-Feb-2010,6.58,6.63,6.35,6.62,591300,NASDAQ
EXEL,17-Feb-2010,6.66,6.82,6.57,6.7,549200,NASDAQ
EXEL,18-Feb-2010,6.7,6.74,6.61,6.71,412500,NASDAQ
EXEL,19-Feb-2010,6.71,6.81,6.57,6.75,459300,NASDAQ
EXEL,22-Feb-2010,6.75,6.77,6.52,6.67,342600,NASDAQ
EXEL,23-Feb-2010,6.66,6.66,6.44,6.53,478700,NASDAQ
EXEL,24-Feb-2010,6.53,6.66,6.48,6.53,417200,NASDAQ
EXEL,25-Feb-2010,6.42,6.45,6.28,6.36,650000,NASDAQ
EXEL,26-Feb-2010,6.38,6.5,6.32,6.47,519900,NASDAQ
EXEL,01-Mar-2010,6.52,6.86,6.52,6.85,780900,NASDAQ
EXEL,02-Mar-2010,6.83,6.89,6.71,6.76,1169900,NASDAQ
EXEL,03-Mar-2010,6.8,6.9,6.72,6.79,444200,NASDAQ
EXEL,04-Mar-2010,6.79,6.88,6.75,6.82,264900,NASDAQ
EXEL,05-Mar-2010,6.85,6.98,6.8,6.96,584000,NASDAQ
EXEL,08-Mar-2010,6.96,6.98,6.71,6.81,1111700,NASDAQ
EXEL,09-Mar-2010,6.82,6.86,6.22,6.31,2059000,NASDAQ
EXEL,10-Mar-2010,6.29,6.41,6.13,6.18,1980100,NASDAQ
EXEL,11-Mar-2010,6.19,6.39,6.12,6.12,2426500,NASDAQ
EXEL,12-Mar-2010,6.15,6.62,6.15,6.46,1886100,NASDAQ
EXEL,15-Mar-2010,6.42,6.51,6.22,6.27,786700,NASDAQ
EXEL,16-Mar-2010,6.34,6.54,6.27,6.31,859200,NASDAQ
EXEL,17-Mar-2010,6.3,6.35,6.26,6.29,601300,NASDAQ
EXEL,18-Mar-2010,6.29,6.34,6.17,6.2,839400,NASDAQ
EXEL,19-Mar-2010,6.25,6.3,5.82,5.84,6994000,NASDAQ
EXEL,22-Mar-2010,5.81,6.07,5.77,5.82,1538500,NASDAQ
EXEL,23-Mar-2010,5.84,6.18,5.82,6.17,1029100,NASDAQ
EXEL,24-Mar-2010,6.15,6.23,6.01,6.08,795500,NASDAQ
EXEL,25-Mar-2010,6.11,6.26,6.04,6.04,626900,NASDAQ
EXEL,26-Mar-2010,6.05,6.2,5.96,6.01,670800,NASDAQ
EXEL,29-Mar-2010,6.01,6.1,5.96,6.02,620400,NASDAQ
EXEL,30-Mar-2010,6.02,6.19,6.0,6.01,808500,NASDAQ
EXEL,31-Mar-2010,5.98,6.21,5.95,6.07,1144500,NASDAQ
EXEL,01-Apr-2010,6.1,6.78,6.09,6.66,3864700,NASDAQ
EXEL,05-Apr-2010,6.99,7.0,6.5,6.55,1730500,NASDAQ
EXEL,06-Apr-2010,6.71,6.71,6.54,6.66,1168400,NASDAQ
EXEL,07-Apr-2010,6.67,6.68,6.5,6.55,775700,NASDAQ
EXEL,08-Apr-2010,6.54,6.55,6.27,6.48,1055000,NASDAQ
EXEL,09-Apr-2010,6.48,6.5,6.27,6.32,675400,NASDAQ
EXEL,12-Apr-2010,6.35,6.4,6.28,6.31,824000,NASDAQ
EXEL,13-Apr-2010,6.32,6.33,6.25,6.26,807400,NASDAQ
EXEL,14-Apr-2010,6.32,6.37,6.21,6.34,691300,NASDAQ
EXEL,15-Apr-2010,6.34,6.4,6.2,6.28,1027800,NASDAQ
EXEL,16-Apr-2010,6.28,6.28,5.96,6.03,1690800,NASDAQ
EXEL,19-Apr-2010,6.0,6.06,5.86,5.89,1369500,NASDAQ
EXEL,20-Apr-2010,5.91,6.15,5.85,6.14,1739100,NASDAQ
EXEL,21-Apr-2010,6.16,6.2,5.97,6.03,1136800,NASDAQ
EXEL,22-Apr-2010,6.06,6.21,5.87,5.9,2234200,NASDAQ
EXEL,23-Apr-2010,5.93,6.02,5.84,5.89,936900,NASDAQ
EXEL,26-Apr-2010,5.9,5.98,5.81,5.81,610100,NASDAQ
EXEL,27-Apr-2010,5.77,5.86,5.62,5.68,1135400,NASDAQ
EXEL,28-Apr-2010,5.7,5.88,5.65,5.86,1206000,NASDAQ
EXEL,29-Apr-2010,5.88,5.9,5.76,5.9,1067300,NASDAQ
EXEL,30-Apr-2010,5.87,5.9,5.71,5.8,1052600,NASDAQ
EXEL,03-May-2010,5.79,5.95,5.74,5.91,1042200,NASDAQ
