name,date,open_price,close_price,high_price,low_price,volume,market
FELE,04-Jan-2010,14.69,14.88,14.585,14.79,60200,NASDAQ
FELE,05-Jan-2010,14.81,14.85,14.565,14.62,46900,NASDAQ
FELE,06-Jan-2010,14.665,15.04,14.6,14.975,92200,NASDAQ
FELE,07-Jan-2010,15.025,15.225,14.665,15.18,74500,NASDAQ
FELE,08-Jan-2010,15.17,15.435,15.105,15.41,72100,NASDAQ
FELE,11-Jan-2010,15.45,15.475,15.2,15.355,65300,NASDAQ
FELE,12-Jan-2010,15.195,15.395,15.07,15.17,40400,NASDAQ
FELE,13-Jan-2010,15.24,15.385,15.115,15.2,41300,NASDAQ
FELE,14-Jan-2010,15.115,15.325,15.115,15.19,33400,NASDAQ
FELE,15-Jan-2010,15.265,15.295,14.62,14.805,110000,NASDAQ
FELE,19-Jan-2010,14.805,15.155,14.74,14.805,103200,NASDAQ
FELE,20-Jan-2010,14.67,14.705,14.215,14.595,124800,NASDAQ
FELE,21-Jan-2010,14.665,14.665,13.88,14.085,86500,NASDAQ
FELE,22-Jan-2010,14.1,14.25,13.75,13.805,119700,NASDAQ
FELE,25-Jan-2010,13.89,13.94,13.5,13.505,96600,NASDAQ
FELE,26-Jan-2010,13.455,13.565,13.35,13.375,91200,NASDAQ
FELE,27-Jan-2010,13.26,13.54,13.2,13.505,118100,NASDAQ
FELE,28-Jan-2010,13.555,13.555,13.045,13.215,60200,NASDAQ
FELE,29-Jan-2010,13.305,13.42,12.98,13.015,135000,NASDAQ
FELE,01-Feb-2010,13.11,13.37,12.955,13.295,68500,NASDAQ
FELE,02-Feb-2010,13.32,13.47,13.13,13.37,181300,NASDAQ
FELE,03-Feb-2010,13.275,13.5,12.985,13.14,97100,NASDAQ
FELE,04-Feb-2010,13.075,13.285,12.635,12.65,94200,NASDAQ
FELE,05-Feb-2010,12.64,12.89,12.5,12.865,149500,NASDAQ
FELE,08-Feb-2010,12.815,12.84,12.465,12.55,87400,NASDAQ
FELE,09-Feb-2010,12.64,12.815,12.525,12.635,133800,NASDAQ
FELE,10-Feb-2010,12.535,13.035,12.515,12.995,158000,NASDAQ
FELE,11-Feb-2010,12.915,13.24,12.79,13.195,101000,NASDAQ
FELE,12-Feb-2010,12.99,13.37,12.635,13.365,84800,NASDAQ
FELE,16-Feb-2010,13.475,13.81,13.355,13.575,151000,NASDAQ
FELE,17-Feb-2010,13.65,14.6,13.65,14.365,210800,NASDAQ
FELE,18-Feb-2010,14.31,14.795,14.255,14.465,184500,NASDAQ
FELE,19-Feb-2010,14.465,14.54,14.13,14.325,137900,NASDAQ
FELE,22-Feb-2010,14.415,14.525,14.015,14.41,230300,NASDAQ
FELE,23-Feb-2010,14.43,14.5,14.245,14.32,78200,NASDAQ
FELE,24-Feb-2010,14.325,14.44,14.28,14.385,193100,NASDAQ
FELE,25-Feb-2010,14.21,14.5,14.195,14.5,196100,NASDAQ
FELE,26-Feb-2010,14.55,14.63,14.185,14.26,247100,NASDAQ
FELE,01-Mar-2010,14.26,14.5,14.25,14.48,331100,NASDAQ
FELE,02-Mar-2010,14.46,14.6,14.32,14.38,368500,NASDAQ
