name,date,open_price,close_price,high_price,low_price,volume,market
FFHL,04-Jan-2010,1.21,1.27,1.21,1.27,3700,NASDAQ
FFHL,05-Jan-2010,1.22,1.32,1.22,1.31,32700,NASDAQ
FFHL,06-Jan-2010,1.28,1.28,1.22,1.23,8400,NASDAQ
FFHL,07-Jan-2010,1.24,1.24,1.16,1.16,62700,NASDAQ
FFHL,08-Jan-2010,1.17,1.22,1.15,1.18,26200,NASDAQ
FFHL,11-Jan-2010,1.22,1.25,1.22,1.25,15700,NASDAQ
FFHL,12-Jan-2010,1.25,1.29,1.2,1.29,8800,NASDAQ
FFHL,13-Jan-2010,1.26,1.29,1.2,1.26,9700,NASDAQ
FFHL,14-Jan-2010,1.24,1.24,1.2,1.21,19800,NASDAQ
FFHL,15-Jan-2010,1.2,1.2,1.11,1.15,56500,NASDAQ
FFHL,19-Jan-2010,1.15,1.19,1.13,1.19,8400,NASDAQ
FFHL,20-Jan-2010,1.15,1.15,1.11,1.15,31900,NASDAQ
FFHL,21-Jan-2010,1.13,1.15,1.07,1.15,11900,NASDAQ
FFHL,22-Jan-2010,1.11,1.11,1.05,1.05,12100,NASDAQ
FFHL,25-Jan-2010,1.03,1.13,1.03,1.08,17400,NASDAQ
FFHL,26-Jan-2010,1.07,1.09,1.05,1.07,10300,NASDAQ
FFHL,27-Jan-2010,1.05,1.12,1.05,1.09,3000,NASDAQ
FFHL,28-Jan-2010,1.06,1.07,1.05,1.07,11400,NASDAQ
FFHL,29-Jan-2010,1.05,1.07,1.05,1.07,1000,NASDAQ
FFHL,01-Feb-2010,1.1,1.1,1.06,1.07,1900,NASDAQ
FFHL,02-Feb-2010,1.05,1.1,1.05,1.08,14500,NASDAQ
FFHL,03-Feb-2010,1.14,1.14,1.03,1.06,10200,NASDAQ
FFHL,04-Feb-2010,1.02,1.05,1.02,1.02,4800,NASDAQ
FFHL,05-Feb-2010,1.01,1.04,1.01,1.04,5200,NASDAQ
FFHL,08-Feb-2010,1.02,1.05,1.0,1.04,17200,NASDAQ
FFHL,09-Feb-2010,1.02,1.02,1.0,1.0,11000,NASDAQ
FFHL,10-Feb-2010,1.0,1.02,1.0,1.0,1400,NASDAQ
FFHL,11-Feb-2010,1.0,1.02,1.0,1.02,5800,NASDAQ
FFHL,12-Feb-2010,1.01,1.02,1.01,1.01,2100,NASDAQ
FFHL,16-Feb-2010,1.0,1.0,0.97,0.99,4500,NASDAQ
FFHL,17-Feb-2010,1.0,1.0,0.98,0.99,4300,NASDAQ
FFHL,18-Feb-2010,0.96,0.97,0.86,0.97,9000,NASDAQ
FFHL,19-Feb-2010,0.97,0.98,0.97,0.98,1700,NASDAQ
FFHL,22-Feb-2010,0.98,0.98,0.94,0.96,2900,NASDAQ
