name,date,open_price,close_price,high_price,low_price,volume,market
FISV,04-Jan-2010,24.515,24.74,24.41,24.715,1267900,NASDAQ
FISV,05-Jan-2010,24.625,24.825,24.575,24.82,1336900,NASDAQ
FISV,06-Jan-2010,24.71,24.81,24.515,24.715,1389000,NASDAQ
FISV,07-Jan-2010,24.63,24.63,24.37,24.6,1201600,NASDAQ
FISV,08-Jan-2010,24.205,24.39,23.955,24.325,1519200,NASDAQ
FISV,11-Jan-2010,24.38,24.49,24.25,24.455,1446400,NASDAQ
FISV,12-Jan-2010,24.33,24.43,24.16,24.24,825900,NASDAQ
FISV,13-Jan-2010,24.395,24.545,24.25,24.445,905700,NASDAQ
FISV,14-Jan-2010,24.31,24.475,24.265,24.375,582600,NASDAQ
FISV,15-Jan-2010,24.305,24.51,23.825,23.97,1087300,NASDAQ
FISV,19-Jan-2010,23.885,24.34,23.87,24.33,923100,NASDAQ
FISV,20-Jan-2010,24.135,24.18,23.745,23.995,1060900,NASDAQ
FISV,21-Jan-2010,23.99,23.99,23.34,23.35,1714400,NASDAQ
FISV,22-Jan-2010,23.355,23.55,22.865,22.9,1563900,NASDAQ
FISV,25-Jan-2010,23.005,23.175,22.88,23.04,1940000,NASDAQ
FISV,26-Jan-2010,22.95,23.06,22.765,22.765,1093200,NASDAQ
FISV,27-Jan-2010,22.74,23.05,22.695,23.005,1545000,NASDAQ
FISV,28-Jan-2010,23.005,23.005,22.6,22.71,1825700,NASDAQ
FISV,29-Jan-2010,22.85,22.93,22.5,22.52,1930500,NASDAQ
FISV,01-Feb-2010,22.59,22.925,22.4,22.9,1718300,NASDAQ
FISV,02-Feb-2010,22.86,23.25,22.65,23.2,1908900,NASDAQ
FISV,03-Feb-2010,23.36,23.77,23.25,23.495,1741400,NASDAQ
FISV,04-Feb-2010,23.265,23.365,22.845,22.85,1827200,NASDAQ
FISV,05-Feb-2010,22.82,22.9,22.415,22.865,1839400,NASDAQ
FISV,08-Feb-2010,22.54,22.865,22.515,22.63,1171900,NASDAQ
FISV,09-Feb-2010,22.81,22.98,22.6,22.74,1806200,NASDAQ
FISV,10-Feb-2010,22.69,22.885,22.53,22.765,1198600,NASDAQ
FISV,11-Feb-2010,22.7,23.275,22.535,23.22,1560300,NASDAQ
FISV,12-Feb-2010,23.05,23.315,22.91,23.175,1554700,NASDAQ
FISV,16-Feb-2010,23.31,23.475,23.135,23.475,984300,NASDAQ
FISV,17-Feb-2010,23.53,23.625,23.435,23.56,1050700,NASDAQ
FISV,18-Feb-2010,23.615,23.62,23.415,23.53,1083000,NASDAQ
FISV,19-Feb-2010,23.44,23.96,23.355,23.795,1504300,NASDAQ
FISV,22-Feb-2010,23.885,23.92,23.595,23.655,1134700,NASDAQ
FISV,23-Feb-2010,23.575,23.795,23.435,23.525,1028500,NASDAQ
FISV,24-Feb-2010,23.705,23.895,23.61,23.845,1094300,NASDAQ
FISV,25-Feb-2010,23.53,24.015,23.445,23.965,1643000,NASDAQ
FISV,26-Feb-2010,24.01,24.14,23.815,24.105,1560200,NASDAQ
FISV,01-Mar-2010,24.165,24.53,24.01,24.455,1554400,NASDAQ
FISV,02-Mar-2010,24.545,24.63,24.35,24.525,1538800,NASDAQ
FISV,03-Mar-2010,24.65,24.965,24.55,24.605,2022100,NASDAQ
FISV,04-Mar-2010,24.615,24.675,24.4,24.575,1174500,NASDAQ
FISV,05-Mar-2010,24.6,24.975,24.495,24.865,2100500,NASDAQ
FISV,08-Mar-2010,24.78,25.0,24.73,24.955,1161400,NASDAQ
FISV,09-Mar-2010,24.85,25.11,24.82,25.03,1741100,NASDAQ
FISV,10-Mar-2010,24.98,25.25,24.885,25.25,1278400,NASDAQ
FISV,11-Mar-2010,25.09,25.165,24.97,25.125,1477100,NASDAQ
FISV,12-Mar-2010,25.175,25.25,25.08,25.21,1118400,NASDAQ
FISV,15-Mar-2010,25.195,25.405,25.125,25.345,1738300,NASDAQ
FISV,16-Mar-2010,25.38,25.415,25.195,25.33,1304300,NASDAQ
FISV,17-Mar-2010,25.475,25.79,25.28,25.63,1447200,NASDAQ
FISV,18-Mar-2010,25.61,25.695,25.5,25.54,1000700,NASDAQ
FISV,19-Mar-2010,25.715,25.735,25.25,25.34,2167300,NASDAQ
FISV,22-Mar-2010,25.29,25.71,25.195,25.635,959300,NASDAQ
FISV,23-Mar-2010,25.635,25.645,25.36,25.5,1514200,NASDAQ
FISV,24-Mar-2010,25.4,25.48,25.265,25.355,1375000,NASDAQ
FISV,25-Mar-2010,25.435,25.505,25.145,25.145,1053000,NASDAQ
FISV,26-Mar-2010,25.29,25.33,25.05,25.205,1118600,NASDAQ
FISV,29-Mar-2010,25.225,25.4,25.165,25.265,854500,NASDAQ
FISV,30-Mar-2010,25.195,25.445,25.1,25.375,1225200,NASDAQ
FISV,31-Mar-2010,25.355,25.525,25.325,25.38,1059200,NASDAQ
FISV,01-Apr-2010,25.28,25.71,25.28,25.565,1941100,NASDAQ
FISV,05-Apr-2010,25.57,25.75,25.525,25.7,639700,NASDAQ
FISV,06-Apr-2010,25.575,25.78,25.53,25.735,947600,NASDAQ
FISV,07-Apr-2010,25.62,25.675,25.47,25.585,1062500,NASDAQ
FISV,08-Apr-2010,25.455,25.72,25.295,25.63,1032100,NASDAQ
FISV,09-Apr-2010,25.75,25.88,25.56,25.88,528000,NASDAQ
FISV,12-Apr-2010,25.895,25.95,25.795,25.885,1300200,NASDAQ
FISV,13-Apr-2010,25.82,25.96,25.655,25.895,950300,NASDAQ
FISV,14-Apr-2010,25.89,26.155,25.845,26.155,1055400,NASDAQ
FISV,15-Apr-2010,26.145,26.785,26.12,26.74,1641600,NASDAQ
FISV,16-Apr-2010,26.665,26.71,26.265,26.505,1916400,NASDAQ
FISV,19-Apr-2010,26.435,26.595,26.305,26.595,1226600,NASDAQ
FISV,20-Apr-2010,26.65,26.84,26.555,26.755,1185800,NASDAQ
FISV,21-Apr-2010,26.61,26.785,26.495,26.755,1397400,NASDAQ
FISV,22-Apr-2010,26.61,26.965,26.44,26.92,1215400,NASDAQ
FISV,23-Apr-2010,26.96,27.1,26.68,27.045,910700,NASDAQ
FISV,26-Apr-2010,27.47,27.585,27.045,27.075,1128000,NASDAQ
FISV,27-Apr-2010,26.985,27.38,26.745,26.82,1475000,NASDAQ
FISV,28-Apr-2010,27.03,27.12,26.73,27.015,1613700,NASDAQ
FISV,29-Apr-2010,27.085,27.405,26.955,27.345,1358000,NASDAQ
FISV,30-Apr-2010,25.91,26.035,25.34,25.565,5269800,NASDAQ
FISV,03-May-2010,25.39,26.06,25.39,26.06,2330300,NASDAQ
FISV,04-May-2010,25.79,25.79,25.26,25.49,1647700,NASDAQ
FISV,05-May-2010,25.6,25.85,25.145,25.475,1382900,NASDAQ
FISV,06-May-2010,25.26,27.635,25.0,25.86,10716700,NASDAQ
FISV,07-May-2010,25.65,26.03,25.1,25.51,3459300,NASDAQ
FISV,10-May-2010,26.22,26.76,25.87,26.35,2110300,NASDAQ
FISV,11-May-2010,26.165,26.48,26.05,26.195,1658000,NASDAQ
FISV,12-May-2010,26.335,26.645,25.965,26.285,2820800,NASDAQ
FISV,13-May-2010,26.0,26.03,24.905,24.975,4692300,NASDAQ
FISV,14-May-2010,24.87,25.03,24.635,24.865,2488000,NASDAQ
FISV,17-May-2010,24.9,25.21,24.605,25.015,1614200,NASDAQ
FISV,18-May-2010,25.315,25.37,24.595,24.645,2871500,NASDAQ
FISV,19-May-2010,24.31,24.62,24.215,24.38,2154500,NASDAQ
FISV,20-May-2010,24.055,24.255,23.415,23.445,2787000,NASDAQ
FISV,21-May-2010,23.17,23.75,22.88,23.715,2553000,NASDAQ
FISV,24-May-2010,23.595,23.66,23.27,23.33,1687700,NASDAQ
FISV,25-May-2010,23.005,23.43,22.805,23.415,2066300,NASDAQ
FISV,26-May-2010,23.64,23.775,23.2,23.225,2730400,NASDAQ
FISV,27-May-2010,23.58,24.025,23.515,24.025,1674200,NASDAQ
FISV,28-May-2010,23.895,24.0,23.65,23.775,1439300,NASDAQ
FISV,01-Jun-2010,23.645,23.86,23.23,23.26,1693600,NASDAQ
FISV,02-Jun-2010,23.305,23.595,23.045,23.58,1582600,NASDAQ
FISV,03-Jun-2010,23.56,23.925,23.36,23.81,1658200,NASDAQ
FISV,04-Jun-2010,23.45,23.655,23.06,23.11,1567300,NASDAQ
FISV,07-Jun-2010,23.15,23.23,22.665,22.665,1679400,NASDAQ
FISV,08-Jun-2010,22.685,22.91,22.465,22.86,2037200,NASDAQ
FISV,09-Jun-2010,22.89,23.345,22.81,22.87,2065700,NASDAQ
FISV,10-Jun-2010,23.195,23.595,23.02,23.58,1215600,NASDAQ
FISV,11-Jun-2010,23.535,23.79,23.495,23.755,1312200,NASDAQ
FISV,14-Jun-2010,23.895,24.085,23.765,23.915,1993500,NASDAQ
FISV,15-Jun-2010,24.05,24.47,23.99,24.455,1618000,NASDAQ
FISV,16-Jun-2010,24.28,24.48,24.18,24.375,877300,NASDAQ
FISV,17-Jun-2010,24.505,24.505,24.255,24.405,799900,NASDAQ
FISV,18-Jun-2010,24.4,24.595,24.27,24.44,1294900,NASDAQ
FISV,21-Jun-2010,24.625,24.7,24.105,24.245,1080100,NASDAQ
FISV,22-Jun-2010,24.04,24.535,23.86,23.91,836200,NASDAQ
FISV,23-Jun-2010,23.91,24.0,23.67,23.825,825300,NASDAQ
FISV,24-Jun-2010,23.68,23.815,23.375,23.405,806800,NASDAQ
FISV,25-Jun-2010,23.44,23.71,23.35,23.53,2585100,NASDAQ
FISV,28-Jun-2010,23.62,23.665,23.29,23.525,876100,NASDAQ
FISV,29-Jun-2010,23.285,23.34,22.77,22.965,1680400,NASDAQ
FISV,30-Jun-2010,22.88,23.6,22.725,22.83,1533900,NASDAQ
FISV,01-Jul-2010,22.86,23.075,22.575,22.91,1164400,NASDAQ
FISV,02-Jul-2010,22.945,22.955,22.55,22.735,639900,NASDAQ
FISV,06-Jul-2010,22.905,23.07,22.565,22.75,1736300,NASDAQ
FISV,07-Jul-2010,22.71,23.21,22.71,23.18,1606000,NASDAQ
FISV,08-Jul-2010,23.275,23.345,22.85,23.035,2407700,NASDAQ
FISV,09-Jul-2010,22.95,23.21,22.95,23.13,1099900,NASDAQ
FISV,12-Jul-2010,23.035,23.185,22.89,23.005,1421200,NASDAQ
FISV,13-Jul-2010,23.17,23.605,23.13,23.55,1266500,NASDAQ
FISV,14-Jul-2010,23.545,23.72,23.405,23.545,733500,NASDAQ
FISV,15-Jul-2010,23.525,23.65,23.3,23.59,931800,NASDAQ
FISV,16-Jul-2010,23.605,23.605,22.785,22.8,1472000,NASDAQ
FISV,19-Jul-2010,22.84,23.0,22.585,22.86,1014800,NASDAQ
FISV,20-Jul-2010,22.55,23.165,22.425,23.16,1111500,NASDAQ
FISV,21-Jul-2010,23.22,23.235,22.6,22.635,1042000,NASDAQ
