name,date,open_price,close_price,high_price,low_price,volume,market
FONR,04-Jan-2010,1.62,1.74,1.62,1.7,24300,NASDAQ
FONR,05-Jan-2010,1.74,1.9,1.72,1.75,34600,NASDAQ
FONR,06-Jan-2010,1.83,1.9,1.8,1.84,40600,NASDAQ
FONR,07-Jan-2010,1.96,1.96,1.86,1.94,34800,NASDAQ
FONR,08-Jan-2010,1.93,1.93,1.9,1.91,12600,NASDAQ
FONR,11-Jan-2010,1.93,1.93,1.85,1.91,18800,NASDAQ
FONR,12-Jan-2010,1.86,1.95,1.76,1.84,18200,NASDAQ
FONR,13-Jan-2010,1.84,1.88,1.8,1.88,6300,NASDAQ
FONR,14-Jan-2010,1.9,1.9,1.83,1.89,6200,NASDAQ
FONR,15-Jan-2010,1.88,1.9,1.81,1.88,2800,NASDAQ
FONR,19-Jan-2010,1.85,1.86,1.8,1.82,3400,NASDAQ
FONR,20-Jan-2010,1.81,1.82,1.8,1.81,4700,NASDAQ
FONR,21-Jan-2010,1.81,1.81,1.74,1.74,13400,NASDAQ
FONR,22-Jan-2010,1.71,1.84,1.71,1.72,13800,NASDAQ
FONR,25-Jan-2010,1.71,1.73,1.7,1.73,3900,NASDAQ
FONR,26-Jan-2010,1.73,1.73,1.7,1.7,3000,NASDAQ
FONR,27-Jan-2010,1.73,1.73,1.5,1.57,49500,NASDAQ
FONR,28-Jan-2010,1.55,1.55,1.45,1.5,22800,NASDAQ
FONR,29-Jan-2010,1.5,1.5,1.47,1.48,5500,NASDAQ
FONR,01-Feb-2010,1.46,1.47,1.44,1.44,12700,NASDAQ
FONR,02-Feb-2010,1.44,1.58,1.41,1.58,14000,NASDAQ
FONR,03-Feb-2010,1.58,1.72,1.51,1.72,13600,NASDAQ
FONR,04-Feb-2010,1.68,1.68,1.55,1.6,6900,NASDAQ
FONR,05-Feb-2010,1.57,1.59,1.46,1.57,14800,NASDAQ
FONR,08-Feb-2010,1.57,1.7,1.43,1.47,30900,NASDAQ
FONR,09-Feb-2010,1.5,1.62,1.45,1.48,3800,NASDAQ
FONR,10-Feb-2010,1.48,1.48,1.48,1.48,0,NASDAQ
FONR,11-Feb-2010,1.48,1.5,1.44,1.47,14100,NASDAQ
FONR,12-Feb-2010,1.7,1.7,1.49,1.5,12700,NASDAQ
FONR,16-Feb-2010,1.53,1.53,1.44,1.44,17700,NASDAQ
FONR,17-Feb-2010,1.54,1.55,1.44,1.5,12700,NASDAQ
FONR,18-Feb-2010,1.5,1.61,1.49,1.58,13600,NASDAQ
FONR,19-Feb-2010,1.53,1.57,1.48,1.5,16200,NASDAQ
FONR,22-Feb-2010,1.55,1.58,1.46,1.48,7600,NASDAQ
FONR,23-Feb-2010,1.44,1.48,1.3,1.33,47900,NASDAQ
FONR,24-Feb-2010,1.42,1.42,1.3,1.32,10000,NASDAQ
FONR,25-Feb-2010,1.33,1.34,1.3,1.33,6700,NASDAQ
FONR,26-Feb-2010,1.33,1.53,1.23,1.36,172700,NASDAQ
FONR,01-Mar-2010,1.3,1.46,1.3,1.32,15900,NASDAQ
FONR,02-Mar-2010,1.31,1.35,1.22,1.23,18600,NASDAQ
FONR,03-Mar-2010,1.26,1.27,1.2,1.2,24000,NASDAQ
FONR,04-Mar-2010,1.2,1.25,1.2,1.25,7700,NASDAQ
FONR,05-Mar-2010,1.25,1.28,1.25,1.26,8200,NASDAQ
FONR,08-Mar-2010,1.28,1.28,1.2,1.26,12700,NASDAQ
FONR,09-Mar-2010,1.3,1.56,1.3,1.38,27600,NASDAQ
FONR,10-Mar-2010,1.41,1.44,1.19,1.33,4900,NASDAQ
FONR,11-Mar-2010,1.33,1.43,1.33,1.35,2100,NASDAQ
FONR,12-Mar-2010,1.35,1.42,1.35,1.42,12400,NASDAQ
