name,date,open_price,close_price,high_price,low_price,volume,market
FUND,04-Jan-2010,6.38,6.55,6.38,6.52,73300,NASDAQ
FUND,05-Jan-2010,6.52,6.62,6.52,6.62,66800,NASDAQ
FUND,06-Jan-2010,6.64,6.69,6.58,6.64,39000,NASDAQ
FUND,07-Jan-2010,6.67,6.67,6.6,6.66,39500,NASDAQ
FUND,08-Jan-2010,6.7,6.7,6.63,6.66,23900,NASDAQ
FUND,11-Jan-2010,6.7,6.72,6.65,6.7,59300,NASDAQ
FUND,12-Jan-2010,6.7,6.7,6.5,6.57,55800,NASDAQ
FUND,13-Jan-2010,6.62,6.62,6.49,6.58,29200,NASDAQ
FUND,14-Jan-2010,6.62,6.74,6.61,6.73,44900,NASDAQ
FUND,15-Jan-2010,6.73,6.73,6.6,6.67,102600,NASDAQ
FUND,19-Jan-2010,6.67,6.85,6.6,6.78,50400,NASDAQ
FUND,20-Jan-2010,6.75,6.75,6.53,6.64,32100,NASDAQ
FUND,21-Jan-2010,6.65,6.65,6.34,6.42,73400,NASDAQ
FUND,22-Jan-2010,6.41,6.48,6.26,6.3,49800,NASDAQ
FUND,25-Jan-2010,6.46,6.46,6.25,6.28,32200,NASDAQ
FUND,26-Jan-2010,6.28,6.28,5.95,6.1,120700,NASDAQ
FUND,27-Jan-2010,6.1,6.2,6.09,6.16,48900,NASDAQ
FUND,28-Jan-2010,6.1,6.1,5.97,6.03,48300,NASDAQ
FUND,29-Jan-2010,6.01,6.11,6.01,6.01,17500,NASDAQ
FUND,01-Feb-2010,6.09,6.12,5.91,6.08,55400,NASDAQ
FUND,02-Feb-2010,6.13,6.32,6.1,6.25,48700,NASDAQ
FUND,03-Feb-2010,6.22,6.27,6.17,6.18,48700,NASDAQ
FUND,04-Feb-2010,6.08,6.14,5.93,5.94,58600,NASDAQ
FUND,05-Feb-2010,5.9,5.9,5.77,5.89,72500,NASDAQ
FUND,08-Feb-2010,5.93,6.03,5.56,5.83,161800,NASDAQ
FUND,09-Feb-2010,5.9,5.94,5.81,5.91,50100,NASDAQ
FUND,10-Feb-2010,5.95,5.97,5.88,5.94,42100,NASDAQ
FUND,11-Feb-2010,5.88,6.03,5.7,6.03,46000,NASDAQ
FUND,12-Feb-2010,6.02,6.08,6.01,6.07,22500,NASDAQ
FUND,16-Feb-2010,6.07,6.15,6.07,6.15,28100,NASDAQ
FUND,17-Feb-2010,6.2,6.23,6.18,6.2,54900,NASDAQ
FUND,18-Feb-2010,6.25,6.31,6.2,6.26,27400,NASDAQ
FUND,19-Feb-2010,6.25,6.32,6.23,6.3,22100,NASDAQ
FUND,22-Feb-2010,6.29,6.3,6.25,6.3,34000,NASDAQ
FUND,23-Feb-2010,6.29,6.29,6.19,6.22,33400,NASDAQ
FUND,24-Feb-2010,6.29,6.29,6.14,6.14,31800,NASDAQ
FUND,25-Feb-2010,6.13,6.13,5.92,6.11,32700,NASDAQ
FUND,26-Feb-2010,6.14,6.16,6.09,6.15,40400,NASDAQ
FUND,01-Mar-2010,6.18,6.3,6.16,6.27,56600,NASDAQ
FUND,02-Mar-2010,6.32,6.37,6.29,6.36,15100,NASDAQ
FUND,03-Mar-2010,6.36,6.44,6.36,6.41,41500,NASDAQ
FUND,04-Mar-2010,6.45,6.46,6.39,6.41,16900,NASDAQ
FUND,05-Mar-2010,6.5,6.64,6.5,6.62,131500,NASDAQ
FUND,08-Mar-2010,6.57,6.67,6.57,6.63,40100,NASDAQ
FUND,09-Mar-2010,6.57,6.67,6.53,6.62,33800,NASDAQ
FUND,10-Mar-2010,6.55,6.73,6.55,6.68,91400,NASDAQ
FUND,11-Mar-2010,6.65,6.65,6.58,6.61,11500,NASDAQ
FUND,12-Mar-2010,6.68,6.69,6.65,6.66,31600,NASDAQ
FUND,15-Mar-2010,6.6,6.64,6.58,6.62,30000,NASDAQ
FUND,16-Mar-2010,6.61,6.79,6.61,6.72,39200,NASDAQ
