name,date,open_price,close_price,high_price,low_price,volume,market
GABC,04-Jan-2010,10.92,11.0867,10.8533,11.0333,8600,NASDAQ
GABC,05-Jan-2010,10.8533,10.94,10.8,10.82,9100,NASDAQ
GABC,06-Jan-2010,10.7733,11.2067,10.38,10.38,47200,NASDAQ
GABC,07-Jan-2010,10.4667,10.4867,10.1333,10.32,14700,NASDAQ
GABC,08-Jan-2010,10.4533,10.5533,10.0467,10.14,7800,NASDAQ
GABC,11-Jan-2010,10.2067,10.7933,10.0133,10.4733,32000,NASDAQ
GABC,12-Jan-2010,10.4333,10.5467,10.1,10.1333,17200,NASDAQ
GABC,13-Jan-2010,10.1733,10.3867,10.0933,10.0933,7200,NASDAQ
GABC,14-Jan-2010,10.26,10.6867,10.26,10.48,8100,NASDAQ
GABC,15-Jan-2010,10.5667,10.7067,10.2,10.2,19800,NASDAQ
GABC,19-Jan-2010,10.18,10.6867,10.1267,10.6467,16100,NASDAQ
GABC,20-Jan-2010,10.5867,10.6,10.1867,10.2,5200,NASDAQ
GABC,21-Jan-2010,10.2333,10.2333,9.84,9.8667,25800,NASDAQ
GABC,22-Jan-2010,9.9333,10.2,9.6667,9.74,20000,NASDAQ
GABC,25-Jan-2010,9.8333,10.1133,9.64,9.7333,7400,NASDAQ
GABC,26-Jan-2010,9.7533,9.9733,9.5067,9.5067,8900,NASDAQ
GABC,27-Jan-2010,9.5333,9.9067,9.5333,9.7667,4900,NASDAQ
GABC,28-Jan-2010,9.8,10.24,9.7067,9.92,20600,NASDAQ
GABC,29-Jan-2010,9.9667,10.0933,9.8333,9.9067,12700,NASDAQ
GABC,01-Feb-2010,9.9667,9.98,9.7,9.74,12000,NASDAQ
GABC,02-Feb-2010,9.7333,10.1,9.7333,9.74,16300,NASDAQ
GABC,03-Feb-2010,9.7667,9.8333,9.6067,9.6067,7900,NASDAQ
GABC,04-Feb-2010,9.6333,9.9267,9.4733,9.5333,21300,NASDAQ
GABC,05-Feb-2010,9.5667,9.8,9.5667,9.7533,7000,NASDAQ
GABC,08-Feb-2010,9.7667,9.78,9.4533,9.4533,13500,NASDAQ
GABC,09-Feb-2010,9.5333,9.8733,9.5,9.62,7200,NASDAQ
GABC,10-Feb-2010,9.5467,9.6467,9.4733,9.54,6600,NASDAQ
GABC,11-Feb-2010,9.5533,10.0,9.5533,9.9067,14500,NASDAQ
GABC,12-Feb-2010,9.5067,10.02,9.5067,10.0,7300,NASDAQ
GABC,16-Feb-2010,10.0,10.0,9.7933,9.9867,6500,NASDAQ
GABC,17-Feb-2010,10.0,10.0,9.8,9.88,5400,NASDAQ
GABC,18-Feb-2010,9.9,9.94,9.7,9.94,20600,NASDAQ
GABC,19-Feb-2010,9.94,10.1,9.76,9.9,19900,NASDAQ
GABC,22-Feb-2010,9.96,10.06,9.8667,10.06,7300,NASDAQ
GABC,23-Feb-2010,10.0467,10.1533,9.7467,10.1333,13000,NASDAQ
GABC,24-Feb-2010,10.1667,10.4,10.1667,10.3333,11400,NASDAQ
GABC,25-Feb-2010,10.5,11.1,10.5,10.98,33400,NASDAQ
GABC,26-Feb-2010,10.98,11.0733,10.38,10.5533,16500,NASDAQ
GABC,01-Mar-2010,10.62,10.92,10.32,10.8333,9800,NASDAQ
GABC,02-Mar-2010,11.0467,11.0467,10.6933,10.94,10200,NASDAQ
GABC,03-Mar-2010,10.98,10.9933,10.7667,10.8667,10700,NASDAQ
GABC,04-Mar-2010,10.8733,10.96,10.7667,10.92,4400,NASDAQ
GABC,05-Mar-2010,10.9467,11.2667,10.66,11.1867,20800,NASDAQ
GABC,08-Mar-2010,10.96,11.1667,10.9333,11.1667,3200,NASDAQ
GABC,09-Mar-2010,11.1267,11.22,11.0333,11.2,4400,NASDAQ
GABC,10-Mar-2010,11.1667,11.1667,10.5933,11.0533,8200,NASDAQ
GABC,11-Mar-2010,11.0667,11.28,10.98,11.1533,5400,NASDAQ
GABC,12-Mar-2010,11.14,11.14,10.88,10.8933,3100,NASDAQ
GABC,15-Mar-2010,11.1267,11.1733,10.7333,11.0267,12700,NASDAQ
GABC,16-Mar-2010,11.0733,11.0733,10.88,11.02,2500,NASDAQ
GABC,17-Mar-2010,10.9733,11.0867,10.7867,10.8933,14500,NASDAQ
GABC,18-Mar-2010,10.8067,11.1067,10.5,10.8133,12400,NASDAQ
GABC,19-Mar-2010,10.8733,10.94,10.54,10.7267,24400,NASDAQ
GABC,22-Mar-2010,10.6733,10.9267,10.4067,10.9,9400,NASDAQ
GABC,23-Mar-2010,10.8467,11.1267,10.4933,10.68,23200,NASDAQ
GABC,24-Mar-2010,10.66,10.7267,10.44,10.4467,19700,NASDAQ
GABC,25-Mar-2010,10.5,10.6867,10.2667,10.2667,6600,NASDAQ
GABC,26-Mar-2010,10.3067,10.5733,10.2,10.38,10700,NASDAQ
GABC,29-Mar-2010,10.4133,10.4533,10.2133,10.2133,3600,NASDAQ
GABC,30-Mar-2010,10.2467,10.2733,10.1667,10.2667,17300,NASDAQ
GABC,31-Mar-2010,10.2,10.4267,10.0067,10.0867,15200,NASDAQ
GABC,01-Apr-2010,10.1,10.36,10.0,10.0,6100,NASDAQ
GABC,05-Apr-2010,10.0267,10.5533,10.0267,10.48,11300,NASDAQ
GABC,06-Apr-2010,10.42,10.42,10.2,10.2867,3900,NASDAQ
GABC,07-Apr-2010,10.2067,10.4267,10.1333,10.1733,13500,NASDAQ
GABC,08-Apr-2010,10.1867,10.2533,10.02,10.02,15900,NASDAQ
GABC,09-Apr-2010,10.0733,10.2067,9.8333,9.9,15700,NASDAQ
GABC,12-Apr-2010,9.8333,10.0467,9.7333,9.7867,13300,NASDAQ
GABC,13-Apr-2010,9.8667,10.48,9.8067,10.4467,14000,NASDAQ
GABC,14-Apr-2010,10.44,10.6067,10.2467,10.6067,5800,NASDAQ
GABC,15-Apr-2010,10.3333,10.6667,10.3333,10.6667,5200,NASDAQ
GABC,16-Apr-2010,10.6667,10.6667,10.4933,10.4933,10800,NASDAQ
