name,date,open_price,close_price,high_price,low_price,volume,market
GAIN,04-Jan-2010,4.66,4.83,4.61,4.83,93000,NASDAQ
GAIN,05-Jan-2010,4.79,4.83,4.75,4.77,55000,NASDAQ
GAIN,06-Jan-2010,4.77,4.94,4.7,4.76,35400,NASDAQ
GAIN,07-Jan-2010,4.76,4.9,4.76,4.89,42800,NASDAQ
GAIN,08-Jan-2010,4.88,4.91,4.77,4.85,50800,NASDAQ
GAIN,11-Jan-2010,4.89,4.92,4.8,4.81,55400,NASDAQ
GAIN,12-Jan-2010,4.76,4.88,4.76,4.83,27800,NASDAQ
GAIN,13-Jan-2010,4.85,4.9,4.82,4.89,31900,NASDAQ
GAIN,14-Jan-2010,4.86,4.99,4.85,4.96,30300,NASDAQ
GAIN,15-Jan-2010,4.97,4.97,4.85,4.85,66500,NASDAQ
GAIN,19-Jan-2010,4.85,4.94,4.84,4.94,57000,NASDAQ
GAIN,20-Jan-2010,4.87,4.93,4.82,4.91,32400,NASDAQ
GAIN,21-Jan-2010,4.91,4.94,4.71,4.75,60900,NASDAQ
GAIN,22-Jan-2010,4.75,4.89,4.75,4.83,52400,NASDAQ
GAIN,25-Jan-2010,4.9,4.9,4.71,4.81,41500,NASDAQ
GAIN,26-Jan-2010,4.79,4.83,4.71,4.74,55500,NASDAQ
GAIN,27-Jan-2010,4.71,4.94,4.71,4.89,30500,NASDAQ
GAIN,28-Jan-2010,4.91,4.91,4.74,4.76,38000,NASDAQ
GAIN,29-Jan-2010,4.81,4.88,4.74,4.77,74400,NASDAQ
GAIN,01-Feb-2010,4.8,4.84,4.65,4.67,62700,NASDAQ
GAIN,02-Feb-2010,4.66,4.72,4.62,4.69,80000,NASDAQ
GAIN,03-Feb-2010,4.67,4.77,4.67,4.72,33200,NASDAQ
GAIN,04-Feb-2010,4.67,4.73,4.6,4.61,51300,NASDAQ
GAIN,05-Feb-2010,4.62,4.94,4.59,4.92,86500,NASDAQ
GAIN,08-Feb-2010,4.94,5.0,4.8,4.92,64900,NASDAQ
GAIN,09-Feb-2010,4.99,5.0,4.75,4.95,36000,NASDAQ
GAIN,10-Feb-2010,4.94,4.99,4.87,4.95,37600,NASDAQ
GAIN,11-Feb-2010,4.91,5.0,4.88,4.99,31900,NASDAQ
GAIN,12-Feb-2010,4.91,5.1,4.89,5.02,45600,NASDAQ
GAIN,16-Feb-2010,5.08,5.1,4.96,5.05,63300,NASDAQ
GAIN,17-Feb-2010,4.9,5.0,4.85,4.99,94700,NASDAQ
GAIN,18-Feb-2010,5.02,5.1,4.97,5.1,46100,NASDAQ
GAIN,19-Feb-2010,5.09,5.09,4.9,5.05,79000,NASDAQ
GAIN,22-Feb-2010,5.09,5.09,4.96,5.03,40900,NASDAQ
GAIN,23-Feb-2010,5.03,5.09,4.91,4.93,59100,NASDAQ
GAIN,24-Feb-2010,4.95,5.15,4.95,5.15,64700,NASDAQ
GAIN,25-Feb-2010,5.04,5.27,5.04,5.24,45800,NASDAQ
GAIN,26-Feb-2010,5.27,5.46,5.26,5.37,86100,NASDAQ
GAIN,01-Mar-2010,5.42,5.55,5.35,5.49,70100,NASDAQ
GAIN,02-Mar-2010,5.52,5.8,5.41,5.55,63400,NASDAQ
GAIN,03-Mar-2010,5.59,5.6,5.4,5.5,63700,NASDAQ
GAIN,04-Mar-2010,5.5,5.5,5.23,5.38,35700,NASDAQ
GAIN,05-Mar-2010,5.42,5.59,5.4,5.58,52000,NASDAQ
GAIN,08-Mar-2010,5.59,5.69,5.59,5.69,46200,NASDAQ
