name,date,open_price,close_price,high_price,low_price,volume,market
GOODP,04-Jan-2010,19.3,19.3,19.3,19.3,0,NASDAQ
GOODP,05-Jan-2010,18.61,19.39,18.61,19.0,2000,NASDAQ
GOODP,06-Jan-2010,19.0,19.0,19.0,19.0,0,NASDAQ
GOODP,07-Jan-2010,19.16,19.4,19.15,19.15,1900,NASDAQ
GOODP,08-Jan-2010,18.74,18.95,18.72,18.95,2400,NASDAQ
GOODP,11-Jan-2010,19.36,19.74,19.0,19.4,4200,NASDAQ
GOODP,12-Jan-2010,19.4,19.4,19.4,19.4,0,NASDAQ
GOODP,13-Jan-2010,20.0,20.41,20.0,20.41,600,NASDAQ
GOODP,14-Jan-2010,20.44,20.9,20.44,20.8,700,NASDAQ
GOODP,15-Jan-2010,20.75,21.96,20.69,21.35,2800,NASDAQ
GOODP,19-Jan-2010,21.35,21.35,21.35,21.35,500,NASDAQ
GOODP,20-Jan-2010,21.31,21.31,21.27,21.27,400,NASDAQ
GOODP,21-Jan-2010,21.27,21.27,21.27,21.27,0,NASDAQ
GOODP,22-Jan-2010,21.27,21.27,21.27,21.27,0,NASDAQ
GOODP,25-Jan-2010,23.4,23.4,22.99,22.99,200,NASDAQ
GOODP,26-Jan-2010,23.93,25.07,23.57,23.57,7600,NASDAQ
GOODP,27-Jan-2010,23.97,24.0,22.5,22.55,5000,NASDAQ
GOODP,28-Jan-2010,22.65,23.27,22.2,22.2,4900,NASDAQ
GOODP,29-Jan-2010,22.1,23.9,22.03,22.21,2800,NASDAQ
GOODP,01-Feb-2010,22.78,22.9,22.25,22.77,4000,NASDAQ
GOODP,02-Feb-2010,22.9,22.99,22.11,22.11,6200,NASDAQ
GOODP,03-Feb-2010,22.41,22.76,22.4,22.42,2200,NASDAQ
GOODP,04-Feb-2010,22.76,22.76,22.0,22.0,7800,NASDAQ
GOODP,05-Feb-2010,22.1,23.42,22.1,22.55,1700,NASDAQ
GOODP,08-Feb-2010,23.33,23.8,23.18,23.8,4800,NASDAQ
GOODP,09-Feb-2010,22.7,24.12,22.7,24.1,7800,NASDAQ
GOODP,10-Feb-2010,24.36,24.97,24.0,24.0,2800,NASDAQ
GOODP,11-Feb-2010,24.0,24.5,23.99,23.99,2300,NASDAQ
GOODP,12-Feb-2010,24.5,24.6,23.8,24.35,4300,NASDAQ
GOODP,16-Feb-2010,24.6,24.83,24.35,24.54,20800,NASDAQ
GOODP,17-Feb-2010,24.54,24.97,24.3,24.3,3500,NASDAQ
GOODP,18-Feb-2010,24.5,24.5,24.0,24.25,5100,NASDAQ
GOODP,19-Feb-2010,24.01,24.01,23.95,23.95,3300,NASDAQ
GOODP,22-Feb-2010,23.46,24.5,23.35,23.41,11900,NASDAQ
GOODP,23-Feb-2010,23.0,23.47,22.82,23.25,4100,NASDAQ
GOODP,24-Feb-2010,23.5,23.5,23.1,23.12,1600,NASDAQ
GOODP,25-Feb-2010,24.35,24.35,23.01,23.1,5000,NASDAQ
GOODP,26-Feb-2010,23.1,23.1,23.1,23.1,400,NASDAQ
GOODP,01-Mar-2010,24.22,24.22,23.21,23.21,1600,NASDAQ
GOODP,02-Mar-2010,23.6,23.92,23.5,23.5,1300,NASDAQ
GOODP,03-Mar-2010,23.2,23.2,23.1,23.1,600,NASDAQ
GOODP,04-Mar-2010,23.9,23.9,23.9,23.9,200,NASDAQ
GOODP,05-Mar-2010,24.07,24.07,23.29,23.62,1500,NASDAQ
GOODP,08-Mar-2010,23.93,23.93,23.82,23.82,500,NASDAQ
GOODP,09-Mar-2010,23.82,23.87,23.11,23.2,4300,NASDAQ
GOODP,10-Mar-2010,23.18,23.18,23.18,23.18,200,NASDAQ
GOODP,11-Mar-2010,23.24,23.4,23.24,23.4,200,NASDAQ
GOODP,12-Mar-2010,23.28,23.58,23.25,23.25,1300,NASDAQ
GOODP,15-Mar-2010,23.28,23.84,23.26,23.52,1600,NASDAQ
GOODP,16-Mar-2010,23.5,23.5,23.1,23.1,3100,NASDAQ
GOODP,17-Mar-2010,23.1,23.55,23.1,23.11,1300,NASDAQ
GOODP,18-Mar-2010,23.54,23.54,23.16,23.5,2200,NASDAQ
GOODP,19-Mar-2010,23.11,23.11,23.11,23.11,100,NASDAQ
GOODP,22-Mar-2010,20.51,23.0,20.5,23.0,10100,NASDAQ
GOODP,23-Mar-2010,23.0,23.0,22.5,22.54,2800,NASDAQ
GOODP,24-Mar-2010,22.53,22.72,22.36,22.36,2500,NASDAQ
GOODP,25-Mar-2010,22.73,22.75,22.68,22.75,8900,NASDAQ
GOODP,26-Mar-2010,22.8,22.8,22.26,22.35,5700,NASDAQ
GOODP,29-Mar-2010,22.35,23.39,22.14,23.02,1600,NASDAQ
GOODP,30-Mar-2010,22.26,22.99,22.17,22.4,1600,NASDAQ
GOODP,31-Mar-2010,23.02,23.02,23.02,23.02,100,NASDAQ
GOODP,01-Apr-2010,22.74,22.75,22.48,22.48,1800,NASDAQ
GOODP,05-Apr-2010,22.17,22.45,22.15,22.15,1900,NASDAQ
GOODP,06-Apr-2010,22.5,22.7,22.13,22.16,1900,NASDAQ
GOODP,07-Apr-2010,22.13,22.22,22.01,22.01,1500,NASDAQ
GOODP,08-Apr-2010,22.35,22.35,22.0,22.3,2300,NASDAQ
GOODP,09-Apr-2010,22.2,22.2,22.2,22.2,400,NASDAQ
GOODP,12-Apr-2010,22.0,22.35,22.0,22.08,1000,NASDAQ
GOODP,13-Apr-2010,22.29,22.29,21.9,21.91,4200,NASDAQ
GOODP,14-Apr-2010,22.28,22.34,22.07,22.34,3000,NASDAQ
GOODP,15-Apr-2010,22.39,22.39,22.39,22.39,200,NASDAQ
GOODP,16-Apr-2010,22.39,22.39,22.39,22.39,0,NASDAQ
GOODP,19-Apr-2010,22.39,22.39,22.39,22.39,100,NASDAQ
GOODP,20-Apr-2010,22.22,22.25,22.2,22.25,1100,NASDAQ
GOODP,21-Apr-2010,22.25,22.69,22.25,22.69,500,NASDAQ
GOODP,22-Apr-2010,22.5,22.5,22.5,22.5,1600,NASDAQ
GOODP,23-Apr-2010,22.01,22.01,22.01,22.01,200,NASDAQ
GOODP,26-Apr-2010,22.51,22.74,22.5,22.74,1400,NASDAQ
GOODP,27-Apr-2010,22.74,22.74,22.74,22.74,500,NASDAQ
GOODP,28-Apr-2010,22.73,22.74,22.66,22.74,1100,NASDAQ
GOODP,29-Apr-2010,22.74,22.74,21.91,22.74,1300,NASDAQ
GOODP,30-Apr-2010,22.74,22.74,22.74,22.74,0,NASDAQ
GOODP,03-May-2010,22.74,22.74,22.35,22.74,2200,NASDAQ
GOODP,04-May-2010,22.31,22.72,22.07,22.07,1200,NASDAQ
GOODP,05-May-2010,22.11,22.3,22.11,22.17,500,NASDAQ
GOODP,06-May-2010,22.08,22.08,22.0,22.0,1500,NASDAQ
GOODP,07-May-2010,22.05,22.6,22.01,22.01,700,NASDAQ
GOODP,10-May-2010,22.74,22.74,22.02,22.06,800,NASDAQ
