name,date,open_price,close_price,high_price,low_price,volume,market
GRVY,04-Jan-2010,13.2,13.52,12.48,13.2,36700,NASDAQ
GRVY,05-Jan-2010,13.2,13.2,12.88,13.2,15100,NASDAQ
GRVY,06-Jan-2010,12.88,13.52,12.88,13.2,61200,NASDAQ
GRVY,07-Jan-2010,13.2,13.92,13.2,13.68,116900,NASDAQ
GRVY,08-Jan-2010,13.44,14.4,13.44,14.4,51400,NASDAQ
GRVY,11-Jan-2010,14.4,14.88,14.32,14.88,65100,NASDAQ
GRVY,12-Jan-2010,14.48,14.72,13.76,14.0,44200,NASDAQ
GRVY,13-Jan-2010,13.84,14.48,13.6,14.0,33900,NASDAQ
GRVY,14-Jan-2010,13.84,14.32,13.6,13.92,17300,NASDAQ
GRVY,15-Jan-2010,14.0,14.0,13.04,13.44,26400,NASDAQ
GRVY,19-Jan-2010,13.44,14.32,12.96,14.0,65000,NASDAQ
GRVY,20-Jan-2010,14.0,14.0,13.6,13.6,48800,NASDAQ
GRVY,21-Jan-2010,13.6,13.92,13.04,13.76,84900,NASDAQ
GRVY,22-Jan-2010,13.2,13.76,12.96,13.36,32600,NASDAQ
GRVY,25-Jan-2010,13.36,13.6,13.2,13.36,32600,NASDAQ
GRVY,26-Jan-2010,13.6,13.6,13.36,13.36,25700,NASDAQ
GRVY,27-Jan-2010,13.44,13.76,13.36,13.36,58900,NASDAQ
GRVY,28-Jan-2010,13.6,13.84,13.52,13.84,96400,NASDAQ
GRVY,29-Jan-2010,14.16,16.0,14.0,15.36,246900,NASDAQ
GRVY,01-Feb-2010,16.0,16.0,14.8,15.28,239400,NASDAQ
GRVY,02-Feb-2010,15.12,15.44,14.8,15.44,86400,NASDAQ
GRVY,03-Feb-2010,15.6,15.84,14.96,15.84,49400,NASDAQ
GRVY,04-Feb-2010,15.84,15.84,15.04,15.84,63400,NASDAQ
GRVY,05-Feb-2010,15.52,15.52,14.72,15.36,36600,NASDAQ
GRVY,08-Feb-2010,15.36,15.68,14.64,15.68,25200,NASDAQ
GRVY,09-Feb-2010,15.36,15.84,15.36,15.84,26000,NASDAQ
GRVY,10-Feb-2010,15.68,15.76,15.36,15.76,8700,NASDAQ
GRVY,11-Feb-2010,15.76,15.76,15.52,15.6,22400,NASDAQ
GRVY,12-Feb-2010,15.2,15.2,14.8,15.2,57600,NASDAQ
GRVY,16-Feb-2010,15.2,15.6,14.88,15.6,98500,NASDAQ
GRVY,17-Feb-2010,15.92,16.72,15.6,16.72,268800,NASDAQ
GRVY,18-Feb-2010,16.24,16.8,15.68,16.64,104100,NASDAQ
GRVY,19-Feb-2010,16.08,16.64,16.0,16.32,39600,NASDAQ
GRVY,22-Feb-2010,16.48,16.48,15.6,15.6,53200,NASDAQ
GRVY,23-Feb-2010,15.28,15.6,15.28,15.52,14000,NASDAQ
GRVY,24-Feb-2010,15.52,16.48,15.28,15.52,66900,NASDAQ
GRVY,25-Feb-2010,15.2,16.0,15.2,16.0,31300,NASDAQ
GRVY,26-Feb-2010,16.0,16.4,15.28,15.6,66800,NASDAQ
GRVY,01-Mar-2010,15.36,16.4,15.36,16.32,46300,NASDAQ
GRVY,02-Mar-2010,16.4,16.4,16.0,16.4,21600,NASDAQ
GRVY,03-Mar-2010,15.92,16.4,15.52,15.52,25100,NASDAQ
GRVY,04-Mar-2010,15.68,16.0,15.36,15.44,18200,NASDAQ
GRVY,05-Mar-2010,16.0,16.0,15.04,15.28,51400,NASDAQ
GRVY,08-Mar-2010,15.12,16.0,14.96,15.92,121000,NASDAQ
GRVY,09-Mar-2010,15.6,16.0,14.88,15.6,85200,NASDAQ
GRVY,10-Mar-2010,15.6,16.0,15.6,16.0,150600,NASDAQ
GRVY,11-Mar-2010,15.84,16.0,15.6,15.92,58700,NASDAQ
GRVY,12-Mar-2010,15.68,16.08,15.68,16.0,10700,NASDAQ
GRVY,15-Mar-2010,15.92,15.92,15.52,15.84,56100,NASDAQ
GRVY,16-Mar-2010,15.68,15.76,15.12,15.76,170300,NASDAQ
GRVY,17-Mar-2010,15.76,15.76,15.04,15.2,49200,NASDAQ
GRVY,18-Mar-2010,15.2,15.28,14.96,15.2,24600,NASDAQ
GRVY,19-Mar-2010,15.04,15.04,14.32,14.8,40900,NASDAQ
GRVY,22-Mar-2010,14.32,14.4,13.6,14.0,179000,NASDAQ
GRVY,23-Mar-2010,13.84,13.84,13.52,13.76,66200,NASDAQ
GRVY,24-Mar-2010,13.92,14.88,13.6,13.76,36300,NASDAQ
GRVY,25-Mar-2010,14.16,14.16,13.92,14.0,13600,NASDAQ
GRVY,26-Mar-2010,13.76,13.76,12.8,13.6,123500,NASDAQ
GRVY,29-Mar-2010,13.36,14.8,12.8,13.84,225800,NASDAQ
GRVY,30-Mar-2010,14.16,14.8,13.84,14.4,83400,NASDAQ
GRVY,31-Mar-2010,14.64,15.12,14.32,14.56,43500,NASDAQ
GRVY,01-Apr-2010,15.12,15.84,14.88,15.84,82500,NASDAQ
GRVY,05-Apr-2010,15.92,15.92,15.2,15.44,141100,NASDAQ
GRVY,06-Apr-2010,15.04,15.92,14.72,15.92,103300,NASDAQ
GRVY,07-Apr-2010,15.84,15.92,15.52,15.6,76900,NASDAQ
GRVY,08-Apr-2010,15.36,16.0,15.36,15.92,75500,NASDAQ
GRVY,09-Apr-2010,15.92,16.16,15.68,16.0,111600,NASDAQ
GRVY,12-Apr-2010,15.76,16.16,15.76,16.08,71700,NASDAQ
GRVY,13-Apr-2010,15.84,16.32,15.84,16.24,64800,NASDAQ
GRVY,14-Apr-2010,16.4,16.8,15.6,16.24,112600,NASDAQ
GRVY,15-Apr-2010,16.4,16.72,16.0,16.32,68500,NASDAQ
GRVY,16-Apr-2010,16.24,16.8,15.84,16.8,99700,NASDAQ
GRVY,19-Apr-2010,17.6,17.6,16.08,17.44,105700,NASDAQ
GRVY,20-Apr-2010,17.04,17.68,16.56,16.88,93300,NASDAQ
GRVY,21-Apr-2010,17.28,18.0,16.88,17.28,210600,NASDAQ
GRVY,22-Apr-2010,17.28,18.0,17.28,18.0,103600,NASDAQ
GRVY,23-Apr-2010,18.0,18.0,17.12,17.92,91000,NASDAQ
GRVY,26-Apr-2010,18.0,18.0,17.44,18.0,18800,NASDAQ
GRVY,27-Apr-2010,17.6,17.84,17.2,17.28,18200,NASDAQ
GRVY,28-Apr-2010,17.76,17.76,16.72,16.72,24700,NASDAQ
GRVY,29-Apr-2010,16.64,16.8,16.32,16.8,22700,NASDAQ
GRVY,30-Apr-2010,16.8,16.8,15.84,16.0,47900,NASDAQ
GRVY,03-May-2010,16.4,16.4,15.68,16.0,36900,NASDAQ
GRVY,04-May-2010,16.24,16.24,15.2,15.52,19400,NASDAQ
GRVY,05-May-2010,14.96,16.0,14.4,15.36,42900,NASDAQ
GRVY,06-May-2010,15.6,15.76,14.4,14.88,32400,NASDAQ
GRVY,07-May-2010,15.52,15.68,14.4,14.8,50100,NASDAQ
GRVY,10-May-2010,14.96,15.52,14.96,15.12,18500,NASDAQ
GRVY,11-May-2010,15.04,15.12,14.8,14.96,35400,NASDAQ
GRVY,12-May-2010,14.72,15.44,14.48,14.88,10600,NASDAQ
GRVY,13-May-2010,15.12,16.32,14.96,15.28,36800,NASDAQ
GRVY,14-May-2010,15.12,16.0,14.88,14.96,9800,NASDAQ
GRVY,17-May-2010,15.28,15.6,14.4,14.8,39100,NASDAQ
GRVY,18-May-2010,14.64,14.96,14.56,14.72,4700,NASDAQ
GRVY,19-May-2010,14.56,15.04,14.24,14.8,27200,NASDAQ
GRVY,20-May-2010,14.8,14.8,14.0,14.56,58700,NASDAQ
GRVY,21-May-2010,14.16,14.8,14.0,14.32,20400,NASDAQ
GRVY,24-May-2010,14.24,14.72,14.24,14.72,7100,NASDAQ
GRVY,25-May-2010,14.48,14.8,14.0,14.64,17600,NASDAQ
GRVY,26-May-2010,14.8,14.8,14.24,14.56,13400,NASDAQ
GRVY,27-May-2010,14.56,14.8,14.4,14.72,19600,NASDAQ
GRVY,28-May-2010,14.96,14.96,14.56,14.72,11700,NASDAQ
GRVY,01-Jun-2010,14.8,14.8,13.76,14.0,61100,NASDAQ
GRVY,02-Jun-2010,14.4,14.8,14.4,14.48,21700,NASDAQ
