name,date,open_price,close_price,high_price,low_price,volume,market
HAFC,04-Jan-2010,1.21,1.22,1.18,1.21,263800,NASDAQ
HAFC,05-Jan-2010,1.22,1.22,1.18,1.21,337600,NASDAQ
HAFC,06-Jan-2010,1.18,1.2,1.17,1.17,671600,NASDAQ
HAFC,07-Jan-2010,1.19,1.19,1.1,1.15,948700,NASDAQ
HAFC,08-Jan-2010,1.16,1.16,1.02,1.02,915200,NASDAQ
HAFC,11-Jan-2010,1.08,1.08,1.02,1.02,523800,NASDAQ
HAFC,12-Jan-2010,1.05,1.06,1.02,1.06,466500,NASDAQ
HAFC,13-Jan-2010,1.06,1.15,1.04,1.1,819000,NASDAQ
HAFC,14-Jan-2010,1.13,1.16,1.11,1.12,372000,NASDAQ
HAFC,15-Jan-2010,1.14,1.21,1.11,1.2,1051700,NASDAQ
HAFC,19-Jan-2010,1.25,2.0,1.24,1.68,7224200,NASDAQ
HAFC,20-Jan-2010,1.67,2.1,1.66,2.05,7193000,NASDAQ
HAFC,21-Jan-2010,2.07,2.83,2.01,2.55,6426500,NASDAQ
HAFC,22-Jan-2010,2.51,2.59,2.02,2.18,2658600,NASDAQ
HAFC,25-Jan-2010,2.2,2.25,1.89,2.15,1736500,NASDAQ
HAFC,26-Jan-2010,2.15,2.43,2.13,2.27,1664200,NASDAQ
HAFC,27-Jan-2010,2.29,2.34,2.08,2.11,1077700,NASDAQ
HAFC,28-Jan-2010,1.9,2.11,1.86,2.04,1282200,NASDAQ
HAFC,29-Jan-2010,2.11,2.23,1.96,1.99,870200,NASDAQ
HAFC,01-Feb-2010,2.04,2.05,1.94,1.98,435100,NASDAQ
HAFC,02-Feb-2010,2.02,2.05,1.78,1.84,983600,NASDAQ
HAFC,03-Feb-2010,1.84,2.0,1.82,1.97,1004400,NASDAQ
HAFC,04-Feb-2010,1.98,1.99,1.75,1.77,970600,NASDAQ
HAFC,05-Feb-2010,1.77,1.84,1.65,1.73,821800,NASDAQ
HAFC,08-Feb-2010,1.7,1.87,1.64,1.64,493700,NASDAQ
HAFC,09-Feb-2010,1.84,1.84,1.7,1.76,536800,NASDAQ
HAFC,10-Feb-2010,1.82,1.82,1.67,1.8,327300,NASDAQ
HAFC,11-Feb-2010,1.74,1.87,1.72,1.87,507300,NASDAQ
HAFC,12-Feb-2010,1.92,1.93,1.77,1.92,338300,NASDAQ
HAFC,16-Feb-2010,1.89,1.97,1.87,1.97,128300,NASDAQ
HAFC,17-Feb-2010,1.95,2.18,1.93,2.16,741100,NASDAQ
HAFC,18-Feb-2010,2.12,2.16,2.01,2.02,509000,NASDAQ
HAFC,19-Feb-2010,2.01,2.21,2.01,2.21,908500,NASDAQ
HAFC,22-Feb-2010,2.19,2.38,2.15,2.37,697800,NASDAQ
HAFC,23-Feb-2010,2.4,2.6,2.3,2.58,1235900,NASDAQ
HAFC,24-Feb-2010,2.5,2.74,2.47,2.58,862300,NASDAQ
HAFC,25-Feb-2010,2.51,2.55,2.32,2.55,654600,NASDAQ
HAFC,26-Feb-2010,2.51,2.54,2.38,2.41,419400,NASDAQ
HAFC,01-Mar-2010,2.39,2.4,2.21,2.27,495700,NASDAQ
HAFC,02-Mar-2010,2.22,2.25,2.13,2.13,403200,NASDAQ
HAFC,03-Mar-2010,2.14,2.28,2.14,2.2,300900,NASDAQ
HAFC,04-Mar-2010,2.2,2.3,2.2,2.28,270100,NASDAQ
HAFC,05-Mar-2010,2.3,2.47,2.28,2.46,486000,NASDAQ
HAFC,08-Mar-2010,2.44,2.75,2.44,2.55,385000,NASDAQ
HAFC,09-Mar-2010,2.53,2.63,2.41,2.61,668800,NASDAQ
HAFC,10-Mar-2010,2.52,2.64,2.52,2.63,607000,NASDAQ
HAFC,11-Mar-2010,2.65,2.7,2.63,2.66,409200,NASDAQ
HAFC,12-Mar-2010,2.64,2.68,2.54,2.68,355300,NASDAQ
HAFC,15-Mar-2010,2.74,2.74,2.6,2.67,200400,NASDAQ
HAFC,16-Mar-2010,2.67,2.67,2.5,2.55,712400,NASDAQ
HAFC,17-Mar-2010,2.57,2.72,2.38,2.51,2029900,NASDAQ
HAFC,18-Mar-2010,2.47,2.47,2.25,2.29,715200,NASDAQ
HAFC,19-Mar-2010,2.25,2.36,2.16,2.3,732900,NASDAQ
HAFC,22-Mar-2010,2.25,2.35,2.22,2.3,280100,NASDAQ
HAFC,23-Mar-2010,2.28,2.41,2.28,2.39,306300,NASDAQ
HAFC,24-Mar-2010,2.39,2.55,2.39,2.53,666700,NASDAQ
HAFC,25-Mar-2010,2.55,2.72,2.49,2.53,759100,NASDAQ
HAFC,26-Mar-2010,2.53,2.6,2.48,2.5,119300,NASDAQ
HAFC,29-Mar-2010,2.5,2.6,2.41,2.45,166400,NASDAQ
HAFC,30-Mar-2010,2.48,2.57,2.35,2.57,167300,NASDAQ
HAFC,31-Mar-2010,2.47,2.56,2.4,2.4,354300,NASDAQ
HAFC,01-Apr-2010,2.58,2.58,2.36,2.42,259500,NASDAQ
HAFC,05-Apr-2010,2.48,2.65,2.39,2.65,562600,NASDAQ
HAFC,06-Apr-2010,2.6,2.6,2.46,2.59,236600,NASDAQ
