name,date,open_price,close_price,high_price,low_price,volume,market
HBIO,04-Jan-2010,3.6,3.75,3.51,3.66,62700,NASDAQ
HBIO,05-Jan-2010,3.65,3.65,3.52,3.62,38100,NASDAQ
HBIO,06-Jan-2010,3.63,3.63,3.45,3.45,64300,NASDAQ
HBIO,07-Jan-2010,3.45,3.5,3.4,3.47,26400,NASDAQ
HBIO,08-Jan-2010,3.47,3.55,3.47,3.49,33300,NASDAQ
HBIO,11-Jan-2010,3.51,3.58,3.51,3.56,49000,NASDAQ
HBIO,12-Jan-2010,3.5,3.62,3.5,3.61,31300,NASDAQ
HBIO,13-Jan-2010,3.61,3.62,3.57,3.6,45800,NASDAQ
HBIO,14-Jan-2010,3.58,3.68,3.58,3.67,28800,NASDAQ
HBIO,15-Jan-2010,3.68,3.68,3.52,3.57,88000,NASDAQ
HBIO,19-Jan-2010,3.56,3.68,3.55,3.62,68100,NASDAQ
HBIO,20-Jan-2010,3.62,3.65,3.55,3.55,28200,NASDAQ
HBIO,21-Jan-2010,3.54,3.54,3.41,3.42,70900,NASDAQ
HBIO,22-Jan-2010,3.43,3.54,3.42,3.44,53500,NASDAQ
HBIO,25-Jan-2010,3.47,3.51,3.4,3.43,51800,NASDAQ
HBIO,26-Jan-2010,3.41,3.45,3.4,3.4,33200,NASDAQ
HBIO,27-Jan-2010,3.4,3.45,3.38,3.42,35700,NASDAQ
HBIO,28-Jan-2010,3.43,3.46,3.43,3.44,56800,NASDAQ
HBIO,29-Jan-2010,3.46,3.48,3.43,3.45,37500,NASDAQ
HBIO,01-Feb-2010,3.45,3.48,3.4,3.48,44800,NASDAQ
HBIO,02-Feb-2010,3.47,3.48,3.39,3.39,53300,NASDAQ
HBIO,03-Feb-2010,3.39,3.45,3.39,3.42,57500,NASDAQ
HBIO,04-Feb-2010,3.42,3.45,3.36,3.38,66400,NASDAQ
HBIO,05-Feb-2010,3.37,3.41,3.34,3.34,50400,NASDAQ
HBIO,08-Feb-2010,3.35,3.4,3.33,3.37,36600,NASDAQ
HBIO,09-Feb-2010,3.4,3.42,3.33,3.42,35200,NASDAQ
HBIO,10-Feb-2010,3.4,3.42,3.38,3.41,28700,NASDAQ
HBIO,11-Feb-2010,3.4,3.45,3.33,3.43,34900,NASDAQ
HBIO,12-Feb-2010,3.42,3.42,3.3,3.41,71200,NASDAQ
HBIO,16-Feb-2010,3.44,3.45,3.33,3.45,90100,NASDAQ
HBIO,17-Feb-2010,3.47,3.47,3.37,3.42,70200,NASDAQ
HBIO,18-Feb-2010,3.39,3.46,3.38,3.46,53600,NASDAQ
HBIO,19-Feb-2010,3.46,3.46,3.35,3.42,51100,NASDAQ
HBIO,22-Feb-2010,3.42,3.49,3.4,3.43,99500,NASDAQ
HBIO,23-Feb-2010,3.44,3.52,3.36,3.44,191800,NASDAQ
HBIO,24-Feb-2010,3.44,3.47,3.3,3.32,175200,NASDAQ
HBIO,25-Feb-2010,3.3,3.39,3.22,3.25,143900,NASDAQ
HBIO,26-Feb-2010,3.5,3.64,3.46,3.49,189700,NASDAQ
HBIO,01-Mar-2010,3.51,3.63,3.43,3.63,110600,NASDAQ
HBIO,02-Mar-2010,3.62,3.72,3.54,3.72,64300,NASDAQ
HBIO,03-Mar-2010,3.71,3.75,3.58,3.74,52100,NASDAQ
HBIO,04-Mar-2010,3.73,3.74,3.66,3.74,19700,NASDAQ
HBIO,05-Mar-2010,3.74,3.8,3.7,3.8,80000,NASDAQ
HBIO,08-Mar-2010,3.81,3.83,3.72,3.77,43400,NASDAQ
HBIO,09-Mar-2010,3.79,3.84,3.75,3.81,39200,NASDAQ
HBIO,10-Mar-2010,3.83,3.93,3.78,3.89,57600,NASDAQ
HBIO,11-Mar-2010,3.87,3.99,3.85,3.97,46000,NASDAQ
HBIO,12-Mar-2010,3.99,4.0,3.93,3.97,65600,NASDAQ
HBIO,15-Mar-2010,3.98,4.03,3.86,4.03,84500,NASDAQ
HBIO,16-Mar-2010,4.05,4.05,3.93,3.99,152700,NASDAQ
HBIO,17-Mar-2010,4.0,4.04,4.0,4.01,68300,NASDAQ
HBIO,18-Mar-2010,4.02,4.1,3.96,4.06,34900,NASDAQ
HBIO,19-Mar-2010,4.08,4.08,3.86,3.93,90000,NASDAQ
HBIO,22-Mar-2010,3.92,4.02,3.88,4.01,34400,NASDAQ
HBIO,23-Mar-2010,4.0,4.03,3.94,4.02,39000,NASDAQ
HBIO,24-Mar-2010,4.02,4.02,3.91,3.93,50900,NASDAQ
HBIO,25-Mar-2010,3.96,3.96,3.89,3.89,37500,NASDAQ
HBIO,26-Mar-2010,3.9,3.95,3.85,3.89,25400,NASDAQ
HBIO,29-Mar-2010,3.94,4.0,3.86,3.98,52500,NASDAQ
HBIO,30-Mar-2010,3.99,4.0,3.92,3.95,26800,NASDAQ
HBIO,31-Mar-2010,3.93,3.95,3.86,3.87,65900,NASDAQ
HBIO,01-Apr-2010,3.87,3.92,3.75,3.83,91300,NASDAQ
HBIO,05-Apr-2010,3.83,3.9,3.83,3.9,18600,NASDAQ
HBIO,06-Apr-2010,3.88,3.96,3.86,3.9,40600,NASDAQ
HBIO,07-Apr-2010,3.87,3.98,3.8,3.8,51900,NASDAQ
HBIO,08-Apr-2010,3.78,3.8,3.74,3.75,34900,NASDAQ
HBIO,09-Apr-2010,3.75,3.89,3.75,3.83,49400,NASDAQ
HBIO,12-Apr-2010,3.84,3.96,3.83,3.91,42900,NASDAQ
HBIO,13-Apr-2010,3.91,3.99,3.88,3.98,48100,NASDAQ
HBIO,14-Apr-2010,3.98,4.06,3.94,4.06,212800,NASDAQ
HBIO,15-Apr-2010,4.09,4.17,3.97,4.17,94300,NASDAQ
HBIO,16-Apr-2010,4.17,4.29,4.02,4.26,119800,NASDAQ
HBIO,19-Apr-2010,4.26,4.38,4.22,4.23,73300,NASDAQ
HBIO,20-Apr-2010,4.25,4.31,4.18,4.31,37400,NASDAQ
HBIO,21-Apr-2010,4.32,4.37,4.23,4.37,35100,NASDAQ
HBIO,22-Apr-2010,4.33,4.45,4.27,4.45,54300,NASDAQ
HBIO,23-Apr-2010,4.46,4.47,4.3,4.45,64300,NASDAQ
HBIO,26-Apr-2010,4.46,4.5,4.31,4.4,52700,NASDAQ
HBIO,27-Apr-2010,4.36,4.36,4.24,4.25,97900,NASDAQ
HBIO,28-Apr-2010,4.25,4.34,4.23,4.28,56500,NASDAQ
HBIO,29-Apr-2010,4.3,4.38,4.28,4.37,76300,NASDAQ
HBIO,30-Apr-2010,4.39,4.39,4.18,4.18,126200,NASDAQ
HBIO,03-May-2010,4.2,4.37,4.18,4.36,105000,NASDAQ
HBIO,04-May-2010,4.25,4.34,4.2,4.23,144100,NASDAQ
HBIO,05-May-2010,4.18,4.38,4.18,4.34,116300,NASDAQ
HBIO,06-May-2010,4.27,4.4,4.14,4.19,137800,NASDAQ
HBIO,07-May-2010,4.2,4.4,4.0,4.24,240900,NASDAQ
HBIO,10-May-2010,4.37,4.38,4.26,4.36,98200,NASDAQ
HBIO,11-May-2010,4.38,4.38,4.25,4.32,139400,NASDAQ
HBIO,12-May-2010,4.31,4.35,4.29,4.33,218300,NASDAQ
HBIO,13-May-2010,4.3,4.3,4.15,4.3,116700,NASDAQ
HBIO,14-May-2010,4.29,4.29,4.1,4.12,166100,NASDAQ
HBIO,17-May-2010,4.12,4.17,4.0,4.14,72900,NASDAQ
HBIO,18-May-2010,4.18,4.18,3.95,4.01,44000,NASDAQ
HBIO,19-May-2010,4.01,4.03,3.96,3.99,60000,NASDAQ
HBIO,20-May-2010,3.93,3.99,3.65,3.67,121700,NASDAQ
HBIO,21-May-2010,3.6,3.69,3.53,3.63,136300,NASDAQ
HBIO,24-May-2010,3.64,3.66,3.57,3.62,80600,NASDAQ
HBIO,25-May-2010,3.55,3.58,3.5,3.51,89900,NASDAQ
HBIO,26-May-2010,3.55,3.68,3.51,3.55,412200,NASDAQ
HBIO,27-May-2010,3.62,3.78,3.53,3.77,367300,NASDAQ
HBIO,28-May-2010,3.77,3.83,3.64,3.65,145400,NASDAQ
HBIO,01-Jun-2010,3.61,3.7,3.47,3.47,218300,NASDAQ
HBIO,02-Jun-2010,3.47,3.8,3.47,3.8,495300,NASDAQ
HBIO,03-Jun-2010,3.77,3.86,3.65,3.71,128600,NASDAQ
HBIO,04-Jun-2010,3.67,3.7,3.61,3.61,297600,NASDAQ
HBIO,07-Jun-2010,3.6,3.61,3.47,3.54,155100,NASDAQ
HBIO,08-Jun-2010,3.54,3.55,3.43,3.5,204700,NASDAQ
HBIO,09-Jun-2010,3.54,3.55,3.44,3.46,64800,NASDAQ
HBIO,10-Jun-2010,3.51,3.63,3.46,3.54,127000,NASDAQ
HBIO,11-Jun-2010,3.5,3.58,3.47,3.55,25100,NASDAQ
HBIO,14-Jun-2010,3.59,3.63,3.49,3.51,47400,NASDAQ
HBIO,15-Jun-2010,3.55,3.6,3.48,3.57,265300,NASDAQ
HBIO,16-Jun-2010,3.53,3.6,3.46,3.46,144400,NASDAQ
HBIO,17-Jun-2010,3.49,3.57,3.45,3.53,123200,NASDAQ
HBIO,18-Jun-2010,3.56,3.57,3.48,3.51,233400,NASDAQ
HBIO,21-Jun-2010,3.56,3.58,3.42,3.45,144300,NASDAQ
HBIO,22-Jun-2010,3.47,3.55,3.44,3.45,122800,NASDAQ
HBIO,23-Jun-2010,3.44,3.52,3.36,3.36,143600,NASDAQ
HBIO,24-Jun-2010,3.35,3.42,3.32,3.32,246400,NASDAQ
HBIO,25-Jun-2010,3.32,3.5,3.27,3.3,3703300,NASDAQ
HBIO,28-Jun-2010,3.3,3.57,3.3,3.5,230700,NASDAQ
HBIO,29-Jun-2010,3.41,3.53,3.36,3.42,204400,NASDAQ
HBIO,30-Jun-2010,3.38,3.57,3.38,3.56,356700,NASDAQ
HBIO,01-Jul-2010,3.58,3.63,3.5,3.52,114000,NASDAQ
HBIO,02-Jul-2010,3.54,3.55,3.43,3.45,81000,NASDAQ
HBIO,06-Jul-2010,3.46,3.58,3.46,3.58,296900,NASDAQ
HBIO,07-Jul-2010,3.55,3.57,3.41,3.43,280000,NASDAQ
HBIO,08-Jul-2010,3.42,3.47,3.39,3.4,162400,NASDAQ
HBIO,09-Jul-2010,3.43,3.46,3.37,3.37,177000,NASDAQ
HBIO,12-Jul-2010,3.39,3.65,3.38,3.49,194100,NASDAQ
HBIO,13-Jul-2010,3.57,3.85,3.57,3.84,173400,NASDAQ
HBIO,14-Jul-2010,3.8,3.86,3.6,3.63,80400,NASDAQ
HBIO,15-Jul-2010,3.61,3.61,3.51,3.51,30000,NASDAQ
HBIO,16-Jul-2010,3.51,3.59,3.47,3.5,55300,NASDAQ
HBIO,19-Jul-2010,3.48,3.8,3.46,3.64,199100,NASDAQ
HBIO,20-Jul-2010,3.61,3.8,3.61,3.76,115600,NASDAQ
HBIO,21-Jul-2010,3.75,3.92,3.65,3.8,157500,NASDAQ
HBIO,22-Jul-2010,3.85,3.86,3.71,3.71,25400,NASDAQ
HBIO,23-Jul-2010,3.7,3.81,3.7,3.76,80400,NASDAQ
HBIO,26-Jul-2010,3.74,3.79,3.7,3.76,52400,NASDAQ
HBIO,27-Jul-2010,3.76,3.81,3.63,3.64,83600,NASDAQ
HBIO,28-Jul-2010,3.65,3.71,3.61,3.68,93300,NASDAQ
HBIO,29-Jul-2010,3.69,3.72,3.57,3.57,60100,NASDAQ
HBIO,30-Jul-2010,3.56,3.73,3.53,3.61,54400,NASDAQ
HBIO,02-Aug-2010,3.65,3.69,3.59,3.67,50100,NASDAQ
HBIO,03-Aug-2010,3.52,3.68,3.52,3.6,46800,NASDAQ
HBIO,04-Aug-2010,3.64,3.67,3.59,3.63,85600,NASDAQ
HBIO,05-Aug-2010,3.55,3.64,3.55,3.57,40000,NASDAQ
HBIO,06-Aug-2010,3.56,3.65,3.51,3.53,169600,NASDAQ
HBIO,09-Aug-2010,3.52,3.6,3.51,3.53,40600,NASDAQ
HBIO,10-Aug-2010,3.5,3.52,3.42,3.48,40200,NASDAQ
HBIO,11-Aug-2010,3.45,3.45,3.35,3.35,42200,NASDAQ
HBIO,12-Aug-2010,3.33,3.36,3.3,3.33,66200,NASDAQ
HBIO,13-Aug-2010,3.35,3.35,3.3,3.31,44200,NASDAQ
HBIO,16-Aug-2010,3.32,3.37,3.22,3.37,44300,NASDAQ
HBIO,17-Aug-2010,3.37,3.38,3.34,3.34,27100,NASDAQ
HBIO,18-Aug-2010,3.33,3.38,3.29,3.33,28600,NASDAQ
HBIO,19-Aug-2010,3.35,3.39,3.31,3.38,61400,NASDAQ
HBIO,20-Aug-2010,3.35,3.43,3.33,3.41,22600,NASDAQ
HBIO,23-Aug-2010,3.4,3.46,3.31,3.41,39800,NASDAQ
HBIO,24-Aug-2010,3.33,3.44,3.32,3.38,16300,NASDAQ
HBIO,25-Aug-2010,3.33,3.4,3.33,3.36,7200,NASDAQ
HBIO,26-Aug-2010,3.39,3.39,3.37,3.37,16900,NASDAQ
HBIO,27-Aug-2010,3.37,3.4,3.36,3.39,14600,NASDAQ
HBIO,30-Aug-2010,3.4,3.5,3.34,3.44,43400,NASDAQ
HBIO,31-Aug-2010,3.39,3.45,3.34,3.45,8200,NASDAQ
HBIO,01-Sep-2010,3.47,3.48,3.41,3.45,10800,NASDAQ
HBIO,02-Sep-2010,3.36,3.4,3.35,3.38,46800,NASDAQ
HBIO,03-Sep-2010,3.43,3.44,3.4,3.44,9900,NASDAQ
HBIO,07-Sep-2010,3.46,3.48,3.44,3.44,13300,NASDAQ
HBIO,08-Sep-2010,3.44,3.5,3.44,3.44,35200,NASDAQ
HBIO,09-Sep-2010,3.45,3.46,3.38,3.39,71900,NASDAQ
HBIO,10-Sep-2010,3.41,3.56,3.4,3.41,22800,NASDAQ
HBIO,13-Sep-2010,3.42,3.49,3.39,3.49,32500,NASDAQ
HBIO,14-Sep-2010,3.5,3.59,3.39,3.58,48400,NASDAQ
HBIO,15-Sep-2010,3.6,3.63,3.54,3.6,96700,NASDAQ
HBIO,16-Sep-2010,3.6,3.77,3.57,3.65,105200,NASDAQ
HBIO,17-Sep-2010,3.7,3.77,3.64,3.72,86100,NASDAQ
HBIO,20-Sep-2010,3.37,3.75,3.37,3.72,72500,NASDAQ
HBIO,21-Sep-2010,3.7,3.73,3.55,3.57,33800,NASDAQ
HBIO,22-Sep-2010,3.59,3.62,3.58,3.62,9900,NASDAQ
HBIO,23-Sep-2010,3.62,3.75,3.6,3.75,15800,NASDAQ
HBIO,24-Sep-2010,3.72,3.75,3.66,3.72,54000,NASDAQ
HBIO,27-Sep-2010,3.74,3.79,3.66,3.66,19200,NASDAQ
HBIO,28-Sep-2010,3.66,3.69,3.62,3.64,41300,NASDAQ
HBIO,29-Sep-2010,3.61,3.7,3.5,3.54,129400,NASDAQ
HBIO,30-Sep-2010,3.66,3.84,3.65,3.8,71200,NASDAQ
HBIO,01-Oct-2010,3.78,3.82,3.71,3.82,82900,NASDAQ
HBIO,04-Oct-2010,3.8,3.85,3.77,3.85,24100,NASDAQ
HBIO,05-Oct-2010,3.85,3.91,3.81,3.91,384200,NASDAQ
HBIO,06-Oct-2010,3.93,3.93,3.81,3.81,7400,NASDAQ
HBIO,07-Oct-2010,3.78,3.85,3.72,3.85,18500,NASDAQ
HBIO,08-Oct-2010,3.85,3.89,3.82,3.89,11300,NASDAQ
HBIO,11-Oct-2010,3.92,3.92,3.75,3.75,9800,NASDAQ
HBIO,12-Oct-2010,3.76,3.89,3.71,3.89,16600,NASDAQ
HBIO,13-Oct-2010,3.97,4.0,3.9,4.0,58300,NASDAQ
HBIO,14-Oct-2010,3.99,3.99,3.89,3.89,127600,NASDAQ
HBIO,15-Oct-2010,3.94,3.97,3.91,3.94,74400,NASDAQ
HBIO,18-Oct-2010,3.96,4.0,3.9,3.93,20600,NASDAQ
HBIO,19-Oct-2010,3.91,4.0,3.9,3.91,30900,NASDAQ
HBIO,20-Oct-2010,3.98,4.0,3.9,3.9,41300,NASDAQ
HBIO,21-Oct-2010,3.81,4.05,3.81,3.99,88800,NASDAQ
HBIO,22-Oct-2010,4.02,4.05,3.95,4.05,50000,NASDAQ
HBIO,25-Oct-2010,4.05,4.07,3.97,4.0,39800,NASDAQ
HBIO,26-Oct-2010,4.0,4.02,4.0,4.02,13800,NASDAQ
HBIO,27-Oct-2010,4.02,4.02,3.89,3.96,38100,NASDAQ
HBIO,28-Oct-2010,3.93,4.01,3.87,3.92,24900,NASDAQ
HBIO,29-Oct-2010,3.9,4.0,3.88,3.94,38300,NASDAQ
HBIO,01-Nov-2010,3.96,3.98,3.87,3.94,12200,NASDAQ
HBIO,02-Nov-2010,3.93,4.0,3.89,3.98,63800,NASDAQ
HBIO,03-Nov-2010,4.04,4.09,3.96,4.07,21100,NASDAQ
HBIO,04-Nov-2010,4.07,4.07,3.95,4.06,59200,NASDAQ
HBIO,05-Nov-2010,4.03,4.1,3.99,4.1,28600,NASDAQ
HBIO,08-Nov-2010,4.07,4.07,3.98,4.01,48800,NASDAQ
HBIO,09-Nov-2010,4.01,4.04,3.88,3.88,98700,NASDAQ
HBIO,10-Nov-2010,3.89,4.01,3.84,3.99,66200,NASDAQ
HBIO,11-Nov-2010,3.99,4.1,3.9,4.04,35900,NASDAQ
HBIO,12-Nov-2010,4.05,4.05,3.86,3.86,91400,NASDAQ
HBIO,15-Nov-2010,3.9,4.02,3.88,4.01,25400,NASDAQ
HBIO,16-Nov-2010,4.01,4.02,3.9,3.92,114800,NASDAQ
HBIO,17-Nov-2010,3.94,3.96,3.8,3.92,30500,NASDAQ
HBIO,18-Nov-2010,3.97,4.01,3.84,3.84,58400,NASDAQ
HBIO,19-Nov-2010,3.84,3.96,3.82,3.96,16600,NASDAQ
HBIO,22-Nov-2010,3.97,3.97,3.87,3.97,13100,NASDAQ
HBIO,23-Nov-2010,3.91,4.0,3.9,3.95,27800,NASDAQ
HBIO,24-Nov-2010,3.99,3.99,3.94,3.96,7500,NASDAQ
HBIO,26-Nov-2010,3.98,3.98,3.95,3.97,3400,NASDAQ
HBIO,29-Nov-2010,3.98,3.98,3.8,3.93,13000,NASDAQ
HBIO,30-Nov-2010,3.91,3.92,3.82,3.92,13400,NASDAQ
HBIO,01-Dec-2010,3.9,3.96,3.86,3.93,23600,NASDAQ
HBIO,02-Dec-2010,3.9,4.0,3.9,3.96,34800,NASDAQ
HBIO,03-Dec-2010,3.98,4.05,3.94,4.05,34200,NASDAQ
HBIO,06-Dec-2010,4.07,4.08,4.02,4.06,20000,NASDAQ
HBIO,07-Dec-2010,4.08,4.1,3.97,4.0,36000,NASDAQ
HBIO,08-Dec-2010,4.03,4.05,3.94,3.94,11900,NASDAQ
HBIO,09-Dec-2010,3.93,3.98,3.9,3.9,39500,NASDAQ
HBIO,10-Dec-2010,3.91,4.0,3.91,3.92,15300,NASDAQ
HBIO,13-Dec-2010,3.92,4.0,3.86,3.93,49000,NASDAQ
HBIO,14-Dec-2010,3.97,4.01,3.94,4.01,48800,NASDAQ
HBIO,15-Dec-2010,4.02,4.04,3.95,3.99,29900,NASDAQ
HBIO,16-Dec-2010,4.02,4.02,3.95,4.02,22100,NASDAQ
HBIO,17-Dec-2010,4.0,4.02,3.95,4.02,35900,NASDAQ
HBIO,20-Dec-2010,4.0,4.04,3.98,3.99,12600,NASDAQ
HBIO,21-Dec-2010,4.03,4.05,3.95,4.05,45200,NASDAQ
HBIO,22-Dec-2010,3.91,4.05,3.91,4.03,7100,NASDAQ
HBIO,23-Dec-2010,3.97,4.02,3.96,4.02,14000,NASDAQ
HBIO,27-Dec-2010,4.02,4.1,4.02,4.06,23900,NASDAQ
HBIO,28-Dec-2010,4.06,4.08,4.0,4.01,3800,NASDAQ
HBIO,29-Dec-2010,4.02,4.07,4.02,4.07,5700,NASDAQ
HBIO,30-Dec-2010,4.09,4.09,4.04,4.06,9500,NASDAQ
HBIO,31-Dec-2010,4.01,4.09,4.0,4.08,12800,NASDAQ
HBIO,03-Jan-2011,4.08,4.1,4.05,4.08,42800,NASDAQ
HBIO,04-Jan-2011,4.08,4.1,4.06,4.06,38600,NASDAQ
HBIO,05-Jan-2011,4.04,4.04,4.0,4.02,45000,NASDAQ
HBIO,06-Jan-2011,4.04,4.17,4.01,4.17,29000,NASDAQ
HBIO,07-Jan-2011,4.15,4.22,4.11,4.19,66200,NASDAQ
HBIO,10-Jan-2011,4.19,4.3,4.19,4.28,17600,NASDAQ
HBIO,11-Jan-2011,4.28,4.32,4.1,4.29,14900,NASDAQ
HBIO,12-Jan-2011,4.33,4.34,4.3,4.3,9400,NASDAQ
HBIO,13-Jan-2011,4.36,4.36,4.24,4.26,20000,NASDAQ
HBIO,14-Jan-2011,4.31,4.32,4.26,4.3,7300,NASDAQ
HBIO,18-Jan-2011,4.3,4.31,4.24,4.29,11300,NASDAQ
HBIO,19-Jan-2011,4.3,4.3,4.24,4.27,8800,NASDAQ
HBIO,20-Jan-2011,4.23,4.34,4.23,4.34,19300,NASDAQ
HBIO,21-Jan-2011,4.33,4.46,4.33,4.46,45000,NASDAQ
HBIO,24-Jan-2011,4.48,4.54,4.4,4.47,200700,NASDAQ
HBIO,25-Jan-2011,4.47,4.5,4.4,4.47,42600,NASDAQ
HBIO,26-Jan-2011,4.5,4.5,4.27,4.36,40100,NASDAQ
HBIO,27-Jan-2011,4.41,4.42,4.28,4.29,22500,NASDAQ
HBIO,28-Jan-2011,4.31,4.31,4.25,4.25,32300,NASDAQ
HBIO,31-Jan-2011,4.25,4.28,4.2,4.25,27100,NASDAQ
HBIO,01-Feb-2011,4.25,4.26,4.24,4.26,20100,NASDAQ
HBIO,02-Feb-2011,4.27,4.3,4.25,4.28,19100,NASDAQ
HBIO,03-Feb-2011,4.29,4.29,4.25,4.28,12900,NASDAQ
HBIO,04-Feb-2011,4.25,4.29,4.25,4.27,129100,NASDAQ
HBIO,07-Feb-2011,4.3,4.43,4.27,4.33,11700,NASDAQ
HBIO,08-Feb-2011,4.4,4.54,4.4,4.51,36000,NASDAQ
HBIO,09-Feb-2011,4.54,4.54,4.45,4.49,11000,NASDAQ
HBIO,10-Feb-2011,4.54,4.55,4.48,4.49,42800,NASDAQ
HBIO,11-Feb-2011,4.5,4.59,4.44,4.51,50100,NASDAQ
HBIO,14-Feb-2011,4.51,4.54,4.41,4.51,45700,NASDAQ
