name,date,open_price,close_price,high_price,low_price,volume,market
HOVNP,04-Jan-2010,5.3,5.33,5.24,5.3,47700,NASDAQ
HOVNP,05-Jan-2010,5.3,5.5,5.2,5.25,6300,NASDAQ
HOVNP,06-Jan-2010,5.17,5.25,5.16,5.25,3700,NASDAQ
HOVNP,07-Jan-2010,5.21,5.7,5.21,5.64,8900,NASDAQ
HOVNP,08-Jan-2010,5.55,5.75,5.55,5.75,1800,NASDAQ
HOVNP,11-Jan-2010,5.67,5.76,5.28,5.7,12200,NASDAQ
HOVNP,12-Jan-2010,5.46,5.5,5.35,5.5,1600,NASDAQ
HOVNP,13-Jan-2010,5.5,5.75,5.45,5.75,9600,NASDAQ
HOVNP,14-Jan-2010,5.75,5.79,5.56,5.61,4700,NASDAQ
HOVNP,15-Jan-2010,5.62,5.62,5.4,5.5,10100,NASDAQ
HOVNP,19-Jan-2010,5.41,5.55,5.41,5.55,1900,NASDAQ
HOVNP,20-Jan-2010,5.51,5.79,5.51,5.78,6500,NASDAQ
HOVNP,21-Jan-2010,5.68,5.68,5.68,5.68,100,NASDAQ
HOVNP,22-Jan-2010,5.68,5.68,5.65,5.65,1800,NASDAQ
HOVNP,25-Jan-2010,5.6,5.68,5.56,5.6,3900,NASDAQ
HOVNP,26-Jan-2010,5.7,5.7,5.5,5.5,4800,NASDAQ
HOVNP,27-Jan-2010,5.6,5.6,5.31,5.4,3100,NASDAQ
HOVNP,28-Jan-2010,5.31,5.43,5.3,5.43,4600,NASDAQ
HOVNP,29-Jan-2010,5.3,5.31,5.3,5.3,3000,NASDAQ
HOVNP,01-Feb-2010,5.5,5.5,5.4,5.4,2300,NASDAQ
HOVNP,02-Feb-2010,5.44,5.45,5.43,5.45,2900,NASDAQ
HOVNP,03-Feb-2010,5.47,5.47,5.44,5.47,2800,NASDAQ
HOVNP,04-Feb-2010,5.4,5.5,5.4,5.5,1500,NASDAQ
HOVNP,05-Feb-2010,5.34,5.34,5.3,5.3,1900,NASDAQ
HOVNP,08-Feb-2010,5.32,5.64,5.3,5.59,1500,NASDAQ
HOVNP,09-Feb-2010,5.6,5.72,5.5,5.54,4700,NASDAQ
HOVNP,10-Feb-2010,5.5,5.55,5.5,5.5,2000,NASDAQ
HOVNP,11-Feb-2010,5.51,5.71,5.51,5.71,1800,NASDAQ
HOVNP,12-Feb-2010,5.51,5.51,5.5,5.5,600,NASDAQ
HOVNP,16-Feb-2010,5.5,5.74,5.36,5.38,1600,NASDAQ
HOVNP,17-Feb-2010,5.86,6.21,5.67,5.87,12600,NASDAQ
HOVNP,18-Feb-2010,5.89,6.0,5.8,5.85,10200,NASDAQ
HOVNP,19-Feb-2010,6.21,6.26,5.81,5.81,5000,NASDAQ
HOVNP,22-Feb-2010,5.8,5.9,5.76,5.76,8600,NASDAQ
HOVNP,23-Feb-2010,5.76,5.84,5.75,5.84,1800,NASDAQ
HOVNP,24-Feb-2010,5.85,5.85,5.7,5.7,13600,NASDAQ
HOVNP,25-Feb-2010,5.95,6.25,5.95,6.25,2000,NASDAQ
HOVNP,26-Feb-2010,6.0,6.1,5.64,6.1,64700,NASDAQ
HOVNP,01-Mar-2010,6.05,6.05,6.03,6.05,4200,NASDAQ
HOVNP,02-Mar-2010,6.05,6.84,6.05,6.25,31300,NASDAQ
HOVNP,03-Mar-2010,6.34,7.0,6.34,7.0,37700,NASDAQ
HOVNP,04-Mar-2010,7.0,7.02,6.57,6.75,24900,NASDAQ
HOVNP,05-Mar-2010,6.89,8.84,6.89,8.32,32500,NASDAQ
HOVNP,08-Mar-2010,8.44,9.1,8.44,8.75,59800,NASDAQ
HOVNP,09-Mar-2010,8.89,8.95,8.75,8.84,18900,NASDAQ
HOVNP,10-Mar-2010,8.9,8.9,8.26,8.63,37800,NASDAQ
HOVNP,11-Mar-2010,8.74,8.9,8.59,8.8,13600,NASDAQ
HOVNP,12-Mar-2010,8.8,9.09,8.55,8.9,39300,NASDAQ
HOVNP,15-Mar-2010,8.7,8.8,8.68,8.8,8900,NASDAQ
HOVNP,16-Mar-2010,8.3,8.9,8.28,8.9,4700,NASDAQ
HOVNP,17-Mar-2010,8.89,9.02,8.85,8.99,21800,NASDAQ
HOVNP,18-Mar-2010,8.75,9.49,8.75,9.14,10400,NASDAQ
HOVNP,19-Mar-2010,9.4,9.7,9.0,9.05,23400,NASDAQ
HOVNP,22-Mar-2010,9.25,9.5,9.0,9.39,9600,NASDAQ
HOVNP,23-Mar-2010,9.3,9.4,9.22,9.4,16800,NASDAQ
HOVNP,24-Mar-2010,9.39,9.4,9.22,9.4,6800,NASDAQ
HOVNP,25-Mar-2010,9.3,9.4,9.3,9.3,6600,NASDAQ
HOVNP,26-Mar-2010,9.35,9.39,9.15,9.16,6900,NASDAQ
HOVNP,29-Mar-2010,9.39,9.39,9.2,9.2,2100,NASDAQ
