name,date,open_price,close_price,high_price,low_price,volume,market
HTLD,04-Jan-2010,15.74,15.96,15.67,15.82,785800,NASDAQ
HTLD,05-Jan-2010,15.92,15.96,15.76,15.87,595300,NASDAQ
HTLD,06-Jan-2010,15.9,16.0,15.8,15.84,622600,NASDAQ
HTLD,07-Jan-2010,15.83,15.91,15.53,15.65,332000,NASDAQ
HTLD,08-Jan-2010,15.64,15.91,15.53,15.87,327200,NASDAQ
HTLD,11-Jan-2010,16.0,16.0,15.75,15.84,244700,NASDAQ
HTLD,12-Jan-2010,15.72,15.9,15.64,15.75,354400,NASDAQ
HTLD,13-Jan-2010,15.76,15.89,15.65,15.8,340200,NASDAQ
HTLD,14-Jan-2010,15.72,15.96,15.65,15.9,316600,NASDAQ
HTLD,15-Jan-2010,15.95,15.95,15.22,15.44,837900,NASDAQ
HTLD,19-Jan-2010,15.45,15.69,15.34,15.68,516300,NASDAQ
HTLD,20-Jan-2010,15.63,15.72,15.44,15.67,743600,NASDAQ
HTLD,21-Jan-2010,15.65,15.94,15.4,15.57,615400,NASDAQ
HTLD,22-Jan-2010,15.51,15.72,15.11,15.16,338700,NASDAQ
HTLD,25-Jan-2010,15.24,15.26,15.01,15.07,243200,NASDAQ
HTLD,26-Jan-2010,15.02,15.25,14.91,15.04,313900,NASDAQ
HTLD,27-Jan-2010,14.96,15.2,14.6,14.77,1010400,NASDAQ
HTLD,28-Jan-2010,14.72,14.72,13.61,14.09,948600,NASDAQ
HTLD,29-Jan-2010,14.07,14.19,13.89,13.89,946900,NASDAQ
HTLD,01-Feb-2010,13.95,14.05,13.8,13.95,493900,NASDAQ
HTLD,02-Feb-2010,13.95,13.97,13.73,13.79,638700,NASDAQ
HTLD,03-Feb-2010,13.96,14.05,13.68,14.04,472700,NASDAQ
HTLD,04-Feb-2010,13.98,14.02,13.71,13.73,479400,NASDAQ
HTLD,05-Feb-2010,13.72,13.86,13.48,13.8,594300,NASDAQ
HTLD,08-Feb-2010,13.78,13.87,13.55,13.58,308500,NASDAQ
HTLD,09-Feb-2010,13.77,13.91,13.57,13.87,528000,NASDAQ
HTLD,10-Feb-2010,13.74,14.05,13.62,14.05,535500,NASDAQ
HTLD,11-Feb-2010,13.97,14.2,13.91,14.14,704400,NASDAQ
HTLD,12-Feb-2010,14.0,14.2,13.88,14.14,540600,NASDAQ
HTLD,16-Feb-2010,14.25,14.27,14.07,14.27,363000,NASDAQ
HTLD,17-Feb-2010,14.36,14.57,14.23,14.5,589700,NASDAQ
HTLD,18-Feb-2010,14.45,14.51,14.31,14.46,328300,NASDAQ
HTLD,19-Feb-2010,14.47,14.77,14.47,14.62,884300,NASDAQ
HTLD,22-Feb-2010,14.63,15.09,14.63,15.04,725700,NASDAQ
HTLD,23-Feb-2010,14.98,15.24,14.88,15.18,663100,NASDAQ
HTLD,24-Feb-2010,15.19,15.57,15.15,15.34,958200,NASDAQ
HTLD,25-Feb-2010,15.15,15.49,15.07,15.37,681400,NASDAQ
HTLD,26-Feb-2010,15.42,15.5,15.27,15.31,785800,NASDAQ
HTLD,01-Mar-2010,15.4,15.68,15.2,15.52,1080100,NASDAQ
HTLD,02-Mar-2010,15.59,15.68,15.33,15.45,854700,NASDAQ
HTLD,03-Mar-2010,15.43,15.53,15.32,15.42,760200,NASDAQ
HTLD,04-Mar-2010,15.49,15.51,15.25,15.38,525200,NASDAQ
HTLD,05-Mar-2010,15.43,15.78,15.28,15.73,873800,NASDAQ
HTLD,08-Mar-2010,15.75,15.88,15.67,15.81,320800,NASDAQ
HTLD,09-Mar-2010,15.8,16.31,15.79,16.27,799600,NASDAQ
HTLD,10-Mar-2010,16.2,16.36,15.98,16.0,535500,NASDAQ
HTLD,11-Mar-2010,15.9,16.17,15.87,16.16,493700,NASDAQ
HTLD,12-Mar-2010,16.25,16.25,16.01,16.2,445000,NASDAQ
HTLD,15-Mar-2010,16.21,16.29,15.81,16.26,599700,NASDAQ
HTLD,16-Mar-2010,16.35,16.57,16.27,16.56,356400,NASDAQ
HTLD,17-Mar-2010,16.61,16.7,16.35,16.42,415800,NASDAQ
HTLD,18-Mar-2010,16.35,16.46,16.17,16.17,530600,NASDAQ
HTLD,19-Mar-2010,16.27,16.41,16.0,16.08,816700,NASDAQ
HTLD,22-Mar-2010,16.01,16.31,15.92,16.23,490000,NASDAQ
HTLD,23-Mar-2010,16.18,16.45,16.16,16.44,336600,NASDAQ
HTLD,24-Mar-2010,16.32,16.48,16.06,16.09,410100,NASDAQ
HTLD,25-Mar-2010,16.24,16.47,16.02,16.03,337400,NASDAQ
HTLD,26-Mar-2010,16.14,16.17,15.87,15.99,464000,NASDAQ
HTLD,29-Mar-2010,16.63,16.71,16.18,16.43,702800,NASDAQ
HTLD,30-Mar-2010,16.54,16.73,16.19,16.28,404900,NASDAQ
HTLD,31-Mar-2010,16.18,16.59,16.18,16.5,522000,NASDAQ
HTLD,01-Apr-2010,16.58,16.74,16.28,16.42,443000,NASDAQ
HTLD,05-Apr-2010,16.5,16.53,16.29,16.46,323400,NASDAQ
HTLD,06-Apr-2010,16.33,16.53,16.22,16.43,372500,NASDAQ
