name,date,open_price,close_price,high_price,low_price,volume,market
HWBK,04-Jan-2010,9.76,10.0,9.48,10.0,13500,NASDAQ
HWBK,05-Jan-2010,9.74,9.74,9.5,9.5,700,NASDAQ
HWBK,06-Jan-2010,9.99,10.0,9.52,9.74,1400,NASDAQ
HWBK,07-Jan-2010,9.74,9.74,9.74,9.74,0,NASDAQ
HWBK,08-Jan-2010,9.74,9.98,9.74,9.8,2000,NASDAQ
HWBK,11-Jan-2010,9.8,9.8,9.8,9.8,0,NASDAQ
HWBK,12-Jan-2010,9.79,9.8,9.45,9.45,1000,NASDAQ
HWBK,13-Jan-2010,9.69,9.69,9.54,9.54,4800,NASDAQ
HWBK,14-Jan-2010,9.68,9.8,9.5,9.5,800,NASDAQ
HWBK,15-Jan-2010,9.5,9.51,9.5,9.51,300,NASDAQ
HWBK,19-Jan-2010,9.44,9.86,9.44,9.7,2900,NASDAQ
HWBK,20-Jan-2010,9.7,10.0,9.5,9.87,5500,NASDAQ
HWBK,21-Jan-2010,9.9,9.9,9.51,9.66,2100,NASDAQ
HWBK,22-Jan-2010,9.85,9.9,9.85,9.9,400,NASDAQ
HWBK,25-Jan-2010,9.61,9.8,9.61,9.62,2200,NASDAQ
HWBK,26-Jan-2010,9.7,9.7,9.7,9.7,200,NASDAQ
HWBK,27-Jan-2010,9.7,9.7,9.7,9.7,0,NASDAQ
HWBK,28-Jan-2010,9.8,9.8,9.65,9.8,1200,NASDAQ
HWBK,29-Jan-2010,9.8,9.8,9.8,9.8,0,NASDAQ
HWBK,01-Feb-2010,9.98,9.99,9.97,9.99,600,NASDAQ
HWBK,02-Feb-2010,9.99,9.99,9.99,9.99,0,NASDAQ
HWBK,03-Feb-2010,9.81,9.81,9.81,9.81,100,NASDAQ
HWBK,04-Feb-2010,9.8,9.8,9.8,9.8,100,NASDAQ
HWBK,05-Feb-2010,9.8,9.8,9.8,9.8,100,NASDAQ
HWBK,08-Feb-2010,9.8,9.8,9.8,9.8,0,NASDAQ
HWBK,09-Feb-2010,9.8,9.8,9.8,9.8,100,NASDAQ
HWBK,10-Feb-2010,9.8,9.8,9.8,9.8,400,NASDAQ
HWBK,11-Feb-2010,9.8,10.31,9.8,10.06,10200,NASDAQ
HWBK,12-Feb-2010,10.2,10.25,10.0,10.06,4300,NASDAQ
HWBK,16-Feb-2010,10.5,11.0,10.5,10.86,400,NASDAQ
HWBK,17-Feb-2010,10.86,10.99,10.47,10.95,9200,NASDAQ
HWBK,18-Feb-2010,10.95,10.95,10.95,10.95,0,NASDAQ
HWBK,19-Feb-2010,10.68,10.89,10.68,10.81,2000,NASDAQ
HWBK,22-Feb-2010,10.81,11.0,10.8,11.0,500,NASDAQ
HWBK,23-Feb-2010,11.0,11.0,11.0,11.0,100,NASDAQ
HWBK,24-Feb-2010,11.0,11.0,11.0,11.0,0,NASDAQ
HWBK,25-Feb-2010,11.0,11.0,11.0,11.0,0,NASDAQ
HWBK,26-Feb-2010,11.0,11.4,11.0,11.16,4500,NASDAQ
HWBK,01-Mar-2010,11.35,12.18,11.25,12.03,2100,NASDAQ
HWBK,02-Mar-2010,11.8,12.84,11.34,11.98,9700,NASDAQ
HWBK,03-Mar-2010,11.36,12.0,11.36,11.84,1000,NASDAQ
HWBK,04-Mar-2010,11.84,11.84,11.84,11.84,0,NASDAQ
HWBK,05-Mar-2010,11.81,12.0,11.8,12.0,2900,NASDAQ
HWBK,08-Mar-2010,12.1,12.1,12.1,12.1,100,NASDAQ
HWBK,09-Mar-2010,12.24,12.24,12.24,12.24,200,NASDAQ
HWBK,10-Mar-2010,12.01,12.02,11.9,11.9,1700,NASDAQ
HWBK,11-Mar-2010,12.23,13.0,12.0,12.68,3000,NASDAQ
HWBK,12-Mar-2010,12.02,12.1,12.0,12.1,300,NASDAQ
HWBK,15-Mar-2010,12.01,12.45,12.01,12.45,600,NASDAQ
HWBK,16-Mar-2010,12.45,12.45,12.45,12.45,0,NASDAQ
HWBK,17-Mar-2010,12.49,12.49,12.03,12.03,300,NASDAQ
HWBK,18-Mar-2010,12.03,12.03,12.03,12.03,0,NASDAQ
HWBK,19-Mar-2010,12.03,12.03,12.03,12.03,0,NASDAQ
HWBK,22-Mar-2010,12.03,12.03,12.03,12.03,0,NASDAQ
HWBK,23-Mar-2010,12.45,12.45,12.1,12.1,400,NASDAQ
HWBK,24-Mar-2010,12.1,12.1,11.96,11.96,800,NASDAQ
HWBK,25-Mar-2010,11.96,11.96,11.96,11.96,0,NASDAQ
HWBK,26-Mar-2010,12.2,12.2,12.2,12.2,100,NASDAQ
HWBK,29-Mar-2010,12.01,12.3,11.75,12.3,3500,NASDAQ
HWBK,30-Mar-2010,12.3,12.3,11.89,12.05,1800,NASDAQ
HWBK,31-Mar-2010,12.26,12.26,11.69,11.69,1400,NASDAQ
HWBK,01-Apr-2010,11.99,12.0,11.96,12.0,4700,NASDAQ
HWBK,05-Apr-2010,12.31,12.75,12.04,12.68,5200,NASDAQ
