name,date,open_price,close_price,high_price,low_price,volume,market
ICAD,04-Jan-2010,1.52,1.58,1.43,1.58,168800,NASDAQ
ICAD,05-Jan-2010,1.58,1.6,1.54,1.58,86300,NASDAQ
ICAD,06-Jan-2010,1.57,1.61,1.57,1.6,110800,NASDAQ
ICAD,07-Jan-2010,1.62,1.63,1.6,1.63,97600,NASDAQ
ICAD,08-Jan-2010,1.61,1.69,1.55,1.64,102300,NASDAQ
ICAD,11-Jan-2010,1.6,1.63,1.57,1.6,91800,NASDAQ
ICAD,12-Jan-2010,1.54,1.57,1.51,1.57,67900,NASDAQ
ICAD,13-Jan-2010,1.59,1.6,1.55,1.59,29200,NASDAQ
ICAD,14-Jan-2010,1.61,1.62,1.55,1.59,20700,NASDAQ
ICAD,15-Jan-2010,1.57,1.57,1.52,1.54,47000,NASDAQ
ICAD,19-Jan-2010,1.53,1.61,1.48,1.48,156500,NASDAQ
ICAD,20-Jan-2010,1.51,1.51,1.45,1.49,96800,NASDAQ
ICAD,21-Jan-2010,1.5,1.54,1.48,1.48,83300,NASDAQ
ICAD,22-Jan-2010,1.48,1.5,1.45,1.45,34100,NASDAQ
ICAD,25-Jan-2010,1.42,1.51,1.42,1.46,82000,NASDAQ
ICAD,26-Jan-2010,1.43,1.56,1.43,1.53,104800,NASDAQ
ICAD,27-Jan-2010,1.55,1.55,1.46,1.46,49200,NASDAQ
ICAD,28-Jan-2010,1.43,1.51,1.41,1.43,45200,NASDAQ
ICAD,29-Jan-2010,1.43,1.45,1.41,1.42,62700,NASDAQ
ICAD,01-Feb-2010,1.4,1.45,1.4,1.43,46700,NASDAQ
ICAD,02-Feb-2010,1.41,1.5,1.41,1.5,114700,NASDAQ
ICAD,03-Feb-2010,1.41,1.48,1.38,1.45,277200,NASDAQ
ICAD,04-Feb-2010,1.41,1.45,1.35,1.42,84500,NASDAQ
ICAD,05-Feb-2010,1.39,1.5,1.36,1.45,137500,NASDAQ
ICAD,08-Feb-2010,1.43,1.48,1.41,1.45,226300,NASDAQ
ICAD,09-Feb-2010,1.48,1.48,1.39,1.45,127600,NASDAQ
ICAD,10-Feb-2010,1.42,1.46,1.39,1.42,150800,NASDAQ
ICAD,11-Feb-2010,1.39,1.46,1.39,1.46,153100,NASDAQ
ICAD,12-Feb-2010,1.46,1.49,1.4,1.49,172200,NASDAQ
ICAD,16-Feb-2010,1.46,1.5,1.38,1.43,274000,NASDAQ
ICAD,17-Feb-2010,1.41,1.45,1.39,1.41,87500,NASDAQ
ICAD,18-Feb-2010,1.39,1.58,1.39,1.54,260200,NASDAQ
ICAD,19-Feb-2010,1.5,1.6,1.49,1.57,388000,NASDAQ
ICAD,22-Feb-2010,1.57,1.63,1.44,1.48,415700,NASDAQ
ICAD,23-Feb-2010,1.52,1.54,1.39,1.51,305100,NASDAQ
ICAD,24-Feb-2010,1.51,1.51,1.4,1.4,249800,NASDAQ
ICAD,25-Feb-2010,1.4,1.45,1.4,1.44,108000,NASDAQ
ICAD,26-Feb-2010,1.47,1.47,1.41,1.47,72300,NASDAQ
ICAD,01-Mar-2010,1.47,1.47,1.41,1.43,91600,NASDAQ
ICAD,02-Mar-2010,1.47,1.47,1.41,1.43,151100,NASDAQ
ICAD,03-Mar-2010,1.44,1.44,1.4,1.42,165000,NASDAQ
ICAD,04-Mar-2010,1.4,1.44,1.38,1.4,193500,NASDAQ
ICAD,05-Mar-2010,1.4,1.44,1.38,1.44,191600,NASDAQ
ICAD,08-Mar-2010,1.44,1.45,1.39,1.41,149900,NASDAQ
ICAD,09-Mar-2010,1.4,1.41,1.35,1.38,139100,NASDAQ
ICAD,10-Mar-2010,1.41,1.41,1.38,1.39,26000,NASDAQ
ICAD,11-Mar-2010,1.4,1.44,1.39,1.41,101700,NASDAQ
ICAD,12-Mar-2010,1.39,1.46,1.39,1.43,105500,NASDAQ
ICAD,15-Mar-2010,1.45,1.45,1.4,1.4,49100,NASDAQ
ICAD,16-Mar-2010,1.43,1.44,1.39,1.4,108300,NASDAQ
ICAD,17-Mar-2010,1.4,1.42,1.38,1.4,136100,NASDAQ
ICAD,18-Mar-2010,1.4,1.41,1.38,1.4,86100,NASDAQ
ICAD,19-Mar-2010,1.4,1.43,1.39,1.43,101400,NASDAQ
ICAD,22-Mar-2010,1.44,1.44,1.38,1.43,166800,NASDAQ
ICAD,23-Mar-2010,1.4,1.43,1.4,1.4,124700,NASDAQ
ICAD,24-Mar-2010,1.4,1.43,1.39,1.4,52900,NASDAQ
ICAD,25-Mar-2010,1.43,1.43,1.4,1.42,69300,NASDAQ
ICAD,26-Mar-2010,1.43,1.43,1.4,1.4,52200,NASDAQ
ICAD,29-Mar-2010,1.4,1.95,1.39,1.54,2095900,NASDAQ
ICAD,30-Mar-2010,1.52,1.6,1.44,1.57,669500,NASDAQ
ICAD,31-Mar-2010,1.56,1.61,1.5,1.52,275900,NASDAQ
ICAD,01-Apr-2010,1.53,1.56,1.45,1.51,242800,NASDAQ
ICAD,05-Apr-2010,1.54,1.54,1.43,1.5,124700,NASDAQ
ICAD,06-Apr-2010,1.48,1.53,1.42,1.51,100800,NASDAQ
ICAD,07-Apr-2010,1.47,1.52,1.45,1.52,130100,NASDAQ
ICAD,08-Apr-2010,1.46,1.61,1.46,1.57,184600,NASDAQ
ICAD,09-Apr-2010,1.6,1.62,1.54,1.56,53300,NASDAQ
ICAD,12-Apr-2010,1.53,1.69,1.53,1.65,124600,NASDAQ
ICAD,13-Apr-2010,1.62,1.64,1.58,1.58,111400,NASDAQ
ICAD,14-Apr-2010,1.58,1.65,1.58,1.61,109100,NASDAQ
ICAD,15-Apr-2010,1.68,1.71,1.64,1.71,240300,NASDAQ
ICAD,16-Apr-2010,1.74,1.89,1.7,1.79,1156900,NASDAQ
ICAD,19-Apr-2010,1.82,1.9,1.79,1.84,556500,NASDAQ
ICAD,20-Apr-2010,1.85,1.85,1.81,1.81,148000,NASDAQ
ICAD,21-Apr-2010,1.8,1.83,1.69,1.76,322900,NASDAQ
ICAD,22-Apr-2010,1.71,1.74,1.68,1.72,136800,NASDAQ
ICAD,23-Apr-2010,1.72,1.8,1.7,1.7,94700,NASDAQ
ICAD,26-Apr-2010,1.73,1.73,1.65,1.7,158000,NASDAQ
ICAD,27-Apr-2010,1.69,1.83,1.66,1.83,155000,NASDAQ
ICAD,28-Apr-2010,1.89,1.89,1.68,1.73,123600,NASDAQ
ICAD,29-Apr-2010,1.58,1.65,1.49,1.57,399000,NASDAQ
ICAD,30-Apr-2010,1.53,1.55,1.43,1.47,203200,NASDAQ
ICAD,03-May-2010,1.45,1.53,1.43,1.5,195400,NASDAQ
ICAD,04-May-2010,1.45,1.49,1.37,1.41,267400,NASDAQ
ICAD,05-May-2010,1.38,1.49,1.35,1.47,112800,NASDAQ
ICAD,06-May-2010,1.41,1.54,1.4,1.4,142300,NASDAQ
ICAD,07-May-2010,1.41,1.44,1.36,1.44,78000,NASDAQ
ICAD,10-May-2010,1.45,1.47,1.4,1.4,81100,NASDAQ
ICAD,11-May-2010,1.42,1.44,1.36,1.36,100700,NASDAQ
ICAD,12-May-2010,1.36,1.45,1.36,1.45,76400,NASDAQ
ICAD,13-May-2010,1.45,1.47,1.4,1.44,111600,NASDAQ
ICAD,14-May-2010,1.42,1.45,1.39,1.39,47700,NASDAQ
ICAD,17-May-2010,1.38,1.43,1.38,1.41,47800,NASDAQ
ICAD,18-May-2010,1.42,1.44,1.4,1.42,55000,NASDAQ
ICAD,19-May-2010,1.4,1.43,1.37,1.4,169000,NASDAQ
ICAD,20-May-2010,1.38,1.4,1.34,1.35,160100,NASDAQ
ICAD,21-May-2010,1.34,1.36,1.32,1.32,123700,NASDAQ
ICAD,24-May-2010,1.35,1.35,1.28,1.29,150000,NASDAQ
ICAD,25-May-2010,1.28,1.31,1.28,1.3,87800,NASDAQ
ICAD,26-May-2010,1.31,1.33,1.28,1.31,160200,NASDAQ
ICAD,27-May-2010,1.37,1.47,1.34,1.43,469300,NASDAQ
ICAD,28-May-2010,1.46,1.48,1.39,1.43,119100,NASDAQ
ICAD,01-Jun-2010,1.6,1.61,1.41,1.41,218600,NASDAQ
ICAD,02-Jun-2010,1.46,1.5,1.43,1.47,157600,NASDAQ
ICAD,03-Jun-2010,1.51,1.55,1.45,1.5,218200,NASDAQ
ICAD,04-Jun-2010,1.53,1.53,1.47,1.48,309200,NASDAQ
ICAD,07-Jun-2010,1.43,1.53,1.41,1.42,219200,NASDAQ
ICAD,08-Jun-2010,1.41,1.58,1.4,1.58,408800,NASDAQ
ICAD,09-Jun-2010,1.62,1.69,1.57,1.65,366400,NASDAQ
ICAD,10-Jun-2010,1.65,1.79,1.65,1.72,370100,NASDAQ
ICAD,11-Jun-2010,1.75,1.75,1.55,1.58,206900,NASDAQ
ICAD,14-Jun-2010,1.75,1.8,1.73,1.77,543000,NASDAQ
ICAD,15-Jun-2010,1.8,1.85,1.8,1.85,421600,NASDAQ
ICAD,16-Jun-2010,1.87,2.06,1.78,1.98,912000,NASDAQ
