name,date,open_price,close_price,high_price,low_price,volume,market
ICUI,04-Jan-2010,36.61,37.3,36.48,36.73,55100,NASDAQ
ICUI,05-Jan-2010,36.61,36.92,36.26,36.38,77500,NASDAQ
ICUI,06-Jan-2010,36.42,36.84,36.3,36.5,124700,NASDAQ
ICUI,07-Jan-2010,36.59,36.73,36.18,36.66,65100,NASDAQ
ICUI,08-Jan-2010,36.68,37.22,36.56,37.09,100400,NASDAQ
ICUI,11-Jan-2010,37.11,37.42,37.09,37.31,63300,NASDAQ
ICUI,12-Jan-2010,37.22,37.55,36.86,36.94,61600,NASDAQ
ICUI,13-Jan-2010,37.06,37.1,36.71,36.97,108300,NASDAQ
ICUI,14-Jan-2010,36.88,37.3,36.88,37.1,68100,NASDAQ
ICUI,15-Jan-2010,37.25,37.25,36.58,36.97,92300,NASDAQ
ICUI,19-Jan-2010,37.08,37.53,36.95,37.05,133600,NASDAQ
ICUI,20-Jan-2010,36.79,37.1,36.61,36.85,76400,NASDAQ
ICUI,21-Jan-2010,37.0,37.19,36.17,36.27,175900,NASDAQ
ICUI,22-Jan-2010,36.17,36.56,36.17,36.41,267200,NASDAQ
ICUI,25-Jan-2010,36.51,36.88,35.7,35.8,67400,NASDAQ
ICUI,26-Jan-2010,35.61,35.63,35.0,35.11,62700,NASDAQ
ICUI,27-Jan-2010,34.99,35.6,34.99,35.37,55200,NASDAQ
ICUI,28-Jan-2010,35.4,35.51,34.57,34.65,68100,NASDAQ
ICUI,29-Jan-2010,34.93,35.22,34.17,34.78,360700,NASDAQ
ICUI,01-Feb-2010,35.0,35.48,34.24,34.39,128500,NASDAQ
ICUI,02-Feb-2010,32.2,33.21,32.0,32.6,769200,NASDAQ
ICUI,03-Feb-2010,32.4,32.81,32.32,32.4,227200,NASDAQ
ICUI,04-Feb-2010,32.4,32.53,31.88,32.31,244000,NASDAQ
ICUI,05-Feb-2010,32.37,33.06,32.1,33.04,247200,NASDAQ
ICUI,08-Feb-2010,33.12,33.65,33.12,33.35,157500,NASDAQ
ICUI,09-Feb-2010,33.51,34.78,33.41,34.56,258700,NASDAQ
ICUI,10-Feb-2010,34.58,34.85,34.01,34.11,161300,NASDAQ
ICUI,11-Feb-2010,33.94,34.46,33.9,34.05,162400,NASDAQ
ICUI,12-Feb-2010,33.81,34.52,33.81,34.5,61700,NASDAQ
ICUI,16-Feb-2010,34.4,34.53,34.13,34.5,112300,NASDAQ
ICUI,17-Feb-2010,34.45,34.5,33.98,34.13,89200,NASDAQ
ICUI,18-Feb-2010,34.01,35.35,33.59,35.3,252600,NASDAQ
ICUI,19-Feb-2010,35.3,35.42,34.77,34.8,76900,NASDAQ
ICUI,22-Feb-2010,34.73,35.09,34.47,34.96,30900,NASDAQ
ICUI,23-Feb-2010,34.85,35.36,34.85,35.32,71000,NASDAQ
ICUI,24-Feb-2010,35.15,35.59,35.15,35.39,26200,NASDAQ
ICUI,25-Feb-2010,35.26,35.26,34.43,34.73,76400,NASDAQ
ICUI,26-Feb-2010,34.78,34.78,34.29,34.37,142300,NASDAQ
ICUI,01-Mar-2010,34.5,34.9,34.47,34.8,173000,NASDAQ
ICUI,02-Mar-2010,34.93,35.54,34.85,35.11,99200,NASDAQ
ICUI,03-Mar-2010,35.25,35.49,35.04,35.08,88000,NASDAQ
ICUI,04-Mar-2010,35.03,35.46,34.95,34.98,112100,NASDAQ
