name,date,open_price,close_price,high_price,low_price,volume,market
IEP,12-Dec-2011,37.52,39.9,36.11,37.17,7100,NASDAQ
IEP,13-Dec-2011,36.5,37.99,36.5,37.15,4200,NASDAQ
IEP,14-Dec-2011,37.0,37.93,36.97,37.93,4500,NASDAQ
IEP,15-Dec-2011,37.39,37.89,37.0,37.16,20300,NASDAQ
IEP,16-Dec-2011,37.03,38.01,36.35,38.01,18200,NASDAQ
IEP,19-Dec-2011,37.67,37.67,35.88,35.88,4600,NASDAQ
IEP,20-Dec-2011,36.0,38.5,35.55,36.57,9300,NASDAQ
IEP,21-Dec-2011,36.07,36.98,35.5,35.7,4900,NASDAQ
IEP,22-Dec-2011,36.12,36.81,35.32,36.22,20400,NASDAQ
IEP,23-Dec-2011,36.98,36.98,35.76,36.27,15900,NASDAQ
IEP,27-Dec-2011,36.01,36.81,35.76,36.5,14800,NASDAQ
IEP,28-Dec-2011,36.5,36.89,36.12,36.2,15300,NASDAQ
IEP,29-Dec-2011,36.4,36.88,35.01,35.6,35000,NASDAQ
IEP,30-Dec-2011,35.33,36.01,35.33,35.8,19900,NASDAQ
