name,date,open_price,close_price,high_price,low_price,volume,market
IMMR,04-Jan-2010,4.62,4.7,4.55,4.65,148200,NASDAQ
IMMR,05-Jan-2010,4.61,4.75,4.56,4.69,333500,NASDAQ
IMMR,06-Jan-2010,4.7,4.95,4.69,4.79,126400,NASDAQ
IMMR,07-Jan-2010,4.8,4.91,4.75,4.83,79700,NASDAQ
IMMR,08-Jan-2010,4.85,4.9,4.81,4.9,67200,NASDAQ
IMMR,11-Jan-2010,4.9,4.99,4.87,4.96,271100,NASDAQ
IMMR,12-Jan-2010,4.93,4.99,4.88,4.92,63500,NASDAQ
IMMR,13-Jan-2010,4.92,4.97,4.85,4.86,90600,NASDAQ
IMMR,14-Jan-2010,4.88,4.93,4.88,4.91,99500,NASDAQ
IMMR,15-Jan-2010,4.93,4.99,4.84,4.91,145600,NASDAQ
IMMR,19-Jan-2010,4.91,4.97,4.88,4.97,127000,NASDAQ
IMMR,20-Jan-2010,4.91,4.95,4.83,4.92,147400,NASDAQ
IMMR,21-Jan-2010,4.96,5.06,4.8,4.8,171100,NASDAQ
IMMR,22-Jan-2010,4.8,4.91,4.75,4.77,161100,NASDAQ
IMMR,25-Jan-2010,4.8,4.85,4.53,4.56,164800,NASDAQ
IMMR,26-Jan-2010,4.56,4.77,4.51,4.68,126800,NASDAQ
IMMR,27-Jan-2010,4.64,4.74,4.6,4.7,66600,NASDAQ
IMMR,28-Jan-2010,4.71,4.71,4.39,4.44,195900,NASDAQ
IMMR,29-Jan-2010,4.46,4.65,4.31,4.43,183300,NASDAQ
IMMR,01-Feb-2010,4.44,4.74,4.41,4.73,102700,NASDAQ
IMMR,02-Feb-2010,4.78,4.78,4.5,4.52,88100,NASDAQ
IMMR,03-Feb-2010,4.51,4.54,4.31,4.52,127700,NASDAQ
IMMR,04-Feb-2010,4.48,4.54,4.34,4.52,170100,NASDAQ
IMMR,05-Feb-2010,4.51,4.73,4.26,4.7,102100,NASDAQ
IMMR,08-Feb-2010,4.7,4.95,4.65,4.7,268100,NASDAQ
IMMR,09-Feb-2010,4.69,4.69,4.27,4.29,235800,NASDAQ
IMMR,10-Feb-2010,4.29,4.29,3.93,4.12,270400,NASDAQ
IMMR,11-Feb-2010,4.14,4.2,4.09,4.09,283800,NASDAQ
IMMR,12-Feb-2010,4.1,4.32,4.1,4.17,207500,NASDAQ
IMMR,16-Feb-2010,4.23,4.29,4.1,4.16,118000,NASDAQ
IMMR,17-Feb-2010,4.18,4.21,4.11,4.15,110400,NASDAQ
IMMR,18-Feb-2010,4.15,4.21,4.01,4.05,209200,NASDAQ
IMMR,19-Feb-2010,4.05,4.26,3.96,4.05,215900,NASDAQ
IMMR,22-Feb-2010,4.05,4.27,3.99,4.23,230800,NASDAQ
IMMR,23-Feb-2010,4.24,4.24,4.15,4.18,190200,NASDAQ
IMMR,24-Feb-2010,4.18,4.23,4.05,4.09,90500,NASDAQ
IMMR,25-Feb-2010,4.04,4.2,3.99,4.2,78500,NASDAQ
IMMR,26-Feb-2010,4.21,4.25,4.06,4.09,105400,NASDAQ
IMMR,01-Mar-2010,4.09,4.34,4.09,4.26,144700,NASDAQ
IMMR,02-Mar-2010,4.25,4.38,4.18,4.36,144600,NASDAQ
IMMR,03-Mar-2010,4.37,4.54,4.25,4.53,115100,NASDAQ
IMMR,04-Mar-2010,4.55,4.6,4.44,4.52,67300,NASDAQ
IMMR,05-Mar-2010,4.51,4.63,4.45,4.62,120900,NASDAQ
IMMR,08-Mar-2010,4.6,4.64,4.55,4.56,45500,NASDAQ
IMMR,09-Mar-2010,4.5,4.68,4.5,4.6,108200,NASDAQ
IMMR,10-Mar-2010,4.59,4.68,4.59,4.65,120000,NASDAQ
IMMR,11-Mar-2010,4.63,4.66,4.53,4.66,91300,NASDAQ
IMMR,12-Mar-2010,4.66,4.66,4.5,4.57,56600,NASDAQ
IMMR,15-Mar-2010,4.56,4.58,4.5,4.53,49900,NASDAQ
IMMR,16-Mar-2010,4.51,4.53,4.33,4.39,71800,NASDAQ
IMMR,17-Mar-2010,4.39,4.48,4.25,4.29,155800,NASDAQ
IMMR,18-Mar-2010,4.25,4.32,4.21,4.22,69300,NASDAQ
IMMR,19-Mar-2010,4.25,4.27,4.1,4.27,126000,NASDAQ
IMMR,22-Mar-2010,4.25,4.45,4.14,4.42,83300,NASDAQ
IMMR,23-Mar-2010,4.43,4.43,4.33,4.38,52600,NASDAQ
IMMR,24-Mar-2010,4.36,4.44,4.23,4.24,66500,NASDAQ
IMMR,25-Mar-2010,4.25,4.36,4.14,4.14,43800,NASDAQ
IMMR,26-Mar-2010,4.18,4.35,4.18,4.35,67700,NASDAQ
IMMR,29-Mar-2010,4.35,4.4,4.25,4.35,59300,NASDAQ
IMMR,30-Mar-2010,4.35,4.49,4.3,4.49,179500,NASDAQ
IMMR,31-Mar-2010,4.75,5.11,4.75,5.0,792600,NASDAQ
IMMR,01-Apr-2010,5.09,5.82,5.07,5.59,616800,NASDAQ
IMMR,05-Apr-2010,5.64,6.03,5.51,5.89,293000,NASDAQ
IMMR,06-Apr-2010,5.89,5.89,5.67,5.81,179000,NASDAQ
IMMR,07-Apr-2010,5.89,5.89,5.48,5.49,207900,NASDAQ
IMMR,08-Apr-2010,5.59,6.0,5.5,5.9,372400,NASDAQ
IMMR,09-Apr-2010,5.93,5.95,5.75,5.84,131900,NASDAQ
IMMR,12-Apr-2010,5.89,5.89,5.72,5.76,110200,NASDAQ
IMMR,13-Apr-2010,5.78,5.78,5.6,5.63,101200,NASDAQ
IMMR,14-Apr-2010,5.57,5.82,5.56,5.82,97100,NASDAQ
IMMR,15-Apr-2010,5.79,6.15,5.74,5.89,351600,NASDAQ
IMMR,16-Apr-2010,5.9,5.9,5.72,5.77,162500,NASDAQ
IMMR,19-Apr-2010,5.75,5.86,5.55,5.71,136800,NASDAQ
IMMR,20-Apr-2010,5.71,5.83,5.59,5.82,71800,NASDAQ
IMMR,21-Apr-2010,5.84,6.1,5.8,5.96,123100,NASDAQ
