name,date,open_price,close_price,high_price,low_price,volume,market
INTC,04-Jan-2010,20.79,21.03,20.73,20.88,47800800,NASDAQ
INTC,05-Jan-2010,20.94,20.99,20.6,20.87,52360700,NASDAQ
INTC,06-Jan-2010,20.81,20.93,20.67,20.8,40037300,NASDAQ
INTC,07-Jan-2010,20.73,20.76,20.34,20.6,54041400,NASDAQ
INTC,08-Jan-2010,20.54,20.89,20.4,20.83,48234600,NASDAQ
INTC,11-Jan-2010,21.11,21.15,20.82,20.95,51086300,NASDAQ
INTC,12-Jan-2010,20.87,20.9,20.38,20.61,69958300,NASDAQ
INTC,13-Jan-2010,20.72,21.08,20.44,20.96,71446600,NASDAQ
INTC,14-Jan-2010,21.11,21.55,21.05,21.48,151893200,NASDAQ
INTC,15-Jan-2010,21.39,21.4,20.77,20.8,198046500,NASDAQ
INTC,19-Jan-2010,20.9,21.17,20.85,21.05,82573400,NASDAQ
INTC,20-Jan-2010,20.99,21.14,20.85,21.08,65670000,NASDAQ
INTC,21-Jan-2010,21.15,21.31,20.68,20.84,73633200,NASDAQ
INTC,22-Jan-2010,20.77,20.79,19.81,19.91,116302300,NASDAQ
INTC,25-Jan-2010,20.24,20.58,20.14,20.32,73785500,NASDAQ
INTC,26-Jan-2010,20.18,20.38,19.95,20.0,65298800,NASDAQ
INTC,27-Jan-2010,20.0,20.33,19.82,20.24,74926100,NASDAQ
INTC,28-Jan-2010,20.3,20.39,19.68,19.92,76974500,NASDAQ
INTC,29-Jan-2010,20.13,20.23,19.3,19.4,96053800,NASDAQ
INTC,01-Feb-2010,19.47,19.75,19.44,19.61,50338200,NASDAQ
INTC,02-Feb-2010,19.68,20.04,19.56,19.91,63332400,NASDAQ
INTC,03-Feb-2010,19.78,19.88,19.47,19.68,45582200,NASDAQ
INTC,04-Feb-2010,19.57,19.58,18.95,19.02,90931000,NASDAQ
INTC,05-Feb-2010,19.1,19.58,19.0,19.47,88711600,NASDAQ
INTC,08-Feb-2010,19.48,19.79,19.3,19.35,62563100,NASDAQ
INTC,09-Feb-2010,19.64,19.89,19.44,19.65,69454000,NASDAQ
INTC,10-Feb-2010,19.59,19.87,19.45,19.69,56250600,NASDAQ
INTC,11-Feb-2010,19.63,20.2,19.55,20.06,58837200,NASDAQ
INTC,12-Feb-2010,19.96,20.67,19.78,20.43,91108800,NASDAQ
INTC,16-Feb-2010,20.62,20.85,20.55,20.72,69083300,NASDAQ
INTC,17-Feb-2010,20.86,20.86,20.53,20.66,47296600,NASDAQ
INTC,18-Feb-2010,20.64,20.85,20.55,20.84,42613500,NASDAQ
INTC,19-Feb-2010,20.72,20.97,20.58,20.82,40768200,NASDAQ
INTC,22-Feb-2010,20.95,20.96,20.65,20.87,38730500,NASDAQ
INTC,23-Feb-2010,20.84,20.95,20.29,20.39,62245200,NASDAQ
INTC,24-Feb-2010,20.52,20.81,20.5,20.7,51070000,NASDAQ
INTC,25-Feb-2010,20.37,20.66,20.22,20.63,48789300,NASDAQ
INTC,26-Feb-2010,20.6,20.68,20.43,20.53,47795200,NASDAQ
INTC,01-Mar-2010,20.68,20.94,20.62,20.87,51203200,NASDAQ
INTC,02-Mar-2010,20.99,21.09,20.58,20.7,59398900,NASDAQ
INTC,03-Mar-2010,20.76,20.82,20.44,20.52,49917300,NASDAQ
INTC,04-Mar-2010,20.6,20.61,20.26,20.53,62756900,NASDAQ
INTC,05-Mar-2010,20.66,20.84,20.45,20.79,45886700,NASDAQ
INTC,08-Mar-2010,20.81,20.88,20.7,20.77,35742000,NASDAQ
INTC,09-Mar-2010,20.68,21.2,20.66,20.94,83168600,NASDAQ
INTC,10-Mar-2010,20.95,21.29,20.91,21.19,58443400,NASDAQ
INTC,11-Mar-2010,21.14,21.27,20.99,21.25,53786500,NASDAQ
INTC,12-Mar-2010,21.31,21.37,21.18,21.27,39590300,NASDAQ
INTC,15-Mar-2010,21.16,21.32,21.05,21.17,34377900,NASDAQ
INTC,16-Mar-2010,21.23,22.04,21.2,22.01,123060800,NASDAQ
INTC,17-Mar-2010,22.06,22.35,21.91,22.24,77805800,NASDAQ
INTC,18-Mar-2010,22.19,22.35,22.01,22.2,54458400,NASDAQ
INTC,19-Mar-2010,22.25,22.39,21.81,21.99,77998400,NASDAQ
INTC,22-Mar-2010,21.87,22.3,21.84,22.24,47405600,NASDAQ
INTC,23-Mar-2010,22.39,22.75,22.36,22.67,64740800,NASDAQ
INTC,24-Mar-2010,22.53,22.67,22.32,22.43,54742700,NASDAQ
INTC,25-Mar-2010,22.69,22.73,22.31,22.35,52458900,NASDAQ
INTC,26-Mar-2010,22.43,22.59,22.07,22.24,45700400,NASDAQ
INTC,29-Mar-2010,22.42,22.49,22.26,22.33,34467800,NASDAQ
INTC,30-Mar-2010,22.4,22.54,22.18,22.34,37886200,NASDAQ
INTC,31-Mar-2010,22.32,22.5,22.2,22.29,45991900,NASDAQ
INTC,01-Apr-2010,22.4,22.64,22.2,22.39,45499200,NASDAQ
INTC,05-Apr-2010,22.48,22.65,22.34,22.59,34948100,NASDAQ
INTC,06-Apr-2010,22.43,22.48,22.26,22.4,47063100,NASDAQ
INTC,07-Apr-2010,22.43,22.68,22.25,22.45,62544100,NASDAQ
INTC,08-Apr-2010,22.38,22.41,22.16,22.31,40824400,NASDAQ
INTC,09-Apr-2010,22.4,22.57,22.36,22.55,45528600,NASDAQ
INTC,12-Apr-2010,22.69,22.73,22.44,22.54,49352900,NASDAQ
INTC,13-Apr-2010,22.65,22.82,22.47,22.77,122395500,NASDAQ
INTC,14-Apr-2010,23.57,23.69,23.27,23.52,159980500,NASDAQ
INTC,15-Apr-2010,23.83,24.37,23.8,24.22,110819500,NASDAQ
INTC,16-Apr-2010,24.06,24.16,23.77,23.92,102974800,NASDAQ
INTC,19-Apr-2010,23.91,24.04,23.54,24.0,71310700,NASDAQ
INTC,20-Apr-2010,24.2,24.25,23.9,24.12,65991300,NASDAQ
INTC,21-Apr-2010,24.1,24.13,23.54,23.8,73899200,NASDAQ
INTC,22-Apr-2010,23.55,24.06,23.32,23.99,73666000,NASDAQ
INTC,23-Apr-2010,23.95,24.06,23.73,24.04,56972100,NASDAQ
INTC,26-Apr-2010,24.08,24.13,23.81,23.82,57727600,NASDAQ
INTC,27-Apr-2010,23.73,23.88,23.3,23.35,78937500,NASDAQ
INTC,28-Apr-2010,23.41,23.46,22.91,23.26,109052000,NASDAQ
INTC,29-Apr-2010,23.33,23.51,23.3,23.49,59059300,NASDAQ
INTC,30-Apr-2010,23.45,23.46,22.81,22.84,81863900,NASDAQ
INTC,03-May-2010,22.98,23.44,22.9,23.26,55455500,NASDAQ
INTC,04-May-2010,22.93,22.95,22.4,22.56,90704200,NASDAQ
INTC,05-May-2010,22.1,22.38,21.9,22.17,96854000,NASDAQ
INTC,06-May-2010,22.15,22.38,19.9,21.51,160695800,NASDAQ
INTC,07-May-2010,21.26,21.7,20.46,21.31,139360400,NASDAQ
INTC,10-May-2010,22.29,22.56,22.16,22.55,112607300,NASDAQ
INTC,11-May-2010,22.32,22.86,22.1,22.28,102774400,NASDAQ
INTC,12-May-2010,22.6,23.14,22.49,23.09,83343300,NASDAQ
INTC,13-May-2010,23.03,23.17,22.36,22.5,62098900,NASDAQ
INTC,14-May-2010,22.19,22.21,21.53,21.89,83526100,NASDAQ
INTC,17-May-2010,21.75,22.05,21.41,22.02,64615100,NASDAQ
INTC,18-May-2010,22.14,22.23,21.33,21.43,76636000,NASDAQ
INTC,19-May-2010,21.52,21.71,21.0,21.6,89530500,NASDAQ
INTC,20-May-2010,21.02,21.24,20.63,20.79,106551500,NASDAQ
INTC,21-May-2010,20.41,21.17,20.18,20.91,111769000,NASDAQ
INTC,24-May-2010,20.95,21.22,20.61,20.67,56436500,NASDAQ
INTC,25-May-2010,20.12,20.87,20.03,20.85,96152200,NASDAQ
INTC,26-May-2010,21.1,21.5,20.7,20.7,85666800,NASDAQ
INTC,27-May-2010,21.16,21.8,21.12,21.76,83237300,NASDAQ
INTC,28-May-2010,21.68,21.75,21.23,21.42,72712500,NASDAQ
INTC,01-Jun-2010,21.3,21.74,21.13,21.18,57170900,NASDAQ
INTC,02-Jun-2010,21.39,21.83,21.16,21.81,61537100,NASDAQ
INTC,03-Jun-2010,21.96,22.0,21.47,21.9,54615400,NASDAQ
INTC,04-Jun-2010,21.54,21.6,20.79,20.94,67919300,NASDAQ
INTC,07-Jun-2010,20.94,21.03,20.24,20.31,65435100,NASDAQ
INTC,08-Jun-2010,20.22,20.23,19.74,20.18,91377700,NASDAQ
INTC,09-Jun-2010,20.39,20.6,19.86,19.93,58981100,NASDAQ
INTC,10-Jun-2010,20.35,20.6,20.25,20.55,57168200,NASDAQ
INTC,11-Jun-2010,20.31,20.75,20.28,20.64,49496300,NASDAQ
INTC,14-Jun-2010,20.95,21.14,20.82,20.89,68877400,NASDAQ
INTC,15-Jun-2010,21.11,21.56,21.01,21.48,62081900,NASDAQ
INTC,16-Jun-2010,21.41,21.65,21.21,21.49,43857000,NASDAQ
INTC,17-Jun-2010,21.59,21.69,21.2,21.52,37270800,NASDAQ
INTC,18-Jun-2010,21.56,21.65,21.18,21.4,64872500,NASDAQ
INTC,21-Jun-2010,21.67,21.69,21.06,21.19,48960200,NASDAQ
INTC,22-Jun-2010,21.13,21.33,20.86,20.98,58831000,NASDAQ
INTC,23-Jun-2010,20.94,21.02,20.66,20.81,61357700,NASDAQ
INTC,24-Jun-2010,20.62,20.79,20.2,20.32,62011400,NASDAQ
INTC,25-Jun-2010,20.4,20.41,19.89,20.03,94687800,NASDAQ
INTC,28-Jun-2010,20.11,20.59,19.91,20.36,54485900,NASDAQ
INTC,29-Jun-2010,20.0,20.05,19.65,19.79,79182700,NASDAQ
INTC,30-Jun-2010,19.7,20.03,19.4,19.45,64294800,NASDAQ
INTC,01-Jul-2010,19.43,19.61,19.0,19.25,88390300,NASDAQ
INTC,02-Jul-2010,19.21,19.37,18.96,19.2,58093300,NASDAQ
INTC,06-Jul-2010,19.55,19.76,19.25,19.48,60697500,NASDAQ
INTC,07-Jul-2010,19.46,20.17,19.39,20.14,72806700,NASDAQ
INTC,08-Jul-2010,20.34,20.36,19.83,20.1,65418400,NASDAQ
INTC,09-Jul-2010,20.06,20.28,19.96,20.24,52843700,NASDAQ
INTC,12-Jul-2010,20.31,20.65,20.3,20.57,56587800,NASDAQ
INTC,13-Jul-2010,20.97,22.28,20.82,21.01,103191700,NASDAQ
INTC,14-Jul-2010,22.06,22.25,21.28,21.36,199002600,NASDAQ
INTC,15-Jul-2010,21.34,21.59,21.01,21.51,118558100,NASDAQ
INTC,16-Jul-2010,21.43,21.48,21.0,21.02,80451400,NASDAQ
INTC,19-Jul-2010,21.17,21.61,21.16,21.59,63430400,NASDAQ
INTC,20-Jul-2010,21.16,21.73,21.1,21.65,72666300,NASDAQ
INTC,21-Jul-2010,21.57,21.65,21.18,21.26,72434400,NASDAQ
INTC,22-Jul-2010,21.35,21.98,21.34,21.78,74526000,NASDAQ
INTC,23-Jul-2010,21.64,21.72,21.33,21.69,62115400,NASDAQ
INTC,26-Jul-2010,21.68,21.74,21.41,21.71,50929400,NASDAQ
INTC,27-Jul-2010,21.68,21.74,21.39,21.58,53982700,NASDAQ
INTC,28-Jul-2010,21.64,21.69,21.29,21.33,51673800,NASDAQ
INTC,29-Jul-2010,21.39,21.48,20.76,21.03,83811300,NASDAQ
INTC,30-Jul-2010,20.77,20.92,20.58,20.6,67395900,NASDAQ
INTC,02-Aug-2010,20.9,21.28,20.73,21.15,50316100,NASDAQ
INTC,03-Aug-2010,21.01,21.03,20.71,20.87,60929100,NASDAQ
INTC,04-Aug-2010,20.81,20.86,20.45,20.73,85639600,NASDAQ
INTC,05-Aug-2010,20.64,20.79,20.46,20.67,44692400,NASDAQ
INTC,06-Aug-2010,20.45,20.81,20.41,20.65,50833700,NASDAQ
INTC,09-Aug-2010,20.79,20.79,20.41,20.65,46082700,NASDAQ
INTC,10-Aug-2010,20.11,20.17,19.7,19.82,136357700,NASDAQ
INTC,11-Aug-2010,19.53,19.58,19.3,19.42,99078600,NASDAQ
INTC,12-Aug-2010,19.17,19.73,19.08,19.45,86580500,NASDAQ
INTC,13-Aug-2010,19.33,19.49,19.15,19.15,57384700,NASDAQ
INTC,16-Aug-2010,19.14,19.56,19.11,19.47,48721000,NASDAQ
INTC,17-Aug-2010,19.72,19.87,19.5,19.53,60836700,NASDAQ
INTC,18-Aug-2010,19.53,19.78,19.47,19.59,56374400,NASDAQ
INTC,19-Aug-2010,18.97,19.13,18.81,18.9,159900400,NASDAQ
INTC,20-Aug-2010,18.92,19.0,18.76,18.91,95174300,NASDAQ
INTC,23-Aug-2010,18.92,18.98,18.6,18.7,71954300,NASDAQ
INTC,24-Aug-2010,18.56,18.68,18.39,18.41,75107300,NASDAQ
INTC,25-Aug-2010,18.26,18.59,18.18,18.48,63350500,NASDAQ
INTC,26-Aug-2010,18.6,18.61,18.12,18.18,69585900,NASDAQ
