name,date,open_price,close_price,high_price,low_price,volume,market
IPXL,04-Jan-2010,13.96,14.15,13.81,14.09,1142400,NASDAQ
IPXL,05-Jan-2010,14.08,14.26,13.95,14.21,346500,NASDAQ
IPXL,06-Jan-2010,14.24,14.37,14.0,14.09,677000,NASDAQ
IPXL,07-Jan-2010,14.19,14.87,13.95,14.19,1088200,NASDAQ
IPXL,08-Jan-2010,13.81,13.99,13.42,13.59,875800,NASDAQ
IPXL,11-Jan-2010,13.66,13.93,13.65,13.71,500700,NASDAQ
IPXL,12-Jan-2010,13.58,13.6,13.13,13.24,602800,NASDAQ
IPXL,13-Jan-2010,13.31,13.71,13.26,13.62,517700,NASDAQ
IPXL,14-Jan-2010,13.61,14.34,13.61,14.31,733100,NASDAQ
IPXL,15-Jan-2010,14.4,14.4,13.93,14.03,460400,NASDAQ
IPXL,19-Jan-2010,14.08,14.28,13.95,14.06,650200,NASDAQ
IPXL,20-Jan-2010,13.91,14.02,13.41,13.98,418100,NASDAQ
IPXL,21-Jan-2010,13.95,13.98,13.46,13.56,423200,NASDAQ
IPXL,22-Jan-2010,13.59,13.8,13.12,13.14,516800,NASDAQ
IPXL,25-Jan-2010,13.27,13.35,13.0,13.02,525100,NASDAQ
IPXL,26-Jan-2010,13.04,13.23,12.87,13.0,541700,NASDAQ
IPXL,27-Jan-2010,13.0,13.35,13.0,13.32,452500,NASDAQ
IPXL,28-Jan-2010,13.3,13.46,13.06,13.1,472500,NASDAQ
IPXL,29-Jan-2010,13.1,13.5,13.03,13.3,679200,NASDAQ
IPXL,01-Feb-2010,13.78,14.1,13.3,14.03,1341500,NASDAQ
IPXL,02-Feb-2010,14.11,14.11,13.78,13.88,365300,NASDAQ
IPXL,03-Feb-2010,13.88,13.94,13.49,13.6,335600,NASDAQ
IPXL,04-Feb-2010,13.56,13.59,13.09,13.09,520700,NASDAQ
IPXL,05-Feb-2010,13.12,13.77,13.11,13.6,637300,NASDAQ
IPXL,08-Feb-2010,13.54,14.01,13.29,13.64,472400,NASDAQ
IPXL,09-Feb-2010,13.8,13.93,13.5,13.66,358100,NASDAQ
