name,date,open_price,close_price,high_price,low_price,volume,market
IXYS,04-Jan-2010,7.57,7.6,7.4,7.55,49000,NASDAQ
IXYS,05-Jan-2010,7.56,7.56,7.29,7.32,58900,NASDAQ
IXYS,06-Jan-2010,7.31,7.32,6.89,6.95,110500,NASDAQ
IXYS,07-Jan-2010,6.92,7.18,6.81,7.11,43700,NASDAQ
IXYS,08-Jan-2010,7.09,7.16,6.92,7.07,59200,NASDAQ
IXYS,11-Jan-2010,7.13,7.55,7.01,7.51,92900,NASDAQ
IXYS,12-Jan-2010,7.41,7.43,7.2,7.32,41900,NASDAQ
IXYS,13-Jan-2010,7.34,7.43,7.24,7.34,78300,NASDAQ
IXYS,14-Jan-2010,7.33,7.42,7.24,7.35,49700,NASDAQ
IXYS,15-Jan-2010,7.38,7.38,7.06,7.26,93800,NASDAQ
IXYS,19-Jan-2010,7.3,7.31,7.15,7.3,120100,NASDAQ
IXYS,20-Jan-2010,7.2,7.5,7.14,7.4,232500,NASDAQ
IXYS,21-Jan-2010,7.4,7.84,7.4,7.81,182000,NASDAQ
IXYS,22-Jan-2010,7.8,7.89,7.47,7.51,108300,NASDAQ
IXYS,25-Jan-2010,7.61,7.63,7.21,7.33,94200,NASDAQ
IXYS,26-Jan-2010,7.28,7.36,7.18,7.2,104800,NASDAQ
IXYS,27-Jan-2010,7.17,7.55,7.17,7.52,58900,NASDAQ
IXYS,28-Jan-2010,7.55,7.62,7.15,7.42,131000,NASDAQ
IXYS,29-Jan-2010,7.56,7.84,6.95,6.96,231300,NASDAQ
IXYS,01-Feb-2010,7.01,7.38,7.01,7.33,130000,NASDAQ
IXYS,02-Feb-2010,7.32,7.38,7.15,7.15,239100,NASDAQ
IXYS,03-Feb-2010,7.09,7.29,7.01,7.26,203100,NASDAQ
IXYS,04-Feb-2010,7.16,7.22,7.03,7.15,190600,NASDAQ
IXYS,05-Feb-2010,7.17,7.33,7.12,7.27,123500,NASDAQ
IXYS,08-Feb-2010,7.24,7.38,7.21,7.33,141100,NASDAQ
IXYS,09-Feb-2010,7.44,7.57,7.29,7.5,90000,NASDAQ
IXYS,10-Feb-2010,7.44,7.72,7.35,7.7,82600,NASDAQ
IXYS,11-Feb-2010,7.7,8.02,7.67,8.02,103700,NASDAQ
IXYS,12-Feb-2010,7.89,8.12,7.8,8.05,166100,NASDAQ
IXYS,16-Feb-2010,8.15,8.29,8.07,8.29,85400,NASDAQ
IXYS,17-Feb-2010,8.32,8.35,8.12,8.33,116000,NASDAQ
IXYS,18-Feb-2010,8.3,8.67,8.12,8.66,113600,NASDAQ
IXYS,19-Feb-2010,8.58,8.97,8.56,8.89,144200,NASDAQ
IXYS,22-Feb-2010,8.95,9.0,8.81,8.98,138000,NASDAQ
IXYS,23-Feb-2010,8.97,9.03,8.8,8.95,127100,NASDAQ
IXYS,24-Feb-2010,8.97,9.07,8.86,9.0,83600,NASDAQ
IXYS,25-Feb-2010,8.85,8.97,8.68,8.74,163500,NASDAQ
IXYS,26-Feb-2010,8.78,8.78,8.44,8.51,77300,NASDAQ
IXYS,01-Mar-2010,8.6,8.85,8.45,8.79,111000,NASDAQ
IXYS,02-Mar-2010,8.84,8.9,8.66,8.72,79600,NASDAQ
IXYS,03-Mar-2010,8.77,8.89,8.52,8.59,105800,NASDAQ
IXYS,04-Mar-2010,8.62,8.62,8.5,8.58,62100,NASDAQ
IXYS,05-Mar-2010,8.6,8.62,8.34,8.39,105100,NASDAQ
IXYS,08-Mar-2010,8.4,8.54,8.4,8.52,43100,NASDAQ
IXYS,09-Mar-2010,8.5,8.67,8.39,8.54,67100,NASDAQ
IXYS,10-Mar-2010,8.52,9.36,8.47,9.13,161200,NASDAQ
IXYS,11-Mar-2010,9.05,9.15,8.9,9.0,60700,NASDAQ
IXYS,12-Mar-2010,9.03,9.04,8.74,8.83,40600,NASDAQ
