name,date,open_price,close_price,high_price,low_price,volume,market
JACK,04-Jan-2010,19.92,19.95,19.5,19.59,387000,NASDAQ
JACK,05-Jan-2010,19.67,19.67,19.26,19.64,500500,NASDAQ
JACK,06-Jan-2010,19.52,19.87,19.35,19.75,1065800,NASDAQ
JACK,07-Jan-2010,19.79,20.44,19.61,20.37,1064200,NASDAQ
JACK,08-Jan-2010,20.25,20.38,20.08,20.23,559400,NASDAQ
JACK,11-Jan-2010,20.35,20.35,19.7,19.82,601400,NASDAQ
JACK,12-Jan-2010,19.64,20.16,19.64,20.02,575100,NASDAQ
JACK,13-Jan-2010,20.15,20.38,19.93,20.26,421500,NASDAQ
JACK,14-Jan-2010,20.14,20.92,20.14,20.81,878500,NASDAQ
JACK,15-Jan-2010,20.89,20.92,20.3,20.75,576300,NASDAQ
JACK,19-Jan-2010,20.66,20.88,20.48,20.55,554700,NASDAQ
JACK,20-Jan-2010,20.5,20.93,20.39,20.57,609700,NASDAQ
JACK,21-Jan-2010,20.65,20.89,20.41,20.57,552700,NASDAQ
JACK,22-Jan-2010,20.57,20.75,20.15,20.18,628500,NASDAQ
JACK,25-Jan-2010,20.23,20.37,19.77,19.83,692400,NASDAQ
JACK,26-Jan-2010,19.82,20.1,19.74,19.89,563200,NASDAQ
JACK,27-Jan-2010,19.74,19.94,19.64,19.9,279000,NASDAQ
JACK,28-Jan-2010,19.98,20.15,19.52,19.59,491200,NASDAQ
JACK,29-Jan-2010,19.61,19.83,19.5,19.51,341900,NASDAQ
JACK,01-Feb-2010,19.64,19.8,19.5,19.73,369300,NASDAQ
JACK,02-Feb-2010,19.68,20.46,19.61,20.34,822500,NASDAQ
JACK,03-Feb-2010,20.33,20.86,20.29,20.73,698500,NASDAQ
JACK,04-Feb-2010,20.65,21.11,20.58,20.79,955400,NASDAQ
JACK,05-Feb-2010,20.86,21.0,20.47,20.92,653800,NASDAQ
JACK,08-Feb-2010,20.83,21.39,20.81,21.24,1365700,NASDAQ
JACK,09-Feb-2010,21.27,21.47,21.13,21.24,703900,NASDAQ
JACK,10-Feb-2010,21.24,21.45,21.01,21.35,521400,NASDAQ
JACK,11-Feb-2010,21.35,21.51,21.14,21.5,529000,NASDAQ
JACK,12-Feb-2010,21.34,21.8,21.19,21.68,647200,NASDAQ
JACK,16-Feb-2010,21.78,21.86,21.6,21.85,598000,NASDAQ
JACK,17-Feb-2010,21.93,22.0,21.63,21.7,916800,NASDAQ
JACK,18-Feb-2010,20.52,21.34,20.42,20.51,2503700,NASDAQ
JACK,19-Feb-2010,20.54,20.66,20.39,20.45,1275200,NASDAQ
JACK,22-Feb-2010,20.55,20.59,20.25,20.36,674100,NASDAQ
JACK,23-Feb-2010,20.36,20.37,20.0,20.04,787200,NASDAQ
JACK,24-Feb-2010,20.05,20.5,20.04,20.46,996800,NASDAQ
JACK,25-Feb-2010,20.18,20.46,20.12,20.33,508000,NASDAQ
JACK,26-Feb-2010,21.19,21.55,21.0,21.12,1369000,NASDAQ
JACK,01-Mar-2010,21.16,21.54,21.16,21.53,905800,NASDAQ
JACK,02-Mar-2010,21.54,21.82,21.43,21.7,1041100,NASDAQ
JACK,03-Mar-2010,21.67,22.09,21.57,22.06,894200,NASDAQ
JACK,04-Mar-2010,22.04,22.4,21.9,22.17,891400,NASDAQ
JACK,05-Mar-2010,22.21,22.65,21.91,22.6,996100,NASDAQ
JACK,08-Mar-2010,22.51,22.96,22.5,22.9,625900,NASDAQ
JACK,09-Mar-2010,22.92,23.3,22.9,23.06,971400,NASDAQ
JACK,10-Mar-2010,23.1,23.2,22.78,22.84,614200,NASDAQ
JACK,11-Mar-2010,22.7,23.21,22.65,23.16,626600,NASDAQ
JACK,12-Mar-2010,23.24,23.28,22.98,23.09,428900,NASDAQ
JACK,15-Mar-2010,23.08,23.25,22.77,23.03,436800,NASDAQ
JACK,16-Mar-2010,23.11,23.25,22.71,23.12,354500,NASDAQ
JACK,17-Mar-2010,24.67,24.88,24.18,24.3,1324200,NASDAQ
JACK,18-Mar-2010,24.39,24.48,24.02,24.16,726800,NASDAQ
JACK,19-Mar-2010,24.26,24.42,23.63,23.91,1210900,NASDAQ
JACK,22-Mar-2010,23.21,23.96,22.94,23.78,1023600,NASDAQ
JACK,23-Mar-2010,23.68,23.77,23.37,23.74,519500,NASDAQ
JACK,24-Mar-2010,23.57,23.68,23.38,23.49,662300,NASDAQ
JACK,25-Mar-2010,23.51,23.73,23.25,23.25,1070800,NASDAQ
JACK,26-Mar-2010,23.37,23.57,23.22,23.32,360200,NASDAQ
JACK,29-Mar-2010,23.39,23.6,23.28,23.58,644800,NASDAQ
JACK,30-Mar-2010,23.65,23.79,23.46,23.59,473400,NASDAQ
JACK,31-Mar-2010,23.44,23.75,23.2,23.55,559100,NASDAQ
JACK,01-Apr-2010,23.73,23.87,23.48,23.77,584500,NASDAQ
JACK,05-Apr-2010,23.91,24.29,23.88,24.14,615400,NASDAQ
JACK,06-Apr-2010,23.36,24.42,23.06,24.29,1373900,NASDAQ
