name,date,open_price,close_price,high_price,low_price,volume,market
KOPN,04-Jan-2010,4.2,4.27,4.2,4.27,263900,NASDAQ
KOPN,05-Jan-2010,4.27,4.27,4.15,4.22,544700,NASDAQ
KOPN,06-Jan-2010,4.21,4.25,4.16,4.19,383000,NASDAQ
KOPN,07-Jan-2010,4.2,4.36,4.17,4.35,473500,NASDAQ
KOPN,08-Jan-2010,4.34,4.76,4.26,4.74,1227900,NASDAQ
KOPN,11-Jan-2010,4.76,4.84,4.66,4.69,348300,NASDAQ
KOPN,12-Jan-2010,4.67,4.72,4.51,4.51,334600,NASDAQ
KOPN,13-Jan-2010,4.55,4.69,4.45,4.61,342100,NASDAQ
KOPN,14-Jan-2010,4.58,4.7,4.55,4.67,248900,NASDAQ
KOPN,15-Jan-2010,4.7,4.7,4.5,4.59,445500,NASDAQ
KOPN,19-Jan-2010,4.6,4.61,4.53,4.59,421600,NASDAQ
KOPN,20-Jan-2010,4.57,4.61,4.4,4.5,506500,NASDAQ
KOPN,21-Jan-2010,4.52,4.61,4.5,4.52,688100,NASDAQ
KOPN,22-Jan-2010,4.55,4.61,4.41,4.41,507200,NASDAQ
KOPN,25-Jan-2010,4.44,4.57,4.42,4.52,338100,NASDAQ
KOPN,26-Jan-2010,4.51,4.51,4.4,4.42,241300,NASDAQ
KOPN,27-Jan-2010,4.38,4.4,4.15,4.37,359900,NASDAQ
KOPN,28-Jan-2010,4.39,4.39,4.14,4.16,316400,NASDAQ
KOPN,29-Jan-2010,4.19,4.31,4.09,4.11,420300,NASDAQ
KOPN,01-Feb-2010,4.12,4.13,3.85,4.08,692000,NASDAQ
KOPN,02-Feb-2010,4.07,4.14,4.0,4.01,315500,NASDAQ
KOPN,03-Feb-2010,4.0,4.15,3.95,4.0,399800,NASDAQ
KOPN,04-Feb-2010,3.99,4.06,3.75,3.75,484600,NASDAQ
KOPN,05-Feb-2010,3.75,3.87,3.5,3.85,928100,NASDAQ
KOPN,08-Feb-2010,3.87,3.95,3.76,3.78,229600,NASDAQ
KOPN,09-Feb-2010,3.85,3.89,3.76,3.82,214300,NASDAQ
KOPN,10-Feb-2010,3.82,3.85,3.7,3.76,255600,NASDAQ
KOPN,11-Feb-2010,3.73,3.86,3.68,3.79,447200,NASDAQ
KOPN,12-Feb-2010,3.76,3.81,3.66,3.71,616700,NASDAQ
KOPN,16-Feb-2010,3.75,3.79,3.7,3.73,416600,NASDAQ
KOPN,17-Feb-2010,3.76,3.79,3.61,3.63,492700,NASDAQ
KOPN,18-Feb-2010,3.66,3.74,3.56,3.6,533000,NASDAQ
KOPN,19-Feb-2010,3.6,3.71,3.57,3.66,720600,NASDAQ
KOPN,22-Feb-2010,3.75,3.89,3.75,3.81,485000,NASDAQ
KOPN,23-Feb-2010,3.82,3.86,3.7,3.79,385300,NASDAQ
KOPN,24-Feb-2010,3.79,4.09,3.75,4.05,655700,NASDAQ
KOPN,25-Feb-2010,3.97,4.07,3.87,4.03,416100,NASDAQ
KOPN,26-Feb-2010,4.15,4.16,3.79,3.8,1393500,NASDAQ
KOPN,01-Mar-2010,3.84,3.86,3.68,3.7,790100,NASDAQ
KOPN,02-Mar-2010,3.7,3.78,3.68,3.73,683700,NASDAQ
KOPN,03-Mar-2010,3.75,3.86,3.72,3.72,454600,NASDAQ
KOPN,04-Mar-2010,3.76,3.83,3.72,3.77,543900,NASDAQ
KOPN,05-Mar-2010,3.78,3.97,3.78,3.88,686800,NASDAQ
KOPN,08-Mar-2010,3.87,3.95,3.87,3.91,296000,NASDAQ
KOPN,09-Mar-2010,3.89,3.97,3.82,3.85,420000,NASDAQ
KOPN,10-Mar-2010,3.86,3.9,3.83,3.85,418000,NASDAQ
KOPN,11-Mar-2010,3.86,3.92,3.81,3.85,427400,NASDAQ
KOPN,12-Mar-2010,3.86,3.86,3.7,3.75,1403700,NASDAQ
KOPN,15-Mar-2010,3.78,3.8,3.7,3.77,1178200,NASDAQ
KOPN,16-Mar-2010,3.78,3.82,3.77,3.79,313500,NASDAQ
KOPN,17-Mar-2010,3.81,3.85,3.76,3.83,255600,NASDAQ
KOPN,18-Mar-2010,3.81,3.85,3.76,3.76,206000,NASDAQ
KOPN,19-Mar-2010,3.79,3.79,3.6,3.67,781600,NASDAQ
KOPN,22-Mar-2010,3.68,3.73,3.63,3.68,309400,NASDAQ
KOPN,23-Mar-2010,3.69,3.85,3.68,3.81,502200,NASDAQ
KOPN,24-Mar-2010,3.81,3.84,3.71,3.73,327400,NASDAQ
KOPN,25-Mar-2010,3.75,3.8,3.67,3.69,225500,NASDAQ
KOPN,26-Mar-2010,3.72,3.75,3.67,3.71,178000,NASDAQ
KOPN,29-Mar-2010,3.73,3.76,3.7,3.7,151700,NASDAQ
KOPN,30-Mar-2010,3.7,3.78,3.7,3.73,202600,NASDAQ
KOPN,31-Mar-2010,3.7,3.79,3.7,3.7,347800,NASDAQ
KOPN,01-Apr-2010,3.72,3.78,3.67,3.72,207000,NASDAQ
KOPN,05-Apr-2010,3.75,3.8,3.74,3.8,282500,NASDAQ
KOPN,06-Apr-2010,3.76,3.85,3.76,3.81,268000,NASDAQ
KOPN,07-Apr-2010,3.85,3.99,3.81,3.93,573600,NASDAQ
KOPN,08-Apr-2010,3.92,4.0,3.87,3.99,458300,NASDAQ
KOPN,09-Apr-2010,4.0,4.22,3.99,4.15,551100,NASDAQ
KOPN,12-Apr-2010,4.26,4.35,4.21,4.35,575600,NASDAQ
KOPN,13-Apr-2010,4.34,4.35,4.21,4.34,578600,NASDAQ
KOPN,14-Apr-2010,4.38,4.48,4.37,4.46,461900,NASDAQ
KOPN,15-Apr-2010,4.44,4.57,4.42,4.48,406500,NASDAQ
KOPN,16-Apr-2010,4.49,4.49,4.24,4.35,468800,NASDAQ
KOPN,19-Apr-2010,4.35,4.41,4.22,4.37,504000,NASDAQ
KOPN,20-Apr-2010,4.4,4.4,4.27,4.32,341000,NASDAQ
KOPN,21-Apr-2010,4.23,4.31,4.15,4.2,340400,NASDAQ
KOPN,22-Apr-2010,4.16,4.21,4.03,4.14,337000,NASDAQ
KOPN,23-Apr-2010,4.14,4.23,3.96,4.13,579800,NASDAQ
KOPN,26-Apr-2010,4.13,4.24,4.13,4.21,411800,NASDAQ
KOPN,27-Apr-2010,4.19,4.41,4.16,4.32,865000,NASDAQ
KOPN,28-Apr-2010,4.33,4.4,4.26,4.36,378200,NASDAQ
KOPN,29-Apr-2010,4.39,4.5,4.37,4.5,602400,NASDAQ
KOPN,30-Apr-2010,4.5,4.5,4.21,4.21,517500,NASDAQ
KOPN,03-May-2010,4.25,4.45,4.15,4.45,668800,NASDAQ
KOPN,04-May-2010,4.35,4.35,4.15,4.28,987700,NASDAQ
KOPN,05-May-2010,4.41,4.48,4.29,4.45,883500,NASDAQ
KOPN,06-May-2010,4.45,4.45,3.85,4.1,955800,NASDAQ
KOPN,07-May-2010,4.11,4.11,3.83,3.84,815400,NASDAQ
KOPN,10-May-2010,3.99,4.08,3.91,4.03,700300,NASDAQ
KOPN,11-May-2010,3.96,4.12,3.96,4.12,734100,NASDAQ
KOPN,12-May-2010,4.12,4.23,4.05,4.23,421800,NASDAQ
KOPN,13-May-2010,4.2,4.22,4.07,4.19,686300,NASDAQ
KOPN,14-May-2010,4.09,4.11,3.95,4.0,510200,NASDAQ
KOPN,17-May-2010,4.05,4.07,3.87,3.94,535900,NASDAQ
KOPN,18-May-2010,3.97,4.05,3.72,3.74,511700,NASDAQ
KOPN,19-May-2010,3.72,3.82,3.65,3.73,405600,NASDAQ
KOPN,20-May-2010,3.62,3.69,3.52,3.57,750500,NASDAQ
KOPN,21-May-2010,3.51,3.68,3.51,3.55,681100,NASDAQ
KOPN,24-May-2010,3.56,3.66,3.47,3.47,894900,NASDAQ
KOPN,25-May-2010,3.32,3.53,3.25,3.5,991400,NASDAQ
KOPN,26-May-2010,3.56,3.65,3.42,3.44,417300,NASDAQ
KOPN,27-May-2010,3.51,3.62,3.51,3.62,283200,NASDAQ
KOPN,28-May-2010,3.62,3.62,3.52,3.58,381600,NASDAQ
KOPN,01-Jun-2010,3.53,3.63,3.38,3.38,368400,NASDAQ
KOPN,02-Jun-2010,3.4,3.54,3.36,3.54,417000,NASDAQ
KOPN,03-Jun-2010,3.52,3.64,3.47,3.52,348200,NASDAQ
KOPN,04-Jun-2010,3.43,3.51,3.3,3.3,516100,NASDAQ
KOPN,07-Jun-2010,3.3,3.39,3.21,3.21,537000,NASDAQ
KOPN,08-Jun-2010,3.22,3.36,3.2,3.22,433100,NASDAQ
KOPN,09-Jun-2010,3.28,3.44,3.28,3.29,469300,NASDAQ
KOPN,10-Jun-2010,3.37,3.43,3.31,3.43,496500,NASDAQ
KOPN,11-Jun-2010,3.39,3.48,3.34,3.47,253400,NASDAQ
KOPN,14-Jun-2010,3.5,3.56,3.43,3.46,287800,NASDAQ
KOPN,15-Jun-2010,3.48,3.64,3.46,3.64,327600,NASDAQ
KOPN,16-Jun-2010,3.58,3.58,3.48,3.49,481200,NASDAQ
KOPN,17-Jun-2010,3.53,3.53,3.38,3.38,291400,NASDAQ
KOPN,18-Jun-2010,3.41,3.5,3.36,3.44,540000,NASDAQ
KOPN,21-Jun-2010,3.48,3.5,3.35,3.36,401800,NASDAQ
KOPN,22-Jun-2010,3.39,3.48,3.31,3.34,556700,NASDAQ
KOPN,23-Jun-2010,3.32,3.56,3.32,3.54,579000,NASDAQ
KOPN,24-Jun-2010,3.5,3.51,3.38,3.38,211100,NASDAQ
KOPN,25-Jun-2010,3.41,3.58,3.39,3.58,2570100,NASDAQ
KOPN,28-Jun-2010,3.52,3.55,3.43,3.49,284900,NASDAQ
KOPN,29-Jun-2010,3.4,3.45,3.27,3.3,417400,NASDAQ
KOPN,30-Jun-2010,3.29,3.45,3.28,3.39,377600,NASDAQ
KOPN,01-Jul-2010,3.38,3.42,3.27,3.41,373100,NASDAQ
KOPN,02-Jul-2010,3.43,3.43,3.36,3.36,283400,NASDAQ
KOPN,06-Jul-2010,3.43,3.44,3.18,3.18,529200,NASDAQ
