name,date,open_price,close_price,high_price,low_price,volume,market
LAYN,04-Jan-2010,29.06,29.09,28.52,28.79,90000,NASDAQ
LAYN,05-Jan-2010,28.82,28.82,27.34,27.39,204900,NASDAQ
LAYN,06-Jan-2010,27.21,27.34,26.89,27.13,265600,NASDAQ
LAYN,07-Jan-2010,27.06,27.28,26.66,27.15,91100,NASDAQ
LAYN,08-Jan-2010,27.07,27.6,27.07,27.2,81000,NASDAQ
LAYN,11-Jan-2010,27.37,27.57,26.79,27.52,137700,NASDAQ
LAYN,12-Jan-2010,27.18,27.56,27.01,27.37,66600,NASDAQ
LAYN,13-Jan-2010,27.43,28.2,27.29,28.12,92100,NASDAQ
LAYN,14-Jan-2010,28.09,28.79,27.68,28.3,78100,NASDAQ
LAYN,15-Jan-2010,28.44,28.44,27.31,27.65,98400,NASDAQ
LAYN,19-Jan-2010,27.81,28.32,27.54,28.06,59100,NASDAQ
LAYN,20-Jan-2010,27.68,27.7,27.1,27.63,151100,NASDAQ
LAYN,21-Jan-2010,27.75,28.05,27.08,27.08,99000,NASDAQ
LAYN,22-Jan-2010,27.1,27.42,25.92,26.02,83000,NASDAQ
LAYN,25-Jan-2010,26.24,27.14,25.9,26.84,121600,NASDAQ
LAYN,26-Jan-2010,26.76,26.77,26.28,26.55,82600,NASDAQ
LAYN,27-Jan-2010,26.27,26.5,25.63,26.07,83200,NASDAQ
LAYN,28-Jan-2010,26.21,26.3,24.72,25.31,125200,NASDAQ
LAYN,29-Jan-2010,25.51,26.1,25.19,25.33,91600,NASDAQ
LAYN,01-Feb-2010,25.47,25.6,25.09,25.44,52500,NASDAQ
LAYN,02-Feb-2010,25.4,25.49,25.01,25.22,68800,NASDAQ
LAYN,03-Feb-2010,25.0,25.72,24.83,25.26,70400,NASDAQ
LAYN,04-Feb-2010,24.95,25.29,23.05,23.81,225500,NASDAQ
LAYN,05-Feb-2010,23.81,25.63,23.81,25.56,259100,NASDAQ
LAYN,08-Feb-2010,25.46,25.9,25.16,25.57,177700,NASDAQ
LAYN,09-Feb-2010,25.84,26.35,25.67,25.94,76100,NASDAQ
LAYN,10-Feb-2010,25.82,25.88,25.33,25.45,58900,NASDAQ
