name,date,open_price,close_price,high_price,low_price,volume,market
LHCG,04-Jan-2010,33.81,34.58,33.66,34.12,157400,NASDAQ
LHCG,05-Jan-2010,34.19,34.26,32.63,33.18,326200,NASDAQ
LHCG,06-Jan-2010,33.11,33.37,32.32,32.56,249300,NASDAQ
LHCG,07-Jan-2010,32.64,32.86,32.22,32.7,97200,NASDAQ
LHCG,08-Jan-2010,32.69,33.15,31.82,32.44,103000,NASDAQ
LHCG,11-Jan-2010,32.45,32.62,31.94,32.09,156200,NASDAQ
LHCG,12-Jan-2010,31.85,32.46,31.74,31.87,95400,NASDAQ
LHCG,13-Jan-2010,32.05,32.92,31.92,32.81,90300,NASDAQ
LHCG,14-Jan-2010,32.75,33.13,32.3,33.03,123700,NASDAQ
LHCG,15-Jan-2010,33.18,33.18,31.37,31.82,254500,NASDAQ
LHCG,19-Jan-2010,31.96,34.44,31.81,34.0,314800,NASDAQ
LHCG,20-Jan-2010,34.16,35.11,33.84,34.22,294500,NASDAQ
LHCG,21-Jan-2010,34.36,34.42,33.01,33.06,146800,NASDAQ
LHCG,22-Jan-2010,33.06,34.0,32.65,32.96,99500,NASDAQ
LHCG,25-Jan-2010,33.27,33.53,32.53,33.07,107800,NASDAQ
LHCG,26-Jan-2010,32.89,32.97,32.0,32.25,78500,NASDAQ
LHCG,27-Jan-2010,32.25,32.84,32.12,32.54,166800,NASDAQ
LHCG,28-Jan-2010,32.43,32.55,30.69,30.88,493900,NASDAQ
LHCG,29-Jan-2010,31.12,31.37,30.49,30.79,365300,NASDAQ
LHCG,01-Feb-2010,30.85,30.9,30.45,30.55,467100,NASDAQ
LHCG,02-Feb-2010,30.57,30.78,30.39,30.44,535900,NASDAQ
LHCG,03-Feb-2010,30.4,31.05,30.4,30.6,213300,NASDAQ
LHCG,04-Feb-2010,30.51,30.58,29.75,29.92,268800,NASDAQ
LHCG,05-Feb-2010,29.95,29.95,28.92,29.8,304400,NASDAQ
LHCG,08-Feb-2010,29.87,29.91,29.2,29.51,140600,NASDAQ
LHCG,09-Feb-2010,29.86,30.08,29.56,29.83,197200,NASDAQ
LHCG,10-Feb-2010,29.65,30.07,29.46,29.69,169100,NASDAQ
LHCG,11-Feb-2010,29.53,30.67,29.53,30.58,162900,NASDAQ
LHCG,12-Feb-2010,30.4,30.97,30.39,30.97,124400,NASDAQ
LHCG,16-Feb-2010,32.38,32.38,31.25,31.79,191100,NASDAQ
LHCG,17-Feb-2010,32.62,32.7,31.63,32.2,187000,NASDAQ
LHCG,18-Feb-2010,32.65,33.22,32.12,32.51,193400,NASDAQ
LHCG,19-Feb-2010,32.54,32.54,31.87,32.2,50200,NASDAQ
LHCG,22-Feb-2010,32.37,32.44,31.73,31.9,132600,NASDAQ
LHCG,23-Feb-2010,31.77,31.87,31.13,31.36,197600,NASDAQ
LHCG,24-Feb-2010,31.3,31.55,30.63,30.7,153500,NASDAQ
LHCG,25-Feb-2010,30.38,30.65,30.01,30.12,129800,NASDAQ
LHCG,26-Feb-2010,30.17,30.55,30.02,30.1,151600,NASDAQ
LHCG,01-Mar-2010,30.35,30.6,30.09,30.15,209200,NASDAQ
LHCG,02-Mar-2010,30.1,30.17,29.51,29.75,362900,NASDAQ
LHCG,03-Mar-2010,29.94,29.94,28.74,28.94,537400,NASDAQ
LHCG,04-Mar-2010,32.31,32.31,30.59,31.42,715900,NASDAQ
LHCG,05-Mar-2010,31.69,31.91,31.16,31.61,332900,NASDAQ
LHCG,08-Mar-2010,31.7,31.89,31.53,31.85,181300,NASDAQ
LHCG,09-Mar-2010,31.75,32.25,31.71,32.19,244000,NASDAQ
LHCG,10-Mar-2010,32.07,32.59,32.07,32.41,163900,NASDAQ
LHCG,11-Mar-2010,32.32,32.78,32.32,32.72,112500,NASDAQ
LHCG,12-Mar-2010,32.65,32.85,32.45,32.69,215200,NASDAQ
LHCG,15-Mar-2010,32.55,32.78,32.44,32.66,155800,NASDAQ
LHCG,16-Mar-2010,32.59,32.77,32.45,32.58,113400,NASDAQ
LHCG,17-Mar-2010,32.53,32.98,32.53,32.98,112200,NASDAQ
LHCG,18-Mar-2010,32.98,33.81,32.65,33.53,148300,NASDAQ
LHCG,19-Mar-2010,33.74,33.78,33.09,33.77,196400,NASDAQ
LHCG,22-Mar-2010,33.6,34.73,33.3,34.62,187800,NASDAQ
LHCG,23-Mar-2010,34.72,35.15,34.3,35.08,199000,NASDAQ
LHCG,24-Mar-2010,34.9,35.14,34.41,34.41,226900,NASDAQ
LHCG,25-Mar-2010,34.68,34.78,33.0,33.29,261900,NASDAQ
LHCG,26-Mar-2010,33.28,33.53,32.44,33.1,230700,NASDAQ
LHCG,29-Mar-2010,33.26,33.58,32.97,33.3,133700,NASDAQ
LHCG,30-Mar-2010,33.43,33.83,33.43,33.72,125100,NASDAQ
LHCG,31-Mar-2010,33.5,33.85,33.29,33.53,294900,NASDAQ
LHCG,01-Apr-2010,33.85,34.07,33.55,33.91,127500,NASDAQ
LHCG,05-Apr-2010,35.12,35.78,33.56,34.28,263900,NASDAQ
LHCG,06-Apr-2010,34.04,34.7,34.04,34.37,87900,NASDAQ
LHCG,07-Apr-2010,34.16,34.5,33.87,34.03,119400,NASDAQ
LHCG,08-Apr-2010,34.0,34.18,33.38,33.91,79900,NASDAQ
LHCG,09-Apr-2010,34.03,34.25,33.54,33.74,133300,NASDAQ
LHCG,12-Apr-2010,34.02,35.27,33.68,35.1,232600,NASDAQ
LHCG,13-Apr-2010,35.0,35.49,34.74,35.39,189500,NASDAQ
LHCG,14-Apr-2010,35.45,36.17,35.24,36.03,97000,NASDAQ
LHCG,15-Apr-2010,35.9,36.28,35.9,36.2,71800,NASDAQ
LHCG,16-Apr-2010,36.23,36.52,35.2,35.57,299900,NASDAQ
LHCG,19-Apr-2010,35.56,36.25,35.56,36.19,185100,NASDAQ
LHCG,20-Apr-2010,36.24,37.4,36.24,37.36,330800,NASDAQ
LHCG,21-Apr-2010,37.49,37.49,36.63,36.86,183300,NASDAQ
LHCG,22-Apr-2010,36.55,36.55,35.27,35.97,196100,NASDAQ
LHCG,23-Apr-2010,36.09,36.6,35.63,36.51,125200,NASDAQ
LHCG,26-Apr-2010,36.57,36.82,35.75,35.79,131700,NASDAQ
LHCG,27-Apr-2010,34.9,35.97,34.71,35.64,295000,NASDAQ
LHCG,28-Apr-2010,35.92,36.51,35.77,36.25,199100,NASDAQ
LHCG,29-Apr-2010,35.94,35.94,34.28,34.88,396300,NASDAQ
LHCG,30-Apr-2010,34.92,35.07,34.1,34.1,222200,NASDAQ
LHCG,03-May-2010,34.2,34.99,34.1,34.8,124400,NASDAQ
LHCG,04-May-2010,34.35,34.9,34.33,34.63,226400,NASDAQ
LHCG,05-May-2010,34.51,35.14,34.48,34.55,290000,NASDAQ
LHCG,06-May-2010,34.45,34.82,32.1,33.7,188900,NASDAQ
LHCG,07-May-2010,33.74,33.83,32.26,33.12,312700,NASDAQ
LHCG,10-May-2010,33.96,35.0,33.8,35.0,186300,NASDAQ
LHCG,11-May-2010,34.75,35.25,34.53,35.1,250500,NASDAQ
LHCG,12-May-2010,35.0,36.22,34.87,36.11,243100,NASDAQ
LHCG,13-May-2010,33.98,35.69,33.76,35.28,539300,NASDAQ
LHCG,14-May-2010,35.02,35.42,33.24,33.49,283300,NASDAQ
LHCG,17-May-2010,33.72,34.39,32.8,33.55,201900,NASDAQ
LHCG,18-May-2010,33.94,34.33,32.62,32.64,307800,NASDAQ
LHCG,19-May-2010,32.52,32.56,31.6,31.63,296000,NASDAQ
LHCG,20-May-2010,31.17,31.36,30.1,30.21,357900,NASDAQ
LHCG,21-May-2010,29.93,30.39,29.14,30.31,483500,NASDAQ
LHCG,24-May-2010,30.43,31.3,30.23,30.85,295500,NASDAQ
LHCG,25-May-2010,30.26,30.62,29.94,30.37,254000,NASDAQ
LHCG,26-May-2010,30.48,31.04,30.48,30.64,321400,NASDAQ
LHCG,27-May-2010,31.31,31.36,30.67,31.05,208900,NASDAQ
LHCG,28-May-2010,30.87,31.4,30.75,30.8,187000,NASDAQ
LHCG,01-Jun-2010,30.46,30.84,30.11,30.12,259200,NASDAQ
LHCG,02-Jun-2010,30.12,30.91,29.95,30.83,285500,NASDAQ
LHCG,03-Jun-2010,31.02,31.72,30.98,31.55,123400,NASDAQ
LHCG,04-Jun-2010,30.87,31.2,29.99,30.06,162400,NASDAQ
LHCG,07-Jun-2010,30.24,30.72,30.14,30.24,203000,NASDAQ
LHCG,08-Jun-2010,30.33,31.18,29.29,29.62,162400,NASDAQ
LHCG,09-Jun-2010,29.78,29.99,29.2,29.29,164100,NASDAQ
LHCG,10-Jun-2010,29.78,30.33,29.35,30.27,154300,NASDAQ
LHCG,11-Jun-2010,30.04,30.4,29.71,30.26,123100,NASDAQ
LHCG,14-Jun-2010,30.52,30.57,30.0,30.12,121800,NASDAQ
LHCG,15-Jun-2010,30.17,30.65,29.93,30.49,168900,NASDAQ
LHCG,16-Jun-2010,30.39,30.56,30.05,30.2,77300,NASDAQ
LHCG,17-Jun-2010,30.43,30.93,30.35,30.72,194100,NASDAQ
LHCG,18-Jun-2010,30.92,30.92,29.83,29.93,153800,NASDAQ
LHCG,21-Jun-2010,30.22,30.67,29.47,29.56,112400,NASDAQ
LHCG,22-Jun-2010,29.62,30.04,29.31,29.41,173100,NASDAQ
LHCG,23-Jun-2010,29.41,29.41,28.9,29.11,112100,NASDAQ
LHCG,24-Jun-2010,28.95,29.24,28.19,28.2,158600,NASDAQ
LHCG,25-Jun-2010,28.23,28.73,28.17,28.49,445200,NASDAQ
LHCG,28-Jun-2010,28.52,29.16,28.39,28.6,68300,NASDAQ
LHCG,29-Jun-2010,28.16,28.68,27.45,27.85,217400,NASDAQ
LHCG,30-Jun-2010,27.93,28.3,27.61,27.75,184500,NASDAQ
LHCG,01-Jul-2010,25.74,25.74,24.4,24.41,899500,NASDAQ
LHCG,02-Jul-2010,24.6,24.6,23.59,23.67,319300,NASDAQ
LHCG,06-Jul-2010,24.01,24.48,23.2,23.29,310200,NASDAQ
LHCG,07-Jul-2010,23.29,24.27,22.63,24.17,566900,NASDAQ
LHCG,08-Jul-2010,24.44,25.09,23.74,25.05,405100,NASDAQ
LHCG,09-Jul-2010,25.08,25.21,24.66,24.83,216000,NASDAQ
LHCG,12-Jul-2010,24.69,24.74,23.99,24.25,182300,NASDAQ
LHCG,13-Jul-2010,23.37,23.51,22.45,23.02,1000800,NASDAQ
LHCG,14-Jul-2010,20.5,22.98,20.5,22.49,818800,NASDAQ
LHCG,15-Jul-2010,22.44,22.76,21.9,22.62,340300,NASDAQ
LHCG,16-Jul-2010,22.38,23.1,21.96,22.04,495300,NASDAQ
LHCG,19-Jul-2010,21.87,21.99,20.56,20.99,669800,NASDAQ
LHCG,20-Jul-2010,20.84,21.59,20.6,21.55,257100,NASDAQ
LHCG,21-Jul-2010,21.7,22.29,20.74,20.75,219400,NASDAQ
LHCG,22-Jul-2010,20.94,21.92,20.94,21.59,389300,NASDAQ
LHCG,23-Jul-2010,21.57,22.13,21.47,21.77,175600,NASDAQ
LHCG,26-Jul-2010,21.87,23.17,21.84,23.12,290100,NASDAQ
LHCG,27-Jul-2010,23.15,23.88,22.86,23.86,298000,NASDAQ
LHCG,28-Jul-2010,23.88,23.94,23.0,23.09,150400,NASDAQ
LHCG,29-Jul-2010,23.33,23.33,22.56,22.85,121300,NASDAQ
LHCG,30-Jul-2010,22.55,23.4,22.41,22.99,188000,NASDAQ
LHCG,02-Aug-2010,23.29,23.29,22.56,22.79,203600,NASDAQ
LHCG,03-Aug-2010,22.79,23.23,22.49,22.97,127500,NASDAQ
LHCG,04-Aug-2010,23.06,23.31,22.68,22.7,325000,NASDAQ
LHCG,05-Aug-2010,22.32,22.32,21.34,21.85,386100,NASDAQ
LHCG,06-Aug-2010,21.53,21.69,20.65,20.95,361700,NASDAQ
LHCG,09-Aug-2010,21.0,21.48,20.9,21.15,355900,NASDAQ
LHCG,10-Aug-2010,21.02,21.17,20.44,20.92,210400,NASDAQ
LHCG,11-Aug-2010,20.61,20.7,20.31,20.54,167100,NASDAQ
LHCG,12-Aug-2010,20.32,21.13,20.22,20.95,181900,NASDAQ
LHCG,13-Aug-2010,21.09,21.64,20.83,20.87,191600,NASDAQ
LHCG,16-Aug-2010,20.73,21.52,20.67,21.45,181000,NASDAQ
LHCG,17-Aug-2010,21.58,21.77,21.42,21.6,151700,NASDAQ
LHCG,18-Aug-2010,21.61,21.63,21.23,21.35,116800,NASDAQ
LHCG,19-Aug-2010,21.23,21.26,20.43,20.55,118000,NASDAQ
LHCG,20-Aug-2010,20.52,20.58,20.12,20.37,168400,NASDAQ
LHCG,23-Aug-2010,20.49,20.82,20.28,20.32,180400,NASDAQ
LHCG,24-Aug-2010,20.14,20.63,19.8,20.51,251800,NASDAQ
LHCG,25-Aug-2010,20.32,20.88,20.32,20.72,168700,NASDAQ
LHCG,26-Aug-2010,20.73,20.89,20.36,20.55,155700,NASDAQ
LHCG,27-Aug-2010,20.69,20.87,20.03,20.46,102900,NASDAQ
LHCG,30-Aug-2010,20.32,20.39,19.99,20.16,134300,NASDAQ
LHCG,31-Aug-2010,20.09,20.17,19.61,19.99,304900,NASDAQ
LHCG,01-Sep-2010,20.26,20.66,19.84,20.64,174500,NASDAQ
LHCG,02-Sep-2010,20.68,20.92,20.31,20.89,132400,NASDAQ
LHCG,03-Sep-2010,21.04,21.11,20.62,20.95,92500,NASDAQ
LHCG,07-Sep-2010,20.94,20.94,20.53,20.63,131000,NASDAQ
