name,date,open_price,close_price,high_price,low_price,volume,market
LPNT,04-Jan-2010,32.7,33.39,32.62,33.2,381800,NASDAQ
LPNT,05-Jan-2010,33.24,33.44,31.87,32.37,844300,NASDAQ
LPNT,06-Jan-2010,32.17,32.55,31.8,32.33,550700,NASDAQ
LPNT,07-Jan-2010,32.35,32.57,32.04,32.5,296800,NASDAQ
LPNT,08-Jan-2010,32.5,33.23,32.32,33.2,403400,NASDAQ
LPNT,11-Jan-2010,33.37,33.37,32.76,32.96,301400,NASDAQ
LPNT,12-Jan-2010,32.54,32.94,32.11,32.21,265200,NASDAQ
LPNT,13-Jan-2010,32.45,33.51,32.3,33.37,710500,NASDAQ
LPNT,14-Jan-2010,33.2,33.9,33.03,33.86,539700,NASDAQ
LPNT,15-Jan-2010,33.92,33.92,32.96,33.01,378500,NASDAQ
LPNT,19-Jan-2010,32.94,33.02,31.68,32.79,892200,NASDAQ
LPNT,20-Jan-2010,32.39,32.43,31.57,31.95,1221600,NASDAQ
LPNT,21-Jan-2010,32.07,32.28,31.29,31.5,946700,NASDAQ
LPNT,22-Jan-2010,31.54,31.64,30.23,30.31,728500,NASDAQ
LPNT,25-Jan-2010,30.61,30.83,30.05,30.6,759600,NASDAQ
LPNT,26-Jan-2010,30.66,31.58,30.38,31.11,471100,NASDAQ
LPNT,27-Jan-2010,31.09,31.45,30.47,30.78,332500,NASDAQ
LPNT,28-Jan-2010,30.76,30.93,30.19,30.25,275100,NASDAQ
LPNT,29-Jan-2010,30.38,30.64,29.98,29.98,430500,NASDAQ
LPNT,01-Feb-2010,30.17,30.38,29.68,30.23,251300,NASDAQ
LPNT,02-Feb-2010,30.4,31.22,30.26,31.18,414500,NASDAQ
LPNT,03-Feb-2010,31.13,31.19,30.5,30.54,329300,NASDAQ
LPNT,04-Feb-2010,30.4,30.4,29.69,29.7,496200,NASDAQ
LPNT,05-Feb-2010,29.66,29.66,28.48,29.3,508200,NASDAQ
LPNT,08-Feb-2010,29.26,29.52,28.93,29.02,320400,NASDAQ
LPNT,09-Feb-2010,29.32,29.73,28.88,29.69,422500,NASDAQ
LPNT,10-Feb-2010,29.69,30.12,29.17,29.29,416400,NASDAQ
LPNT,11-Feb-2010,29.33,29.87,29.08,29.83,240000,NASDAQ
LPNT,12-Feb-2010,29.54,30.66,29.52,30.66,400200,NASDAQ
LPNT,16-Feb-2010,30.93,31.22,30.41,31.19,233800,NASDAQ
LPNT,17-Feb-2010,31.32,31.32,30.72,30.75,505500,NASDAQ
LPNT,18-Feb-2010,30.91,30.98,30.2,30.4,992800,NASDAQ
LPNT,19-Feb-2010,30.8,32.26,30.8,31.95,1048400,NASDAQ
LPNT,22-Feb-2010,31.35,32.18,31.35,31.51,646700,NASDAQ
LPNT,23-Feb-2010,31.52,31.85,30.94,31.12,566700,NASDAQ
LPNT,24-Feb-2010,31.25,31.5,30.78,30.85,386900,NASDAQ
LPNT,25-Feb-2010,30.5,30.65,30.05,30.29,685500,NASDAQ
LPNT,26-Feb-2010,30.22,30.64,30.1,30.5,309400,NASDAQ
LPNT,01-Mar-2010,30.64,31.36,30.5,31.32,486600,NASDAQ
LPNT,02-Mar-2010,31.29,31.94,31.27,31.82,472600,NASDAQ
LPNT,03-Mar-2010,31.94,32.05,31.73,31.87,382900,NASDAQ
LPNT,04-Mar-2010,31.82,32.63,31.55,32.56,1030300,NASDAQ
LPNT,05-Mar-2010,32.65,33.12,32.48,32.84,314100,NASDAQ
LPNT,08-Mar-2010,32.65,33.0,32.57,32.87,347300,NASDAQ
LPNT,09-Mar-2010,32.64,32.97,32.64,32.73,571700,NASDAQ
LPNT,10-Mar-2010,32.63,33.2,32.53,33.18,696000,NASDAQ
LPNT,11-Mar-2010,32.93,33.98,32.93,33.92,609700,NASDAQ
LPNT,12-Mar-2010,33.97,33.97,33.12,33.8,468700,NASDAQ
LPNT,15-Mar-2010,33.56,34.47,33.49,34.39,718500,NASDAQ
LPNT,16-Mar-2010,34.33,34.93,34.01,34.9,391800,NASDAQ
LPNT,17-Mar-2010,35.0,35.67,34.85,35.37,474800,NASDAQ
LPNT,18-Mar-2010,35.49,36.02,35.25,35.62,583600,NASDAQ
LPNT,19-Mar-2010,35.6,36.08,35.58,35.84,571500,NASDAQ
LPNT,22-Mar-2010,35.84,37.95,35.84,37.91,1234900,NASDAQ
LPNT,23-Mar-2010,37.9,37.95,37.36,37.9,806100,NASDAQ
LPNT,24-Mar-2010,37.86,37.86,37.13,37.25,1200900,NASDAQ
LPNT,25-Mar-2010,37.29,37.83,36.89,37.4,851900,NASDAQ
LPNT,26-Mar-2010,37.62,37.71,37.1,37.14,425600,NASDAQ
LPNT,29-Mar-2010,37.35,37.35,36.78,37.13,486700,NASDAQ
LPNT,30-Mar-2010,37.24,37.46,36.89,37.35,436200,NASDAQ
LPNT,31-Mar-2010,37.12,37.36,36.75,36.83,390800,NASDAQ
LPNT,01-Apr-2010,37.21,37.6,37.04,37.51,479200,NASDAQ
LPNT,05-Apr-2010,37.6,37.72,37.35,37.49,347200,NASDAQ
LPNT,06-Apr-2010,37.41,38.0,37.41,37.81,478300,NASDAQ
LPNT,07-Apr-2010,37.67,37.96,37.48,37.81,779800,NASDAQ
LPNT,08-Apr-2010,37.68,37.83,37.18,37.83,353800,NASDAQ
LPNT,09-Apr-2010,37.9,38.14,37.5,37.78,504000,NASDAQ
LPNT,12-Apr-2010,37.68,38.03,37.67,37.84,396400,NASDAQ
LPNT,13-Apr-2010,37.89,38.07,37.32,37.43,477900,NASDAQ
LPNT,14-Apr-2010,37.47,37.67,37.03,37.13,331400,NASDAQ
LPNT,15-Apr-2010,37.02,37.46,36.82,37.43,438500,NASDAQ
LPNT,16-Apr-2010,37.24,37.57,36.66,37.08,550600,NASDAQ
LPNT,19-Apr-2010,36.28,37.22,36.01,36.91,818300,NASDAQ
LPNT,20-Apr-2010,37.11,38.52,36.8,38.47,571800,NASDAQ
LPNT,21-Apr-2010,38.54,38.65,37.86,37.97,425600,NASDAQ
LPNT,22-Apr-2010,37.86,38.3,37.23,38.17,345400,NASDAQ
LPNT,23-Apr-2010,38.3,39.12,38.05,39.1,472700,NASDAQ
LPNT,26-Apr-2010,39.01,39.36,38.53,38.63,598800,NASDAQ
LPNT,27-Apr-2010,38.75,39.61,37.62,37.78,852600,NASDAQ
LPNT,28-Apr-2010,37.99,38.05,37.6,37.73,665000,NASDAQ
LPNT,29-Apr-2010,38.08,39.27,37.89,39.27,474600,NASDAQ
LPNT,30-Apr-2010,39.2,39.59,38.11,38.18,688100,NASDAQ
LPNT,03-May-2010,38.51,38.95,37.53,37.73,751100,NASDAQ
LPNT,04-May-2010,37.55,37.63,35.77,35.94,885800,NASDAQ
LPNT,05-May-2010,35.58,35.9,34.87,34.93,671300,NASDAQ
LPNT,06-May-2010,34.76,35.23,32.37,34.03,719200,NASDAQ
LPNT,07-May-2010,33.98,34.84,33.51,34.05,834600,NASDAQ
LPNT,10-May-2010,35.08,35.43,33.55,35.4,643400,NASDAQ
LPNT,11-May-2010,35.15,35.85,34.9,35.67,465100,NASDAQ
LPNT,12-May-2010,35.66,36.36,35.31,36.25,463100,NASDAQ
LPNT,13-May-2010,36.32,36.58,35.46,35.47,473400,NASDAQ
LPNT,14-May-2010,35.28,35.28,34.44,35.01,660700,NASDAQ
LPNT,17-May-2010,35.27,35.72,34.3,34.91,569900,NASDAQ
LPNT,18-May-2010,35.16,35.74,34.97,35.43,637200,NASDAQ
LPNT,19-May-2010,35.4,35.41,34.55,34.68,498300,NASDAQ
LPNT,20-May-2010,33.96,34.63,33.76,34.15,744800,NASDAQ
LPNT,21-May-2010,33.52,34.62,33.32,34.25,363000,NASDAQ
LPNT,24-May-2010,33.92,34.77,33.82,34.08,402600,NASDAQ
LPNT,25-May-2010,33.32,34.2,33.17,34.03,573000,NASDAQ
LPNT,26-May-2010,34.3,35.32,33.9,34.7,620100,NASDAQ
LPNT,27-May-2010,35.32,35.88,35.02,35.88,345500,NASDAQ
LPNT,28-May-2010,35.71,36.13,35.24,35.49,568000,NASDAQ
LPNT,01-Jun-2010,35.15,35.5,34.55,34.55,535700,NASDAQ
LPNT,02-Jun-2010,34.55,35.29,34.29,35.24,319000,NASDAQ
LPNT,03-Jun-2010,35.4,36.0,35.09,35.93,286600,NASDAQ
LPNT,04-Jun-2010,35.24,35.92,34.26,34.4,392400,NASDAQ
LPNT,07-Jun-2010,34.6,34.98,33.82,33.92,788600,NASDAQ
LPNT,08-Jun-2010,33.89,33.92,33.26,33.66,428100,NASDAQ
LPNT,09-Jun-2010,33.65,34.36,33.31,33.31,329300,NASDAQ
LPNT,10-Jun-2010,33.84,34.42,33.79,34.41,181600,NASDAQ
LPNT,11-Jun-2010,34.1,34.8,34.03,34.28,338200,NASDAQ
LPNT,14-Jun-2010,34.61,35.28,34.61,34.88,216500,NASDAQ
LPNT,15-Jun-2010,34.97,35.5,34.97,35.46,533000,NASDAQ
LPNT,16-Jun-2010,35.4,35.47,34.57,34.64,459700,NASDAQ
LPNT,17-Jun-2010,34.59,34.96,34.36,34.39,395100,NASDAQ
LPNT,18-Jun-2010,34.39,34.62,33.94,34.14,464600,NASDAQ
LPNT,21-Jun-2010,34.58,34.58,32.98,33.04,449100,NASDAQ
LPNT,22-Jun-2010,33.11,33.46,32.54,32.56,416600,NASDAQ
LPNT,23-Jun-2010,32.54,33.12,32.25,32.81,330900,NASDAQ
LPNT,24-Jun-2010,32.76,33.01,31.84,31.91,493200,NASDAQ
LPNT,25-Jun-2010,31.96,32.57,31.84,32.3,338000,NASDAQ
LPNT,28-Jun-2010,32.45,32.49,32.01,32.21,240100,NASDAQ
LPNT,29-Jun-2010,31.83,32.06,31.6,31.76,392700,NASDAQ
LPNT,30-Jun-2010,31.86,31.99,31.32,31.4,287800,NASDAQ
LPNT,01-Jul-2010,31.31,31.31,29.99,30.81,434100,NASDAQ
LPNT,02-Jul-2010,31.03,31.03,30.2,30.3,339400,NASDAQ
LPNT,06-Jul-2010,30.58,30.78,29.73,29.89,491800,NASDAQ
LPNT,07-Jul-2010,29.9,30.56,29.62,30.09,395600,NASDAQ
LPNT,08-Jul-2010,30.41,31.15,30.31,31.03,346700,NASDAQ
LPNT,09-Jul-2010,31.09,31.43,30.64,30.89,205400,NASDAQ
LPNT,12-Jul-2010,30.83,30.98,30.29,30.59,138100,NASDAQ
LPNT,13-Jul-2010,30.93,31.38,30.62,31.17,533800,NASDAQ
LPNT,14-Jul-2010,31.02,31.54,30.97,31.46,335400,NASDAQ
LPNT,15-Jul-2010,31.53,32.31,31.46,32.06,450200,NASDAQ
LPNT,16-Jul-2010,32.0,32.13,30.92,31.0,383500,NASDAQ
LPNT,19-Jul-2010,31.04,32.6,30.38,30.64,247100,NASDAQ
LPNT,20-Jul-2010,30.39,31.24,30.17,30.88,473100,NASDAQ
LPNT,21-Jul-2010,31.18,31.26,29.33,29.71,791600,NASDAQ
LPNT,22-Jul-2010,29.93,30.81,29.79,30.02,602900,NASDAQ
LPNT,23-Jul-2010,29.86,30.3,29.84,30.05,312200,NASDAQ
LPNT,26-Jul-2010,30.03,31.18,30.02,30.96,622700,NASDAQ
LPNT,27-Jul-2010,31.14,32.07,31.14,31.56,766500,NASDAQ
LPNT,28-Jul-2010,31.66,31.72,30.22,30.29,583000,NASDAQ
LPNT,29-Jul-2010,30.56,30.75,29.7,30.0,475500,NASDAQ
LPNT,30-Jul-2010,29.8,31.12,29.73,30.91,390700,NASDAQ
LPNT,02-Aug-2010,31.51,32.15,30.18,30.47,861300,NASDAQ
LPNT,03-Aug-2010,30.51,32.33,30.5,32.07,979400,NASDAQ
LPNT,04-Aug-2010,32.27,34.19,32.27,32.81,1009400,NASDAQ
LPNT,05-Aug-2010,32.71,33.16,32.35,32.59,527000,NASDAQ
LPNT,06-Aug-2010,32.21,32.76,31.93,32.46,467100,NASDAQ
LPNT,09-Aug-2010,32.5,33.29,32.32,33.15,298000,NASDAQ
LPNT,10-Aug-2010,32.76,33.06,32.53,32.75,244300,NASDAQ
LPNT,11-Aug-2010,32.39,32.44,31.3,31.62,645400,NASDAQ
LPNT,12-Aug-2010,31.19,31.69,30.98,31.48,266200,NASDAQ
LPNT,13-Aug-2010,31.32,31.7,31.23,31.47,292500,NASDAQ
LPNT,16-Aug-2010,31.36,31.67,30.96,31.62,281800,NASDAQ
LPNT,17-Aug-2010,31.93,32.82,31.7,32.59,377500,NASDAQ
LPNT,18-Aug-2010,32.59,32.88,32.04,32.34,694400,NASDAQ
LPNT,19-Aug-2010,32.2,32.36,31.68,31.9,428000,NASDAQ
LPNT,20-Aug-2010,31.84,32.08,31.29,31.52,261700,NASDAQ
LPNT,23-Aug-2010,31.47,32.02,30.88,31.15,371000,NASDAQ
LPNT,24-Aug-2010,30.76,31.06,30.11,30.34,774300,NASDAQ
LPNT,25-Aug-2010,30.14,30.87,30.04,30.87,304200,NASDAQ
LPNT,26-Aug-2010,30.86,31.03,30.41,30.74,407000,NASDAQ
LPNT,27-Aug-2010,31.06,31.27,30.56,31.06,272800,NASDAQ
LPNT,30-Aug-2010,30.99,31.2,30.7,30.79,305400,NASDAQ
