name,date,open_price,close_price,high_price,low_price,volume,market
LYTS,04-Jan-2010,8.05,8.21,7.93,8.15,65600,NASDAQ
LYTS,05-Jan-2010,8.15,8.41,7.97,8.19,65500,NASDAQ
LYTS,06-Jan-2010,8.18,8.37,7.93,8.11,54100,NASDAQ
LYTS,07-Jan-2010,8.12,8.42,7.94,8.09,49900,NASDAQ
LYTS,08-Jan-2010,8.07,8.27,8.07,8.25,15500,NASDAQ
LYTS,11-Jan-2010,8.3,8.35,8.11,8.14,64900,NASDAQ
LYTS,12-Jan-2010,8.03,8.19,7.96,8.01,75600,NASDAQ
LYTS,13-Jan-2010,8.04,8.04,7.56,7.77,63400,NASDAQ
LYTS,14-Jan-2010,7.75,8.02,7.68,8.01,60900,NASDAQ
LYTS,15-Jan-2010,8.04,8.04,7.51,7.77,100400,NASDAQ
LYTS,19-Jan-2010,7.8,8.05,7.51,7.93,136200,NASDAQ
LYTS,20-Jan-2010,7.83,8.08,7.76,8.0,96400,NASDAQ
LYTS,21-Jan-2010,7.75,7.75,6.72,7.07,211400,NASDAQ
LYTS,22-Jan-2010,7.05,7.2,6.5,6.75,144500,NASDAQ
LYTS,25-Jan-2010,6.83,6.83,6.19,6.24,120200,NASDAQ
LYTS,26-Jan-2010,6.24,6.31,5.95,6.03,180300,NASDAQ
LYTS,27-Jan-2010,5.98,6.0,5.84,5.98,111900,NASDAQ
LYTS,28-Jan-2010,5.98,5.98,5.67,5.82,63300,NASDAQ
LYTS,29-Jan-2010,5.83,6.11,5.61,5.96,164700,NASDAQ
LYTS,01-Feb-2010,5.99,6.01,5.78,5.85,114600,NASDAQ
LYTS,02-Feb-2010,5.87,5.87,5.77,5.8,77200,NASDAQ
LYTS,03-Feb-2010,5.77,6.14,5.77,5.83,92600,NASDAQ
LYTS,04-Feb-2010,5.9,5.99,5.62,5.66,87200,NASDAQ
LYTS,05-Feb-2010,5.66,5.77,5.51,5.77,82100,NASDAQ
LYTS,08-Feb-2010,5.78,5.91,5.53,5.6,94400,NASDAQ
LYTS,09-Feb-2010,5.7,6.06,5.59,5.85,141800,NASDAQ
LYTS,10-Feb-2010,5.81,5.88,5.5,5.77,103000,NASDAQ
LYTS,11-Feb-2010,5.9,6.31,5.64,6.24,323900,NASDAQ
LYTS,12-Feb-2010,6.15,6.24,5.98,6.0,116200,NASDAQ
LYTS,16-Feb-2010,6.07,6.34,6.0,6.32,65100,NASDAQ
LYTS,17-Feb-2010,6.38,6.6,6.16,6.52,67000,NASDAQ
LYTS,18-Feb-2010,6.51,6.69,6.31,6.53,45500,NASDAQ
LYTS,19-Feb-2010,6.51,6.56,6.33,6.5,50300,NASDAQ
LYTS,22-Feb-2010,6.51,6.69,6.3,6.66,71400,NASDAQ
LYTS,23-Feb-2010,6.62,6.63,6.49,6.59,57300,NASDAQ
LYTS,24-Feb-2010,6.6,6.73,6.45,6.7,66600,NASDAQ
LYTS,25-Feb-2010,6.57,6.57,6.3,6.43,115000,NASDAQ
LYTS,26-Feb-2010,6.42,6.43,6.13,6.15,105400,NASDAQ
LYTS,01-Mar-2010,6.21,6.45,6.0,6.2,114100,NASDAQ
LYTS,02-Mar-2010,6.22,6.35,6.05,6.21,59800,NASDAQ
LYTS,03-Mar-2010,6.24,6.3,5.81,6.02,210300,NASDAQ
LYTS,04-Mar-2010,6.05,6.09,5.98,6.06,67100,NASDAQ
LYTS,05-Mar-2010,6.08,6.28,6.01,6.28,59200,NASDAQ
LYTS,08-Mar-2010,6.3,6.49,6.17,6.46,42700,NASDAQ
LYTS,09-Mar-2010,6.44,6.63,6.43,6.6,58800,NASDAQ
LYTS,10-Mar-2010,6.56,6.82,6.53,6.53,523800,NASDAQ
LYTS,11-Mar-2010,6.48,6.94,6.34,6.75,254800,NASDAQ
LYTS,12-Mar-2010,6.75,6.89,6.49,6.84,71600,NASDAQ
LYTS,15-Mar-2010,6.83,6.94,6.76,6.82,68400,NASDAQ
LYTS,16-Mar-2010,6.84,6.96,6.66,6.96,42900,NASDAQ
LYTS,17-Mar-2010,6.95,7.15,6.92,7.03,59400,NASDAQ
LYTS,18-Mar-2010,7.06,7.31,7.03,7.07,64200,NASDAQ
LYTS,19-Mar-2010,7.12,7.14,6.86,7.01,124700,NASDAQ
LYTS,22-Mar-2010,6.91,7.07,6.8,6.8,70300,NASDAQ
LYTS,23-Mar-2010,6.8,6.92,6.68,6.85,52600,NASDAQ
LYTS,24-Mar-2010,6.82,6.89,6.67,6.79,51600,NASDAQ
LYTS,25-Mar-2010,6.84,7.17,6.72,6.88,48700,NASDAQ
LYTS,26-Mar-2010,6.9,7.1,6.82,6.94,56700,NASDAQ
LYTS,29-Mar-2010,6.99,7.12,6.87,6.95,43300,NASDAQ
LYTS,30-Mar-2010,6.94,7.11,6.61,6.87,49300,NASDAQ
LYTS,31-Mar-2010,6.87,6.97,6.79,6.82,70000,NASDAQ
LYTS,01-Apr-2010,6.85,7.0,6.68,6.79,43800,NASDAQ
LYTS,05-Apr-2010,6.8,7.22,6.75,7.22,76700,NASDAQ
