name,date,open_price,close_price,high_price,low_price,volume,market
MATR,01-Jun-2011,7.8,7.95,7.8,7.8,200,NASDAQ
MATR,02-Jun-2011,7.48,7.48,6.08,6.99,11500,NASDAQ
MATR,03-Jun-2011,6.89,6.89,6.24,6.29,9000,NASDAQ
MATR,06-Jun-2011,5.99,6.22,5.98,6.15,25400,NASDAQ
MATR,07-Jun-2011,6.2,6.25,6.15,6.25,3100,NASDAQ
MATR,08-Jun-2011,6.03,6.2,6.03,6.1,2600,NASDAQ
MATR,09-Jun-2011,6.1,6.15,6.05,6.15,5900,NASDAQ
MATR,10-Jun-2011,6.1,6.1,5.96,5.96,16400,NASDAQ
MATR,13-Jun-2011,5.9,6.01,5.77,5.89,8900,NASDAQ
MATR,14-Jun-2011,5.85,5.88,5.55,5.73,19800,NASDAQ
MATR,15-Jun-2011,5.75,5.79,5.69,5.7,15000,NASDAQ
MATR,16-Jun-2011,5.61,5.7,5.6,5.69,5000,NASDAQ
MATR,17-Jun-2011,5.7,5.7,5.55,5.55,13500,NASDAQ
MATR,20-Jun-2011,5.71,5.71,5.27,5.51,15500,NASDAQ
MATR,21-Jun-2011,5.51,5.66,5.51,5.66,15300,NASDAQ
MATR,22-Jun-2011,5.63,5.7,5.63,5.66,5800,NASDAQ
MATR,23-Jun-2011,5.68,5.74,5.62,5.64,9600,NASDAQ
MATR,24-Jun-2011,5.65,5.9,5.65,5.89,45800,NASDAQ
MATR,27-Jun-2011,5.73,5.83,5.73,5.74,400,NASDAQ
MATR,28-Jun-2011,5.77,5.99,5.6,5.73,14300,NASDAQ
MATR,29-Jun-2011,5.68,5.75,5.67,5.73,4300,NASDAQ
MATR,30-Jun-2011,5.69,5.7,5.6,5.6,4800,NASDAQ
MATR,01-Jul-2011,5.7,5.75,5.7,5.75,23800,NASDAQ
MATR,05-Jul-2011,5.78,5.8,5.78,5.8,200,NASDAQ
MATR,06-Jul-2011,5.87,6.0,5.87,5.99,1000,NASDAQ
MATR,07-Jul-2011,5.99,6.09,5.99,6.09,11700,NASDAQ
MATR,08-Jul-2011,6.06,6.06,6.06,6.06,300,NASDAQ
MATR,11-Jul-2011,6.04,6.04,5.9,5.96,9000,NASDAQ
MATR,12-Jul-2011,5.77,6.05,5.77,6.05,4200,NASDAQ
MATR,13-Jul-2011,6.05,6.2,6.05,6.11,10900,NASDAQ
MATR,14-Jul-2011,5.95,6.0,5.95,6.0,6700,NASDAQ
MATR,15-Jul-2011,6.11,6.19,6.11,6.11,2600,NASDAQ
MATR,18-Jul-2011,6.18,6.19,6.15,6.15,1000,NASDAQ
MATR,19-Jul-2011,6.11,6.2,6.11,6.12,3600,NASDAQ
MATR,20-Jul-2011,6.19,6.28,6.19,6.28,4000,NASDAQ
MATR,21-Jul-2011,6.25,6.36,6.25,6.34,10600,NASDAQ
MATR,22-Jul-2011,6.27,6.5,6.23,6.35,5600,NASDAQ
MATR,25-Jul-2011,6.35,6.35,6.35,6.35,0,NASDAQ
MATR,26-Jul-2011,6.48,6.89,6.11,6.85,15300,NASDAQ
MATR,27-Jul-2011,6.9,7.25,6.71,7.15,9000,NASDAQ
MATR,28-Jul-2011,7.1,8.14,7.1,7.5,21700,NASDAQ
MATR,29-Jul-2011,7.3,7.5,7.25,7.33,5800,NASDAQ
MATR,01-Aug-2011,7.25,7.28,7.07,7.25,18000,NASDAQ
MATR,02-Aug-2011,7.15,7.15,6.67,7.05,16400,NASDAQ
MATR,03-Aug-2011,7.0,7.23,6.8,7.19,14500,NASDAQ
MATR,04-Aug-2011,7.04,7.18,6.85,6.85,12900,NASDAQ
MATR,05-Aug-2011,6.56,6.87,6.37,6.87,6300,NASDAQ
MATR,08-Aug-2011,6.2,6.44,6.2,6.42,3500,NASDAQ
MATR,09-Aug-2011,6.07,6.35,5.6,5.91,19700,NASDAQ
MATR,10-Aug-2011,5.85,5.9,5.45,5.5,25800,NASDAQ
MATR,11-Aug-2011,5.6,5.61,5.31,5.31,51000,NASDAQ
MATR,12-Aug-2011,5.34,5.62,5.31,5.5,12600,NASDAQ
MATR,15-Aug-2011,5.4,5.48,5.4,5.48,500,NASDAQ
MATR,16-Aug-2011,5.5,5.5,5.39,5.44,25000,NASDAQ
MATR,17-Aug-2011,5.5,5.52,5.32,5.33,6300,NASDAQ
MATR,18-Aug-2011,5.26,6.87,5.26,5.53,22800,NASDAQ
MATR,19-Aug-2011,5.47,5.65,5.47,5.62,3700,NASDAQ
MATR,22-Aug-2011,5.6,5.6,5.28,5.28,2400,NASDAQ
MATR,23-Aug-2011,5.5,5.6,5.25,5.35,9700,NASDAQ
MATR,24-Aug-2011,5.5,5.6,5.4,5.6,5000,NASDAQ
MATR,25-Aug-2011,5.6,5.6,5.37,5.5,3900,NASDAQ
MATR,26-Aug-2011,5.4,5.5,5.35,5.4,16400,NASDAQ
MATR,29-Aug-2011,5.29,5.53,5.29,5.47,7300,NASDAQ
MATR,30-Aug-2011,5.44,5.5,5.44,5.5,1700,NASDAQ
MATR,31-Aug-2011,5.28,5.57,5.26,5.35,9900,NASDAQ
MATR,01-Sep-2011,5.45,5.5,5.31,5.33,8200,NASDAQ
MATR,02-Sep-2011,5.32,5.45,5.08,5.11,13400,NASDAQ
MATR,06-Sep-2011,5.11,5.11,5.11,5.11,0,NASDAQ
MATR,07-Sep-2011,5.25,5.3,5.25,5.3,6700,NASDAQ
MATR,08-Sep-2011,5.3,5.3,5.17,5.17,1400,NASDAQ
MATR,09-Sep-2011,5.29,5.35,5.19,5.19,3200,NASDAQ
MATR,12-Sep-2011,5.16,5.19,4.95,4.95,9300,NASDAQ
MATR,13-Sep-2011,5.0,5.25,5.0,5.0,10900,NASDAQ
MATR,14-Sep-2011,5.18,5.18,4.91,4.98,1400,NASDAQ
MATR,15-Sep-2011,5.12,5.12,4.8,4.8,9300,NASDAQ
MATR,16-Sep-2011,4.78,4.8,4.28,4.3,9900,NASDAQ
MATR,19-Sep-2011,4.21,4.32,3.99,4.28,27900,NASDAQ
MATR,20-Sep-2011,4.37,4.43,4.35,4.43,1000,NASDAQ
MATR,21-Sep-2011,4.64,5.05,4.47,5.05,85600,NASDAQ
MATR,22-Sep-2011,4.79,4.92,4.38,4.48,6100,NASDAQ
MATR,23-Sep-2011,4.38,4.48,4.38,4.48,200,NASDAQ
MATR,26-Sep-2011,4.52,4.54,4.5,4.5,2600,NASDAQ
MATR,27-Sep-2011,4.52,4.58,4.52,4.55,4700,NASDAQ
MATR,28-Sep-2011,4.57,4.57,4.56,4.56,1000,NASDAQ
MATR,29-Sep-2011,4.55,4.67,4.31,4.31,7200,NASDAQ
MATR,30-Sep-2011,4.08,4.31,4.07,4.07,2300,NASDAQ
MATR,03-Oct-2011,4.19,4.21,4.14,4.15,8000,NASDAQ
MATR,04-Oct-2011,4.17,4.17,4.08,4.08,3000,NASDAQ
MATR,05-Oct-2011,4.08,4.08,4.08,4.08,0,NASDAQ
MATR,06-Oct-2011,4.29,4.67,4.29,4.67,12800,NASDAQ
MATR,07-Oct-2011,4.59,4.6,4.5,4.51,4500,NASDAQ
MATR,10-Oct-2011,4.56,4.56,4.56,4.56,400,NASDAQ
MATR,11-Oct-2011,4.57,4.6,4.57,4.57,800,NASDAQ
MATR,12-Oct-2011,4.51,4.51,4.36,4.5,4900,NASDAQ
MATR,13-Oct-2011,4.5,4.52,4.5,4.52,1000,NASDAQ
MATR,14-Oct-2011,4.52,4.52,4.52,4.52,0,NASDAQ
MATR,17-Oct-2011,4.34,4.94,4.3,4.84,1300,NASDAQ
MATR,18-Oct-2011,4.63,4.91,4.21,4.79,1800,NASDAQ
MATR,19-Oct-2011,4.79,4.79,4.79,4.79,0,NASDAQ
MATR,20-Oct-2011,4.73,4.73,4.73,4.73,200,NASDAQ
MATR,21-Oct-2011,4.73,4.73,4.73,4.73,0,NASDAQ
MATR,24-Oct-2011,4.73,4.73,4.73,4.73,0,NASDAQ
MATR,25-Oct-2011,4.7,4.8,4.69,4.75,4700,NASDAQ
MATR,26-Oct-2011,4.74,4.77,4.74,4.74,21900,NASDAQ
MATR,27-Oct-2011,4.77,4.77,4.6,4.7,15400,NASDAQ
MATR,28-Oct-2011,4.52,4.8,4.52,4.8,1600,NASDAQ
MATR,31-Oct-2011,4.8,4.8,4.8,4.8,100,NASDAQ
MATR,01-Nov-2011,5.13,5.13,4.8,5.0,5700,NASDAQ
MATR,02-Nov-2011,5.0,5.09,5.0,5.09,2600,NASDAQ
MATR,03-Nov-2011,5.09,5.09,5.0,5.0,3500,NASDAQ
MATR,04-Nov-2011,5.09,5.17,5.09,5.09,3700,NASDAQ
MATR,07-Nov-2011,4.8,5.1,4.8,4.8,900,NASDAQ
MATR,08-Nov-2011,4.8,5.0,4.8,4.84,5200,NASDAQ
MATR,09-Nov-2011,4.81,4.85,4.8,4.85,2200,NASDAQ
MATR,10-Nov-2011,4.98,4.99,4.3,4.88,49500,NASDAQ
MATR,11-Nov-2011,4.47,4.97,4.45,4.96,21700,NASDAQ
MATR,14-Nov-2011,4.96,4.96,4.96,4.96,0,NASDAQ
MATR,15-Nov-2011,4.83,4.99,4.75,4.88,2900,NASDAQ
MATR,16-Nov-2011,4.87,4.87,4.87,4.87,200,NASDAQ
MATR,17-Nov-2011,4.93,4.93,4.7,4.75,2200,NASDAQ
MATR,18-Nov-2011,4.77,4.8,4.77,4.8,1300,NASDAQ
MATR,21-Nov-2011,4.65,4.65,4.6,4.6,2300,NASDAQ
MATR,22-Nov-2011,4.65,4.77,4.65,4.77,1100,NASDAQ
MATR,23-Nov-2011,4.7,4.7,4.47,4.6,5800,NASDAQ
MATR,25-Nov-2011,4.6,4.6,4.6,4.6,100,NASDAQ
MATR,28-Nov-2011,4.73,4.76,4.64,4.7,12500,NASDAQ
MATR,29-Nov-2011,4.6,4.62,4.57,4.57,5200,NASDAQ
MATR,30-Nov-2011,4.6,4.97,4.6,4.87,4400,NASDAQ
MATR,01-Dec-2011,4.7,4.7,4.51,4.51,3300,NASDAQ
MATR,02-Dec-2011,4.53,4.53,4.53,4.53,300,NASDAQ
MATR,05-Dec-2011,4.53,4.53,4.53,4.53,0,NASDAQ
MATR,06-Dec-2011,4.58,4.89,4.58,4.7,7700,NASDAQ
MATR,07-Dec-2011,4.58,4.7,4.58,4.7,2300,NASDAQ
MATR,08-Dec-2011,4.7,4.7,4.4,4.4,3600,NASDAQ
MATR,09-Dec-2011,4.49,4.75,4.49,4.67,3000,NASDAQ
MATR,12-Dec-2011,4.84,4.84,4.84,4.84,100,NASDAQ
MATR,13-Dec-2011,4.68,4.9,4.68,4.9,4100,NASDAQ
MATR,14-Dec-2011,4.91,4.91,4.43,4.75,6800,NASDAQ
MATR,15-Dec-2011,4.72,4.74,4.64,4.65,700,NASDAQ
MATR,16-Dec-2011,4.71,4.78,4.71,4.78,2900,NASDAQ
MATR,19-Dec-2011,4.79,4.79,4.79,4.79,300,NASDAQ
MATR,20-Dec-2011,4.96,5.0,4.7,4.89,9700,NASDAQ
MATR,21-Dec-2011,4.89,4.89,4.89,4.89,0,NASDAQ
MATR,22-Dec-2011,4.91,4.91,4.91,4.91,100,NASDAQ
MATR,23-Dec-2011,4.58,4.91,4.58,4.78,2500,NASDAQ
MATR,27-Dec-2011,4.5,4.72,4.5,4.64,11600,NASDAQ
MATR,28-Dec-2011,4.61,4.61,4.3,4.35,45600,NASDAQ
MATR,29-Dec-2011,4.33,4.43,4.33,4.4,11700,NASDAQ
MATR,30-Dec-2011,4.4,4.98,4.4,4.65,34300,NASDAQ
