name,date,open_price,close_price,high_price,low_price,volume,market
MELI,04-Jan-2010,50.9,50.9,48.73,50.59,978700,NASDAQ
MELI,05-Jan-2010,50.55,52.04,49.9,51.88,516900,NASDAQ
MELI,06-Jan-2010,51.88,52.4,51.02,51.27,402000,NASDAQ
MELI,07-Jan-2010,51.11,51.62,49.28,50.26,479700,NASDAQ
MELI,08-Jan-2010,50.0,51.0,49.99,50.51,347900,NASDAQ
MELI,11-Jan-2010,50.0,50.0,44.87,45.65,3396100,NASDAQ
MELI,12-Jan-2010,43.66,46.7,43.05,45.0,1759800,NASDAQ
MELI,13-Jan-2010,45.0,45.7,44.25,45.23,855700,NASDAQ
MELI,14-Jan-2010,44.99,44.99,43.11,43.22,1222200,NASDAQ
MELI,15-Jan-2010,43.17,43.17,41.51,42.15,1724600,NASDAQ
MELI,19-Jan-2010,42.06,43.69,42.06,43.41,881700,NASDAQ
MELI,20-Jan-2010,43.29,43.29,41.55,42.04,703700,NASDAQ
MELI,21-Jan-2010,42.31,43.47,41.02,41.37,892100,NASDAQ
MELI,22-Jan-2010,41.3,41.84,39.9,40.86,774700,NASDAQ
MELI,25-Jan-2010,41.2,41.71,39.06,39.68,691800,NASDAQ
MELI,26-Jan-2010,39.42,39.88,38.38,38.7,819300,NASDAQ
MELI,27-Jan-2010,38.56,39.79,38.24,39.63,710000,NASDAQ
MELI,28-Jan-2010,39.88,40.29,37.73,38.35,679100,NASDAQ
MELI,29-Jan-2010,38.69,39.5,37.59,38.03,658600,NASDAQ
MELI,01-Feb-2010,38.51,38.94,37.86,38.49,693000,NASDAQ
MELI,02-Feb-2010,38.63,39.46,37.81,39.35,661200,NASDAQ
MELI,03-Feb-2010,39.21,40.71,38.8,40.66,1273700,NASDAQ
MELI,04-Feb-2010,40.27,40.27,36.44,36.44,1618500,NASDAQ
MELI,05-Feb-2010,36.68,37.47,35.5,36.42,1088900,NASDAQ
MELI,08-Feb-2010,36.74,37.61,36.09,36.37,548000,NASDAQ
MELI,09-Feb-2010,36.84,37.57,36.12,36.92,601700,NASDAQ
MELI,10-Feb-2010,36.81,37.25,36.03,36.39,366800,NASDAQ
MELI,11-Feb-2010,36.44,38.13,36.27,38.04,643000,NASDAQ
MELI,12-Feb-2010,37.58,38.68,37.2,38.68,538500,NASDAQ
MELI,16-Feb-2010,39.11,39.65,38.82,39.65,515700,NASDAQ
MELI,17-Feb-2010,39.91,40.3,39.19,40.22,731100,NASDAQ
MELI,18-Feb-2010,40.18,41.67,39.75,41.59,622200,NASDAQ
MELI,19-Feb-2010,41.59,42.16,40.76,41.74,689800,NASDAQ
MELI,22-Feb-2010,42.14,42.4,40.75,40.93,1319200,NASDAQ
MELI,23-Feb-2010,36.9,39.08,36.75,38.05,2687400,NASDAQ
MELI,24-Feb-2010,38.32,39.76,38.01,39.7,941700,NASDAQ
MELI,25-Feb-2010,38.9,40.13,38.5,40.04,572800,NASDAQ
MELI,26-Feb-2010,40.1,41.57,39.7,41.14,554600,NASDAQ
MELI,01-Mar-2010,41.55,42.87,41.29,42.74,582300,NASDAQ
MELI,02-Mar-2010,42.85,43.56,42.16,42.45,646700,NASDAQ
MELI,03-Mar-2010,42.42,43.79,42.4,43.06,480300,NASDAQ
MELI,04-Mar-2010,43.06,43.43,42.35,43.39,403400,NASDAQ
MELI,05-Mar-2010,43.75,44.84,43.52,44.65,557800,NASDAQ
MELI,08-Mar-2010,44.86,45.85,44.5,45.44,414700,NASDAQ
MELI,09-Mar-2010,45.41,46.75,45.02,46.44,630700,NASDAQ
MELI,10-Mar-2010,46.69,47.5,46.63,46.72,444600,NASDAQ
MELI,11-Mar-2010,46.6,47.27,45.62,47.23,541000,NASDAQ
MELI,12-Mar-2010,47.65,48.81,47.29,48.65,632900,NASDAQ
MELI,15-Mar-2010,48.5,48.5,46.04,46.47,677200,NASDAQ
MELI,16-Mar-2010,46.52,46.94,45.6,46.33,549000,NASDAQ
MELI,17-Mar-2010,46.37,48.02,46.25,47.33,315800,NASDAQ
MELI,18-Mar-2010,47.52,47.68,46.8,47.25,181600,NASDAQ
MELI,19-Mar-2010,47.38,47.64,46.15,46.26,405600,NASDAQ
MELI,22-Mar-2010,46.01,46.99,44.66,46.87,443600,NASDAQ
MELI,23-Mar-2010,46.86,47.3,46.51,47.1,227800,NASDAQ
MELI,24-Mar-2010,47.0,48.13,46.66,46.72,229700,NASDAQ
MELI,25-Mar-2010,47.28,47.85,46.46,46.51,381700,NASDAQ
MELI,26-Mar-2010,46.52,47.0,45.84,46.75,428500,NASDAQ
MELI,29-Mar-2010,46.97,48.45,46.96,47.89,389500,NASDAQ
MELI,30-Mar-2010,48.1,48.67,47.67,47.93,227600,NASDAQ
MELI,31-Mar-2010,47.87,48.75,47.5,48.21,319100,NASDAQ
MELI,01-Apr-2010,48.64,50.0,48.46,49.3,554000,NASDAQ
MELI,05-Apr-2010,49.74,50.0,48.74,49.38,357900,NASDAQ
MELI,06-Apr-2010,49.19,50.4,48.56,49.97,269000,NASDAQ
MELI,07-Apr-2010,49.66,49.78,47.67,48.08,375400,NASDAQ
MELI,08-Apr-2010,47.3,48.4,46.3,47.94,538100,NASDAQ
MELI,09-Apr-2010,47.83,48.99,47.32,48.91,529200,NASDAQ
MELI,12-Apr-2010,49.0,51.75,48.74,51.47,2266100,NASDAQ
MELI,13-Apr-2010,51.73,51.87,50.75,51.0,803800,NASDAQ
MELI,14-Apr-2010,51.49,52.08,51.07,51.59,636000,NASDAQ
