name,date,open_price,close_price,high_price,low_price,volume,market
MGIC,04-Jan-2010,2.4,2.45,2.34,2.38,315800,NASDAQ
MGIC,05-Jan-2010,2.4,2.42,2.34,2.37,370900,NASDAQ
MGIC,06-Jan-2010,2.39,2.39,2.32,2.36,288500,NASDAQ
MGIC,07-Jan-2010,1.9,2.34,1.9,2.1,724500,NASDAQ
MGIC,08-Jan-2010,2.06,2.14,2.02,2.04,280600,NASDAQ
MGIC,11-Jan-2010,1.97,2.09,1.89,1.96,387000,NASDAQ
MGIC,12-Jan-2010,1.79,1.88,1.77,1.82,260400,NASDAQ
MGIC,13-Jan-2010,1.85,1.91,1.8,1.8,155800,NASDAQ
MGIC,14-Jan-2010,1.77,1.84,1.77,1.81,196500,NASDAQ
MGIC,15-Jan-2010,1.77,1.8,1.73,1.78,137600,NASDAQ
MGIC,19-Jan-2010,1.76,1.82,1.71,1.73,105500,NASDAQ
MGIC,20-Jan-2010,1.76,1.87,1.73,1.77,137900,NASDAQ
MGIC,21-Jan-2010,1.9,1.91,1.78,1.81,53100,NASDAQ
MGIC,22-Jan-2010,1.78,1.78,1.62,1.62,193000,NASDAQ
MGIC,25-Jan-2010,1.81,1.81,1.58,1.61,69400,NASDAQ
MGIC,26-Jan-2010,1.65,1.8,1.59,1.71,140200,NASDAQ
MGIC,27-Jan-2010,1.68,1.79,1.65,1.68,41700,NASDAQ
MGIC,28-Jan-2010,1.66,1.73,1.6,1.64,36300,NASDAQ
MGIC,29-Jan-2010,1.65,1.67,1.6,1.6,44700,NASDAQ
MGIC,01-Feb-2010,1.57,1.61,1.55,1.6,32200,NASDAQ
MGIC,02-Feb-2010,1.61,1.79,1.61,1.75,108000,NASDAQ
MGIC,03-Feb-2010,1.8,1.83,1.77,1.81,109400,NASDAQ
MGIC,04-Feb-2010,1.76,1.82,1.75,1.75,20400,NASDAQ
MGIC,05-Feb-2010,1.72,1.74,1.62,1.69,61800,NASDAQ
MGIC,08-Feb-2010,1.78,1.78,1.73,1.73,37400,NASDAQ
MGIC,09-Feb-2010,1.76,1.76,1.7,1.7,15200,NASDAQ
MGIC,10-Feb-2010,1.79,1.8,1.68,1.74,113500,NASDAQ
MGIC,11-Feb-2010,1.81,1.81,1.76,1.76,30600,NASDAQ
MGIC,12-Feb-2010,1.79,1.8,1.74,1.78,22800,NASDAQ
MGIC,16-Feb-2010,1.78,1.8,1.73,1.76,65000,NASDAQ
MGIC,17-Feb-2010,1.79,1.81,1.76,1.8,33800,NASDAQ
MGIC,18-Feb-2010,1.77,1.81,1.76,1.79,39700,NASDAQ
MGIC,19-Feb-2010,1.77,1.79,1.75,1.77,24800,NASDAQ
MGIC,22-Feb-2010,1.8,1.8,1.76,1.76,14200,NASDAQ
MGIC,23-Feb-2010,1.78,1.8,1.78,1.8,48900,NASDAQ
MGIC,24-Feb-2010,1.81,1.82,1.78,1.8,46200,NASDAQ
MGIC,25-Feb-2010,1.82,1.82,1.78,1.81,34700,NASDAQ
MGIC,26-Feb-2010,1.83,1.83,1.78,1.8,29200,NASDAQ
MGIC,01-Mar-2010,1.79,1.84,1.78,1.8,57900,NASDAQ
MGIC,02-Mar-2010,1.83,1.83,1.76,1.76,20900,NASDAQ
MGIC,03-Mar-2010,1.82,1.84,1.79,1.83,41200,NASDAQ
MGIC,04-Mar-2010,1.83,1.83,1.78,1.8,22600,NASDAQ
MGIC,05-Mar-2010,1.82,1.82,1.8,1.82,21700,NASDAQ
MGIC,08-Mar-2010,1.82,1.84,1.82,1.84,36800,NASDAQ
MGIC,09-Mar-2010,1.84,2.14,1.8,1.98,487900,NASDAQ
MGIC,10-Mar-2010,2.09,2.14,2.0,2.08,277200,NASDAQ
MGIC,11-Mar-2010,2.12,2.2,2.09,2.18,149100,NASDAQ
MGIC,12-Mar-2010,2.2,2.3,2.2,2.26,205500,NASDAQ
MGIC,15-Mar-2010,2.3,2.44,2.28,2.4,346400,NASDAQ
MGIC,16-Mar-2010,2.45,2.8,2.42,2.7,381000,NASDAQ
MGIC,17-Mar-2010,2.74,3.15,2.72,3.11,584700,NASDAQ
MGIC,18-Mar-2010,3.1,3.19,2.55,2.6,1020900,NASDAQ
MGIC,19-Mar-2010,2.55,2.67,2.32,2.55,515600,NASDAQ
MGIC,22-Mar-2010,2.52,2.67,2.4,2.59,238200,NASDAQ
MGIC,23-Mar-2010,2.63,2.75,2.63,2.67,175000,NASDAQ
MGIC,24-Mar-2010,2.72,2.72,2.55,2.61,115800,NASDAQ
MGIC,25-Mar-2010,2.72,2.72,2.5,2.5,126300,NASDAQ
MGIC,26-Mar-2010,2.41,2.48,2.38,2.41,182000,NASDAQ
MGIC,29-Mar-2010,2.4,2.4,2.3,2.33,154100,NASDAQ
MGIC,30-Mar-2010,2.39,2.5,2.39,2.5,180500,NASDAQ
MGIC,31-Mar-2010,2.51,2.55,2.47,2.55,99600,NASDAQ
MGIC,01-Apr-2010,2.51,2.58,2.45,2.5,61800,NASDAQ
MGIC,05-Apr-2010,2.59,2.6,2.52,2.56,109400,NASDAQ
MGIC,06-Apr-2010,2.53,2.58,2.53,2.55,51800,NASDAQ
MGIC,07-Apr-2010,2.55,2.55,2.43,2.48,55800,NASDAQ
MGIC,08-Apr-2010,2.41,2.45,2.37,2.38,76400,NASDAQ
MGIC,09-Apr-2010,2.4,2.41,2.3,2.37,88500,NASDAQ
MGIC,12-Apr-2010,2.34,2.45,2.31,2.31,54800,NASDAQ
MGIC,13-Apr-2010,2.33,2.35,2.32,2.32,60600,NASDAQ
MGIC,14-Apr-2010,2.39,2.49,2.34,2.47,82500,NASDAQ
MGIC,15-Apr-2010,2.5,2.54,2.42,2.51,67600,NASDAQ
MGIC,16-Apr-2010,2.52,2.52,2.41,2.44,32400,NASDAQ
MGIC,19-Apr-2010,2.48,2.48,2.42,2.45,65400,NASDAQ
MGIC,20-Apr-2010,2.48,2.5,2.42,2.44,49800,NASDAQ
MGIC,21-Apr-2010,2.5,2.52,2.44,2.51,105600,NASDAQ
MGIC,22-Apr-2010,2.56,2.56,2.44,2.55,43700,NASDAQ
MGIC,23-Apr-2010,2.55,2.6,2.5,2.51,45300,NASDAQ
MGIC,26-Apr-2010,2.73,2.93,2.73,2.87,387600,NASDAQ
MGIC,27-Apr-2010,2.87,2.87,2.68,2.7,114500,NASDAQ
MGIC,28-Apr-2010,2.75,2.85,2.58,2.76,101400,NASDAQ
MGIC,29-Apr-2010,2.76,2.84,2.7,2.78,143700,NASDAQ
MGIC,30-Apr-2010,2.81,2.81,2.67,2.67,73300,NASDAQ
MGIC,03-May-2010,2.67,2.75,2.56,2.58,68000,NASDAQ
MGIC,04-May-2010,2.6,2.6,2.41,2.46,132800,NASDAQ
MGIC,05-May-2010,2.41,2.51,2.3,2.31,129900,NASDAQ
MGIC,06-May-2010,2.31,2.41,2.23,2.26,165300,NASDAQ
MGIC,07-May-2010,2.23,2.36,2.18,2.33,101800,NASDAQ
MGIC,10-May-2010,2.5,2.5,2.39,2.45,62900,NASDAQ
MGIC,11-May-2010,2.41,2.45,2.39,2.43,40200,NASDAQ
MGIC,12-May-2010,2.44,2.54,2.43,2.54,181100,NASDAQ
MGIC,13-May-2010,2.55,2.55,2.46,2.46,33700,NASDAQ
MGIC,14-May-2010,2.5,2.5,2.45,2.45,51100,NASDAQ
