name,date,open_price,close_price,high_price,low_price,volume,market
MGYR,04-Jan-2010,4.0,4.0,4.0,4.0,0,NASDAQ
MGYR,05-Jan-2010,3.67,3.68,3.65,3.65,1900,NASDAQ
MGYR,06-Jan-2010,3.7,3.7,3.65,3.65,1400,NASDAQ
MGYR,07-Jan-2010,3.67,3.67,3.67,3.67,700,NASDAQ
MGYR,08-Jan-2010,3.68,3.68,3.68,3.68,100,NASDAQ
MGYR,11-Jan-2010,3.65,3.65,3.65,3.65,800,NASDAQ
MGYR,12-Jan-2010,3.65,3.65,3.65,3.65,500,NASDAQ
MGYR,13-Jan-2010,3.65,3.65,3.65,3.65,0,NASDAQ
MGYR,14-Jan-2010,3.86,3.86,3.86,3.86,500,NASDAQ
MGYR,15-Jan-2010,3.86,3.86,3.86,3.86,0,NASDAQ
MGYR,19-Jan-2010,3.7,3.7,3.65,3.65,2100,NASDAQ
MGYR,20-Jan-2010,3.25,3.86,3.08,3.48,1300,NASDAQ
MGYR,21-Jan-2010,3.53,3.99,3.5,3.53,1800,NASDAQ
MGYR,22-Jan-2010,3.88,3.88,3.8,3.8,1300,NASDAQ
MGYR,25-Jan-2010,3.8,3.8,3.8,3.8,0,NASDAQ
MGYR,26-Jan-2010,3.8,3.8,3.8,3.8,0,NASDAQ
MGYR,27-Jan-2010,3.8,3.8,3.8,3.8,0,NASDAQ
MGYR,28-Jan-2010,3.83,3.83,3.65,3.65,1100,NASDAQ
MGYR,29-Jan-2010,3.65,3.65,3.65,3.65,0,NASDAQ
MGYR,01-Feb-2010,3.58,3.75,3.58,3.65,33300,NASDAQ
MGYR,02-Feb-2010,3.72,3.75,3.71,3.75,500,NASDAQ
MGYR,03-Feb-2010,3.51,3.51,3.5,3.5,1000,NASDAQ
MGYR,04-Feb-2010,3.5,3.5,3.5,3.5,0,NASDAQ
MGYR,05-Feb-2010,3.5,3.5,3.5,3.5,0,NASDAQ
MGYR,08-Feb-2010,3.75,3.75,3.71,3.74,500,NASDAQ
MGYR,09-Feb-2010,3.51,3.52,3.51,3.51,500,NASDAQ
MGYR,10-Feb-2010,3.51,3.51,3.51,3.51,0,NASDAQ
MGYR,11-Feb-2010,3.5,3.51,3.5,3.51,1500,NASDAQ
MGYR,12-Feb-2010,3.41,3.5,3.4,3.5,3100,NASDAQ
MGYR,16-Feb-2010,3.42,3.42,3.42,3.42,100,NASDAQ
MGYR,17-Feb-2010,3.4,3.45,3.35,3.35,5300,NASDAQ
MGYR,18-Feb-2010,3.45,3.45,3.44,3.45,5200,NASDAQ
MGYR,19-Feb-2010,3.35,3.45,3.31,3.35,15700,NASDAQ
MGYR,22-Feb-2010,3.35,3.35,3.35,3.35,0,NASDAQ
MGYR,23-Feb-2010,3.28,3.28,3.26,3.27,1000,NASDAQ
MGYR,24-Feb-2010,3.46,3.75,3.46,3.75,29000,NASDAQ
MGYR,25-Feb-2010,3.78,3.78,3.78,3.78,200,NASDAQ
MGYR,26-Feb-2010,3.78,4.3,3.78,4.0,3000,NASDAQ
MGYR,01-Mar-2010,4.49,4.49,3.95,4.3,1000,NASDAQ
MGYR,02-Mar-2010,4.33,4.49,4.3,4.3,1300,NASDAQ
