name,date,open_price,close_price,high_price,low_price,volume,market
MITL,22-Apr-2010,12.75,13.08,12.06,12.3,5993500,NASDAQ
MITL,23-Apr-2010,12.3,12.6,11.86,12.07,902900,NASDAQ
MITL,26-Apr-2010,12.0,12.3,12.0,12.1,627900,NASDAQ
MITL,27-Apr-2010,12.18,12.2,11.6,11.8,668700,NASDAQ
MITL,28-Apr-2010,11.75,12.13,11.46,11.9,488500,NASDAQ
MITL,29-Apr-2010,11.9,12.35,11.77,12.23,263300,NASDAQ
MITL,30-Apr-2010,12.03,12.39,11.88,11.91,101500,NASDAQ
MITL,03-May-2010,11.85,12.13,11.79,12.05,284400,NASDAQ
MITL,04-May-2010,11.74,11.96,11.66,11.75,287900,NASDAQ
MITL,05-May-2010,11.61,12.09,11.25,11.51,332600,NASDAQ
MITL,06-May-2010,11.66,11.66,10.75,11.23,406100,NASDAQ
MITL,07-May-2010,11.06,11.37,10.89,10.96,518700,NASDAQ
MITL,10-May-2010,11.25,11.47,11.0,11.29,223400,NASDAQ
MITL,11-May-2010,11.05,11.79,11.05,11.69,230700,NASDAQ
MITL,12-May-2010,11.56,11.8,11.5,11.73,77100,NASDAQ
MITL,13-May-2010,11.58,11.81,11.5,11.72,136800,NASDAQ
MITL,14-May-2010,11.57,11.83,11.26,11.51,70800,NASDAQ
MITL,17-May-2010,11.59,11.59,11.1,11.41,193300,NASDAQ
MITL,18-May-2010,11.4,11.9,11.2,11.65,124200,NASDAQ
MITL,19-May-2010,11.66,11.9,11.15,11.4,473800,NASDAQ
MITL,20-May-2010,11.3,11.74,10.91,11.4,321400,NASDAQ
MITL,21-May-2010,11.34,11.34,10.91,10.99,86800,NASDAQ
MITL,24-May-2010,10.99,11.38,10.9,11.15,104800,NASDAQ
MITL,25-May-2010,11.03,11.03,9.85,10.65,207100,NASDAQ
MITL,26-May-2010,10.73,11.26,10.28,11.12,102100,NASDAQ
MITL,27-May-2010,11.23,11.4,11.07,11.4,211500,NASDAQ
MITL,28-May-2010,11.48,11.58,10.88,11.1,114200,NASDAQ
MITL,01-Jun-2010,11.17,11.29,10.78,11.05,140400,NASDAQ
MITL,02-Jun-2010,11.08,11.09,10.8,10.94,35000,NASDAQ
MITL,03-Jun-2010,11.02,11.02,10.47,10.65,184400,NASDAQ
MITL,04-Jun-2010,10.53,10.92,10.16,10.34,63400,NASDAQ
MITL,07-Jun-2010,10.28,10.5,9.55,9.63,172400,NASDAQ
MITL,08-Jun-2010,9.65,9.95,9.54,9.65,81500,NASDAQ
MITL,09-Jun-2010,9.78,10.0,9.22,9.5,66700,NASDAQ
MITL,10-Jun-2010,9.51,9.73,9.5,9.66,52900,NASDAQ
MITL,11-Jun-2010,9.58,9.71,9.4,9.6,75200,NASDAQ
MITL,14-Jun-2010,9.55,9.72,9.2,9.55,122600,NASDAQ
MITL,15-Jun-2010,9.53,9.53,9.0,9.27,119200,NASDAQ
MITL,16-Jun-2010,9.32,9.47,8.95,9.03,92300,NASDAQ
MITL,17-Jun-2010,9.09,9.18,8.54,8.98,285600,NASDAQ
MITL,18-Jun-2010,8.98,9.01,8.65,8.93,93900,NASDAQ
MITL,21-Jun-2010,8.9,9.13,8.9,9.0,52600,NASDAQ
MITL,22-Jun-2010,8.94,9.09,8.79,8.95,80700,NASDAQ
MITL,23-Jun-2010,8.93,8.99,8.75,8.8,111600,NASDAQ
MITL,24-Jun-2010,8.98,9.04,8.75,8.99,83900,NASDAQ
MITL,25-Jun-2010,9.04,9.11,8.95,8.99,41400,NASDAQ
MITL,28-Jun-2010,8.91,9.11,8.83,9.01,47600,NASDAQ
MITL,29-Jun-2010,9.05,9.09,8.76,9.0,62100,NASDAQ
MITL,30-Jun-2010,8.95,9.05,8.9,8.95,24800,NASDAQ
MITL,01-Jul-2010,8.77,8.92,7.58,8.27,101100,NASDAQ
MITL,02-Jul-2010,8.39,8.4,7.86,7.92,165500,NASDAQ
MITL,06-Jul-2010,8.1,8.13,7.99,8.01,54400,NASDAQ
MITL,07-Jul-2010,7.95,8.24,7.95,8.2,52900,NASDAQ
MITL,08-Jul-2010,8.18,8.24,7.89,7.91,45200,NASDAQ
MITL,09-Jul-2010,7.97,8.58,7.86,8.5,75500,NASDAQ
MITL,12-Jul-2010,8.5,8.73,8.16,8.65,83300,NASDAQ
MITL,13-Jul-2010,8.8,9.24,8.78,9.16,173000,NASDAQ
MITL,14-Jul-2010,9.22,9.25,8.67,8.98,60900,NASDAQ
MITL,15-Jul-2010,8.96,9.34,8.96,9.26,56600,NASDAQ
MITL,16-Jul-2010,9.21,9.4,9.06,9.26,300800,NASDAQ
MITL,19-Jul-2010,9.17,9.4,8.99,9.4,14800,NASDAQ
MITL,20-Jul-2010,9.47,9.81,9.18,9.31,282200,NASDAQ
MITL,21-Jul-2010,9.42,9.42,9.2,9.27,35100,NASDAQ
MITL,22-Jul-2010,9.29,9.62,9.29,9.62,41200,NASDAQ
MITL,23-Jul-2010,9.58,9.59,9.44,9.5,11500,NASDAQ
MITL,26-Jul-2010,9.45,9.53,9.44,9.53,13900,NASDAQ
MITL,27-Jul-2010,9.53,9.56,9.48,9.51,15900,NASDAQ
MITL,28-Jul-2010,9.51,9.53,9.22,9.32,23300,NASDAQ
MITL,29-Jul-2010,9.39,9.39,9.1,9.25,43200,NASDAQ
MITL,30-Jul-2010,9.19,9.27,9.1,9.27,13300,NASDAQ
MITL,02-Aug-2010,9.3,9.31,9.14,9.3,61100,NASDAQ
